Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,66.35
Metazoa_SRP,chr6,False,41.83
U6,chr16,False,41.35
U8,chr6,False,39.42
LCE3C,chr1,False,37.5
SNORA70,chr6,False,34.62
AC092821.2,chr12,False,34.13
KRTAP9-11P,chr17,False,33.17
OR52N1,chr11,False,30.29
MIR4722,chr16,False,29.81
PIEZO1,chr16,False,29.81
OR52N5,chr11,False,29.81
AC138028.4,chr16,False,29.81
LCE3B,chr1,False,29.33
AC138028.2,chr16,False,29.33
AC138028.5,chr16,False,29.33
NOS2P2,chr17,False,28.85
APRT,chr16,False,28.85
GALNS,chr16,False,28.85
AC009053.2,chr16,False,28.85
CDT1,chr16,False,28.85
TNPO1P2,chr17,False,28.37
CBFA2T3,chr16,False,28.37
AC092384.2,chr16,False,28.37
TRAPPC2L,chr16,False,28.37
PABPN1L,chr16,False,28.37
SNORA62,chr16,False,28.37
LGALS9C,chr17,False,28.37
AC138028.1,chr16,False,28.37
ZNF276,chr16,False,27.88
GAS8-AS1,chr16,False,27.88
ADAM3A,chr8,False,27.88
CDK10,chr16,False,27.88
AC135782.1,chr16,False,27.88
AC010538.1,chr16,False,27.88
AC092384.1,chr16,False,27.88
SPATA2L,chr16,False,27.88
SPATA33,chr16,False,27.88
LINC02166,chr16,False,27.88
AC135782.2,chr16,False,27.88
VPS9D1-AS1,chr16,False,27.88
ACSF3,chr16,False,27.88
AC092384.3,chr16,False,27.88
VPS9D1,chr16,False,27.88
SPIRE2,chr16,False,27.88
FANCA,chr16,True,27.88
CHMP1A,chr16,False,27.88
CCDC144B,chr17,False,27.4
AC138028.3,chr16,False,27.4
TAF1C,chr16,False,27.4
GAS8,chr16,False,27.4
AC137932.1,chr16,False,27.4
AC040169.1,chr16,False,27.4
AC040169.2,chr16,False,27.4
AC040169.3,chr16,False,27.4
DNAAF1,chr16,True,27.4
DPEP1,chr16,False,27.4
PPIAP51,chr16,False,27.4
HSDL1,chr16,False,27.4
DBNDD1,chr16,False,27.4
AC092143.1,chr16,False,27.4
ANKRD11,chr16,False,27.4
DEF8,chr16,False,27.4
AC137932.2,chr16,False,27.4
AC092143.2,chr16,False,27.4
AC092143.3,chr16,False,27.4
LINC02138,chr16,False,27.4
AC137932.3,chr16,False,27.4
TUBB3,chr16,False,27.4
AC009113.2,chr16,False,27.4
SLC22A31,chr16,False,27.4
CRISPLD2,chr16,False,27.4
AC009113.1,chr16,False,27.4
LINC00304,chr16,False,27.4
AFG3L1P,chr16,False,27.4
AC138028.6,chr16,False,27.4
KCNG4,chr16,False,27.4
CPNE7,chr16,False,27.4
MBTPS1,chr16,False,27.4
MC1R,chr16,True,27.4
CENPBD1,chr16,False,27.4
PRDM7,chr16,False,27.4
RNA5SP432,chr16,False,27.4
CDH15,chr16,False,27.4
USP10,chr16,False,27.4
URAHP,chr16,False,27.4
AC040169.4,chr16,False,27.4
RNF166,chr16,False,27.4
RPL13,chr16,False,27.4
AC135782.3,chr16,False,27.4
AC009123.1,chr16,False,27.4
SNORD68,chr16,False,27.4
SLC38A8,chr16,False,27.4
AC025280.1,chr16,False,27.4
ADAD2,chr16,False,27.4
AC025280.3,chr16,False,27.4
ZNF778,chr16,False,27.4
AC010551.2,chr16,False,26.92
TCF25,chr16,False,26.92
AC092120.3,chr16,False,26.92
AC092123.1,chr16,False,26.92
AC010551.1,chr16,False,26.92
SPG7,chr16,False,26.92
AC010551.3,chr16,False,26.92
AC009119.2,chr16,False,26.92
AC092120.1,chr16,False,26.92
AC092145.1,chr16,False,26.92
AC092120.2,chr16,False,26.92
RNA5SP433,chr16,False,26.92
MEAK7,chr16,False,26.92
OSGIN1,chr16,False,26.92
SNAI3,chr16,False,26.92
SNAI3-AS1,chr16,False,26.92
NECAB2,chr16,False,26.92
CTU2,chr16,False,26.92
MVD,chr16,False,26.92
KLHL36,chr16,False,26.92
WFDC1,chr16,False,26.92
