Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr3,False,79.2
Metazoa_SRP,chr3,False,66.37
U3,chr5,False,49.5
U6,chr3,False,45.67
U8,chr3,False,41.77
AL049634.3,chr20,False,35.23
SNORA70,chr9,False,34.96
KRTAP9-11P,chr17,False,33.49
SNORA72,chr3,False,32.88
LCE3C,chr1,False,32.78
SNORA63,chr3,False,32.58
ADAM3A,chr8,False,32.48
AC123767.1,chr8,False,31.09
AC000032.1,chr1,False,30.51
U4,chr1,False,29.02
HLA-DRB5,chr6,False,27.82
AC092821.2,chr12,False,25.61
U2,chr3,False,25.49
AC140125.1,chr5,False,25.46
RNU1-61P,chr6,False,24.77
5S_rRNA,chr2,False,24.63
AC026740.2,chr5,False,24.54
BRD9P2,chr5,False,24.54
HLA-DRB6,chr6,False,24.27
HLA-DRB1,chr6,False,23.77
LCE3B,chr1,False,23.63
AC147055.4,chr4,False,21.87
AC147055.2,chr4,False,21.87
UGT2B17,chr4,False,21.68
7SK,chr3,False,20.51
CFHR3,chr1,False,20.33
ALG1L2,chr3,False,20.32
ZDHHC11B,chr5,False,19.91
LGALS9C,chr17,False,19.64
OR7E84P,chr4,False,19.62
NOS2P2,chr17,False,19.54
AC091874.1,chr5,False,19.46
AC091874.2,chr5,False,19.46
TNPO1P2,chr17,False,19.15
MYC,chr8,True,18.96
AC108925.1,chr8,False,18.89
CASC11,chr8,False,18.87
AC104370.1,chr8,False,18.84
POU5F1B,chr8,False,18.76
CCAT2,chr8,False,18.73
AC018714.1,chr8,False,18.73
CASC8,chr8,False,18.72
UGT2B29P,chr4,False,18.65
MIR1204,chr8,False,18.65
PVT1,chr8,False,18.65
AC018714.2,chr8,False,18.64
ARPP19P1,chr5,False,18.57
AC084123.1,chr8,False,18.4
TMEM75,chr8,False,18.37
MIR1205,chr8,False,18.36
CFHR1,chr1,False,18.36
FAM242D,chr9,False,18.29
RNVU1-32,chr8,False,18.29
MIR1208,chr8,False,18.28
RNU4-25P,chr8,False,18.27
AC103705.1,chr8,False,18.27
MIR1207,chr8,False,18.27
MIR1206,chr8,False,18.27
SMBD1P,chr3,False,18.23
MIR570,chr3,False,18.23
RN7SKP226,chr8,False,18.21
AC020688.1,chr8,False,18.21
PRNCR1,chr8,False,18.21
CASC19,chr8,False,18.17
AC100822.1,chr8,False,18.13
HCP5B,chr6,False,18.13
LINC00824,chr8,False,18.08
CCDC26,chr8,False,17.9
RNU11-4P,chr8,False,17.87
AC024382.1,chr8,False,17.85
OR51A2,chr11,False,17.82
AC083923.1,chr8,False,17.79
AL935212.3,chr9,False,17.74
RNU6-869P,chr8,False,17.73
AC084116.1,chr8,False,17.73
LRATD2,chr8,False,17.73
AC084116.3,chr8,False,17.72
OR4S2,chr11,False,17.72
AC084116.2,chr8,False,17.71
PCAT1,chr8,False,17.71
TAS2R64P,chr12,False,17.65
RNA5SP278,chr8,False,17.63
OR4P4,chr11,False,17.61
OR2A1-AS1,chr7,False,17.6
AC087667.1,chr8,False,17.57
RFPL4AP5,chr8,False,17.5
OR4C6,chr11,False,17.49
KNOP1P5,chr8,False,17.45
AC024681.1,chr8,False,17.45
SOD1P3,chr8,False,17.43
AC024681.2,chr8,False,17.43
OR2A7,chr7,False,17.41
RNU6-442P,chr8,False,17.39
AC016074.1,chr8,False,17.38
LINC00861,chr8,False,17.38
AC016074.2,chr8,False,17.36
AC105235.1,chr8,False,17.32
AC091114.1,chr8,False,17.32
U7,chr22,False,17.29
OR4K3,chr14,False,17.27
AC084083.1,chr8,False,17.27
OR4K5,chr14,False,17.25
MUC4,chr3,False,17.24
OR4K2,chr14,False,17.24
TRIB1,chr8,False,17.24
OR4K1,chr14,False,17.21
MIR151A,chr8,False,17.2
OR4K6P,chr14,False,17.19
AL391156.1,chr14,False,17.19
RHD,chr1,False,17.17
RN7SL329P,chr8,False,17.17
OR4K4P,chr14,False,17.17
NSMCE2,chr8,False,17.14
AC100858.3,chr8,False,17.13
WASHC5,chr8,False,17.12
ZNF572,chr8,False,17.12
MRS2P1,chr8,False,17.12
AC100858.1,chr8,False,17.12
USP32P2,chr17,False,17.11
FAM106A,chr17,False,17.11
AC009908.1,chr8,False,17.1
SQLE,chr8,False,17.1
WASHC5-AS1,chr8,False,17.09
MIR4662B,chr8,False,17.08
MIR4662A,chr8,False,17.08
AC100858.2,chr8,False,17.08
LINC00964,chr8,False,17.08
OR4N1P,chr14,False,17.07
AC243829.2,chr17,False,17.06
RN7SKP206,chr8,False,17.05
AC103833.2,chr8,False,17.04
AC103833.1,chr8,False,17.03
OR4M1,chr14,False,16.95
OR4H12P,chr14,False,16.94
MIR3686,chr8,False,16.92
NDUFB9,chr8,False,16.91
AC011257.1,chr8,False,16.9
MIR6844,chr8,False,16.9
GSDMC,chr8,False,16.89
MTRF1LP2,chr8,False,16.89
AC103718.1,chr8,False,16.89
AC022973.5,chr8,False,16.89
TATDN1,chr8,False,16.88
MTSS1,chr8,False,16.88
FER1L6,chr8,False,16.88
AC090198.1,chr8,False,16.88
OR4Q3,chr14,False,16.88
AC090193.1,chr8,False,16.87
RNF139-AS1,chr8,False,16.87
CYRIB,chr8,False,16.86
AC135166.1,chr8,False,16.86
FER1L6-AS1,chr8,False,16.85
TRMT12,chr8,False,16.85
ANXA13,chr8,False,16.85
AC090753.1,chr8,False,16.84
RN7SKP155,chr8,False,16.84
RNF139,chr8,False,16.84
AC022973.2,chr8,False,16.84
SRP68P2,chr17,False,16.83
FAM91A1,chr8,False,16.83
KLHL38,chr8,False,16.83
AC100860.1,chr8,False,16.81
AC022973.1,chr8,False,16.81
IMPDH1P6,chr8,False,16.8
DUTP2,chr8,False,16.79
RNU7-181P,chr8,False,16.79
ASAP1-IT2,chr8,False,16.79
AC090921.1,chr8,False,16.79
RNU6-756P,chr8,False,16.79
AC090192.2,chr8,False,16.79
AC100871.2,chr8,False,16.79
AC022973.3,chr8,False,16.79
FER1L6-AS2,chr8,False,16.78
MIR5194,chr8,False,16.78
ASAP1,chr8,False,16.78
FBXO32,chr8,False,16.78
RNU6-1255P,chr8,False,16.78
NTAQ1,chr8,False,16.78
AC090192.1,chr8,False,16.77
AC131568.1,chr8,False,16.77
TMEM65,chr8,False,16.77
PTK2,chr8,False,16.77
ARF1P3,chr8,False,16.76
MIR548AA1,chr8,False,16.76
MIR548D1,chr8,False,16.76
AC100871.1,chr8,False,16.76
AC040970.1,chr8,False,16.75
CCDC144B,chr17,False,16.74
RNU6-875P,chr8,False,16.74
DENND3,chr8,False,16.74
AC103725.1,chr8,False,16.73
AC022973.4,chr8,False,16.72
ATAD2,chr8,False,16.71
AC018992.1,chr8,False,16.7
AC009682.1,chr8,False,16.69
AC139019.1,chr8,False,16.67
UBA52P5,chr8,False,16.64
ZHX1,chr8,False,16.63
SDHDP6,chr1,False,16.63
C8orf76,chr8,False,16.63
FAM83A-AS1,chr8,False,16.62
MIR4663,chr8,False,16.62
RNU6-628P,chr8,False,16.62
AC090987.1,chr8,False,16.61
AC068228.2,chr8,False,16.61
AC068228.1,chr8,False,16.6
FAM83A,chr8,False,16.6
ZHX1-C8orf76,chr8,False,16.6
ADCY8,chr8,False,16.59
AC100872.2,chr8,False,16.56
OR11K2P,chr14,False,16.56
AC100872.1,chr8,False,16.56
AC068228.3,chr8,False,16.53
AC104316.1,chr8,False,16.53
AC103726.1,chr8,False,16.52
AC104316.2,chr8,False,16.51
DERL1,chr8,False,16.51
HMGB1P19,chr8,False,16.5
CDK5P1,chr8,False,16.5
ZHX2,chr8,False,16.49
AC103726.2,chr8,False,16.49
AC016405.2,chr8,False,16.49
AC016405.3,chr8,False,16.49
AC016405.1,chr8,False,16.49
TBC1D31,chr8,False,16.47
LINC01151,chr8,False,16.44
AC108136.1,chr8,False,16.44
SLC45A4,chr8,False,16.41
AC037486.1,chr8,False,16.41
SNORD81,chr5,False,16.4
MRPS36P3,chr8,False,16.39
ERICD,chr8,False,16.38
AC011676.5,chr8,False,16.38
AC087341.1,chr8,False,16.37
HAS2,chr8,False,16.36
SMILR,chr8,False,16.33
HAS2-AS1,chr8,False,16.32
LINC02855,chr8,False,16.32
AC104257.1,chr8,False,16.29
OC90,chr8,False,16.26
RPL35AP19,chr8,False,16.26
AC100868.1,chr8,False,16.26
HHLA1,chr8,False,16.23
EFR3A,chr8,False,16.21
AC060788.1,chr8,False,16.21
ZDHHC11,chr5,False,16.16
AC011626.1,chr8,False,16.16
AF305872.1,chr8,False,16.16
OR11J6P,chr15,False,16.15
MIR7848,chr8,False,16.15
AC134980.1,chr15,False,16.15
AC107953.2,chr8,False,16.14
AC068413.1,chr8,False,16.14
COL14A1,chr8,False,16.13
SLA,chr8,False,16.13
PTCSC1,chr8,False,16.13
AC091563.1,chr8,False,16.13
ST13P6,chr8,False,16.13
AF186190.1,chr8,False,16.13
KCNQ3,chr8,False,16.13
AF230666.1,chr8,False,16.12
TG,chr8,False,16.12
SPCS2P3,chr5,False,16.11
KC877373.1,chr8,False,16.11
CCN4,chr8,False,16.1
AF230666.2,chr8,False,16.1
MRPL13,chr8,False,16.1
MAL2,chr8,False,16.1
AF228727.1,chr8,False,16.1
LRRC6,chr8,False,16.1
AC011676.1,chr8,False,16.08
TMEM71,chr8,False,16.08
AC011676.2,chr8,False,16.08
HPYR1,chr8,False,16.07
MAL2-AS1,chr8,False,16.07
NCAPGP1,chr8,False,16.07
COLEC10,chr8,False,16.07
RNU6-12P,chr8,False,16.06
PHF20L1,chr8,False,16.06
AC107953.1,chr8,False,16.06
SNTB1,chr8,False,16.06
AC104958.1,chr8,False,16.06
NDRG1,chr8,False,16.06
TNFRSF11B,chr8,False,16.06
ST3GAL1,chr8,False,16.05
RPS26P35,chr8,False,16.05
MTBP,chr8,False,16.04
