Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr16,False,54.25
KRTAP9-11P,chr17,False,38.42
AL049634.3,chr20,False,33.78
Metazoa_SRP,chr5,False,33.59
AC091874.2,chr5,False,32.63
LCE3C,chr1,False,32.63
AC091874.1,chr5,False,32.63
AC140125.1,chr5,False,32.24
ARPP19P1,chr5,False,30.5
ADAM3A,chr8,False,29.92
HLA-DRB5,chr6,False,29.34
AC123767.1,chr8,False,28.38
BTNL3,chr5,False,26.64
OR4S2,chr11,False,25.68
NOS2P2,chr17,False,25.48
LGALS9C,chr17,False,25.48
OR4P4,chr11,False,25.48
OR4C6,chr11,False,25.29
TNPO1P2,chr17,False,24.9
AC092821.2,chr12,False,24.13
FAM106A,chr17,False,23.75
USP32P2,chr17,False,23.75
OR4V1P,chr11,False,23.55
RHD,chr1,False,23.55
LCE3B,chr1,False,23.55
AC000032.1,chr1,False,22.78
AC147055.4,chr4,False,22.39
OR7E84P,chr4,False,22.39
SRP68P2,chr17,False,22.39
AC147055.2,chr4,False,22.2
CCDC144B,chr17,False,22.01
SDHDP6,chr1,False,22.01
UGT2B17,chr4,False,21.43
RNU1-61P,chr6,False,21.04
HLA-DRB6,chr6,False,20.85
AC026740.2,chr5,False,20.66
BRD9P2,chr5,False,20.66
FAM242D,chr9,False,20.46
U6,chr15,False,20.27
AL935212.3,chr9,False,20.08
AP006437.1,chr11,False,20.08
OR4P1P,chr11,False,20.08
HLA-DRB1,chr6,False,19.88
AC243829.2,chr17,False,19.31
OR51A2,chr11,False,18.92
UGT2B29P,chr4,False,18.92
ALG1L2,chr3,False,18.53
OR11J6P,chr15,False,17.18
AC134980.1,chr15,False,17.18
TAS2R64P,chr12,False,16.02
OR52N5,chr11,False,16.02
AC025884.2,chr15,False,15.83
U8,chr3,False,15.64
AC023078.1,chr11,False,15.64
OR52N1,chr11,False,15.64
MRGPRX1,chr11,False,15.64
ZDHHC11B,chr5,False,15.64
OR4K3,chr14,False,15.44
OR4K2,chr14,False,15.44
AC147055.3,chr4,False,15.44
OR4K5,chr14,False,15.25
OR4H12P,chr14,False,15.25
AC025884.1,chr15,False,15.25
AL391156.1,chr14,False,15.25
OR4K6P,chr14,False,15.25
OR4M1,chr14,False,15.25
OR4N1P,chr14,False,15.25
OR4K1,chr14,False,15.25
OR4K4P,chr14,False,15.25
RN7SL301P,chr17,False,15.25
OR4Q3,chr14,False,15.06
OR11K2P,chr14,False,15.06
OR2A7,chr7,False,14.86
NSFP1,chr17,False,14.86
AL353997.4,chr17,False,14.86
AL353997.1,chr17,False,14.86
SNORA70,chr1,False,14.67
OR4N4,chr15,False,14.48
AC010760.1,chr15,False,14.48
OR4N3P,chr15,False,14.48
OR11K1P,chr15,False,14.48
OR11H3P,chr15,False,14.48
AC134980.2,chr15,False,14.48
IGHV4OR15-8,chr15,False,14.48
OR4H6P,chr15,False,14.48
AC025884.3,chr15,False,14.48
OR4M2,chr15,False,14.48
MIR1268A,chr15,False,14.48
IGHV1OR15-1,chr15,False,14.48
OR4Q1P,chr15,False,14.48
IGHV1OR15-3,chr15,False,14.48
IGHV1OR15-4,chr15,False,14.48
RPS8P10,chr15,False,14.48
C2orf69P3,chr16,False,14.29
RARRES2P6,chr16,False,14.29
AGGF1P4,chr16,False,14.29
AGGF1P5,chr16,False,14.29
FRG2IP,chr16,False,14.29
FRG2JP,chr16,False,14.29
C2orf69P4,chr16,False,14.29
RARRES2P7,chr16,False,14.29
AGGF1P8,chr16,False,14.29
FRG2GP,chr16,False,14.29
RARRES2P9,chr16,False,14.29
AGGF1P9,chr16,False,14.29
LINC01566,chr16,False,14.29
FRG2HP,chr16,False,14.09
OR2A1-AS1,chr7,False,14.09
ZNF971P,chr16,False,13.9
AC018558.6,chr16,False,13.9
AC018558.4,chr16,False,13.9
FAM30C,chr15,False,13.71
RARRES2P10,chr16,False,13.71
IGHD2OR15-2B,chr15,False,13.71
C2orf69P2,chr16,False,13.71
MIR570,chr3,False,13.71
IGHD4OR15-4B,chr15,False,13.71
SMBD1P,chr3,False,13.71
IGHD5OR15-5B,chr15,False,13.71
U3,chr5,False,13.71
IGHD1OR15-1B,chr15,False,13.71
AC037471.1,chr15,False,13.71
FRG2DP,chr16,False,13.71
AC018558.3,chr16,False,13.71
AC018558.2,chr16,False,13.71
AGGF1P6,chr16,False,13.71
IGHD3OR15-3B,chr15,False,13.71
BCAR1P2,chr15,False,13.51
AC018558.7,chr16,False,13.32
AC018558.1,chr16,False,13.13
ARHGEF34P,chr7,False,13.13
AC074386.1,chr7,False,13.13
TP53TG3HP,chr16,False,13.13
CTAGE8,chr7,False,13.13
OR2A9P,chr7,False,13.13
OR2A20P,chr7,False,13.13
AC005225.2,chr14,False,12.93
OR2A1,chr7,False,12.93
RN7SL400P,chr15,False,12.74
AC092865.2,chr12,False,12.74
AC126335.1,chr15,False,12.74
AC126335.2,chr15,False,12.74
BMS1P16,chr15,False,12.74
NBEAP4,chr15,False,12.74
OR2A42,chr7,False,12.55
RNU6-1235P,chr15,False,12.36
CXADRP2,chr15,False,12.36
AC068446.1,chr15,False,12.36
UGT2B15,chr4,False,12.36
AC068446.2,chr15,False,12.36
NBEAP1,chr15,False,12.36
LONRF2P4,chr15,False,12.36
AL512310.4,chr14,False,12.36
MIR3118-3,chr15,False,12.36
AL512310.8,chr14,False,12.36
AC131280.1,chr15,False,12.36
POTEB3,chr15,False,12.36
AL512310.10,chr14,False,12.36
AC060814.4,chr15,False,12.36
AC060814.2,chr15,False,12.36
AC060814.1,chr15,False,12.36
AC060814.3,chr15,False,12.36
SNX18P25,chr4,False,12.36
GRAMD4P6,chr15,False,12.36
LINC02203,chr15,False,12.16
RNU6-1036P,chr5,False,12.16
AC135068.1,chr15,False,12.16
AC135068.11,chr15,False,12.16
AC135068.12,chr15,False,12.16
AC135068.2,chr15,False,12.16
AC135068.3,chr15,False,12.16
AC135068.4,chr15,False,12.16
AC135068.5,chr15,False,12.16
AC135068.6,chr15,False,12.16
AC135068.8,chr15,False,12.16
AC135068.7,chr15,False,12.16
AC135068.9,chr15,False,12.16
OR11J7P,chr15,False,12.16
ZNF519P3,chr15,False,12.16
HERC2P3,chr15,False,12.16
RNU6-631P,chr15,False,12.16
TOMM40P1,chr14,False,12.16
MIR5701-3,chr15,False,12.16
MUC4,chr3,False,12.16
MIR5701-2,chr15,False,12.16
DUXAP10,chr14,False,12.16
MIR3118-4,chr15,False,12.16
