Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr9,False,82.69
Metazoa_SRP,chr3,False,65.38
U6,chr3,False,53.85
U8,chr3,False,48.08
U3,chr8,False,42.31
KRTAP9-11P,chr17,False,38.46
AC000032.1,chr1,False,36.54
SNORA72,chr3,False,36.54
SNORA63,chr3,False,32.69
AC104640.1,chr3,False,30.77
LINC01997,chr3,False,30.77
AC092821.2,chr12,False,30.77
ADAM3A,chr8,False,30.77
AC108738.1,chr3,False,28.85
LEKR1,chr3,False,28.85
RPL6P7,chr3,False,28.85
RPS27AP8,chr3,False,28.85
AC108667.2,chr3,False,28.85
AC108667.1,chr3,False,28.85
RSRC1,chr3,False,28.85
RPS6P4,chr3,False,28.85
RPSAP33,chr3,False,28.85
RPL23AP42,chr3,False,28.85
AC106707.2,chr3,False,28.85
LINC00880,chr3,False,28.85
LINC02082,chr3,False,28.85
LINC02068,chr3,False,28.85
AC106707.1,chr3,False,28.85
SAMD7,chr3,False,28.85
SCHIP1,chr3,False,28.85
LINC02067,chr3,False,28.85
RPL35AP9,chr3,False,28.85
LRRC34,chr3,False,28.85
RPL22P1,chr3,False,28.85
RPL22L1,chr3,False,28.85
RNU6-315P,chr3,False,28.85
RNU6-348P,chr3,False,28.85
AC124893.1,chr3,False,28.85
KRT18P34,chr3,False,28.85
AC119744.1,chr3,False,28.85
KRT18P43,chr3,False,28.85
RNU6-547P,chr3,False,28.85
RNU6-637P,chr3,False,28.85
KRT8P13,chr3,False,28.85
LXN,chr3,False,28.85
AC117392.1,chr3,False,28.85
RNU7-82P,chr3,False,28.85
LRRIQ4,chr3,False,28.85
LRRC77P,chr3,False,28.85
AC112770.1,chr3,False,28.85
LCE3C,chr1,False,28.85
LRRC31,chr3,False,28.85
AC112491.1,chr3,False,28.85
RPL21P43,chr3,False,28.85
SDHDP3,chr3,False,28.85
SEC62-AS1,chr3,False,28.85
SEC62,chr3,False,28.85
SLITRK3,chr3,False,28.85
AC092954.2,chr3,False,28.85
AC092954.1,chr3,False,28.85
AC092944.3,chr3,False,28.85
AC092944.2,chr3,False,28.85
AC092944.1,chr3,False,28.85
AC092943.2,chr3,False,28.85
AC092943.1,chr3,False,28.85
AC092919.2,chr3,False,28.85
SPATA16,chr3,False,28.85
AC092919.1,chr3,False,28.85
LINC00886,chr3,False,28.85
AC091607.2,chr3,False,28.85
AC091607.1,chr3,False,28.85
SPTSSB,chr3,False,28.85
AC084212.1,chr3,False,28.85
SSR3,chr3,False,28.85
AC084036.1,chr3,False,28.85
LINC02029,chr3,False,28.85
AC080013.4,chr3,False,28.85
LINC02023,chr3,False,28.85
AC080013.3,chr3,False,28.85
SMBD1P,chr3,False,28.85
AC092964.1,chr3,False,28.85
KMT5AP3,chr3,False,28.85
AC092967.1,chr3,False,28.85
AC104629.1,chr3,False,28.85
AC104472.5,chr3,False,28.85
AC104472.4,chr3,False,28.85
AC104472.3,chr3,False,28.85
AC104472.2,chr3,False,28.85
SERPINI1,chr3,False,28.85
SERPINI2,chr3,False,28.85
SETP14,chr3,False,28.85
