Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,79.17
IGHD4-4,chr14,False,58.33
IGHV7-4-1,chr14,False,58.33
IGHD2-2,chr14,False,58.33
IGHV4-4,chr14,False,58.33
IGHVII-1-1,chr14,False,58.33
IGHV1-2,chr14,False,58.33
IGHV1-3,chr14,False,58.33
IGHV6-1,chr14,False,58.33
AC246787.1,chr14,False,58.33
IGHD5-5,chr14,False,58.33
IGHD3-3,chr14,False,58.33
IGHD1-1,chr14,False,58.33
IGHVIII-2-1,chr14,False,58.33
FAM30A,chr14,False,58.33
AC246787.2,chr14,False,56.25
IGHD6-13,chr14,False,56.25
IGHD3-16,chr14,False,56.25
IGHD3-10,chr14,False,56.25
IGHD5-18,chr14,False,56.25
IGHD5-12,chr14,False,56.25
IGHD2-15,chr14,False,56.25
IGHD3-22,chr14,False,56.25
IGHD6-25,chr14,False,56.25
ADAM6,chr14,False,56.25
IGHD1-20,chr14,False,56.25
IGHD1-14,chr14,False,56.25
IGHD1-7,chr14,False,56.25
IGHD3-9,chr14,False,56.25
IGHD4-11,chr14,False,56.25
IGHD4-23,chr14,False,56.25
IGHD4-17,chr14,False,56.25
IGHD6-19,chr14,False,56.25
IGHD5-24,chr14,False,56.25
IGHD2-8,chr14,False,56.25
IGHD1-26,chr14,False,56.25
IGHD2-21,chr14,False,56.25
IGHD6-6,chr14,False,56.25
IGHVIII-5-2,chr14,False,54.17
IGHVIII-5-1,chr14,False,54.17
IGHV2-5,chr14,False,54.17
IGHV3-6,chr14,False,52.08
IGHV1-12,chr14,False,52.08
IGKJ1,chr2,False,52.08
IGHVIII-11-1,chr14,False,52.08
IGHV3-7,chr14,False,52.08
IGHV3-13,chr14,False,52.08
IGHV5-10-1,chr14,False,50.0
IGHV3-19,chr14,False,50.0
IGHV1-18,chr14,False,50.0
IGHV3-15,chr14,False,50.0
IGHV3-11,chr14,False,50.0
SLC20A1P2,chr14,False,50.0
IGHV1-14,chr14,False,50.0
IGHV1-17,chr14,False,50.0
Metazoa_SRP,chr2,False,50.0
IGHV3-16,chr14,False,50.0
IGHVIII-16-1,chr14,False,50.0
IGHV3-64D,chr14,False,50.0
ATP6V1G1P1,chr14,False,50.0
IGHVIII-13-1,chr14,False,50.0
IGHVII-15-1,chr14,False,50.0
IGHD7-27,chr14,False,47.92
IGHJ3,chr14,False,47.92
IGHJ3P,chr14,False,47.92
IGHJ5,chr14,False,47.92
IGHJ2P,chr14,False,47.92
IGHD,chr14,False,47.92
IGHJ6,chr14,False,47.92
IGHJ1,chr14,False,47.92
IGKV2-4,chr2,False,47.92
AC247036.1,chr14,False,47.92
IGHJ1P,chr14,False,47.92
IGKV7-3,chr2,False,47.92
IGHV3-20,chr14,False,47.92
PGBD4P5,chr2,False,47.92
IGHJ4,chr14,False,47.92
IGHM,chr14,False,47.92
IGHJ2,chr14,False,47.92
IGKV4-1,chr2,False,45.83
AC000032.1,chr1,False,45.83
IGHA1,chr14,False,45.83
IGHV3-22,chr14,False,45.83
IGHV3-21,chr14,False,45.83
U3,chr3,False,45.83
IGHEP1,chr14,False,45.83
IGKV5-2,chr2,False,45.83
IGKV1-5,chr2,False,43.75
AC018755.4,chr19,False,43.75
IGKV1-6,chr2,False,43.75
LCE3C,chr1,False,43.75
IGHV1-24,chr14,False,43.75
ARPP19P1,chr5,False,43.75
UGT2B17,chr4,False,43.75
IGKJ5,chr2,False,43.75
IGKJ3,chr2,False,43.75
SIGLEC14,chr19,False,43.75
IGHVIII-22-2,chr14,False,43.75
U8,chr3,False,43.75
AC147055.2,chr4,False,43.75
AC147055.4,chr4,False,43.75
IGKJ2,chr2,False,43.75
IGKJ4,chr2,False,43.75
AC091874.2,chr5,False,41.67
AC091874.1,chr5,False,41.67
