Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr1,False,91.01
Metazoa_SRP,chr1,False,84.2
U3,chr1,False,74.93
U8,chr1,False,64.58
U4,chr1,False,64.03
SNORA72,chr1,False,62.4
U6,chr1,False,56.13
5S_rRNA,chr1,False,49.86
SNORA70,chr1,False,48.77
CFHR3,chr1,False,46.32
7SK,chr1,False,44.41
SNORA63,chr1,False,43.87
U2,chr8,False,42.51
CFHR1,chr1,False,41.42
CKS1B,chr1,False,40.6
FLAD1,chr1,False,40.6
DCST1,chr1,False,40.6
DCST2,chr1,False,40.6
MTX1P1,chr1,False,40.6
MIR4258,chr1,False,40.6
AL691442.1,chr1,False,40.6
ADAM15,chr1,False,40.6
PBXIP1,chr1,False,40.6
EFNA4,chr1,False,40.6
EFNA3,chr1,False,40.6
AL451085.1,chr1,False,40.6
SHC1,chr1,False,40.33
AL451085.2,chr1,False,40.33
DCST1-AS1,chr1,False,40.33
EFNA1,chr1,False,40.33
PMVK,chr1,False,40.33
ZBTB7B,chr1,False,40.33
PYGO2,chr1,False,40.33
LENEP,chr1,False,40.33
GBA,chr1,False,40.05
KCNN3,chr1,False,39.78
THBS3,chr1,False,39.78
THBS3-AS1,chr1,False,39.78
CFHR2,chr1,False,39.78
AC234582.1,chr1,False,39.78
TRIM46,chr1,False,39.78
MIR92B,chr1,False,39.78
SLC50A1,chr1,False,39.78
GBAP1,chr1,False,39.78
AL606500.1,chr1,False,39.78
MUC1,chr1,False,39.78
MTX1,chr1,False,39.78
DPM3,chr1,False,39.78
HMGN2P18,chr1,False,39.78
AL713999.2,chr1,False,39.78
KRTCAP2,chr1,False,39.78
HCN3,chr1,False,39.51
MIR4735,chr1,False,39.51
FAM189B,chr1,False,39.51
RUSC1,chr1,False,39.24
RNU6-983P,chr1,False,39.24
RUSC1-AS1,chr1,False,39.24
SCAMP3,chr1,False,39.24
LCE3C,chr1,False,39.24
LCE1E,chr1,False,39.24
AL592078.1,chr1,False,39.24
TDRD10,chr1,False,39.24
CFH,chr1,False,39.24
AL139418.1,chr1,False,39.24
PKLR,chr1,False,39.24
FDPS,chr1,False,39.24
CLK2,chr1,False,39.24
ADAR,chr1,False,39.24
LAPTM4BP1,chr1,False,38.96
ASH1L,chr1,False,38.96
CHRNB2,chr1,False,38.96
RNU7-57P,chr1,False,38.96
KCNT2,chr1,False,38.96
PSMD8P1,chr1,False,38.96
AL161636.1,chr1,False,38.96
AL354980.1,chr1,False,38.96
UBE2Q1,chr1,False,38.96
UBE2Q1-AS1,chr1,False,38.96
SHE,chr1,False,38.96
AL592078.2,chr1,False,38.96
CFHR5,chr1,False,38.96
AQP10,chr1,False,38.96
ATP8B2,chr1,False,38.96
SPRR2C,chr1,False,38.96
SPRR2G,chr1,False,38.96
AL162591.2,chr1,False,38.96
RNU6-121P,chr1,False,38.96
LELP1,chr1,False,38.96
LINC01724,chr1,False,38.96
AL353709.1,chr1,False,38.96
AL354980.2,chr1,False,38.96
RNU6-239P,chr1,False,38.96
RPSAP17,chr1,False,38.69
RNU6-160P,chr1,False,38.69
NPR1,chr1,False,38.69
PCP4L1,chr1,False,38.69
AL356867.1,chr1,False,38.69
PGLYRP4,chr1,False,38.69
S100A9,chr1,False,38.69
AL138899.2,chr1,False,38.69
RNU6-106P,chr1,False,38.69
AL353072.1,chr1,False,38.69
AL353072.2,chr1,False,38.69
POU5F1P4,chr1,False,38.69
PRR9,chr1,False,38.69
AL356867.2,chr1,False,38.69
AL162591.1,chr1,False,38.69
AL392003.1,chr1,False,38.69
RN7SL372P,chr1,False,38.69
FCER1G,chr1,False,38.69
AL353807.4,chr1,False,38.69
RNU6-1297P,chr1,False,38.69
AL161636.2,chr1,False,38.69
AL353807.1,chr1,False,38.69
S100A12,chr1,False,38.69
AL732406.1,chr1,False,38.69
SPRR2D,chr1,False,38.69
MIR190B,chr1,False,38.69
LORICRIN,chr1,False,38.69
ASH1L-AS1,chr1,False,38.69
ASH1L-IT1,chr1,False,38.69
ASPM,chr1,False,38.69
ILF2,chr1,False,38.69
SPRR1B,chr1,False,38.69
C1orf189,chr1,False,38.69
C1orf43,chr1,False,38.69
SPRR2A,chr1,False,38.69
SPRR2B,chr1,False,38.69
CFHR4,chr1,False,38.69
CD1D,chr1,False,38.69
SPRR2E,chr1,False,38.69
SPRR2F,chr1,False,38.69
LCE3D,chr1,False,38.69
IL6R,chr1,False,38.69
APOA2,chr1,False,38.69
ELL2P1,chr1,False,38.69
UQCRBP2,chr1,False,38.69
AL596325.2,chr1,False,38.69
AL596325.1,chr1,False,38.69
MIR555,chr1,False,38.69
MNDA,chr1,False,38.69
YY1AP1,chr1,False,38.69
HAX1,chr1,False,38.69
MIR8083,chr1,False,38.69
UBAP2L,chr1,False,38.69
UAP1,chr1,False,38.69
DAP3P1,chr1,False,38.69
SNORA58B,chr1,False,38.69
F13B,chr1,False,38.69
SPRR5,chr1,False,38.42
ACKR1,chr1,False,38.42
SPRR4,chr1,False,38.42
RGS4,chr1,False,38.42
VDAC1P9,chr1,False,38.42
FCRL6,chr1,False,38.42
PIGM,chr1,False,38.42
SPTA1,chr1,False,38.42
AL121987.1,chr1,False,38.42
SYT11,chr1,False,38.42
TPM3,chr1,True,38.42
RGS5-AS1,chr1,False,38.42
RAD1P2,chr1,False,38.42
RAB13,chr1,False,38.42
RGS5,chr1,False,38.42
SEPTIN14P12,chr1,False,38.42
SPRR3,chr1,False,38.42
FCRL4,chr1,False,38.42
SCARNA4,chr1,False,38.42
S100A8,chr1,False,38.42
S100A7P1,chr1,False,38.42
S100A7L2,chr1,False,38.42
SMCP,chr1,False,38.42
S100A7A,chr1,False,38.42
S100A7,chr1,False,38.42
SMIM42,chr1,False,38.42
AL135929.1,chr1,False,38.42
S100A15A,chr1,False,38.42
SNAPIN,chr1,False,38.42
RPS7P2,chr1,False,38.42
RN7SL431P,chr1,False,38.42
RPS27,chr1,False,38.42
SNORA80E,chr1,False,38.42
AC027031.1,chr8,False,38.42
AC100858.2,chr8,False,38.42
SPRR1A,chr1,False,38.42
