Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,90.91
Metazoa_SRP,chr3,False,65.91
U6,chr4,False,54.55
U3,chr3,False,53.41
U8,chr3,False,51.14
AC104164.2,chr3,False,51.14
MIR548BB,chr3,False,51.14
NOS2P2,chr17,False,43.18
TNPO1P2,chr17,False,43.18
AC046158.3,chr16,False,43.18
LGALS9C,chr17,False,42.05
LCE3C,chr1,False,39.77
AC046158.2,chr16,False,39.77
AC092821.2,chr12,False,38.64
AC000032.1,chr1,False,37.5
FAM106A,chr17,False,37.5
CCDC144B,chr17,False,37.5
USP32P2,chr17,False,37.5
SRP68P2,chr17,False,37.5
AC046158.4,chr16,False,34.09
FAM242D,chr9,False,32.95
AL935212.3,chr9,False,31.82
OR52N1,chr11,False,31.82
OR52N5,chr11,False,30.68
BCAR1P2,chr15,False,29.55
TAS2R64P,chr12,False,29.55
AC023310.2,chr15,False,29.55
AC023310.4,chr15,False,29.55
IGHV1OR15-6,chr15,False,29.55
NBEAP1,chr15,False,29.55
AC131280.1,chr15,False,29.55
AC025884.1,chr15,False,29.55
IGHD5OR15-5B,chr15,False,28.41
LONRF2P4,chr15,False,28.41
AC037471.1,chr15,False,28.41
AC025884.2,chr15,False,28.41
SNORA70,chr5,False,28.41
IGHD4OR15-4B,chr15,False,28.41
HCP5B,chr6,False,28.41
IGHD3OR15-3B,chr15,False,28.41
IGHD2OR15-2B,chr15,False,28.41
IGHD1OR15-1B,chr15,False,28.41
SMAD4,chr18,True,28.41
LCE3B,chr1,False,28.41
GRAMD4P6,chr15,False,28.41
RNU6-1235P,chr15,False,28.41
CXADRP2,chr15,False,28.41
MIR3118-3,chr15,False,28.41
AC060814.3,chr15,False,28.41
POTEB3,chr15,False,28.41
FAM30C,chr15,False,28.41
AC068446.2,chr15,False,28.41
AC060814.4,chr15,False,28.41
AC060814.2,chr15,False,28.41
AC068446.1,chr15,False,28.41
AC060814.1,chr15,False,28.41
AC183088.2,chr15,False,27.27
OR11J7P,chr15,False,27.27
AC068473.2,chr18,False,27.27
NBEAP4,chr15,False,27.27
AC068473.1,chr18,False,27.27
AC183088.4,chr15,False,27.27
HSBP1L1,chr18,False,27.27
BMS1P16,chr15,False,27.27
AC183088.3,chr15,False,27.27
AC135068.1,chr15,False,27.27
AC068473.4,chr18,False,27.27
AC021594.2,chr18,False,27.27
AC021594.1,chr18,False,27.27
AC126335.2,chr15,False,27.27
AC126335.1,chr15,False,27.27
MIR3118-4,chr15,False,27.27
RNU6-631P,chr15,False,27.27
MIR5701-2,chr15,False,27.27
AC114341.1,chr18,False,27.27
MIR5701-3,chr15,False,27.27
CTDP1,chr18,False,27.27
AC068473.5,chr18,False,27.27
AC183088.1,chr15,False,27.27
NF1P9,chr15,False,27.27
LINC02203,chr15,False,27.27
AC135068.10,chr15,False,27.27
AC135068.11,chr15,False,27.27
AC135068.12,chr15,False,27.27
AC135068.2,chr15,False,27.27
