Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr11,False,92.88
Metazoa_SRP,chr11,False,86.38
U3,chr6,False,74.72
U6,chr20,False,65.15
U8,chr8,False,64.29
SNORA72,chr8,False,63.44
U4,chr1,False,62.09
SNORA70,chr17,False,55.95
U2,chr8,False,43.93
MYC,chr8,True,42.94
CASC11,chr8,False,42.82
AC108925.1,chr8,False,42.7
AC104370.1,chr8,False,42.58
CCAT2,chr8,False,42.33
PVT1,chr8,False,42.09
POU5F1B,chr8,False,42.09
AC018714.1,chr8,False,42.09
MIR1204,chr8,False,42.09
CASC8,chr8,False,41.84
AC018714.2,chr8,False,41.72
MIR1208,chr8,False,41.47
MIR1205,chr8,False,41.35
AC084123.1,chr8,False,41.35
TMEM75,chr8,False,41.35
RNVU1-32,chr8,False,41.23
AC103705.1,chr8,False,41.23
MIR1206,chr8,False,41.23
PRNCR1,chr8,False,41.23
RNU4-25P,chr8,False,41.23
MIR1207,chr8,False,41.1
CASC19,chr8,False,41.1
AC020688.1,chr8,False,41.1
5S_rRNA,chr19,False,41.1
AC024382.1,chr8,False,40.98
RN7SKP226,chr8,False,40.86
TRPS1,chr8,False,40.86
RNU11-4P,chr8,False,40.86
AC083923.1,chr8,False,40.74
AC084116.3,chr8,False,40.61
AC084116.2,chr8,False,40.61
AC084116.1,chr8,False,40.61
AC100822.1,chr8,False,40.61
RNU6-869P,chr8,False,40.61
LCE3C,chr1,False,40.49
PCAT1,chr8,False,40.49
LRATD2,chr8,False,40.49
RNA5SP276,chr8,False,40.49
LINC00536,chr8,False,40.37
AC087667.1,chr8,False,40.37
LINC00824,chr8,False,40.37
AC024681.2,chr8,False,40.37
SOD1P3,chr8,False,40.25
RFPL4AP5,chr8,False,40.25
KNOP1P5,chr8,False,40.25
AC024681.1,chr8,False,40.25
AC016074.2,chr8,False,40.12
AC016074.1,chr8,False,40.12
RNU6-442P,chr8,False,40.12
AC091114.1,chr8,False,40.12
NSMCE2,chr8,False,40.12
CARS1P2,chr8,False,40.12
LINC00861,chr8,False,40.12
RN7SL826P,chr8,False,40.0
TRIB1,chr8,False,40.0
AC084083.1,chr8,False,40.0
UTP23,chr8,False,40.0
AF178030.1,chr8,False,40.0
EIF3H,chr8,False,40.0
CCDC26,chr8,False,39.88
AARD,chr8,False,39.88
SLC30A8,chr8,False,39.88
RN7SL228P,chr8,False,39.75
WASHC5-AS1,chr8,False,39.75
AC027419.2,chr8,False,39.75
AC027419.1,chr8,False,39.75
AC135166.1,chr8,False,39.75
WASHC5,chr8,False,39.75
AC090994.1,chr8,False,39.75
RN7SL329P,chr8,False,39.75
FAM91A1,chr8,False,39.63
AC090192.1,chr8,False,39.63
ANXA13,chr8,False,39.63
AC090193.1,chr8,False,39.63
MIR4662A,chr8,False,39.63
MIR4662B,chr8,False,39.63
AC105177.1,chr8,False,39.63
MRS2P1,chr8,False,39.63
AC100858.2,chr8,False,39.63
AC084114.1,chr8,False,39.63
LINC00964,chr8,False,39.63
FER1L6,chr8,False,39.63
AC100858.1,chr8,False,39.51
AC090198.1,chr8,False,39.51
AC090192.2,chr8,False,39.51
AP002848.1,chr8,False,39.51
RN7SKP155,chr8,False,39.51
RNU6-756P,chr8,False,39.51
MED30,chr8,False,39.51
AC100858.3,chr8,False,39.51
RAD21-AS1,chr8,False,39.51
TATDN1,chr8,False,39.51
RNF139-AS1,chr8,False,39.51
TRMT12,chr8,False,39.51
AC090753.1,chr8,False,39.51
DUTP2,chr8,False,39.51
MIR3610,chr8,False,39.51
KLHL38,chr8,False,39.51
ARF1P3,chr8,False,39.39
FER1L6-AS1,chr8,False,39.39
AC100871.1,chr8,False,39.39
SQLE,chr8,False,39.39
MIR548AA1,chr8,False,39.39
NTAQ1,chr8,False,39.39
RPS10P16,chr8,False,39.39
RAD21,chr8,True,39.39
TMEM65,chr8,False,39.39
ZNF572,chr8,False,39.39
MIR548D1,chr8,False,39.39
RNF139,chr8,False,39.39
MIR6844,chr8,False,39.39
AC009908.1,chr8,False,39.39
AC018992.1,chr8,False,39.26
MTSS1,chr8,False,39.26
IMPDH1P6,chr8,False,39.26
RNU6-875P,chr8,False,39.26
AC100871.2,chr8,False,39.26
FER1L6-AS2,chr8,False,39.26
NDUFB9,chr8,False,39.26
AC090921.1,chr8,False,39.26
AC021733.1,chr8,False,39.26
AC064802.1,chr8,False,39.26
AC107953.2,chr8,False,39.26
MAL2,chr8,False,39.26
FBXO32,chr8,False,39.14
SAMD12-AS1,chr8,False,39.14
C8orf76,chr8,False,39.14
UBA52P5,chr8,False,39.14
MIR548AZ,chr8,False,39.14
MIR4663,chr8,False,39.14
ZHX1,chr8,False,39.14
RPS26P35,chr8,False,39.14
AP001207.3,chr8,False,39.14
AC012213.3,chr8,False,39.14
AC012213.2,chr8,False,39.14
AP001207.1,chr8,False,39.14
AC021733.2,chr8,False,39.14
MAL2-AS1,chr8,False,39.14
CCN3,chr8,False,39.14
ATAD2,chr8,False,39.14
AC023590.1,chr8,False,39.14
BAALC,chr8,False,39.14
AC025370.1,chr8,False,39.14
RNU6-628P,chr8,False,39.14
AC068228.1,chr8,False,39.02
AC068228.2,chr8,False,39.02
EXT1,chr8,True,39.02
PTMAP15,chr8,False,39.02
ENPP2,chr8,False,39.02
FAM83A-AS1,chr8,False,39.02
CYCSP23,chr8,False,39.02
FAM83A,chr8,False,39.02
ZHX1-C8orf76,chr8,False,39.02
MTND1P5,chr8,False,39.02
DCAF13,chr8,False,39.02
AP001207.2,chr8,False,39.02
AC012213.5,chr8,False,39.02
BAALC-AS2,chr8,False,39.02
FZD6,chr8,False,39.02
AC012213.1,chr8,False,39.02
AC012213.4,chr8,False,39.02
SLC25A32,chr8,False,39.02
SNTB1,chr8,False,39.02
RNU6-1011P,chr8,False,39.02
GRHL2,chr8,False,39.02
AP000424.2,chr8,False,38.9
MTCO2P4,chr8,False,38.9
AC007751.1,chr8,False,38.9
DUXAP2,chr8,False,38.9
AP003696.1,chr8,False,38.9
AZIN1,chr8,False,38.9
MRPL13,chr8,False,38.9
AC068228.3,chr8,False,38.9
MIR3151,chr8,False,38.9
AC107953.1,chr8,False,38.9
LINC01181,chr8,False,38.9
NACA4P,chr8,False,38.9
RNU6-12P,chr8,False,38.9
AC104958.2,chr8,False,38.9
RIMS2,chr8,False,38.9
AC021733.3,chr8,False,38.9
AP001208.1,chr8,False,38.9
CTHRC1,chr8,False,38.9
AP001330.1,chr8,False,38.9
COLEC10,chr8,False,38.9
AP001330.3,chr8,False,38.9
AP000424.1,chr8,False,38.9
NCAPGP1,chr8,False,38.9
MTCO1P4,chr8,False,38.9
BAALC-AS1,chr8,False,38.9
AC025881.1,chr8,False,38.9
SAMD12,chr8,False,38.9
AC090579.1,chr8,False,38.9
RN7SL563P,chr8,False,38.9
AC025370.2,chr8,False,38.9
GAPDHP62,chr8,False,38.9
RNU7-67P,chr8,False,38.9
ODF1,chr8,False,38.77
AC103833.2,chr8,False,38.77
AC104316.2,chr8,False,38.77
AC100872.2,chr8,False,38.77
AC104958.1,chr8,False,38.77
AC103833.1,chr8,False,38.77
MAILR,chr8,False,38.77
ADI1P2,chr8,False,38.77
HMGB1P19,chr8,False,38.77
AP001330.2,chr8,False,38.77
TAGLN2P1,chr8,False,38.77
DERL1,chr8,False,38.77
LINC02855,chr8,False,38.77
AP002852.1,chr8,False,38.77
ZHX2,chr8,False,38.77
CDK5P1,chr8,False,38.77
AC021733.4,chr8,False,38.77
GASAL1,chr8,False,38.77
SNX31,chr8,False,38.77
ATP6V1C1,chr8,False,38.77
TBC1D31,chr8,False,38.77
AP003354.1,chr8,False,38.77
LINC02844,chr8,False,38.77
AC016405.1,chr8,False,38.77
AC104316.1,chr8,False,38.77
RNU7-84P,chr8,False,38.77
AC016405.2,chr8,False,38.77
AP001330.4,chr8,False,38.77
MTBP,chr8,False,38.77
AP003550.1,chr8,False,38.77
RNU6-1224P,chr8,False,38.77
AC016405.3,chr8,False,38.77
AC068413.1,chr8,False,38.77
HAS2,chr8,False,38.77
AP001330.5,chr8,False,38.77
HAS2-AS1,chr8,False,38.77
