Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr20,False,85.6
Metazoa_SRP,chr20,False,78.4
U6,chr20,False,62.52
U3,chr1,False,53.36
MIR3646,chr20,False,52.21
PMEPA1,chr20,False,52.21
TTPAL,chr20,False,52.21
AL117382.2,chr20,False,52.21
ADA,chr20,False,52.21
SERINC3,chr20,False,52.21
NKILA,chr20,False,52.21
PKIG,chr20,False,52.21
ZBP1,chr20,False,52.21
RPL37AP1,chr20,False,52.21
LINC01620,chr20,False,52.21
HNF4A,chr20,False,52.21
HNF4A-AS1,chr20,False,52.21
AL035541.1,chr20,False,52.21
PCK1,chr20,False,52.21
CCN5,chr20,False,52.05
RNU6-639P,chr20,False,52.05
HMGB1P1,chr20,False,52.05
AL162291.1,chr20,False,52.05
FITM2,chr20,False,52.05
AL118522.1,chr20,False,52.05
AL354984.1,chr20,False,52.05
AL109955.1,chr20,False,52.05
SNRPFP1,chr20,False,52.05
LINC01260,chr20,False,52.05
RN7SL197P,chr20,False,52.05
R3HDML,chr20,False,52.05
LINC01728,chr20,False,52.05
LINC01742,chr20,False,52.05
AL035447.1,chr20,False,52.05
TOX2,chr20,False,52.05
RIMS4,chr20,False,52.05
CTCFL,chr20,False,52.05
AL139352.1,chr20,False,52.05
GDAP1L1,chr20,False,52.05
JPH2,chr20,False,52.05
OSER1-DT,chr20,False,52.05
KCNK15,chr20,False,52.05
OSER1,chr20,False,52.05
STK4,chr20,False,51.88
RBM38-AS1,chr20,False,51.88
AL117382.1,chr20,False,51.88
SEMG1,chr20,False,51.88
SEMG2,chr20,False,51.88
RBM38,chr20,False,51.88
WFDC12,chr20,False,51.88
AL035660.1,chr20,False,51.88
YWHAB,chr20,False,51.88
AL035660.2,chr20,False,51.88
PI3,chr20,False,51.88
RNU6-919P,chr20,False,51.88
AL049767.1,chr20,False,51.88
KCNS1,chr20,False,51.88
PGBD4P2,chr20,False,51.88
AL354984.2,chr20,False,51.88
STK4-AS1,chr20,False,51.88
TOMM34,chr20,False,51.88
WFDC5,chr20,False,51.88
MTND1P9,chr20,False,51.88
AL354984.3,chr20,False,51.88
MTRNR2L3,chr20,False,51.88
RN7SL443P,chr20,False,51.88
AL008725.1,chr20,False,51.88
MIR4325,chr20,False,51.72
SPO11,chr20,False,51.72
AL157414.3,chr20,False,51.72
RAE1,chr20,False,51.72
BMP7-AS1,chr20,False,51.72
SNAI1,chr20,False,51.72
ZNF217,chr20,True,51.72
FTLP1,chr20,False,51.72
AL157414.4,chr20,False,51.72
BMP7,chr20,False,51.72
AL122058.1,chr20,False,51.72
VAPB,chr20,False,51.72
AL157414.1,chr20,False,51.72
C20orf85,chr20,False,51.72
LINC00494,chr20,False,51.72
PPP4R1L,chr20,False,51.72
ANKRD60,chr20,False,51.72
PABPC1L,chr20,False,51.72
RPL39P39,chr20,False,51.72
AC005808.1,chr20,False,51.72
APCDD1L,chr20,False,51.72
AL137078.2,chr20,False,51.72
SLC9A8,chr20,False,51.72
AL137078.1,chr20,False,51.72
AL133342.1,chr20,False,51.55
NDUFB4P10,chr20,False,51.55
SYS1,chr20,False,51.55
RPL5P2,chr20,False,51.55
AL121888.1,chr20,False,51.55
GTSF1L,chr20,False,51.55
SDC4,chr20,True,51.55
MIR6812,chr20,False,51.55
PIGT,chr20,False,51.55
AL162615.1,chr20,False,51.55
SYS1-DBNDD2,chr20,False,51.55
RAB22A,chr20,False,51.55
DBNDD2,chr20,False,51.55
AL031663.2,chr20,False,51.55
RBPJL,chr20,False,51.55
MYBL2,chr20,False,51.55
SPINT3,chr20,False,51.55
AC006076.1,chr20,False,51.55
ARFGEF2,chr20,False,51.55
AL022342.1,chr20,False,51.55
AL021578.1,chr20,False,51.55
TP53TG5,chr20,False,51.55
RPL27AP,chr20,False,51.55
AL031663.3,chr20,False,51.55
RNF114,chr20,False,51.39
TRERNA1,chr20,False,51.39
AL031681.2,chr20,False,51.39
CTSZ,chr20,False,51.39
MIR3617,chr20,False,51.39
STX16,chr20,False,51.39
AL031663.1,chr20,False,51.39
RPS2P7,chr20,False,51.39
APCDD1L-DT,chr20,False,51.39
RNU6-743P,chr20,False,51.39
RN7SKP100,chr20,False,51.39
SNAP23P1,chr20,False,51.39
SPATA2,chr20,False,51.39
AL121888.2,chr20,False,51.39
CSE1L-AS1,chr20,False,51.39
AL021395.2,chr20,False,51.39
TNNC2,chr20,False,51.39
AL021395.1,chr20,False,51.39
AL160410.1,chr20,False,51.39
SGK2,chr20,False,51.39
PRELID3B,chr20,False,51.39
RNU6ATAC38P,chr20,False,51.39
AL050327.1,chr20,False,51.39
LINC01711,chr20,False,51.39
ATP5F1E,chr20,False,51.39
NELFCD,chr20,False,51.39
EIF4EBP2P1,chr20,False,51.39
AL049541.2,chr20,False,51.39
DNTTIP1,chr20,False,51.39
RNA5SP485,chr20,False,51.39
AL049541.1,chr20,False,51.39
EPPIN,chr20,False,51.39
EPPIN-WFDC6,chr20,False,51.39
B4GALT5,chr20,False,51.39
PPIAP21,chr20,False,51.39
SRSF6,chr20,False,51.39
MRPS16P2,chr20,False,51.39
SNX21,chr20,False,51.39
AL035250.2,chr20,False,51.39
AL109840.1,chr20,False,51.39
AL035250.1,chr20,False,51.39
AL109840.2,chr20,False,51.39
SUMO1P1,chr20,False,51.39
SLPI,chr20,False,51.39
RNU6-1251P,chr20,False,51.39
MATN4,chr20,False,51.39
WFDC11,chr20,False,51.39
STX16-NPEPL1,chr20,False,51.39
CSE1L,chr20,False,51.39
AL132655.7,chr20,False,51.39
MIR296,chr20,False,51.39
HSPD1P21,chr20,False,51.39
Z98752.4,chr20,False,51.39
AL132655.4,chr20,False,51.39
Z98752.3,chr20,False,51.39
L3MBTL1,chr20,False,51.39
Z98752.2,chr20,False,51.39
AL132655.5,chr20,False,51.39
AL132655.6,chr20,False,51.39
ACOT8,chr20,False,51.39
AL132655.2,chr20,False,51.39
AL157414.2,chr20,False,51.39
TUBB1,chr20,False,51.39
ZNF831,chr20,False,51.39
WFDC10A,chr20,False,51.39
AC005914.1,chr20,False,51.39
CCNB1IP1P2,chr20,False,51.39
AL391097.1,chr20,False,51.39
AL391097.2,chr20,False,51.39
AL391097.3,chr20,False,51.39
AL132655.3,chr20,False,51.39
Z98752.1,chr20,False,51.39
AL132655.1,chr20,False,51.39
RN7SL666P,chr20,False,51.39
WFDC13,chr20,False,51.39
WFDC10B,chr20,False,51.39
WFDC6,chr20,False,51.39
WFDC8,chr20,False,51.39
MIR298,chr20,False,51.39
WFDC9,chr20,False,51.39
GNAS,chr20,True,51.39
GNAS-AS1,chr20,False,51.39
AL121917.1,chr20,False,51.39
AL157838.1,chr20,False,51.39
IFT52,chr20,False,51.39
AL121917.2,chr20,False,51.39
AL139349.1,chr20,False,51.39
LINC01271,chr20,False,51.23
LINC01522,chr20,False,51.23
AL034418.1,chr20,False,51.23
AL354813.1,chr20,False,51.23
UBE2C,chr20,False,51.23
RNU6-147P,chr20,False,51.23
LINC01523,chr20,False,51.23
PHACTR3-AS1,chr20,False,51.23
NCOA5,chr20,False,51.23
EDN3,chr20,False,51.23
AL008726.1,chr20,False,51.23
WFDC2,chr20,False,51.23
NEURL2,chr20,False,51.23
AL031681.1,chr20,False,51.23
AL354993.1,chr20,False,51.23
AL357558.3,chr20,False,51.23
AL136102.1,chr20,False,51.23
AL035106.1,chr20,False,51.23
MMP9,chr20,False,51.23
UBE2V1,chr20,False,51.23
AL389889.2,chr20,False,51.23
ZSWIM1,chr20,False,51.23
AL031666.2,chr20,False,51.23
KRT18P4,chr20,False,51.23
CTSA,chr20,False,51.23
AL389889.1,chr20,False,51.23
RPL13P2,chr20,False,51.23
PEDS1-UBE2V1,chr20,False,51.23
PEDS1,chr20,False,51.23
RN7SKP184,chr20,False,51.23
ZSWIM3,chr20,False,51.23
PHACTR3,chr20,False,51.23
BCAS1,chr20,False,51.23
SPATA25,chr20,False,51.23
AL109930.1,chr20,False,51.23
SULF2,chr20,False,51.23
LINC01270,chr20,False,51.23
RNU7-173P,chr20,False,51.23
NPEPL1,chr20,False,51.23
ZMYND8,chr20,False,51.23
SLC12A5-AS1,chr20,False,51.23
STAU1,chr20,False,51.23
MIR3616,chr20,False,51.23
CDH22,chr20,False,51.23
AL121776.1,chr20,False,51.23
RNU7-144P,chr20,False,51.23
GAPDHP54,chr20,False,51.23
PREX1,chr20,False,51.23
AL133232.1,chr20,False,51.23
PIEZO1P2,chr20,False,51.23
CD40,chr20,False,51.23
PPIAP10,chr20,False,51.23
PIEZO1P1,chr20,False,51.23
KCNK15-AS1,chr20,False,51.23
C20orf197,chr20,False,51.06
SLC12A5,chr20,False,51.06
PCIF1,chr20,False,51.06
CEBPB,chr20,False,51.06
RNU6-497P,chr20,False,51.06
AC005220.1,chr20,False,51.06
AL354993.2,chr20,False,51.06
ARPC3P1,chr20,False,51.06
PLTP,chr20,False,51.06
AL121902.1,chr20,False,51.06
RPL36P1,chr20,False,51.06
CEBPB-AS1,chr20,False,51.06
PPP1R3D,chr20,False,51.06
AL357558.1,chr20,False,51.06
SLC35C2,chr20,False,51.06
AL031666.3,chr20,False,51.06
RN7SKP33,chr20,False,51.06
AL031666.1,chr20,False,51.06
MIR646HG,chr20,False,51.06
CDH26,chr20,False,51.06
RN7SL636P,chr20,False,51.06
AL139351.1,chr20,False,51.06
RIPOR3-AS1,chr20,False,51.06
AL139351.2,chr20,False,51.06
AL139351.3,chr20,False,51.06
AL162458.1,chr20,False,51.06
ELMO2,chr20,False,51.06
ZNF335,chr20,False,51.06
NCOA3,chr20,True,51.06
PTPRT-AS1,chr20,False,51.06
RNU6-563P,chr20,False,51.06
AL354766.2,chr20,False,51.06
RPL35AP,chr20,False,51.06
PTGIS,chr20,False,51.06
AL354766.1,chr20,False,51.06
SRMP1,chr20,False,51.06
EYA2,chr20,False,51.06
LINC01754,chr20,False,51.06
RPL36P2,chr20,False,51.06
AL133227.1,chr20,False,51.06
PELATON,chr20,False,51.06
FAM217B,chr20,False,51.06
MIR1302-5,chr20,False,51.06
AL132822.1,chr20,False,51.06
RNA5SP486,chr20,False,51.06
WFDC3,chr20,False,50.9
SNORD12,chr20,False,50.9
SYCP2,chr20,False,50.9
AL035685.1,chr20,False,50.9
DDX27,chr20,False,50.9
CYP24A1,chr20,False,50.9
ZFAS1,chr20,False,50.9
AL133335.2,chr20,False,50.9
