Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr1,False,71.72
Metazoa_SRP,chr5,False,49.66
AC000032.1,chr1,False,37.24
TRGV10,chr7,False,36.9
TRGV11,chr7,False,36.9
TRGVB,chr7,False,36.9
AC006033.1,chr7,False,35.86
TRGJP,chr7,False,35.86
TRGJP1,chr7,False,35.86
TRGV9,chr7,False,35.17
U3,chr3,False,34.83
KRTAP9-11P,chr17,False,34.48
TRGC1,chr7,False,34.14
TRGJP2,chr7,False,34.14
TRGJ1,chr7,False,33.79
TRGV7,chr7,False,33.1
TRGV8,chr7,False,33.1
TRGVA,chr7,False,32.76
AC006033.2,chr7,False,32.76
AL049634.3,chr20,False,32.07
TRG-AS1,chr7,False,31.72
TRBVA,chr7,False,31.72
TRGV6,chr7,False,31.72
MTRNR2L6,chr7,False,31.72
TRBV25-1,chr7,False,31.72
TRBV26,chr7,False,31.38
TRBVB,chr7,False,31.38
AC005829.2,chr17,False,31.38
AC005829.1,chr17,False,31.38
TRBV28,chr7,False,31.38
PGBD4P1,chr7,False,31.38
TRBV27,chr7,False,31.38
KANSL1-AS1,chr17,False,31.38
TRBV24-1,chr7,False,31.38
MAPK8IP1P1,chr17,False,31.03
AC244472.1,chr7,False,31.03
TRBV21-1,chr7,False,30.69
TRBV22-1,chr7,False,30.69
TRBV20-1,chr7,False,30.34
TRGV5P,chr7,False,30.34
TRBV23-1,chr7,False,30.34
TRBV12-5,chr7,False,30.0
TRBV15,chr7,False,29.66
TRBV12-4,chr7,False,29.66
TRBV14,chr7,False,29.66
TRBV11-3,chr7,False,29.66
TRBV16,chr7,False,29.66
TRGJ2,chr7,False,29.66
TRBV17,chr7,False,29.66
TRBV18,chr7,False,29.66
TRBV19,chr7,False,29.66
TRBV12-3,chr7,False,29.66
TRBV29-1,chr7,False,29.66
ARL17B,chr17,False,29.66
5S_rRNA,chr7,False,28.97
PRSS3P1,chr7,False,28.97
PRSS2,chr7,False,28.97
PRSS1,chr7,False,28.97
TRBV7-9,chr7,False,28.62
TRBV13,chr7,False,28.62
TRBV10-3,chr7,False,28.62
WBP1LP1,chr7,False,28.62
TRBV5-7,chr7,False,28.28
HLA-DRB5,chr6,False,28.28
TRBV7-7,chr7,False,27.93
AC140125.1,chr5,False,27.59
AC243829.2,chr17,False,26.9
AC002383.1,chr7,False,26.9
TRBV5-6,chr7,False,26.9
OR2A7,chr7,False,26.9
TRBV6-8,chr7,False,26.9
RNU6-274P,chr7,False,26.9
TRGV5,chr7,False,26.9
TRGV4,chr7,False,26.9
ADAM3A,chr8,False,26.55
TRBV7-6,chr7,False,26.55
OR2A42,chr7,False,26.55
TRBV5-5,chr7,False,26.21
TRBV6-7,chr7,False,26.21
TRBV7-5,chr7,False,26.21
OR2A1-AS1,chr7,False,26.21
AC074386.1,chr7,False,25.86
STEAP2-AS1,chr7,False,25.86
TRBV5-4,chr7,False,25.86
TEX47,chr7,False,25.86
OR2A20P,chr7,False,25.86
ZNF804B,chr7,False,25.86
TRBV7-4,chr7,False,25.86
TRBV6-5,chr7,False,25.86
TRBV6-6,chr7,False,25.86
NOS2P2,chr17,False,25.52
LGALS9C,chr17,False,25.52
AC002127.1,chr7,False,25.52
EEF1A1P28,chr7,False,25.52
TRBV12-1,chr7,False,25.17
PQLC1P1,chr7,False,25.17
TRBV11-2,chr7,False,25.17
TRBJ2-5,chr7,False,24.83
TRBJ2-4,chr7,False,24.83
TRBJ2-3,chr7,False,24.83
TRBJ1-3,chr7,False,24.83
TRBJ1-4,chr7,False,24.83
AC092821.2,chr12,False,24.83
TRBJ2-7,chr7,False,24.83
AC123767.1,chr8,False,24.83
SNORA63,chr7,False,24.83
TRBJ1-5,chr7,False,24.83
TRBJ1-6,chr7,False,24.83
TRBJ2-2P,chr7,False,24.83
TRBJ2-2,chr7,False,24.83
TRBJ2-6,chr7,False,24.83
TRBV10-1,chr7,False,24.83
TRBV6-4,chr7,False,24.83
TRBV10-2,chr7,False,24.83
TRBV9,chr7,False,24.83
TRBV8-2,chr7,False,24.83
TRBJ1-2,chr7,False,24.83
TRBV11-1,chr7,False,24.83
TRBJ1-1,chr7,False,24.83
TRBV12-2,chr7,False,24.83
TRBD1,chr7,False,24.83
TRBV7-3,chr7,False,24.83
TRBC2,chr7,False,24.83
TRBC1,chr7,False,24.83
TRBV5-3,chr7,False,24.83
TRBJ2-1,chr7,False,24.83
STEAP2,chr7,False,24.48
OR2A1,chr7,False,24.48
DPY19L2P4,chr7,False,24.48
TRGC2,chr7,False,24.48
AC004969.1,chr7,False,24.48
STEAP1,chr7,False,24.48
RNU1-61P,chr6,False,24.14
TNPO1P2,chr17,False,24.14
CTAGE15,chr7,False,24.14
TCAF1P1,chr7,False,24.14
RNU6-162P,chr7,False,24.14
AC073264.1,chr7,False,24.14
AC073264.2,chr7,False,24.14
PAICSP5,chr7,False,24.14
AC004852.1,chr7,False,23.79
OR2A9P,chr7,False,23.79
AC004852.2,chr7,False,23.79
TRBV5-2,chr7,False,23.79
CTAGE8,chr7,False,23.79
AC007003.1,chr7,False,23.79
U6,chr15,False,23.79
HLA-DRB6,chr6,False,23.79
ARHGEF34P,chr7,False,23.79
AC006972.1,chr7,False,23.79
KPNA2P2,chr7,False,23.45
AC004852.3,chr7,False,23.45
AC009500.1,chr7,False,23.45
TRGV2,chr7,False,23.45
TRBV8-1,chr7,False,23.45
MGAM2,chr7,False,23.45
AC147055.2,chr4,False,23.1
RN7SL301P,chr17,False,23.1
TRBV4-2,chr7,False,23.1
TRBV7-2,chr7,False,23.1
UGT2B17,chr4,False,23.1
TRBV6-2,chr7,False,23.1
AC147055.4,chr4,False,23.1
LRGUK,chr7,False,23.1
AC003989.2,chr7,False,22.76
TRBV4-1,chr7,False,22.76
TRBV5-1,chr7,False,22.76
TRBV6-1,chr7,False,22.76
TRBV7-1,chr7,False,22.76
AC004936.1,chr7,False,22.41
SNORD81,chr7,False,22.41
TRGV1,chr7,False,22.41
AC003986.1,chr7,False,22.41
POLR2DP2,chr7,False,22.41
AC003989.1,chr7,False,22.41
AC010991.1,chr7,False,22.41
FERD3L,chr7,False,22.41
MOXD2P,chr7,False,22.41
NXPH1,chr7,False,22.41
TRY2P,chr7,False,22.41
HLA-DRB1,chr6,False,22.41
TRBV3-1,chr7,False,22.41
AC093714.1,chr7,False,22.07
SNORA25B,chr7,False,22.07
AC007091.1,chr7,False,22.07
AC007128.2,chr7,False,22.07
AC003986.3,chr7,False,22.07
AC003986.2,chr7,False,22.07
AC004879.1,chr7,False,22.07
COMETT,chr7,False,22.07
AC073326.2,chr7,False,22.07
SNORA70,chr16,False,22.07
AC092590.1,chr7,False,22.07
AC073130.1,chr7,False,22.07
AC245088.1,chr7,False,22.07
MIR6132,chr7,False,22.07
RNA5SP239,chr7,False,22.07
ST7,chr7,False,22.07
ST7-AS1,chr7,False,22.07
ST7-AS2,chr7,False,22.07
ST7-OT4,chr7,False,22.07
AC073130.2,chr7,False,22.07
RPL3P8,chr7,False,22.07
TPM3P1,chr7,False,22.07
AC106873.6,chr7,False,22.07
LINC02476,chr7,False,22.07
AC106873.1,chr7,False,22.07
AC106873.2,chr7,False,22.07
AC106873.3,chr7,False,22.07
AC106873.4,chr7,False,22.07
AC106873.5,chr7,False,22.07
AC093714.2,chr7,False,22.07
IMMP2L,chr7,False,22.07
AC106873.7,chr7,False,22.07
AC006159.1,chr7,False,22.07
TRBV1,chr7,False,22.07
AC006363.1,chr7,False,22.07
PRSS58,chr7,False,22.07
PRSS3P3,chr7,False,22.07
CAV1,chr7,False,22.07
CAPZA2,chr7,False,22.07
AC006159.2,chr7,False,22.07
MET,chr7,True,22.07
AC106873.8,chr7,False,22.07
TRBV2,chr7,False,22.07
TES,chr7,False,22.07
AC002543.1,chr7,False,22.07
TFEC,chr7,False,22.07
TWIST1,chr7,False,22.07
EIF3IP1,chr7,False,22.07
AC002066.1,chr7,False,22.07
AC002542.2,chr7,False,22.07
AC002542.6,chr7,False,22.07
AC073130.3,chr7,False,22.07
OR6V1,chr7,False,21.72
RAC1P6,chr7,False,21.72
ANKRD49P4,chr7,False,21.72
MTCYBP6,chr7,False,21.72
MTCYBP24,chr7,False,21.72
FEZF1-AS1,chr7,False,21.72
LLCFC1,chr7,False,21.72
AC005192.1,chr7,False,21.72
NPM1P13,chr7,False,21.72
LSM8,chr7,False,21.72
LSMEM1,chr7,False,21.72
AC006463.1,chr7,False,21.72
FEZF1,chr7,False,21.72
LYPLA1P1,chr7,False,21.72
WNT16,chr7,False,21.72
RNU6-517P,chr7,False,21.72
AC074085.2,chr7,False,21.72
NPM1P14,chr7,False,21.72
AC073114.2,chr7,False,21.72
OR6W1P,chr7,False,21.72
TRPV5,chr7,False,21.72
AC006364.1,chr7,False,21.72
TCAF2P1,chr7,False,21.72
AC004986.1,chr7,False,21.72
AC079741.1,chr7,False,21.72
AC006326.1,chr7,False,21.72
ANKRD7,chr7,False,21.72
KEL,chr7,True,21.72
AC000061.1,chr7,False,21.72
MTND4P6,chr7,False,21.72
RNA5SP240,chr7,False,21.72
MTND6P24,chr7,False,21.72
MTND5P8,chr7,False,21.72
AC007128.1,chr7,False,21.72
HSPA8P8,chr7,False,21.72
RNF133,chr7,False,21.72
RNF148,chr7,False,21.72
AC004594.1,chr7,False,21.72
UGT2B29P,chr4,False,21.72
CPED1,chr7,False,21.72
IFRD1,chr7,False,21.72
AC019117.2,chr7,False,21.72
CYCSP19,chr7,False,21.72
AC019117.3,chr7,False,21.72
ING3,chr7,False,21.72
CFTR-AS1,chr7,False,21.72
AC007009.1,chr7,False,21.72
TRBV30,chr7,False,21.72
ASZ1,chr7,False,21.72
AC074085.1,chr7,False,21.72
CFTR,chr7,False,21.72
CFAP69,chr7,False,21.72
CTTNBP2,chr7,False,21.72
WNT2,chr7,False,21.72
AC002465.1,chr7,False,21.72
TRPV6,chr7,False,21.72
AC245427.2,chr7,False,21.72
TAS2R16,chr7,False,21.72
POMZP3,chr7,False,21.72
MGC4859,chr7,False,21.72
AC004888.1,chr7,False,21.72
RPS26P31,chr7,False,21.72
AC245427.1,chr7,False,21.72
AC002542.4,chr7,False,21.72
AC002542.3,chr7,False,21.72
BRWD1P3,chr7,False,21.72
AC002542.5,chr7,False,21.72
AC009945.1,chr7,False,21.72
AC060834.1,chr7,False,21.72
EPHB6,chr7,False,21.72
AC002542.1,chr7,False,21.72
TSPAN12,chr7,False,21.72
FAM3C,chr7,False,21.72
AC003975.1,chr7,False,21.72
AC007568.1,chr7,False,21.72
CADPS2,chr7,False,21.72
AC000111.2,chr7,False,21.72
OR9P1P,chr7,False,21.72
AC079741.2,chr7,False,21.72
AC004980.2,chr7,False,21.72
OR9A2,chr7,False,21.72
AC000111.1,chr7,False,21.72
AC003084.1,chr7,False,21.72
RNU1-29P,chr7,False,21.38
SLC35B4,chr7,False,21.38
SLC13A1,chr7,False,21.38
AC073626.2,chr7,False,21.38
SMIM30,chr7,False,21.38
GPR85,chr7,False,21.38
AC073326.1,chr7,False,21.38
AC073323.1,chr7,False,21.38
AC073342.1,chr7,False,21.38
AC073348.2,chr7,False,21.38
TMEM139,chr7,False,21.38
AC004930.1,chr7,False,21.38
AC004946.2,chr7,False,21.38
RNA5SP241,chr7,False,21.38
EPHA1-AS1,chr7,False,21.38
AC073137.1,chr7,False,21.38
GSTK1,chr7,False,21.38
AC079791.1,chr7,False,21.38
AC073348.1,chr7,False,21.38
AC073626.1,chr7,False,21.38
COX5BP3,chr7,False,21.38
ZNF277,chr7,False,21.38
SSU72P8,chr7,False,21.38
GTF3AP6,chr7,False,21.38
DGKI,chr7,False,21.38
AC009276.1,chr7,False,21.38
AC073346.2,chr7,False,21.38
RNU6-296P,chr7,False,21.38
AC073311.1,chr7,False,21.38
AC009517.1,chr7,False,21.38
AC005521.1,chr7,False,21.38
TAS2R40,chr7,False,21.38
AC006148.2,chr7,False,21.38
RNU6-581P,chr7,False,21.38
ZYX,chr7,False,21.38
TAS2R41,chr7,False,21.38
TAS2R60,chr7,False,21.38
TCAF2C,chr7,False,21.38
TCAF2,chr7,False,21.38
AC078842.1,chr7,False,21.38
TAS2R62P,chr7,False,21.38
RNU7-154P,chr7,False,21.38
FAM131B,chr7,False,21.38
AC006020.1,chr7,False,21.38
AC073264.3,chr7,False,21.38
AC073342.2,chr7,False,21.38
AC006482.1,chr7,False,21.38
AC009245.1,chr7,False,21.38
AC009275.1,chr7,False,21.38
AC010099.2,chr7,False,21.38
AC092098.1,chr7,False,21.38
AC010099.1,chr7,False,21.38
AASS,chr7,False,21.38
FOXP2,chr7,False,21.38
RPS3AP27,chr7,False,21.38
AC073346.1,chr7,False,21.38
EPHA1,chr7,False,21.38
AC078842.2,chr7,False,21.38
AC093673.2,chr7,False,21.38
TAS2R39,chr7,False,21.38
AC004875.1,chr7,False,21.38
AC093673.1,chr7,False,21.38
AC004946.1,chr7,False,21.38
ASB15,chr7,False,21.38
AC003992.1,chr7,False,21.38
TRGV3,chr7,False,21.38
CALD1,chr7,False,21.38
HINT1P1,chr7,False,21.38
PPIAP93,chr7,False,21.38
MDFIC,chr7,False,21.38
PPP1R3A,chr7,False,21.38
CASP2,chr7,False,21.38
PTN,chr7,False,21.38
PTPRZ1,chr7,False,21.38
AC004112.1,chr7,False,21.38
RN7SKP187,chr7,False,21.38
AC015983.1,chr7,False,21.38
AC015983.2,chr7,False,21.38
LRRN3,chr7,False,21.38
LMOD2,chr7,False,21.38
RN7SKP277,chr7,False,21.38
LINC01393,chr7,False,21.38
WASL,chr7,False,21.38
POLR1F,chr7,False,21.38
MIR3146,chr7,False,21.38
LINC01392,chr7,False,21.38
MIR3666,chr7,False,21.38
ASB15-AS1,chr7,False,21.38
AC008154.2,chr7,False,21.38
