Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
MIR34B,80.03,91.95,80.03
TWIST1,62.99,91.95,62.99
SLC16A12,61.85,94.25,61.85
WDR17,59.58,95.4,59.58
SNX32,55.03,81.61,55.03
GATA4,52.76,88.51,52.76
GALR1,50.32,93.1,50.32
NPR3,49.84,93.1,49.84
LRRC4,49.51,98.85,49.51
SOX5,48.05,100.0,48.05
ELMO1,47.4,88.51,47.4
ADAMTS3,43.99,100.0,43.99
SPG20,43.83,98.85,43.83
PLCB1,42.37,100.0,42.37
SLC6A1,41.72,97.7,41.72
BEND5,41.07,100.0,41.07
EPHA7,39.94,100.0,39.94
ZNF304,39.61,90.8,39.61
SLC8A3,39.45,100.0,39.45
SDC2,39.29,100.0,39.29
RERG,38.8,80.46,38.8
ELOVL4,37.34,97.7,37.34
PAK7,37.18,91.95,37.18
JAKMIP1,36.85,96.55,36.85
FAM20A,35.71,98.85,35.71
NPAS1,35.23,100.0,35.23
SNCA,35.06,80.46,35.06
MME,34.9,98.85,34.9
B3GALNT1,34.25,97.7,34.25
EHD3,33.6,96.55,33.6
GRIN2A,33.44,82.76,33.44
NDRG4,32.79,100.0,32.79
EPO,32.14,97.7,32.14
JPH3,31.66,81.61,31.66
DFNA5,31.49,100.0,31.49
SLC22A17,30.52,100.0,30.52
PRR16,30.03,100.0,30.03
TMEM121,28.08,91.95,28.08
HIST1H2BB,27.76,82.76,27.76
KCNK9,27.76,97.7,27.76
GFRA3,25.49,98.85,25.49
PCDHGC3,25.32,100.0,25.32
ZNF365,25.0,100.0,25.0
ERBB4,25.0,98.85,25.0
ZNF569,24.51,100.0,24.51
PROK2,24.03,98.85,24.03
WNT7A,23.38,95.4,23.38
PHF21B,22.73,88.51,22.73
ADAM23,20.45,100.0,20.45
MGMT,19.97,93.1,19.97
SPDYA,18.99,98.85,18.99
HIF3A,18.51,100.0,18.51
ZNF570,17.86,100.0,17.86
LOC283856,16.23,100.0,16.23
NELL2,16.07,100.0,16.07
CPXM1,16.07,97.7,16.07
RET,15.58,98.85,15.58
GABRB2,15.26,100.0,15.26
CACNG2,12.99,100.0,12.99
GRIN3A,12.66,96.55,12.66
ZNF345,12.5,95.4,12.5
KCNS3,12.01,100.0,12.01
MLH1,11.69,80.46,11.69
KCNC1,11.36,100.0,11.36
BMPER,10.88,98.85,10.88
PRKG1,10.71,98.85,10.71
SNAI2,10.39,98.85,10.39
ATRNL1,10.06,100.0,10.06
MIR1908,9.74,98.85,9.74
RNF182,9.58,100.0,9.58
FNBP1,9.25,100.0,9.25
ZBTB16,7.47,100.0,7.47
HAAO,6.17,98.85,6.17
LOC100130148,6.17,100.0,6.17
RBM24,4.55,98.85,4.55
TSPAN2,3.9,100.0,3.9
HIST1H3J,2.11,83.91,2.11
KCNQ3,1.95,100.0,1.95
MT1E,1.46,100.0,1.46
FKBP11,1.14,100.0,1.14
GSTP1,0.81,100.0,0.81
LOXL3,0.32,100.0,0.32
ME3,0.16,100.0,0.16
CRHR2,59.25,66.67,0.0
TNFRSF10D,0.0,100.0,0.0
RPL39L,50.97,55.17,0.0
SLITRK5,71.43,79.31,0.0
CHCHD5,5.03,79.31,0.0
FOXE1,63.96,64.37,0.0
ST6GALNAC5,85.88,41.38,0.0
NETO1,52.11,37.93,0.0
ZNF542,85.39,34.48,0.0
UQCRH,0.0,98.85,0.0
VAV3,39.45,70.11,0.0
PTPN13,3.57,51.72,0.0
DLK1,38.96,49.43,0.0
GFRA1,62.99,58.62,0.0
SFRP5,8.28,66.67,0.0
FUT9,47.73,26.44,0.0
KCNT2,45.45,31.03,0.0
SORCS3,44.48,29.89,0.0
AOX1,34.58,42.53,0.0
PCDH17,62.34,25.29,0.0
CUX2,63.15,10.34,0.0
HIST1H4D,0.0,100.0,0.0
SLC30A2,22.08,78.16,0.0
IRX4,55.03,78.16,0.0
SCNN1B,55.68,63.22,0.0
TMEM101,0.0,100.0,0.0
DTX1,78.25,16.09,0.0
