Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr10,False,98.18
Metazoa_SRP,chr10,False,94.55
U3,chr21,False,81.82
U8,chr1,False,80.0
U6,chr20,False,72.73
U4,chr5,False,70.91
SNORA70,chr4,False,70.91
SNORA72,chr1,False,70.91
U2,chr3,False,56.36
SNORA63,chr3,False,56.36
MYC,chr8,True,52.73
MIR1204,chr8,False,52.73
PVT1,chr8,False,52.73
CASC11,chr8,False,50.91
AC108925.1,chr8,False,50.91
MIR1205,chr8,False,50.91
AC084123.1,chr8,False,50.91
TMEM75,chr8,False,50.91
ABALON,chr20,False,49.09
BCL2L1-AS1,chr20,False,49.09
BCL2L1,chr20,True,49.09
MIR1206,chr8,False,47.27
URI1,chr19,False,47.27
AL354766.1,chr20,False,47.27
AC103705.1,chr8,False,47.27
TAF9P3,chr19,False,47.27
AC104370.1,chr8,False,47.27
MIR1207,chr8,False,47.27
AC008798.1,chr19,False,47.27
AC008798.2,chr19,False,47.27
5S_rRNA,chr6,False,47.27
AC008507.5,chr19,False,47.27
RPL9P32,chr19,False,47.27
COX4I2,chr20,False,47.27
RNU4-25P,chr8,False,47.27
CCNE1,chr19,True,47.27
AC008507.4,chr19,False,47.27
RNVU1-32,chr8,False,47.27
RN7SKP33,chr20,False,47.27
PPIAP58,chr19,False,47.27
TPX2,chr20,False,47.27
AC008507.1,chr19,False,47.27
AC008507.2,chr19,False,47.27
AC008507.3,chr19,False,47.27
POP4,chr19,False,45.45
AC005597.1,chr19,False,45.45
HM13-IT1,chr20,False,45.45
HM13-AS1,chr20,False,45.45
HM13,chr20,False,45.45
EEF1A2,chr20,False,45.45
KCNQ2-AS1,chr20,False,45.45
FNDC11,chr20,False,45.45
HELZ2,chr20,False,45.45
ZNF536,chr19,False,45.45
VSTM2B,chr19,False,45.45
AC005808.1,chr20,False,45.45
AC008798.3,chr19,False,45.45
PLEKHF1,chr19,False,45.45
PPDPF,chr20,False,45.45
MIR3193,chr20,False,45.45
SRMS,chr20,False,45.45
PTK6,chr20,False,45.45
EYA2,chr20,False,45.45
AL353658.1,chr20,False,45.45
AL157838.1,chr20,False,45.45
ZNF217,chr20,True,45.45
AL121829.1,chr20,False,45.45
AL110115.2,chr20,False,45.45
AL110115.1,chr20,False,45.45
RNU6-384P,chr20,False,45.45
AC011505.1,chr19,False,45.45
KCNQ2,chr20,False,45.45
AC011474.2,chr19,False,45.45
AL354766.2,chr20,False,45.45
AC011474.4,chr19,False,45.45
MCTS2P,chr20,False,45.45
AC011504.1,chr19,False,45.45
AC011474.3,chr19,False,45.45
AL121829.2,chr20,False,45.45
ID1,chr20,False,45.45
LSM14B,chr20,False,43.64
AL357033.1,chr20,False,43.64
AP005717.2,chr8,False,43.64
AL354836.1,chr20,False,43.64
RNU7-14P,chr20,False,43.64
TAF2,chr8,False,43.64
AC100822.1,chr8,False,43.64
RNU6-994P,chr20,False,43.64
RBBP8NL,chr20,False,43.64
MIR3195,chr20,False,43.64
AC018714.1,chr8,False,43.64
AL137077.2,chr20,False,43.64
AL137077.1,chr20,False,43.64
MTG2,chr20,False,43.64
GAPDHP54,chr20,False,43.64
AC092954.2,chr3,False,43.64
LINC00824,chr8,False,43.64
MIR4326,chr20,False,43.64
BX640514.1,chr20,False,43.64
BX640514.2,chr20,False,43.64
PSMA7,chr20,False,43.64
AL133520.1,chr20,False,43.64
C19orf12,chr19,False,43.64
AC011474.1,chr19,False,43.64
AP005717.1,chr8,False,43.64
AC007786.1,chr19,False,43.64
PLAG1,chr8,True,43.64
AC007786.2,chr19,False,43.64
SS18L1,chr20,False,43.64
RTEL1-TNFRSF6B,chr20,False,43.64
MIR1208,chr8,False,43.64
MIR1-1HG-AS1,chr20,False,43.64
RN7SKP153,chr8,False,43.64
MIR1-1HG,chr20,False,43.64
RPS21,chr20,False,43.64
MIR1-1,chr20,False,43.64
AL499627.2,chr20,False,43.64
AL499627.1,chr20,False,43.64
LINC01754,chr20,False,43.64
AL450469.2,chr20,False,43.64
RPL7P3,chr20,False,43.64
MIR133A2,chr20,False,43.64
AL450469.1,chr20,False,43.64
STMN3,chr20,False,43.64
UQCRFS1,chr19,False,43.64
RN7SKP226,chr8,False,43.64
LINC01532,chr19,False,43.64
MHENCR,chr20,False,43.64
AL031055.1,chr20,False,43.64
AC007786.4,chr19,False,43.64
AC007786.3,chr19,False,43.64
CABLES2,chr20,False,43.64
AC092954.1,chr3,False,43.64
SLC2A10,chr20,False,43.64
TP53RK,chr20,False,43.64
LAMA5,chr20,False,43.64
REM1,chr20,False,43.64
COL20A1,chr20,False,43.64
CASC19,chr8,False,43.64
XKR7,chr20,False,43.64
RN7SL396P,chr8,False,43.64
AC020688.1,chr8,False,43.64
AC021945.1,chr8,False,43.64
MIR4758,chr20,False,43.64
POU5F1B,chr8,False,43.64
PRNCR1,chr8,False,43.64
SLCO4A1,chr20,False,43.64
RNA5SP470,chr19,False,43.64
RNA5SP277,chr8,False,43.64
ADRM1,chr20,False,43.64
DEFB124,chr20,False,43.64
DEPTOR,chr8,False,43.64
DSCC1,chr8,False,43.64
AL031658.2,chr20,False,43.64
OSBPL2,chr20,False,43.64
LAMA5-AS1,chr20,False,43.64
RTEL1,chr20,False,43.64
AL121832.2,chr20,False,43.64
HRH3,chr20,False,43.64
GATA5,chr20,False,43.64
AL121832.1,chr20,False,43.64
AL121832.3,chr20,False,43.64
LINC00028,chr20,False,43.64
RN7SL340P,chr19,False,43.64
AL121827.1,chr20,False,43.64
CHRNA4,chr20,False,43.64
CCAT2,chr8,False,43.64
CASC8,chr8,False,43.64
AC005914.1,chr20,False,43.64
FLJ16779,chr20,False,41.82
AC008991.1,chr19,False,41.82
AL034418.1,chr20,False,41.82
SBF1P1,chr8,False,41.82
MTND1P5,chr8,False,41.82
AL049539.1,chr20,False,41.82
AL139351.3,chr20,False,41.82
YWHAB,chr20,False,41.82
AL031666.3,chr20,False,41.82
AL049766.1,chr20,False,41.82
AL121845.3,chr20,False,41.82
AL031666.2,chr20,False,41.82
GASAL1,chr8,False,41.82
AL031666.1,chr20,False,41.82
AL133342.1,chr20,False,41.82
MTCO2P4,chr8,False,41.82
AL031658.1,chr20,False,41.82
PABPC1L,chr20,False,41.82
AL049766.2,chr20,False,41.82
AL357558.3,chr20,False,41.82
AL357558.2,chr20,False,41.82
AL118522.1,chr20,False,41.82
AL139351.2,chr20,False,41.82
AL139351.1,chr20,False,41.82
AL160175.1,chr20,False,41.82
PARD6B,chr20,False,41.82
NKAIN4,chr20,False,41.82
AL354813.1,chr20,False,41.82
RIMS4,chr20,False,41.82
AL354993.1,chr20,False,41.82
RGS20,chr8,False,41.82
AL354993.2,chr20,False,41.82
SEC11B,chr8,False,41.82
AL121776.1,chr20,False,41.82
AL357033.3,chr20,False,41.82
AL136102.1,chr20,False,41.82
AC020897.1,chr19,False,41.82
AL049766.3,chr20,False,41.82
AL357033.4,chr20,False,41.82
AL139352.1,chr20,False,41.82
FOXS1,chr20,False,41.82
AC018714.2,chr8,False,41.82
ZFAS1,chr20,False,41.82
CCM2L,chr20,False,41.82
RNU105C,chr8,False,41.82
CHCHD7,chr8,True,41.82
CERNA3,chr8,False,41.82
AC006076.1,chr20,False,41.82
RN7SL323P,chr8,False,41.82
RNU6-1224P,chr8,False,41.82
CCN5,chr20,False,41.82
RNU6-1331P,chr8,False,41.82
KCNK15,chr20,False,41.82
CCDC26,chr8,False,41.82
CARS1P2,chr8,False,41.82
RNU6-497P,chr20,False,41.82
RNU6-563P,chr20,False,41.82
RN7SL250P,chr8,False,41.82
PKIG,chr20,False,41.82
BIRC7,chr20,False,41.82
COL14A1,chr8,False,41.82
AC022679.2,chr8,False,41.82
AC022679.1,chr8,False,41.82
CSE1L,chr20,False,41.82
AC022034.4,chr8,False,41.82
AC022034.3,chr8,False,41.82
DUSP15,chr20,False,41.82
AC022034.2,chr8,False,41.82
RN7SL798P,chr8,False,41.82
DDX27,chr20,False,41.82
RNA5SP265,chr8,False,41.82
AC005524.1,chr19,False,41.82
MYLK2,chr20,False,41.82
RNA5SP481,chr20,False,41.82
RNA5SP482,chr20,False,41.82
AC022034.1,chr8,False,41.82
RNA5SP486,chr20,False,41.82
POU5F1P2,chr8,False,41.82
