Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr9,False,72.76
LCE3C,chr1,False,40.34
U6,chr15,False,38.97
Metazoa_SRP,chr5,False,37.93
AC092821.2,chr12,False,34.48
HCP5B,chr6,False,33.45
OR52N5,chr11,False,33.1
OR52N1,chr11,False,33.1
AC098483.2,chr1,False,30.69
OR2T11,chr1,False,30.69
OR2T10,chr1,False,30.0
U8,chr5,False,30.0
KRTAP9-11P,chr17,False,30.0
SNORA70,chr1,False,29.31
CFHR3,chr1,False,29.31
U3,chr18,False,27.93
LCE3B,chr1,False,26.55
AC000032.1,chr1,False,25.86
IGHV3-41,chr14,False,25.86
IGHVII-40-1,chr14,False,25.86
OR4C6,chr11,False,25.52
HOMER2P1,chr14,False,25.52
AC244452.1,chr14,False,25.17
OR4S2,chr11,False,25.17
RHD,chr1,False,24.83
ADAM3A,chr8,False,24.83
OR4P4,chr11,False,24.83
IGHD3OR15-3B,chr15,False,24.14
IGHD1OR15-1B,chr15,False,24.14
IGHD5OR15-5B,chr15,False,24.14
IGHD2OR15-2B,chr15,False,24.14
IGHD4OR15-4B,chr15,False,24.14
AC037471.1,chr15,False,23.79
FAM30C,chr15,False,23.79
AC123767.1,chr8,False,23.79
UGT2B28,chr4,False,23.45
AC114786.2,chr4,False,23.45
AC114786.3,chr4,False,23.45
AC091874.1,chr5,False,23.1
SDHDP6,chr1,False,23.1
AC091874.2,chr5,False,23.1
TNPO1P2,chr17,False,22.41
LGALS9C,chr17,False,22.41
NOS2P2,chr17,False,22.41
CFHR1,chr1,False,22.07
OR4V1P,chr11,False,22.07
HLA-DQA1,chr6,False,21.38
CCDC144B,chr17,False,21.38
CXADRP2,chr15,False,21.03
AC060814.2,chr15,False,21.03
BMS1P16,chr15,False,21.03
RNU6-1235P,chr15,False,21.03
BCAR1P2,chr15,False,21.03
LONRF2P4,chr15,False,21.03
AC060814.3,chr15,False,21.03
AC060814.4,chr15,False,21.03
POTEB3,chr15,False,21.03
MIR3118-3,chr15,False,21.03
AC126335.1,chr15,False,21.03
AC126335.2,chr15,False,21.03
AC060814.1,chr15,False,21.03
GRAMD4P6,chr15,False,21.03
AC068446.2,chr15,False,21.03
AC068446.1,chr15,False,21.03
NBEAP4,chr15,False,21.03
AL049634.3,chr20,False,21.03
RN7SL400P,chr15,False,21.03
CEACAMP10,chr19,False,20.69
AL935212.3,chr9,False,20.69
PSG9,chr19,False,20.69
AC025884.2,chr15,False,20.69
AC131280.1,chr15,False,20.34
ARPP19P1,chr5,False,20.34
SRP68P2,chr17,False,20.34
NBEAP1,chr15,False,20.34
AC023310.4,chr15,False,20.34
USP32P2,chr17,False,20.0
FAM242D,chr9,False,20.0
DDX39BP1,chr6,False,20.0
AC134980.1,chr15,False,20.0
NBPF17P,chr1,False,20.0
PFN1P12,chr1,False,20.0
FAM106A,chr17,False,20.0
OR11J6P,chr15,False,20.0
SIGLEC14,chr19,False,19.66
AC239800.2,chr1,False,19.66
RNVU1-23,chr1,False,19.66
AC239800.1,chr1,False,19.66
AC025884.1,chr15,False,19.66
RNVU1-17,chr1,False,19.66
RNU1-114P,chr1,False,19.66
RNU6-17P,chr15,False,19.66
RNVU1-18,chr1,False,19.66
AC135068.8,chr15,False,19.31
IGHV1OR15-6,chr15,False,19.31
NF1P2,chr15,False,19.31
NF1P9,chr15,False,19.31
AC135068.9,chr15,False,19.31
AC135068.7,chr15,False,19.31
AC134981.1,chr15,False,19.31
AC135068.1,chr15,False,19.31
AC135068.6,chr15,False,19.31
AC135068.5,chr15,False,19.31
AC135068.4,chr15,False,19.31
AC135068.10,chr15,False,19.31
AC135068.11,chr15,False,19.31
AC135068.3,chr15,False,19.31
AC135068.2,chr15,False,19.31
POTEB,chr15,False,19.31
AC023310.2,chr15,False,19.31
AC135068.12,chr15,False,19.31
AC183088.1,chr15,False,19.31
MIR5701-2,chr15,False,19.31
MIR5701-3,chr15,False,19.31
AC183088.2,chr15,False,19.31
RNU6-631P,chr15,False,19.31
OR11J7P,chr15,False,19.31
AC183088.3,chr15,False,19.31
LINC02203,chr15,False,19.31
MIR3118-4,chr15,False,19.31
ZNF519P3,chr15,False,19.31
AC183088.4,chr15,False,19.31
OR4N4,chr15,False,18.97
BTNL3,chr5,False,18.97
AC026495.1,chr15,False,18.97
IGHV1OR15-4,chr15,False,18.97
IGHV4OR15-8,chr15,False,18.97
OR11K1P,chr15,False,18.97
HNRNPLP2,chr15,False,18.97
OR4Q1P,chr15,False,18.97
RPS8P10,chr15,False,18.97
OR4N3P,chr15,False,18.97
OR4M2,chr15,False,18.97
AC010760.1,chr15,False,18.97
MIR1268A,chr15,False,18.97
AC134980.2,chr15,False,18.97
FSCN1P1,chr15,False,18.97
IGHV1OR15-1,chr15,False,18.97
AC025884.3,chr15,False,18.97
OR4H6P,chr15,False,18.97
IGHV1OR15-3,chr15,False,18.97
OR11H3P,chr15,False,18.97
BX284668.4,chr1,False,18.62
BX284668.5,chr1,False,18.62
RN7SL759P,chr15,False,18.28
AC023310.1,chr15,False,18.28
IGHVII-30-1,chr14,False,18.28
AC018755.4,chr19,False,18.28
SPATA31E2P,chr15,False,18.28
IGHV3-30-2,chr14,False,18.28
AC023310.3,chr15,False,18.28
TAS2R64P,chr12,False,18.28
RNU1-2,chr1,False,18.28
AC026495.2,chr15,False,18.28
GOLGA6L6,chr15,False,18.28
GOLGA8CP,chr15,False,18.28
RNU6-498P,chr15,False,17.93
GRAMD4P5,chr15,False,17.93
NF1P1,chr15,False,17.93
ZNF519P2,chr15,False,17.93
AC012414.6,chr15,False,17.93
AC012414.1,chr15,False,17.93
AC012414.4,chr15,False,17.93
IGHV7-40,chr14,False,17.93
AC012414.2,chr15,False,17.93
LONRF2P3,chr15,False,17.93
OR11J2P,chr15,False,17.93
AC012414.5,chr15,False,17.93
MIR3118-2,chr15,False,17.93
AC037471.2,chr15,False,17.93
AC012414.3,chr15,False,17.93
POTEB2,chr15,False,17.93
LINC01193,chr15,False,17.93
CHEK2P2,chr15,False,17.93
RNU6-749P,chr15,False,17.93
MIR5701-1,chr15,False,17.93
OR11J5P,chr15,False,17.93
HLA-K,chr6,False,17.59
GPR42,chr19,False,17.59
HCG4B,chr6,False,17.59
RNU1-5P,chr1,False,17.24
