Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr2,False,97.58
Metazoa_SRP,chr2,False,94.46
SNORA70,chr8,False,87.02
U3,chr2,False,79.93
U6,chr15,False,78.55
U8,chr5,False,75.78
SNORA62,chr8,False,74.22
Z82202.1,chr22,False,66.61
Z82202.2,chr22,False,66.44
AC207130.1,chr22,False,66.09
C22orf34,chr22,False,65.92
AL078622.1,chr22,False,64.88
AL008636.1,chr22,False,64.88
RPL35P8,chr22,False,64.53
AL031593.1,chr22,False,64.01
Z97192.1,chr22,False,64.01
Z97192.3,chr22,False,64.01
Z97192.2,chr22,False,64.01
MIR3667,chr22,False,63.84
Z97192.4,chr22,False,63.84
RPL5P35,chr22,False,61.25
BRD1,chr22,False,61.25
RN7SKP252,chr22,False,61.07
AL023802.1,chr22,False,61.07
Z98885.1,chr22,False,60.21
Z98885.3,chr22,False,60.03
AL117328.1,chr22,False,60.03
BX539320.1,chr22,False,60.03
Z98885.2,chr22,False,60.03
CRELD2,chr22,False,59.86
AL671710.1,chr22,False,59.69
AL117328.2,chr22,False,59.69
ALG12,chr22,False,59.69
MIR6821,chr22,False,59.52
PIM3,chr22,False,59.52
ZBED4,chr22,False,59.52
CHKB-CPT1B,chr22,False,59.34
CPT1B,chr22,False,59.34
SBF1,chr22,False,59.17
TTLL8,chr22,False,59.17
MLC1,chr22,False,59.17
ADM2,chr22,False,59.17
IL17REL,chr22,False,59.17
MIOX,chr22,False,59.0
MOV10L1,chr22,False,59.0
AL034546.1,chr22,False,59.0
PPP6R2,chr22,False,58.48
CR559946.2,chr22,False,58.48
DENND6B,chr22,False,58.48
NCAPH2,chr22,False,58.48
LMF2,chr22,False,58.48
CR559946.1,chr22,False,58.48
MAPK12,chr22,False,58.3
U62317.1,chr22,False,58.3
U62317.3,chr22,False,58.3
KLHDC7B,chr22,False,58.3
SCO2,chr22,False,58.3
TYMP,chr22,False,58.3
MAPK11,chr22,False,58.3
KLHDC7B-DT,chr22,False,58.3
PANX2,chr22,False,58.3
PLXNB2,chr22,False,58.3
SYCE3,chr22,False,58.3
HDAC10,chr22,False,58.3
AL022328.2,chr22,False,58.13
AL022328.3,chr22,False,58.13
AL022328.4,chr22,False,58.13
TUBGCP6,chr22,False,58.13
TRABD,chr22,False,57.96
SELENOO,chr22,False,57.96
CHKB-DT,chr22,False,57.96
CHKB,chr22,False,57.96
AL022328.1,chr22,False,57.96
U62317.2,chr22,False,57.27
MIR4535,chr22,False,57.27
LINC01310,chr22,False,57.27
Z84468.1,chr22,False,57.27
Z84468.2,chr22,False,57.27
TAFA5,chr22,False,57.27
MAPK8IP2,chr22,False,56.92
ODF3B,chr22,False,56.92
Z72006.1,chr22,False,56.57
AL008720.2,chr22,False,56.4
Z82249.1,chr22,False,56.23
AL008720.1,chr22,False,56.23
MIR3201,chr22,False,56.06
U7,chr16,False,55.71
AC000050.2,chr22,False,55.71
SHANK3,chr22,False,55.71
ARSA,chr22,False,55.54
BX284656.2,chr22,False,55.36
BX284656.1,chr22,False,55.36
RNU6-409P,chr22,False,55.19
FP325330.2,chr22,False,54.84
FP325330.1,chr22,False,54.84
5S_rRNA,chr16,False,54.5
