Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr9,False,58.73
ADAM3A,chr8,False,38.1
Metazoa_SRP,chr7,False,37.57
AC123767.1,chr8,False,36.51
LCE3C,chr1,False,32.28
HLA-DRB5,chr6,False,30.16
AL049634.3,chr20,False,30.16
KRTAP9-11P,chr17,False,29.63
AC000032.1,chr1,False,29.1
RNU1-61P,chr6,False,25.93
HLA-DRB1,chr6,False,25.93
HLA-DRB6,chr6,False,25.93
AC140125.1,chr5,False,25.93
ALG1L2,chr3,False,24.87
FAM242D,chr9,False,23.81
OR51A2,chr11,False,23.28
NOS2P2,chr17,False,23.28
LGALS9C,chr17,False,23.28
AL935212.3,chr9,False,22.75
HCP5B,chr6,False,22.75
AC092821.2,chr12,False,22.75
UGT2B17,chr4,False,22.22
OR7E84P,chr4,False,22.22
AC147055.2,chr4,False,21.69
AC091874.1,chr5,False,21.16
U6,chr15,False,21.16
AC091874.2,chr5,False,21.16
AC147055.4,chr4,False,21.16
AC023078.1,chr11,False,21.16
MRGPRX1,chr11,False,21.16
TNPO1P2,chr17,False,21.16
AC026740.2,chr5,False,20.63
ARPP19P1,chr5,False,20.63
BRD9P2,chr5,False,20.63
OR2A7,chr7,False,20.63
OR4S2,chr11,False,20.11
OR4P4,chr11,False,20.11
FAM106A,chr17,False,19.58
OR4C6,chr11,False,19.58
UGT2B29P,chr4,False,19.58
USP32P2,chr17,False,19.58
BTNL3,chr5,False,19.58
ARHGEF34P,chr7,False,19.05
U3,chr7,False,19.05
OR2A9P,chr7,False,19.05
CTAGE8,chr7,False,19.05
AC243829.2,chr17,False,18.52
SRP68P2,chr17,False,18.52
OR2A42,chr7,False,18.52
OR2A20P,chr7,False,17.99
AC074386.1,chr7,False,17.99
TAS2R64P,chr12,False,17.99
CCDC144B,chr17,False,17.46
LCE3B,chr1,False,17.46
AL391156.1,chr14,False,16.93
OR4K1,chr14,False,16.93
OR2A1-AS1,chr7,False,16.93
OR4K4P,chr14,False,16.93
OR4N1P,chr14,False,16.93
OR4M1,chr14,False,16.93
OR4V1P,chr11,False,16.93
OR2A1,chr7,False,16.93
OR4K2,chr14,False,16.93
OR4H12P,chr14,False,16.93
OR4K3,chr14,False,16.93
OR4K6P,chr14,False,16.93
OR4K5,chr14,False,16.93
OR4Q3,chr14,False,16.4
SNORA70,chr9,False,16.4
OR11K2P,chr14,False,16.4
IGHV3-30-2,chr14,False,15.87
IGHVII-30-1,chr14,False,15.87
AC134980.1,chr15,False,15.87
OR11J6P,chr15,False,15.87
AC025884.2,chr15,False,15.87
AC025884.1,chr15,False,15.34
RPS8P10,chr15,False,14.29
OR4Q1P,chr15,False,14.29
MIR1268A,chr15,False,14.29
OR4N4,chr15,False,14.29
OR4N3P,chr15,False,14.29
IGHV1OR15-4,chr15,False,14.29
IGHV1OR15-3,chr15,False,14.29
OR11H3P,chr15,False,14.29
IGHV1OR15-1,chr15,False,14.29
IGHV4OR15-8,chr15,False,14.29
AC025884.3,chr15,False,14.29
OR11K1P,chr15,False,14.29
OR4M2,chr15,False,14.29
AC010760.1,chr15,False,14.29
AC134980.2,chr15,False,14.29
ZDHHC11B,chr5,False,14.29
OR4H6P,chr15,False,14.29
MTRNR2L6,chr7,False,13.76
RN7SL301P,chr17,False,13.76
TRBV26,chr7,False,13.76
TRBV25-1,chr7,False,13.76
TRBV24-1,chr7,False,13.76
TRBV23-1,chr7,False,13.76
TRBV22-1,chr7,False,13.76
TRBV21-1,chr7,False,13.76
TRBV19,chr7,False,13.76
TRBV20-1,chr7,False,13.76
TRBV18,chr7,False,13.76
TRBV17,chr7,False,13.76
TRBV16,chr7,False,13.76
TRBV15,chr7,False,13.76
TRBV11-3,chr7,False,13.76
TRBV14,chr7,False,13.76
TRBV12-5,chr7,False,13.76
TRBV12-4,chr7,False,13.76
TRBV12-3,chr7,False,13.76
AC073264.1,chr7,False,13.76
CTAGE15,chr7,False,13.76
RNU6-162P,chr7,False,13.76
TCAF1P1,chr7,False,13.76
TRBVA,chr7,False,13.76
PAICSP5,chr7,False,13.76
AC023310.1,chr15,False,13.76
AC073264.2,chr7,False,13.76
TRBV28,chr7,False,13.23
TRBV10-3,chr7,False,13.23
TRBV7-7,chr7,False,13.23
PGBD4P1,chr7,False,13.23
TRBV6-6,chr7,False,13.23
TRBV7-5,chr7,False,13.23
TRBV7-4,chr7,False,13.23
TRBV13,chr7,False,13.23
TRBV27,chr7,False,13.23
TRBVB,chr7,False,13.23
TRBV7-9,chr7,False,13.23
TRBV5-7,chr7,False,13.23
AC244472.1,chr7,False,13.23
