Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr3,False,95.16
Metazoa_SRP,chr3,False,88.71
CPM,chr12,False,79.03
AC025423.1,chr12,False,79.03
AC025423.4,chr12,False,79.03
AC025423.2,chr12,False,79.03
MDM2,chr12,True,77.42
AC025423.3,chr12,False,75.81
MIR6759,chr12,False,74.19
CDK4,chr12,True,74.19
MARCHF9,chr12,False,74.19
AC083805.2,chr12,False,72.58
AC025165.4,chr12,False,72.58
LINC02373,chr12,False,72.58
EEF1AKMT3,chr12,False,70.97
AVIL,chr12,False,70.97
METTL1,chr12,False,70.97
CTDSP2,chr12,False,70.97
AC025165.3,chr12,False,70.97
CYP27B1,chr12,False,70.97
RNU6-1083P,chr12,False,70.97
AC025165.5,chr12,False,70.97
FRS2,chr12,False,69.35
MIR26A2,chr12,False,69.35
TSFM,chr12,False,69.35
RN7SL804P,chr12,False,69.35
MIR3913-2,chr12,False,67.74
CCT2,chr12,False,67.74
MIR3913-1,chr12,False,67.74
RPS26P45,chr12,False,67.74
AC083805.1,chr12,False,67.74
BEST3,chr12,False,67.74
AC025423.5,chr12,False,66.13
TSPAN31,chr12,False,66.13
PRELID2P1,chr12,False,66.13
RNU7-4P,chr12,False,66.13
AGAP2,chr12,False,64.52
AC025263.3,chr12,False,64.52
LRRC10,chr12,False,64.52
AGAP2-AS1,chr12,False,64.52
YEATS4,chr12,False,61.29
ATP23,chr12,False,61.29
U3,chr5,False,61.29
AC084033.2,chr12,False,61.29
GIHCG,chr12,False,61.29
AC084033.1,chr12,False,59.68
AC020656.1,chr12,False,59.68
LYZ,chr12,False,59.68
AC083805.3,chr12,False,58.06
AC107308.1,chr12,False,58.06
RN7SKP65,chr12,False,58.06
AC025263.1,chr12,False,58.06
HMGA2,chr12,True,58.06
AC020656.2,chr12,False,56.45
U6,chr4,False,56.45
AC078922.1,chr12,False,56.45
AC025263.2,chr12,False,56.45
SNORA70,chr12,False,54.84
MYRFL,chr12,False,54.84
AC127894.1,chr12,False,54.84
LINC02821,chr12,False,54.84
U8,chr15,False,53.23
RAB3IP,chr12,False,53.23
SLC35E3,chr12,False,53.23
HMGA2-AS1,chr12,False,53.23
AC090643.1,chr12,False,51.61
AC092881.2,chr12,False,51.61
OS9,chr12,False,51.61
LINC02403,chr12,False,51.61
CPSF6,chr12,False,51.61
AC025165.2,chr12,False,51.61
PRANCR,chr12,False,51.61
AC025569.1,chr12,False,50.0
C1GALT1P1,chr12,False,50.0
CNOT2,chr12,False,50.0
AC090643.2,chr12,False,48.39
MIR1279,chr12,False,48.39
AC090673.1,chr12,False,48.39
KCNMB4,chr12,False,46.77
RPL13AP23,chr12,False,46.77
RPL7P42,chr12,False,45.16
RNU4-65P,chr12,False,45.16
NUP107,chr12,False,45.16
AC092881.1,chr12,False,43.55
KRT8P39,chr12,False,43.55
FAHD2P1,chr12,False,40.32
DYRK2,chr12,False,40.32
AC090061.1,chr12,False,40.32
PTPRB,chr12,False,40.32
RPL21P103,chr12,False,40.32
B4GALNT1,chr12,False,38.71
SLC26A10,chr12,False,38.71
AC078777.1,chr12,False,38.71
AC083809.1,chr12,False,37.1
AC123905.1,chr12,False,37.1
LINC02421,chr12,False,37.1
AC025165.6,chr12,False,37.1
AC140125.1,chr5,False,35.48
LGR5,chr12,False,35.48
RPL39P28,chr12,False,35.48
LINC02384,chr12,False,35.48
LINC02442,chr12,False,35.48
MDM1,chr12,False,35.48
AC090116.1,chr12,False,35.48
AC022513.1,chr12,False,35.48
AC022511.1,chr12,False,35.48
PTPRR,chr12,False,35.48
LINC01479,chr12,False,35.48
AC005294.1,chr12,False,35.48
AC025575.1,chr12,False,33.87
AC025575.2,chr12,False,33.87
AC090502.3,chr12,False,33.87
TSPAN8,chr12,False,33.87
HNRNPA1P70,chr12,False,33.87
IL26,chr12,False,33.87
ARHGEF25,chr12,False,32.26
AL137157.1,chr1,False,32.26
AC000032.1,chr1,False,32.26
AC090502.2,chr12,False,32.26
DTX3,chr12,False,32.26
MYOCOS,chr1,False,32.26
LINC02408,chr12,False,32.26
MYOC,chr1,False,32.26
AL049634.3,chr20,False,32.26
ADAM3A,chr8,False,32.26
AC025165.1,chr12,False,32.26
MIR199A2,chr1,False,32.26
IFNG-AS1,chr12,False,32.26
AC007458.1,chr12,False,32.26
AC123767.1,chr8,False,32.26
IL22,chr12,False,32.26
MIR214,chr1,False,30.65
PFN1P1,chr1,False,30.65
MIR3120,chr1,False,30.65
AC025578.1,chr12,False,30.65
LINC02444,chr12,False,30.65
RPL4P3,chr1,False,30.65
AC090502.1,chr12,False,30.65
MRS2P2,chr12,False,30.65
VENTXP3,chr12,False,30.65
LINC02420,chr12,False,30.65
IFNG,chr12,False,30.65
DNM3OS,chr1,False,30.65
AC073530.1,chr12,False,30.65
AC136188.1,chr12,False,30.65
AC090503.2,chr12,False,30.65
ATP5PDP4,chr12,False,29.03
