Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr3,False,95.83
Metazoa_SRP,chr3,False,92.71
U3,chr3,False,80.21
U8,chr3,False,77.08
U6,chr3,False,68.75
SNORA63,chr3,False,67.71
SNORA72,chr3,False,65.62
U2,chr3,False,60.42
MTAPP2,chr3,False,59.38
P3H2,chr3,False,59.38
LINC02584,chr11,False,58.33
LMLN-AS1,chr3,False,58.33
MIR548K,chr11,False,58.33
ANO1,chr11,False,58.33
PPFIA1,chr11,False,58.33
AP002336.1,chr11,False,58.33
FGF3,chr11,True,58.33
FGF4,chr11,True,58.33
DNAJB6P5,chr11,False,58.33
AP000487.2,chr11,False,58.33
AP000487.1,chr11,False,58.33
H2AZP4,chr11,False,58.33
MIR944,chr3,False,58.33
ANKRD18DP,chr3,False,58.33
AC135893.1,chr3,False,58.33
AP000879.2,chr11,False,58.33
RNU6-821P,chr3,False,58.33
AP002336.2,chr11,False,58.33
AP002336.3,chr11,False,58.33
RNU6-1175P,chr11,False,58.33
RNU6-42P,chr3,False,57.29
CCT6P4,chr3,False,57.29
GCNT1P3,chr3,False,57.29
FADD,chr11,False,57.29
LTO1,chr11,False,57.29
PIGZ,chr3,False,57.29
SENP5,chr3,False,57.29
AC016949.1,chr3,False,57.29
NCBP2AS2,chr3,False,57.29
MELTF,chr3,False,57.29
MELTF-AS1,chr3,False,57.29
NCBP2,chr3,False,57.29
FGF19,chr11,True,57.29
NCBP2-AS1,chr3,False,57.29
RPSAP69,chr3,False,57.29
ANO1-AS1,chr11,False,57.29
AP000879.1,chr11,False,57.29
AP007216.2,chr11,False,57.29
AP003555.1,chr11,False,57.29
RN7SKP296,chr3,False,57.29
AP007216.1,chr11,False,57.29
LINC02013,chr3,False,57.29
DLG1,chr3,False,57.29
CCND1,chr11,True,57.29
LINC02753,chr11,False,57.29
AC108747.1,chr3,False,57.29
AC092952.1,chr3,False,57.29
GMNC,chr3,False,57.29
RNU6-1109P,chr3,False,56.25
CLDN1,chr3,False,56.25
AC055764.2,chr3,False,56.25
MIR922,chr3,False,56.25
RNU6-621P,chr3,False,56.25
FYTTD1,chr3,False,56.25
CLDN16,chr3,False,56.25
AC055764.1,chr3,False,56.25
IQCG,chr3,False,56.25
RNU6-858P,chr3,False,56.25
AC011322.1,chr3,False,56.25
AC128709.1,chr3,False,56.25
AC128709.2,chr3,False,56.25
AC128709.3,chr3,False,56.25
RPL35A,chr3,False,56.25
AC132008.1,chr3,False,56.25
AC132008.2,chr3,False,56.25
LINC02012,chr3,False,56.25
AC144530.1,chr3,False,56.25
LMLN,chr3,False,56.25
SHANK2,chr11,False,56.25
DLG1-AS1,chr3,False,56.25
LRCH3,chr3,False,56.25
BDH1,chr3,False,56.25
AL121981.1,chr3,False,56.25
PAK2,chr3,False,56.25
P3H2-AS1,chr3,False,56.25
IL1RAP,chr3,False,56.25
NMNAT1P3,chr3,False,56.25
TMEM207,chr3,False,56.25
RNU4-89P,chr3,False,56.25
MIR4797,chr3,False,56.25
RNU6-646P,chr3,False,55.21
TPRG1-AS2,chr3,False,55.21
SHANK2-AS1,chr11,False,55.21
CEP19,chr3,False,55.21
AP001271.1,chr11,False,55.21
CTTN,chr11,False,55.21
PLAAT1,chr3,False,54.17
RUBCN,chr3,False,54.17
AC024560.3,chr3,False,54.17
AC024560.5,chr3,False,54.17
AC080129.1,chr3,False,54.17
AP001271.2,chr11,False,54.17
AC024560.4,chr3,False,54.17
AC024560.2,chr3,False,54.17
TPRG1,chr3,False,54.17
AC012081.2,chr3,False,54.17
AC048351.1,chr3,False,54.17
AC012081.1,chr3,False,54.17
LINC02026,chr3,False,54.17
LINC02028,chr3,False,54.17
LINC02038,chr3,False,54.17
TNK2-AS1,chr3,False,54.17
RN7SL447P,chr3,False,54.17
DPPA2P3,chr3,False,54.17
AC024560.1,chr3,False,54.17
AC069421.2,chr3,False,54.17
OPA1,chr3,False,54.17
OPA1-AS1,chr3,False,54.17
AC069421.1,chr3,False,54.17
AC024559.1,chr3,False,54.17
ATP13A5-AS1,chr3,False,54.17
AP003555.2,chr11,False,54.17
AC009319.1,chr3,False,54.17
ATP13A5,chr3,False,54.17
AC024559.2,chr3,False,54.17
RNU2-11P,chr3,False,54.17
ATP13A4-AS1,chr3,False,54.17
ATP13A4,chr3,False,54.17
AC069421.3,chr3,False,54.17
AC090505.2,chr3,False,53.12
AC090505.1,chr3,False,53.12
RN7SKP265,chr3,False,53.12
RPL23AP93,chr3,False,53.12
XXYLT1,chr3,False,53.12
AC090018.1,chr3,False,53.12
AC069257.3,chr3,False,53.12
NRROS,chr3,False,53.12
AC069257.2,chr3,False,53.12
TPRG1-AS1,chr3,False,53.12
TP63,chr3,True,53.12
PIGX,chr3,False,53.12
RPS29P3,chr3,False,53.12
AC084211.1,chr3,False,53.12
GP5,chr3,False,53.12
LINC02747,chr11,False,53.12
AC083822.1,chr3,False,53.12
PPP1R2,chr3,False,53.12
WDR53,chr3,False,53.12
LRRC15,chr3,False,53.12
TNK2,chr3,True,53.12
PCYT1A,chr3,False,53.12
LSG1,chr3,False,53.12
FAM43A,chr3,False,53.12
SMCO1,chr3,False,53.12
AC124944.2,chr3,False,53.12
RN7SL215P,chr3,False,53.12
RNU6ATAC24P,chr3,False,53.12
KIF3AP1,chr3,False,53.12
RNA5SP150,chr3,False,53.12
LINC01206,chr3,False,53.12
ZDHHC19,chr3,False,53.12
AC109131.1,chr3,False,53.12
LINC00887,chr3,False,53.12
TCTEX1D2,chr3,False,53.12
RNU6-1279P,chr3,False,53.12
LINC00885,chr3,False,53.12
LINC00884,chr3,False,53.12
AC108676.2,chr3,False,53.12
AC108676.1,chr3,False,53.12
TM4SF19-TCTEX1D2,chr3,False,53.12
TM4SF19-AS1,chr3,False,53.12
TM4SF19,chr3,False,53.12
RNF168,chr3,False,53.12
RNU6-1101P,chr3,False,53.12
CPN2,chr3,False,53.12
AC106706.2,chr3,False,53.12
AC106706.1,chr3,False,53.12
TFRC,chr3,False,53.12
RNU6-910P,chr3,False,53.12
RNU7-18P,chr3,False,53.12
LINC02048,chr3,False,53.12
RN7SL73P,chr3,False,53.12
AC124944.3,chr3,False,53.12
LINC02037,chr3,False,53.12
LINC02036,chr3,False,53.12
FBXO45,chr3,False,53.12
AC092933.1,chr3,False,53.12
AC092933.2,chr3,False,53.12
AC024937.1,chr3,False,53.12
RN7SL434P,chr3,False,53.12
AC117490.2,chr3,False,53.12
LINC01983,chr3,False,53.12
LINC01972,chr3,False,53.12
LINC01968,chr3,False,53.12
AC117490.1,chr3,False,53.12
AC117469.1,chr3,False,53.12
AC092966.1,chr3,False,53.12
TMEM44-AS1,chr3,False,53.12
TMEM44,chr3,False,53.12
AC117415.2,chr3,False,53.12
AC117415.1,chr3,False,53.12
RN7SL703P,chr3,False,53.12
RN7SL738P,chr3,False,53.12
AC069257.1,chr3,False,53.12
AC080129.2,chr3,False,53.12
UBXN7,chr3,False,53.12
MUC4,chr3,False,53.12
AC046143.1,chr3,False,53.12
ATP13A3,chr3,False,53.12
SLC51A,chr3,False,53.12
SHANK2-AS2,chr11,False,53.12
AC007547.2,chr3,False,53.12
AC007547.1,chr3,False,53.12
VEZF1P1,chr3,False,53.12
AC069213.1,chr3,False,53.12
AP000439.3,chr11,False,53.12
UBXN7-AS1,chr3,False,53.12
SOX2,chr3,True,53.12
MIR6829,chr3,False,53.12
HES1,chr3,False,53.12
AC069213.3,chr3,False,53.12
AC046143.2,chr3,False,53.12
LINC01995,chr3,False,52.08
LINC01997,chr3,False,52.08
FNDC3B,chr3,False,52.08
LINC02082,chr3,False,52.08
LINC01994,chr3,False,52.08
AC108667.2,chr3,False,52.08
RN7SL36P,chr3,False,52.08
SLC31A1P1,chr3,False,52.08
AC092954.2,chr3,False,52.08
AC092954.1,chr3,False,52.08
CCDC50,chr3,False,52.08
MIR570,chr3,False,52.08
AP000439.1,chr11,False,52.08
XXYLT1-AS2,chr3,False,52.08
RPL22P1,chr3,False,52.08
LINC02068,chr3,False,52.08
TNFSF10,chr3,False,52.08
XXYLT1-AS1,chr3,False,52.08
AC125613.2,chr3,False,52.08
UTS2B,chr3,False,52.08
LINC02031,chr3,False,52.08
SMBD1P,chr3,False,52.08
AC090018.2,chr3,False,52.08
AC055714.1,chr3,False,52.08
GHSR,chr3,False,52.08
NLGN1,chr3,False,52.08
RPL7L1P8,chr3,False,52.08
AP000590.1,chr11,False,52.08
FGF12-AS2,chr3,False,52.08
FGF12-AS1,chr3,False,52.08
AC024937.2,chr3,False,52.08
FGF12-AS3,chr3,False,52.08
AC007919.1,chr3,False,52.08
RNU6-547P,chr3,False,52.08
NLGN1-AS1,chr3,False,52.08
LINC01208,chr3,False,52.08
MECOM,chr3,False,52.08
AP000439.2,chr11,False,52.08
ACAP2-IT1,chr3,False,52.08
MECOM-AS1,chr3,False,52.08
AC026320.2,chr3,False,52.08
