Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr2,False,79.08
Metazoa_SRP,chr8,False,46.61
LCE3C,chr1,False,41.63
U6,chr14,False,35.86
AC092821.2,chr12,False,34.66
LGALS9C,chr17,False,33.67
SNORA70,chr8,False,33.07
NOS2P2,chr17,False,33.07
TNPO1P2,chr17,False,33.07
U8,chr2,False,30.48
AL449423.1,chr9,False,29.88
CDKN2B-AS1,chr9,False,29.88
CDKN2B,chr9,True,29.48
UBA52P6,chr9,False,28.69
CDKN2A-DT,chr9,False,28.09
CDKN2A,chr9,True,28.09
U3,chr3,False,28.09
CCDC144B,chr17,False,27.89
SRP68P2,chr17,False,27.69
HCP5B,chr6,False,27.69
AL354709.1,chr9,False,27.09
FAM106A,chr17,False,27.09
USP32P2,chr17,False,27.09
AC091874.2,chr5,False,26.89
AC091874.1,chr5,False,26.89
FAM242D,chr9,False,26.89
AC000032.1,chr1,False,26.1
AL935212.3,chr9,False,25.9
ERVFRD-3,chr9,False,25.9
LCE3B,chr1,False,25.7
ADAM3A,chr8,False,25.7
AL354709.2,chr9,False,25.7
OR52N1,chr11,False,25.3
AC123767.1,chr8,False,25.3
AL359922.3,chr9,False,24.7
ARPP19P1,chr5,False,24.5
AL157937.1,chr9,False,24.3
KRTAP9-11P,chr17,False,24.1
OR52N5,chr11,False,23.71
SDHDP6,chr1,False,23.31
AL359922.2,chr9,False,23.31
DMRTA1,chr9,False,23.11
RHD,chr1,False,23.11
TUBB8P1,chr9,False,21.51
SNORD39,chr9,False,21.51
AC147055.4,chr4,False,21.31
LINC01239,chr9,False,21.31
AL391117.1,chr9,False,21.31
CLIC4P1,chr9,False,21.12
BTNL3,chr5,False,21.12
AC147055.2,chr4,False,21.12
AC017067.1,chr9,False,21.12
IGHD2OR15-2B,chr15,False,20.92
IGHD5OR15-5B,chr15,False,20.92
AL359922.1,chr9,False,20.92
IGHD1OR15-1B,chr15,False,20.92
MTAP,chr9,True,20.92
IGHD3OR15-3B,chr15,False,20.92
IGHD4OR15-4B,chr15,False,20.92
TAS2R64P,chr12,False,20.72
FAM30C,chr15,False,20.52
UGT2B17,chr4,False,20.52
AC037471.1,chr15,False,20.52
SIGLEC14,chr19,False,20.52
ALG1L2,chr3,False,20.12
AC025884.2,chr15,False,19.72
AC025884.1,chr15,False,19.52
RNA5SP251,chr8,False,19.12
AL357614.1,chr9,False,18.92
RN7SL151P,chr9,False,18.92
KHSRPP1,chr9,False,18.92
BCAR1P2,chr15,False,18.73
AC018755.4,chr19,False,18.73
ALG1L6P,chr3,False,18.73
AL445623.2,chr9,False,18.73
FAM86DP,chr3,False,18.33
ARL5AP4,chr22,False,18.33
LINC02018,chr3,False,18.33
FAM66A,chr8,False,18.33
AC087203.1,chr8,False,18.33
USP17L2,chr8,False,18.33
SUMO2P2,chr9,False,18.33
AL445623.1,chr9,False,18.13
AC139453.2,chr3,False,18.13
USP17L7,chr8,False,18.13
LSP1P2,chr3,False,18.13
AC139453.1,chr3,False,18.13
AC060814.1,chr15,False,17.93
LONRF2P4,chr15,False,17.93
RNU6-1235P,chr15,False,17.93
ENPP7P2,chr3,False,17.93
NOP56P2,chr9,False,17.93
POTEB3,chr15,False,17.93
AC026991.2,chr8,False,17.93
AC060814.4,chr15,False,17.93
AC068446.1,chr15,False,17.93
MIR3118-3,chr15,False,17.93
CXADRP2,chr15,False,17.93
GRAMD4P6,chr15,False,17.93
AC060814.3,chr15,False,17.93
ELAVL2,chr9,False,17.93
AC068446.2,chr15,False,17.93
AC060814.2,chr15,False,17.93
AC110288.1,chr8,False,17.73
AC134980.1,chr15,False,17.73
AC114786.3,chr4,False,17.73
AF067845.2,chr8,False,17.73
H3P30,chr9,False,17.73
OR11J6P,chr15,False,17.73
AL365272.1,chr6,False,17.73
AC136777.1,chr8,False,17.53
AF067845.1,chr8,False,17.53
OR4S2,chr11,False,17.53
AL049634.3,chr20,False,17.53
AF067845.4,chr8,False,17.53
OR4C6,chr11,False,17.53
DUSP22,chr6,False,17.53
AC114786.2,chr4,False,17.53
AF067845.5,chr8,False,17.53
AL161628.1,chr9,False,17.33
AC100797.4,chr8,False,17.33
ARHGEF10,chr8,False,17.33
MIR596,chr8,False,17.33
AC100810.3,chr8,False,17.33
AL365204.1,chr9,False,17.33
DLGAP2,chr8,False,17.33
AC100797.1,chr8,False,17.33
AC129915.3,chr8,False,17.33
AC019257.8,chr8,False,17.33
AC131280.1,chr15,False,17.33
AC100810.7,chr8,False,17.33
MIR3674,chr8,False,17.33
SNORA62,chr8,False,17.33
AC100810.1,chr8,False,17.33
CLN8,chr8,False,17.33
AC026950.2,chr8,False,17.33
MIR7160,chr8,False,17.13
AL365204.2,chr9,False,17.13
DLGAP2-AS1,chr8,False,17.13
AC245164.1,chr8,False,17.13
RNU6-17P,chr15,False,17.13
AC126335.1,chr15,False,17.13
AC126335.2,chr15,False,17.13
AC100810.6,chr8,False,17.13
AC026991.1,chr8,False,17.13
AC019257.9,chr8,False,17.13
AC100810.2,chr8,False,17.13
MYOM2,chr8,False,17.13
RN7SL400P,chr15,False,17.13
BMS1P16,chr15,False,17.13
NBEAP4,chr15,False,17.13
IGHV1OR15-1,chr15,False,16.93
ZNF596,chr8,False,16.93
MIR1268A,chr15,False,16.93
IGHV4OR15-8,chr15,False,16.93
POTEB2,chr15,False,16.93
LINC02203,chr15,False,16.93
RNU6-631P,chr15,False,16.93
IGHV1OR15-3,chr15,False,16.93
RNU6-749P,chr15,False,16.93
LONRF2P3,chr15,False,16.93
AL365204.3,chr9,False,16.93
IGHV1OR15-4,chr15,False,16.93
POTEB,chr15,False,16.93
AC037471.2,chr15,False,16.93
AC025884.3,chr15,False,16.93
GRAMD4P5,chr15,False,16.93
ZNF519P2,chr15,False,16.93
ZNF519P3,chr15,False,16.93
OR4N4,chr15,False,16.93
AC134980.2,chr15,False,16.93
AC183088.2,chr15,False,16.93
AC019257.2,chr8,False,16.93
AC019257.1,chr8,False,16.93
OR11K1P,chr15,False,16.93
OR11J7P,chr15,False,16.93
AC134981.1,chr15,False,16.93
OR11J2P,chr15,False,16.93
OR11H3P,chr15,False,16.93
AC004908.1,chr8,False,16.93
AC004908.2,chr8,False,16.93
AC004908.3,chr8,False,16.93
NF1P9,chr15,False,16.93
NF1P2,chr15,False,16.93
NF1P1,chr15,False,16.93
AC183088.1,chr15,False,16.93
AC183088.3,chr15,False,16.93
KBTBD11,chr8,False,16.93
LINC01193,chr15,False,16.93
AC183088.4,chr15,False,16.93
RPS8P10,chr15,False,16.93
AC012414.1,chr15,False,16.93
AC012414.2,chr15,False,16.93
AC012414.3,chr15,False,16.93
AC012414.4,chr15,False,16.93
AC012414.5,chr15,False,16.93
AC012414.6,chr15,False,16.93
MIR5701-1,chr15,False,16.93
MIR5701-2,chr15,False,16.93
MIR5701-3,chr15,False,16.93
AC245164.2,chr8,False,16.93
AC010760.1,chr15,False,16.93
KBTBD11-OT1,chr8,False,16.93
OR11J5P,chr15,False,16.93
AC135068.8,chr15,False,16.93
OR4P4,chr11,False,16.93
AC135068.2,chr15,False,16.93
AC135068.7,chr15,False,16.93
AC135068.11,chr15,False,16.93
AC135068.10,chr15,False,16.93
AC135068.6,chr15,False,16.93
OR4H6P,chr15,False,16.93
MIR3118-2,chr15,False,16.93
MIR3118-4,chr15,False,16.93
OR4Q1P,chr15,False,16.93
AC135068.5,chr15,False,16.93
