Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr6,False,92.41
Metazoa_SRP,chr6,False,89.87
U3,chr6,False,84.81
U4,chr11,False,65.82
KCNK9,chr8,False,62.03
AC107375.1,chr8,False,62.03
PEG13,chr8,False,62.03
U2,chr8,False,62.03
ERICD,chr8,False,62.03
AC067931.1,chr8,False,62.03
AC067931.2,chr8,False,62.03
AC021744.1,chr8,False,62.03
SNORA72,chr8,False,62.03
RNA5SP278,chr8,False,62.03
CHRAC1,chr8,False,62.03
C8orf17,chr8,False,62.03
AC100807.1,chr8,False,62.03
AC040978.1,chr8,False,62.03
AC100807.2,chr8,False,62.03
AC087354.1,chr8,False,62.03
PTK2,chr8,False,62.03
MIR151A,chr8,False,62.03
TRAPPC9,chr8,False,62.03
AC090093.1,chr8,False,62.03
AC105235.1,chr8,False,62.03
AGO2,chr8,False,62.03
AC027541.1,chr8,False,62.03
C8orf76,chr8,False,60.76
LINC02855,chr8,False,60.76
AC068413.1,chr8,False,60.76
LINC01151,chr8,False,60.76
RNU6-442P,chr8,False,60.76
LINC01591,chr8,False,60.76
LINC02055,chr8,False,60.76
CASC8,chr8,False,60.76
RNU4-25P,chr8,False,60.76
RNVU1-32,chr8,False,60.76
RNU6-144P,chr8,False,60.76
AC068228.2,chr8,False,60.76
RNU6-12P,chr8,False,60.76
RNU6-1255P,chr8,False,60.76
WASHC5,chr8,False,60.76
WASHC5-AS1,chr8,False,60.76
AC068228.3,chr8,False,60.76
CASC19,chr8,False,60.76
AC068228.1,chr8,False,60.76
RNU6-628P,chr8,False,60.76
AC046195.1,chr8,False,60.76
AC046195.2,chr8,False,60.76
AC040914.1,chr8,False,60.76
AC060788.1,chr8,False,60.76
RNU6-875P,chr8,False,60.76
CARS1P2,chr8,False,60.76
RNU6-869P,chr8,False,60.76
RNU7-181P,chr8,False,60.76
AC064802.1,chr8,False,60.76
LRATD2,chr8,False,60.76
LINC00536,chr8,False,60.76
RNU6-756P,chr8,False,60.76
LINC00824,chr8,False,60.76
LINC00861,chr8,False,60.76
LINC00964,chr8,False,60.76
CASC11,chr8,False,60.76
AC037486.1,chr8,False,60.76
KLHL38,chr8,False,60.76
MAL2,chr8,False,60.76
RNU11-4P,chr8,False,60.76
MIR30B,chr8,False,60.76
AC087045.2,chr8,False,60.76
AC087045.3,chr8,False,60.76
RN7SL826P,chr8,False,60.76
MIR1204,chr8,False,60.76
MIR1205,chr8,False,60.76
MIR1206,chr8,False,60.76
MIR1207,chr8,False,60.76
MIR1208,chr8,False,60.76
AC087341.1,chr8,False,60.76
AC087667.1,chr8,False,60.76
AC084123.1,chr8,False,60.76
MIR30D,chr8,False,60.76
AF305872.1,chr8,False,60.76
AC090192.1,chr8,False,60.76
AC090192.2,chr8,False,60.76
AC090193.1,chr8,False,60.76
AC090198.1,chr8,False,60.76
RN7SL396P,chr8,False,60.76
AF230666.2,chr8,False,60.76
AF230666.1,chr8,False,60.76
AC087045.1,chr8,False,60.76
AC084116.3,chr8,False,60.76
RNU1-35P,chr8,False,60.76
AP005717.2,chr8,False,60.76
LRRC6,chr8,False,60.76
RNF139-AS1,chr8,False,60.76
AC079015.1,chr8,False,60.76
RNF139,chr8,False,60.76
TRPS1,chr8,False,60.76
AC027419.1,chr8,False,60.76
MAL2-AS1,chr8,False,60.76
MAPRE1P1,chr8,False,60.76
AP005717.1,chr8,False,60.76
RNA5SP277,chr8,False,60.76
AC084116.2,chr8,False,60.76
RNA5SP276,chr8,False,60.76
AC083843.1,chr8,False,60.76
AC083843.2,chr8,False,60.76
AC083843.3,chr8,False,60.76
AC083923.1,chr8,False,60.76
MED30,chr8,False,60.76
AC084083.1,chr8,False,60.76
AC084114.1,chr8,False,60.76
AC084116.1,chr8,False,60.76
AC027419.2,chr8,False,60.76
AC024681.1,chr8,False,60.76
RPL23AP56,chr8,False,60.76
AC016074.1,chr8,False,60.76
ST3GAL1,chr8,False,60.76
ST13P6,chr8,False,60.76
SQLE,chr8,False,60.76
EXT1,chr8,True,60.76
FAM135B,chr8,False,60.76
FAM83A,chr8,False,60.76
UBA52P5,chr8,False,60.76
AC011257.1,chr8,False,60.76
FAM83A-AS1,chr8,False,60.76
SOD1P3,chr8,False,60.76
AC011626.1,chr8,False,60.76
FAM91A1,chr8,False,60.76
SNTB1,chr8,False,60.76
