Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,87.76
Metazoa_SRP,chr7,False,71.43
U8,chr18,False,61.22
U6,chr3,False,61.22
U3,chr2,False,61.22
LCE3C,chr1,False,46.94
SNORA70,chr3,False,44.9
SNORD39,chr2,False,42.86
5S_rRNA,chr7,False,38.78
AP001999.2,chr11,False,38.78
AP001999.3,chr11,False,38.78
AP003062.1,chr11,False,38.78
AP003062.2,chr11,False,38.78
LINC02697,chr11,False,38.78
LINC02706,chr11,False,38.78
LINC02714,chr11,False,38.78
LINC02717,chr11,False,38.78
AP001999.1,chr11,False,38.78
AP004550.1,chr11,False,38.78
AC092821.2,chr12,False,36.73
LINC02684,chr11,False,36.73
KRTAP9-11P,chr17,False,36.73
RCBTB2,chr13,False,34.69
AL157813.1,chr13,False,32.65
AL449423.1,chr9,False,32.65
U4,chr2,False,32.65
CDKN2B-AS1,chr9,False,32.65
CDKN2B,chr9,True,32.65
AL157813.2,chr13,False,32.65
LINC01077,chr13,False,32.65
B3GAT1-DT,chr11,False,32.65
CYSLTR2,chr13,False,32.65
B3GAT1,chr11,False,32.65
LINC00462,chr13,False,32.65
LINC02730,chr11,False,30.61
AP001775.1,chr11,False,30.61
AC093642.2,chr2,False,30.61
UBA52P6,chr9,False,30.61
AP000859.1,chr11,False,30.61
AC091874.2,chr5,False,30.61
LGALS9C,chr17,False,30.61
JAM3,chr11,False,30.61
LPAR6,chr13,False,30.61
RPL23AP53,chr8,False,30.61
RNU6-60P,chr13,False,30.61
CCDC144B,chr17,False,30.61
PSME2P2,chr13,False,30.61
LINC01880,chr2,False,30.61
AL161421.1,chr13,False,30.61
NOS2P2,chr17,False,30.61
NCAPD3,chr11,False,30.61
AC139100.2,chr18,False,30.61
AP001775.2,chr11,False,30.61
GLB1L3,chr11,False,30.61
VPS26B,chr11,False,30.61
GLB1L2,chr11,False,30.61
PARD6G,chr18,False,30.61
AP000911.1,chr11,False,30.61
PARD6G-AS1,chr18,False,30.61
TNPO1P2,chr17,False,30.61
LINC02731,chr11,False,30.61
FNDC3A,chr13,False,30.61
AC091874.1,chr5,False,30.61
THYN1,chr11,False,30.61
ACAD8,chr11,False,30.61
PTP4A2P2,chr11,False,30.61
AC139100.1,chr18,False,30.61
LINC01881,chr2,False,30.61
CAB39L,chr13,False,28.57
AC010760.1,chr15,False,28.57
IGHV1OR15-1,chr15,False,28.57
ARPP19P1,chr5,False,28.57
AL392048.1,chr13,False,28.57
AC002525.1,chr13,False,28.57
SETDB2,chr13,False,28.57
AC000032.1,chr1,False,28.57
RBFA,chr18,False,28.57
MLNR,chr13,False,28.57
AC025884.3,chr15,False,28.57
ALG1L2,chr3,False,28.57
FAM106A,chr17,False,28.57
AL354709.1,chr9,False,28.57
RCBTB1,chr13,False,28.57
RBFADN,chr18,False,28.57
MIR4697,chr11,False,28.57
AL935212.3,chr9,False,28.57
RB1-DT,chr13,False,28.57
AC093642.6,chr2,False,28.57
RAD17P2,chr13,False,28.57
MIR1268A,chr15,False,28.57
ADNP2,chr18,False,28.57
AC098483.2,chr1,False,28.57
AC090360.1,chr18,False,28.57
IGHV1OR15-3,chr15,False,28.57
IGHV1OR15-4,chr15,False,28.57
SLC25A6P4,chr18,False,28.57
OR2T10,chr1,False,28.57
OR11K1P,chr15,False,28.57
IGSF9B,chr11,False,28.57
AL137058.3,chr13,False,28.57
AL137000.1,chr13,False,28.57
SNRPGP14,chr13,False,28.57
USP32P2,chr17,False,28.57
CDADC1,chr13,False,28.57
RPS8P10,chr15,False,28.57
OR11H3P,chr15,False,28.57
PCNPP5,chr13,False,28.57
OR2T11,chr1,False,28.57
OR4H6P,chr15,False,28.57
OR4M2,chr15,False,28.57
OR4N3P,chr15,False,28.57
OR4N4,chr15,False,28.57
OR4Q1P,chr15,False,28.57
OR11J6P,chr15,False,28.57
COX7CP1,chr13,False,28.57
AC134980.2,chr15,False,28.57
OGFOD1P1,chr13,False,28.57
IGHV4OR15-8,chr15,False,28.57
RNY3P2,chr13,False,28.57
PPP1R26P1,chr13,False,28.57
AC134980.1,chr15,False,28.57
OPCML-IT1,chr11,False,28.57
AC135068.9,chr15,False,26.53
PHF11,chr13,False,26.53
AC135068.6,chr15,False,26.53
FAM242D,chr9,False,26.53
AC135068.7,chr15,False,26.53
AC135068.8,chr15,False,26.53
POTEB,chr15,False,26.53
BCAR1P2,chr15,False,26.53
NF1P9,chr15,False,26.53
AC087203.1,chr8,False,26.53
GPR12,chr13,False,26.53
AC126335.2,chr15,False,26.53
AC126335.1,chr15,False,26.53
AC183088.1,chr15,False,26.53
AC183088.4,chr15,False,26.53
AC183088.3,chr15,False,26.53
AC183088.2,chr15,False,26.53
AC004908.1,chr8,False,26.53
AC004908.2,chr8,False,26.53
FAM66A,chr8,False,26.53
AC135068.4,chr15,False,26.53
AC135068.5,chr15,False,26.53
NF1P2,chr15,False,26.53
ARL11,chr13,False,26.53
AC134981.1,chr15,False,26.53
OR11J7P,chr15,False,26.53
AC135068.1,chr15,False,26.53
FBXO25,chr8,False,26.53
AC131280.1,chr15,False,26.53
BMS1P16,chr15,False,26.53
AC135068.10,chr15,False,26.53
ATP1B2,chr17,False,26.53
AC135068.11,chr15,False,26.53
AC135068.12,chr15,False,26.53
AC135068.2,chr15,False,26.53
BTNL3,chr5,False,26.53
AC135068.3,chr15,False,26.53
NBEAP4,chr15,False,26.53
NBEAP1,chr15,False,26.53
7SK,chr3,False,26.53
FAM87A,chr8,False,26.53
TP53,chr17,True,26.53
HCP5B,chr6,False,26.53
ZNF519P3,chr15,False,26.53
AC004908.3,chr8,False,26.53
MIR5701-3,chr15,False,26.53
AC136777.1,chr8,False,26.53
MIR3613,chr13,False,26.53
AC114341.2,chr18,False,26.53
MIR3118-4,chr15,False,26.53
AP001979.1,chr11,False,26.53
MIR16-1,chr13,False,26.53
MIR15A,chr13,False,26.53
SRP68P2,chr17,False,26.53
LINC02743,chr11,False,26.53
SPRYD7,chr13,False,26.53
RNU6-631P,chr15,False,26.53
EBPL,chr13,False,26.53
CTAGE10P,chr13,False,26.53
AL135901.1,chr13,False,26.53
AL359922.3,chr9,False,26.53
LINC02203,chr15,False,26.53
TXNL4A,chr18,False,26.53
DLEU2,chr13,False,26.53
AL137060.4,chr13,False,26.53
SPATA19,chr11,False,26.53
AL137060.9,chr13,False,26.53
CDKN2A,chr9,True,26.53
CDKN2A-DT,chr9,False,26.53
AL137060.7,chr13,False,26.53
RNY4P30,chr13,False,26.53
AP003972.1,chr11,False,26.53
TRIM13,chr13,False,26.53
RNY4P9,chr13,False,26.53
AC136777.2,chr8,False,26.53
ZNF596,chr8,False,26.53
AC123767.1,chr8,False,26.53
MIR5701-2,chr15,False,26.53
HSBP1L1,chr18,False,26.53
RN7SL400P,chr15,False,26.53
AP004606.1,chr11,False,26.53
AC093642.1,chr2,False,26.53
AC093642.3,chr2,False,26.53
ERVFRD-3,chr9,False,26.53
KCNRG,chr13,False,26.53
ADAM3A,chr8,False,26.53
AL137060.2,chr13,False,24.49
LINC00426,chr13,False,24.49
GOLGA6L6,chr15,False,24.49
AL137060.1,chr13,False,24.49
LINC00412,chr13,False,24.49
WASF3,chr13,False,24.49
AL137060.3,chr13,False,24.49
AL137060.6,chr13,False,24.49
AL137060.5,chr13,False,24.49
LINC00427,chr13,False,24.49
WASF3-AS1,chr13,False,24.49
CHEK2P2,chr15,False,24.49
OPCML-IT2,chr11,False,24.49
KCNG2,chr18,False,24.49
OPCML,chr11,False,24.49
LINC01896,chr18,False,24.49
USP12,chr13,False,24.49
AC104423.1,chr18,False,24.49
LCE3B,chr1,False,24.49
CHCHD2P8,chr13,False,24.49
ITM2B,chr13,False,24.49
LINC00689,chr7,False,24.49
AL136301.1,chr13,False,24.49
UBE2L5,chr13,False,24.49
AC083964.1,chr8,False,24.49
AL136439.1,chr13,False,24.49
USP12-AS1,chr13,False,24.49
USP12-AS2,chr13,False,24.49
LINC00572,chr13,False,24.49
UBL3,chr13,False,24.49
LINC00543,chr13,False,24.49
LINC00297,chr13,False,24.49
AC105272.1,chr1,False,24.49
LINC01058,chr13,False,24.49
AC114341.1,chr18,False,24.49
KATNBL1P1,chr13,False,24.49
LINC01241,chr9,False,24.49
AC125437.3,chr18,False,24.49
