Name	UCSC_RefGene_Name	UCSC_RefGene_Group	Relation_to_UCSC_CpG_Island	normal_methylated_pct	tumor_unmethylated_pct
cg04721098	CACNG3	TSS1500	N_Shore	0.9151910531220876	0.32038288288288286
cg25612480	UBE2V2	TSS1500	N_Shore	0.9058713886300093	0.28678678678678676
cg15612847	MRPL30	TSS1500	N_Shore	0.880708294501398	0.2545045045045045
cg02955504	TXNL4A	TSS1500	S_Shore	0.8974836905871388	0.2540352852852853
cg19504888	MFF	TSS1500	S_Shore	0.8313140726933831	0.24427552552552553
cg10748867	MRTO4	TSS1500	N_Shore	0.8667287977632805	0.23301426426426428
cg01963696	ELANE	TSS1500	N_Shore	0.8229263746505125	0.22916666666666666
cg24831427	COQ3	TSS1500	S_Shore	0.8350419384902144	0.22719594594594594
cg01566170	CAPN2	TSS1500	N_Shore	0.8397017707362535	0.22072072072072071
cg07022477	HIF3A	TSS1500	N_Shore	0.8797763280521901	0.22034534534534533
cg14333454	SFN	TSS1500	N_Shore	0.8024231127679403	0.21921921921921922
cg11403598	COG8	TSS1500	S_Shore	0.8341099720410066	0.21799924924924924
cg02028524	ATXN3	TSS1500	S_Shore	0.9328984156570364	0.20307807807807807
cg11750883	CRCT1	TSS200	N_Shore	0.9888164026095061	0.196509009009009
cg15071391	MTMR6	TSS1500	S_Shore	0.9757688723205965	0.18703078078078078
cg12064929	DYDC2	TSS1500	N_Shore	0.8797763280521901	0.18543543543543545
cg18595258	TMEM138	TSS1500	N_Shore	0.9114631873252563	0.18534159159159158
cg14088161	ACTL6B	TSS1500	S_Shore	0.9245107176141659	0.18421546546546547
cg05089968	PRR18	TSS1500	S_Shore	0.8313140726933831	0.18374624624624625
cg07204803	ARL13B	TSS1500	N_Shore	0.8685927306616962	0.18243243243243243
cg05244766	GSTP1	TSS1500	N_Shore	0.9161230195712954	0.1799924924924925
cg11953824	IKBKAP	TSS1500	S_Shore	0.9384902143522833	0.17839714714714713
cg27383956	CNTD2	TSS1500	S_Shore	0.8089468779123952	0.17586336336336336
cg00729275	C18orf16	TSS200	S_Shore	0.8005591798695247	0.17135885885885885
cg03292149	CBLC	TSS1500	N_Shore	0.8136067101584343	0.17117117117117117
cg22424444	TOLLIP	TSS1500	S_Shore	0.8797763280521901	0.17060810810810811
cg14444710	PDPK1	TSS1500	N_Shore	0.9142590866728798	0.1629129129129129
cg09015232	SLC12A5	TSS1500	N_Shore	0.848089468779124	0.1577515015015015
cg01907837	RNF8	TSS1500	N_Shore	0.9133271202236719	0.1569069069069069
cg11801011	SHANK1	TSS1500	N_Shore	0.9142590866728798	0.15681306306306306
cg26198807	C11orf49	TSS1500	N_Shore	0.934762348555452	0.15503003003003002
cg19845843	BEND2	TSS1500	S_Shore	0.9711090400745573	0.15493618618618618
cg15301694	STRN3	TSS1500	S_Shore	0.9328984156570364	0.1524024024024024
cg15798530	TRPC3	TSS1500	S_Shore	0.9422180801491147	0.15033783783783783
cg03870862	ZC3H3	TSS1500	S_Shore	0.9170549860205033	0.14911786786786788
cg17352004	ABHD12B	TSS1500	N_Shore	0.8080149114631874	0.14902402402402404
cg16585619	KRT19	TSS1500	S_Shore	0.9319664492078286	0.14695945945945946
cg08097973	NUMA1	TSS1500	S_Shore	0.8984156570363467	0.14329954954954954
cg20349377	KLHL1	TSS1500	S_Shore	0.8779123951537745	0.14076576576576577
cg21742836	PPP4C	TSS1500	N_Shore	0.8490214352283317	0.14057807807807807
cg20884362	C21orf70	TSS1500	N_Shore	0.8490214352283317	0.1387012012012012
cg21006686	NOS1	TSS1500	S_Shore	0.83690587138863	0.13860735735735735
cg26530341	TNFRSF10A	TSS1500	S_Shore	0.9319664492078286	0.13607357357357358
cg14757492	DDX49	TSS1500	N_Shore	0.9683131407269339	0.13579204204204204
cg16413535	TKTL2	TSS200	S_Shore	0.9869524697110904	0.1348536036036036
cg08367223	SNRPA	TSS1500	N_Shore	0.9170549860205033	0.13475975975975976
cg22161874	TRPM6	TSS200	S_Shore	0.9356943150046598	0.1333521021021021
cg07080946	LUC7L	TSS1500	N_Shore	0.9123951537744641	0.13072447447447447
cg04636557	C1orf124	TSS1500	N_Shore	0.8760484622553588	0.13044294294294295
cg08268099	OLFM1	TSS1500	N_Shore	0.9701770736253494	0.12987987987987987
cg10180697	MSH3	TSS1500	N_Shore	0.9217148182665424	0.1296921921921922
cg04727522	C18orf22	TSS1500	N_Shore	0.8741845293569431	0.12950450450450451
cg16607065	TP73	TSS200	Island	0.8471575023299162	0.12790915915915915
cg13038560	C2orf47	TSS1500	N_Shore	0.9394221808014911	0.12743993993993993
cg23663332	MAK16	TSS1500	N_Shore	0.8275862068965517	0.12528153153153154
cg06980460	FOLH1	TSS1500	S_Shore	0.9916123019571296	0.12359234234234234
cg18640030	CRH	TSS200	S_Shore	0.8863000931966449	0.12087087087087087
cg18623836	RRM2	TSS1500	N_Shore	0.9589934762348555	0.1164602102102102
cg02630207	SRBD1	TSS1500	S_Shore	0.9273066169617894	0.11617867867867868
cg24122922	TMEM90B	TSS1500	N_Shore	0.9478098788443616	0.11608483483483484
cg04609640	BEST4	TSS1500	S_Shore	0.8993476234855545	0.11139264264264265
cg15534366	CDH4	TSS1500	N_Shore	0.9739049394221808	0.11007882882882883
cg05293216	FANCG	TSS1500	S_Shore	0.97856477166822	0.11007882882882883
cg05161795	ZDHHC3	TSS1500	S_Shore	0.9002795899347623	0.10989114114114114
cg21960110	HBZ	TSS1500	N_Shore	0.8835041938490215	0.10904654654654655
cg20399252	EBPL	TSS1500	S_Shore	0.9720410065237651	0.10867117117117117
cg14188111	S100A13	TSS1500	S_Shore	0.9468779123951537	0.10604354354354355
cg19103609	PKN1	TSS1500	N_Shore	0.907735321528425	0.10548048048048048
cg21032583	LMLN	TSS1500	N_Shore	0.9990680335507922	0.10313438438438438
cg13763232	SLC6A6	TSS1500	N_Shore	0.8918918918918919	0.10219594594594594
cg14992108	SNTB1	TSS1500	S_Shore	0.9748369058713886	0.09966216216216216
cg27610561	SLC2A10	TSS1500	N_Shore	0.8508853681267474	0.09769144144144144
cg25182523	FAM129A	TSS1500	S_Shore	0.8825722273998136	0.09487612612612613
cg15241708	CNOT6	TSS1500	N_Shore	0.9934762348555451	0.09384384384384384
cg03116740	TSPAN4	TSS1500	N_Shore	0.8415657036346692	0.09112237237237238
cg25219333	FXC1	TSS1500	N_Shore	0.9794967381174278	0.08849474474474474
cg18354594	C1orf229	TSS1500	S_Shore	0.9002795899347623	0.08492867867867868
cg20692181	RETN	TSS1500	N_Shore	0.9981360671015843	0.08051801801801801
cg08929103	CRHR1	TSS1500	N_Shore	0.972972972972973	0.07911036036036036
cg27547703	TDRD1	TSS200	Island	0.972972972972973	0.07911036036036036
cg04086834	SMAP1	TSS1500	N_Shore	0.8732525629077353	0.07751501501501501
cg17470143	DCLK1	TSS1500	S_Shore	0.9273066169617894	0.0755442942942943
cg26073060	EIF3I	TSS1500	N_Shore	0.8630009319664492	0.07413663663663664
cg17675150	ZNF532	TSS1500	N_Shore	0.9916123019571296	0.07338588588588589
