Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr9,False,75.65
Metazoa_SRP,chr5,False,48.09
U3,chr6,False,38.03
SNORA70,chr4,False,37.63
LCE3C,chr1,False,36.42
U6,chr4,False,35.81
AC092821.2,chr12,False,35.61
U8,chr5,False,34.61
SNORA62,chr16,False,33.0
AC000032.1,chr1,False,31.19
KRTAP9-11P,chr17,False,30.58
USP17L7,chr8,False,27.97
USP17L2,chr8,False,27.57
AC107959.1,chr8,False,27.36
RN7SL303P,chr8,False,27.36
TNFRSF10C,chr8,False,27.16
AC055854.1,chr8,False,27.16
PEBP4,chr8,False,27.16
AC037441.2,chr8,False,27.16
NKX3-1,chr8,False,27.16
AC037441.1,chr8,False,27.16
TNFRSF10B,chr8,False,27.16
AC107959.5,chr8,False,27.16
EGR3,chr8,False,27.16
AC105046.2,chr8,False,27.16
RHOBTB2,chr8,False,27.16
AC105046.1,chr8,False,27.16
AC107959.4,chr8,False,27.16
AC107959.3,chr8,False,27.16
AC107959.2,chr8,False,27.16
BIN3,chr8,False,26.96
AC104561.1,chr8,False,26.96
AC104561.2,chr8,False,26.96
SLC25A37,chr8,False,26.96
AC104561.3,chr8,False,26.96
STC1,chr8,False,26.96
AC104561.4,chr8,False,26.96
CHMP7,chr8,False,26.96
NKX2-6,chr8,False,26.96
AC090197.1,chr8,False,26.96
AC100861.2,chr8,False,26.96
AC012574.2,chr8,False,26.96
RPL23AP55,chr8,False,26.96
TNFRSF10A-AS1,chr8,False,26.96
TNFRSF10A,chr8,False,26.96
AC012119.2,chr8,False,26.96
TNFRSF10D,chr8,False,26.96
AC100861.1,chr8,False,26.96
AC012574.1,chr8,False,26.96
AC012119.1,chr8,False,26.96
AC120193.1,chr8,False,26.96
LOXL2,chr8,False,26.96
SINHCAFP3,chr8,False,26.96
ENTPD4,chr8,False,26.96
RNU4-71P,chr8,False,26.96
ADAM28,chr8,False,26.96
R3HCC1,chr8,False,26.96
AC037459.3,chr8,False,26.76
CCAR2,chr8,False,26.76
C8orf58,chr8,False,26.76
AC037459.4,chr8,False,26.76
AC023202.1,chr8,False,26.76
SORBS3,chr8,False,26.76
AC037459.2,chr8,False,26.76
AC037459.1,chr8,False,26.76
RNU1-148P,chr8,False,26.76
PDLIM2,chr8,False,26.76
HCP5B,chr6,False,26.56
ADAM7,chr8,False,26.56
ADAMDEC1,chr8,False,26.56
AC024958.1,chr8,False,26.56
NPM2,chr8,False,26.16
FGF17,chr8,False,26.16
DMTN,chr8,False,26.16
AC087854.1,chr8,False,26.16
XPO7,chr8,False,26.16
RNA5SP258,chr8,False,26.16
BTF3P3,chr8,False,26.16
DOK2,chr8,False,26.16
AC021613.2,chr8,False,25.96
AC021613.1,chr8,False,25.96
SFTPC,chr8,False,25.96
GFRA2,chr8,False,25.96
AC103719.1,chr8,False,25.96
FAM160B2,chr8,False,25.96
MIR320A,chr8,False,25.96
AC021613.3,chr8,False,25.96
TMEM97P2,chr8,False,25.96
AC009623.1,chr8,False,25.96
AC015468.3,chr8,False,25.96
AF106564.1,chr8,False,25.96
PPP3CC,chr8,False,25.96
PPP2R2A,chr8,True,25.96
AC105206.1,chr8,False,25.96
LINC02153,chr8,False,25.96
AC105206.2,chr8,False,25.96
AC105206.3,chr8,False,25.96
POLR3D,chr8,False,25.96
PIWIL2,chr8,False,25.96
PHYHIP,chr8,False,25.96
SLC39A14,chr8,False,25.96
AC015468.2,chr8,False,25.96
AC015468.1,chr8,False,25.96
AC079097.1,chr8,False,25.96
LGI3,chr8,False,25.96
HR,chr8,False,25.96
REEP4,chr8,False,25.96
NUDT18,chr8,False,25.96
BMP1,chr8,False,25.96
OR6R2P,chr8,False,25.96
NEFM,chr8,False,25.96
DOCK5,chr8,False,25.75
PSME2P5,chr8,False,25.75
CDCA2,chr8,False,25.75
NEFL,chr8,False,25.75
MIR6876,chr8,False,25.75
AC041005.1,chr8,False,25.75
MIR6841,chr8,False,25.75
GNRH1,chr8,False,25.75
AC091185.2,chr8,False,25.75
AC091185.1,chr8,False,25.75
RNU6-336P,chr8,False,25.75
AC073581.1,chr8,False,25.75
KCTD9,chr8,False,25.75
AC105910.1,chr8,False,25.75
AC021355.1,chr8,False,25.75
AC107373.1,chr8,False,25.75
AC107373.2,chr8,False,25.75
AC107373.3,chr8,False,25.75
DNAJB6P2,chr8,False,25.55
BNIP3L,chr8,False,25.55
AC090103.1,chr8,False,25.55
SDAD1P1,chr8,False,25.55
AC091675.1,chr8,False,25.55
EBF2,chr8,False,25.55
DPYSL2,chr8,False,25.55
AC011726.1,chr8,False,25.55
AC009623.3,chr8,False,25.55
AC009623.2,chr8,False,25.55
AC011726.2,chr8,False,25.55
PNMA2,chr8,False,25.55
ADRA1A,chr8,False,25.55
AC018541.1,chr8,False,25.35
AC067904.1,chr8,False,25.35
AC067904.2,chr8,False,25.35
AC067904.3,chr8,False,25.35
MIR548H4,chr8,False,25.35
AC022559.1,chr8,False,25.35
