Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
RPL39L,50.49,85.71,50.49
GALR1,32.44,85.71,32.44
CPXM1,31.22,85.71,31.22
LRRC4,23.66,100.0,23.66
SLC16A12,22.68,90.48,22.68
SLITRK5,22.44,85.71,22.44
FOXE1,20.98,85.71,20.98
HAAO,19.76,80.95,19.76
KCNK9,19.76,80.95,19.76
DLK1,18.54,95.24,18.54
WDR17,18.05,85.71,18.05
TWIST1,17.32,80.95,17.32
MT1E,15.61,90.48,15.61
GRIN3A,14.63,90.48,14.63
SPDYA,13.66,95.24,13.66
AOX1,13.66,95.24,13.66
HIST1H2BB,11.71,85.71,11.71
MIR34B,11.71,95.24,11.71
FAM20A,10.98,100.0,10.98
CRHR2,10.73,80.95,10.73
DTX1,10.24,90.48,10.24
GABRB2,10.24,95.24,10.24
PAK7,10.0,90.48,10.0
GFRA1,9.76,90.48,9.76
LOXL3,9.51,90.48,9.51
CUX2,8.54,80.95,8.54
RBM24,8.29,95.24,8.29
ADAMTS3,8.05,95.24,8.05
PROK2,8.05,95.24,8.05
PRR16,7.8,95.24,7.8
HIF3A,7.8,100.0,7.8
SNCA,6.59,95.24,6.59
SFRP5,6.59,100.0,6.59
RET,6.1,95.24,6.1
SCNN1B,6.1,100.0,6.1
IRX4,5.85,95.24,5.85
ZBTB16,5.37,95.24,5.37
PHF21B,5.12,90.48,5.12
BMPER,5.12,100.0,5.12
SLC6A1,4.88,95.24,4.88
FKBP11,4.88,100.0,4.88
SORCS3,4.39,95.24,4.39
TNFRSF10D,4.15,90.48,4.15
JAKMIP1,3.66,95.24,3.66
KCNT2,3.66,90.48,3.66
HIST1H4D,3.66,100.0,3.66
JPH3,3.41,80.95,3.41
PRKG1,3.41,90.48,3.41
ME3,3.41,95.24,3.41
EPHA7,3.41,95.24,3.41
EPO,3.17,95.24,3.17
DFNA5,3.17,100.0,3.17
RERG,2.93,100.0,2.93
CHCHD5,2.68,90.48,2.68
NPAS1,2.68,95.24,2.68
GFRA3,2.68,100.0,2.68
ZNF570,2.44,95.24,2.44
WNT7A,2.44,90.48,2.44
TSPAN2,2.44,95.24,2.44
TMEM121,2.2,100.0,2.2
NELL2,2.2,95.24,2.2
PLCB1,1.71,100.0,1.71
SLC8A3,1.71,95.24,1.71
SOX5,1.71,95.24,1.71
PCDHGC3,1.46,95.24,1.46
LOC283856,1.46,100.0,1.46
MLH1,1.22,95.24,1.22
FUT9,1.22,95.24,1.22
TMEM101,1.22,100.0,1.22
KCNQ3,1.22,100.0,1.22
CACNG2,1.22,100.0,1.22
ZNF569,1.22,95.24,1.22
PCDH17,1.22,80.95,1.22
SLC30A2,0.98,90.48,0.98
ADAM23,0.98,100.0,0.98
ELOVL4,0.98,95.24,0.98
MIR1908,0.73,100.0,0.73
ATRNL1,0.73,100.0,0.73
GRIN2A,0.73,90.48,0.73
MGMT,0.73,95.24,0.73
UQCRH,0.49,100.0,0.49
RNF182,0.49,100.0,0.49
SNAI2,0.49,100.0,0.49
BEND5,0.49,100.0,0.49
SDC2,0.49,90.48,0.49
KCNS3,0.49,95.24,0.49
KCNC1,0.24,100.0,0.24
EHD3,0.24,100.0,0.24
NDRG4,0.24,100.0,0.24
B3GALNT1,0.24,85.71,0.24
ZNF304,0.24,95.24,0.24
ERBB4,0.24,100.0,0.24
NETO1,20.73,71.43,0.0
NPR3,39.76,66.67,0.0
HIST1H3J,27.07,76.19,0.0
FNBP1,0.0,100.0,0.0
GATA4,20.0,76.19,0.0
ZNF345,0.0,95.24,0.0
SNX32,31.71,71.43,0.0
ST6GALNAC5,34.15,66.67,0.0
GSTP1,0.0,100.0,0.0
MME,0.0,42.86,0.0
ZNF542,20.24,76.19,0.0
ELMO1,11.71,71.43,0.0
PTPN13,0.0,71.43,0.0
ZNF365,0.0,100.0,0.0
SPG20,0.0,100.0,0.0
SLC22A17,0.0,100.0,0.0
VAV3,5.85,66.67,0.0
LOC100130148,0.0,95.24,0.0
