Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr9,False,77.27
Metazoa_SRP,chr22,False,45.45
KANSL1-AS1,chr17,False,43.94
ARL17B,chr17,False,42.42
RHD,chr1,False,42.42
LCE3C,chr1,False,40.91
SDHDP6,chr1,False,39.39
MAPK8IP1P1,chr17,False,37.88
AC005829.2,chr17,False,37.88
RNU1-2,chr1,False,37.88
BX284668.5,chr1,False,37.88
TNPO1P2,chr17,False,37.88
AC005829.1,chr17,False,37.88
U3,chr1,False,37.88
U6,chr1,False,37.88
RNU1-5P,chr1,False,36.36
LGALS9C,chr17,False,36.36
NOS2P2,chr17,False,36.36
U8,chr15,False,36.36
BX284668.2,chr1,False,36.36
BX284668.4,chr1,False,36.36
AC032019.1,chr17,False,34.85
SNORA70,chr1,False,33.33
AC011120.1,chr17,False,33.33
AC097641.1,chr17,False,33.33
AC092821.2,chr12,False,33.33
AC087301.1,chr17,False,33.33
AC080037.1,chr17,False,33.33
SSTR2,chr17,False,33.33
AC080037.2,chr17,False,33.33
C17orf80,chr17,False,33.33
LINC01152,chr17,False,33.33
POLR3KP2,chr17,False,33.33
AC124804.1,chr17,False,33.33
AC032019.2,chr17,False,33.33
SOX9,chr17,True,33.33
SDK2,chr17,False,33.33
BX284668.6,chr1,False,33.33
ATG12P1,chr17,False,33.33
LINC02003,chr17,False,33.33
ROCR,chr17,False,33.33
RN7SKP180,chr17,False,33.33
AC007639.1,chr17,False,33.33
SLC39A11,chr17,False,33.33
LINC02097,chr17,False,33.33
CDC42EP4,chr17,False,33.33
AC007461.1,chr17,False,33.33
LINC00511,chr17,False,33.33
SOX9-AS1,chr17,False,33.33
AC097641.2,chr17,False,33.33
COG1,chr17,False,33.33
CPSF4L,chr17,False,33.33
FAM104A,chr17,False,33.33
RPL32P33,chr17,False,33.33
LINC02092,chr17,False,31.82
AC125421.2,chr17,False,31.82
AC005277.2,chr17,False,31.82
MYHAS,chr17,False,31.82
AC015908.2,chr17,False,31.82
AC015908.3,chr17,False,31.82
AC125421.1,chr17,False,31.82
MYH4,chr17,False,31.82
MYH8,chr17,False,31.82
MAGOH2P,chr17,False,31.82
MYH3,chr17,False,31.82
AC005291.1,chr17,False,31.82
AC005291.2,chr17,False,31.82
MIR1269B,chr17,False,31.82
AC005303.1,chr17,False,31.82
RPS27AP1,chr17,False,31.82
MYOCD,chr17,True,31.82
AC002347.1,chr17,False,31.82
AC015908.1,chr17,False,31.82
AC005725.1,chr17,False,31.82
DNAH9,chr17,False,31.82
AC005209.1,chr17,False,31.82
AC005244.1,chr17,False,31.82
AC005244.2,chr17,False,31.82
AC005274.1,chr17,False,31.82
AC084167.1,chr17,False,31.82
AC002347.2,chr17,False,31.82
CCDC144B,chr17,False,31.82
SCO1,chr17,False,31.82
ADPRM,chr17,False,31.82
MYOCD-AS1,chr17,False,31.82
AC005277.1,chr17,False,31.82
RNU11-2P,chr17,False,31.82
MYH2,chr17,False,31.82
TMEM220,chr17,False,31.82
MYH13,chr17,False,31.82
SHISA6,chr17,False,31.82
TMEM220-AS1,chr17,False,31.82
AC005548.1,chr17,False,31.82
MIR744,chr17,False,31.82
AC068442.1,chr17,False,31.82
AC005323.2,chr17,False,31.82
ZNF18,chr17,False,31.82
ARHGAP44,chr17,False,31.82
RNU6-1065P,chr17,False,31.82
LINC00670,chr17,False,31.82
AC005410.2,chr17,False,31.82
AC005410.1,chr17,False,31.82
LINC00469,chr17,False,31.82
AC005358.1,chr17,False,31.82
ELAC2,chr17,False,31.82
RN7SL601P,chr17,False,31.82
AC005323.1,chr17,False,31.82
AC015908.4,chr17,False,31.82
TMEM238L,chr17,False,31.82
AC015908.7,chr17,False,31.82
MAP2K4,chr17,True,31.82
PIRT,chr17,False,31.82
MYH1,chr17,False,31.82
AC015908.6,chr17,False,31.82
RPL15P21,chr17,False,31.82
AC015908.5,chr17,False,31.82
AC005304.2,chr17,False,30.3
LRRC37A,chr17,False,30.3
MIR4297,chr10,False,30.3
USP32P2,chr17,False,30.3
AC118653.1,chr17,False,30.3
AL139123.1,chr10,False,30.3
AL157712.1,chr10,False,30.3
FAM106A,chr17,False,30.3
AL354950.1,chr10,False,30.3
AL354950.2,chr10,False,30.3
MIR378C,chr10,False,30.3
AC005144.1,chr17,False,30.3
C10orf143,chr10,False,30.3
AL359508.1,chr10,False,30.3
AL355531.1,chr10,False,30.3
AC005304.1,chr17,False,30.3
SRP68P2,chr17,False,30.3
AL157832.2,chr10,False,30.3
BX322234.2,chr6,False,30.3
MGMT,chr10,False,30.3
EBF3,chr10,False,30.3
AL157832.1,chr10,False,30.3
AC005304.3,chr17,False,30.3
MYL6P5,chr17,False,30.3
MIR548H3,chr17,False,30.3
COX10-AS1,chr17,False,30.3
AL354950.3,chr10,False,30.3
CFHR3,chr1,False,30.3
LINC02646,chr10,False,30.3
CDRT15P1,chr17,False,30.3
GLRX3,chr10,False,30.3
RN7SL656P,chr17,False,30.3
CTAGE7P,chr10,False,30.3
LINC02093,chr17,False,30.3
LINC02074,chr17,False,30.3
LINC02666,chr10,False,30.3
AC137735.1,chr17,False,30.3
AC137735.2,chr17,False,30.3
AC137735.3,chr17,False,30.3
AL391869.1,chr10,False,30.3
HS3ST3A1,chr17,False,30.3
TCERG1L,chr10,False,30.3
PPIAP32,chr10,False,30.3
CFHR1,chr1,False,30.3
AC007432.1,chr17,False,30.3
AC016816.1,chr10,False,30.3
RNU7-155P,chr17,False,30.3
TCERG1L-AS1,chr10,False,30.3
AC103809.1,chr17,False,28.79
LINC00574,chr6,False,28.79
FAM25E,chr10,False,28.79
AL596442.1,chr6,False,28.79
AL592071.1,chr10,False,28.79
GSG1L2,chr17,False,28.79
FAM245B,chr10,False,28.79
AC087501.4,chr17,False,28.79
AL596442.2,chr6,False,28.79
AL596442.4,chr6,False,28.79
AL596442.3,chr6,False,28.79
MGC16275,chr17,False,28.79
AC027045.3,chr17,False,28.79
LINC01163,chr10,False,28.79
GTPBP4,chr10,False,28.79
AC027045.2,chr17,False,28.79
IDI2,chr10,False,28.79
AL645933.2,chr6,False,28.79
AL731733.1,chr10,False,28.79
INPP5A,chr10,False,28.79
IDI1,chr10,False,28.79
INSYN2A,chr10,False,28.79
JAKMIP3,chr10,False,28.79
TCTE3,chr6,False,28.79
KIF19,chr17,False,28.79
RPL5P28,chr10,False,28.79
AC100786.1,chr17,False,28.79
KNDC1,chr10,False,28.79
AL355537.1,chr10,False,28.79
RPL38,chr17,False,28.79
AL607033.1,chr10,False,28.79
THBS2,chr6,False,28.79
LINC00200,chr10,False,28.79
MIR202HG,chr10,False,28.79
MIR202,chr10,False,28.79
AC027045.1,chr17,False,28.79
LINC00242,chr6,False,28.79
AL603783.1,chr6,False,28.79
AC087501.3,chr17,False,28.79
LRRC27,chr10,False,28.79
RPL19P18,chr17,False,28.79
TUBGCP2,chr10,False,28.79
STK32C,chr10,False,28.79
GAS7,chr17,False,28.79
AL359094.1,chr10,False,28.79
AL359094.2,chr10,False,28.79
BX322234.1,chr6,False,28.79
AL450307.1,chr10,False,28.79
LINC02667,chr10,False,28.79
FOXI2,chr10,False,28.79
BMS1P1,chr10,False,28.79
AL359878.1,chr10,False,28.79
AL359878.2,chr10,False,28.79
LINC02870,chr10,False,28.79
BNIP3,chr10,False,28.79
AL391005.1,chr10,False,28.79
AL360181.1,chr10,False,28.79
AL360181.2,chr10,False,28.79
FUOM,chr10,False,28.79
BTBD17,chr17,False,28.79
AL360181.3,chr10,False,28.79
AL360181.4,chr10,False,28.79
AL390763.1,chr10,False,28.79
AL390236.1,chr10,False,28.79
BUB1P1,chr10,False,28.79
AL451069.1,chr10,False,28.79
AL451069.2,chr10,False,28.79
TTYH2,chr17,False,28.79
AL513210.2,chr6,False,28.79
SPRN,chr10,False,28.79
FP565171.1,chr10,False,28.79
LINC01164,chr10,False,28.79
LINC01165,chr10,False,28.79
AC087501.1,chr17,False,28.79
LINC01166,chr10,False,28.79
LINC01167,chr10,False,28.79
LINC01168,chr10,False,28.79
GPR142,chr17,False,28.79
LINC01615,chr6,False,28.79
AL513210.1,chr6,False,28.79
AC005695.3,chr17,False,28.79
RPL12P23,chr6,False,28.79
AL512622.1,chr10,False,28.79
LINC02519,chr6,False,28.79
LINC02544,chr6,False,28.79
GLUD1P2,chr10,False,28.79
AC005695.2,chr17,False,28.79
STX8,chr17,False,28.79
GLP2R,chr17,False,28.79
BANF1P2,chr10,False,28.79
