Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr9,False,75.32
Metazoa_SRP,chr5,False,43.04
AC000032.1,chr1,False,36.36
U6,chr15,False,35.44
LCE3C,chr1,False,35.44
U8,chr15,False,33.95
AC092821.2,chr12,False,33.95
SNORA70,chr9,False,33.21
OR52N1,chr11,False,29.68
OR52N5,chr11,False,28.2
SIGLEC14,chr19,False,26.9
U3,chr1,False,26.72
KRTAP9-11P,chr17,False,26.72
HCP5B,chr6,False,25.23
AC018755.4,chr19,False,24.86
LGALS9C,chr17,False,24.3
LCE3B,chr1,False,24.3
TNPO1P2,chr17,False,23.93
SNORA62,chr1,False,23.75
NOS2P2,chr17,False,23.75
OR2T10,chr1,False,23.56
OR2T11,chr1,False,23.56
AC098483.2,chr1,False,23.56
AC091874.2,chr5,False,23.38
AC091874.1,chr5,False,23.38
CCDC144B,chr17,False,23.38
AC114786.3,chr4,False,23.01
AC114786.2,chr4,False,22.63
AC009053.2,chr16,False,22.45
UGT2B28,chr4,False,21.89
RNU6-17P,chr15,False,21.89
SRP68P2,chr17,False,21.89
AC087203.1,chr8,False,21.71
FAM66A,chr8,False,21.71
USP32P2,chr17,False,21.34
USP17L7,chr8,False,21.34
FAM106A,chr17,False,21.34
USP17L2,chr8,False,21.34
ARPP19P1,chr5,False,21.15
CEACAMP10,chr19,False,20.78
PSG9,chr19,False,20.78
5S_rRNA,chr16,False,20.59
RHD,chr1,False,20.41
ADAM3A,chr8,False,20.22
SDHDP6,chr1,False,20.22
HNRNPLP2,chr15,False,20.04
AL049634.3,chr20,False,20.04
FSCN1P1,chr15,False,20.04
AC087203.2,chr8,False,19.85
AC009060.1,chr16,False,19.85
HCG4B,chr6,False,19.85
HLA-K,chr6,False,19.85
ZNF705CP,chr8,False,19.48
DEFB108E,chr8,False,19.48
AC123767.1,chr8,False,19.48
CLEC18B,chr16,False,19.48
RNA5SP254,chr8,False,19.48
AC009053.4,chr16,False,19.48
NPIPB15,chr16,False,19.48
AC138028.1,chr16,False,19.29
BTNL3,chr5,False,19.29
AC134312.3,chr16,False,19.11
TAS2R64P,chr12,False,18.92
PIEZO1,chr16,False,18.92
AC138028.2,chr16,False,18.74
AC025884.1,chr15,False,18.74
AC002525.1,chr13,False,18.74
AC138028.4,chr16,False,18.74
AC134312.1,chr16,False,18.74
MIR4722,chr16,False,18.74
AC009053.3,chr16,False,18.74
AC138028.5,chr16,False,18.74
AC025884.2,chr15,False,18.55
AC009145.2,chr16,False,18.55
AC138028.6,chr16,False,18.55
AC134312.4,chr16,False,18.55
U7,chr12,False,18.55
AC027279.2,chr16,False,18.55
AC009145.4,chr16,False,18.55
AC027279.3,chr16,False,18.55
AC009145.3,chr16,False,18.55
IGHD1OR15-1B,chr15,False,18.37
AL935212.3,chr9,False,18.37
CFHR3,chr1,False,18.37
NOS2P4,chr17,False,18.37
IGHD5OR15-5B,chr15,False,18.37
IGHD4OR15-4B,chr15,False,18.37
IGHD3OR15-3B,chr15,False,18.37
IGHD2OR15-2B,chr15,False,18.37
IRF8,chr16,False,18.37
AC009145.1,chr16,False,18.37
AC009141.1,chr16,False,18.18
APRT,chr16,False,18.18
GALNS,chr16,False,18.18
RPS3P7,chr16,False,18.18
CDT1,chr16,False,18.18
DEFB106B,chr8,False,18.0
FAM30C,chr15,False,18.0
AC046158.3,chr16,False,18.0
AC136603.1,chr16,False,18.0
AC092376.3,chr16,False,18.0
FAM242D,chr9,False,18.0
AC134684.11,chr8,False,18.0
AC040169.4,chr16,False,18.0
AC027279.4,chr16,False,18.0
AC092723.5,chr16,False,18.0
AC092376.2,chr16,False,18.0
DNM1P5,chr15,False,18.0
AC037471.1,chr15,False,18.0
DEFB107B,chr8,False,18.0
AC135782.2,chr16,False,18.0
AC027279.1,chr16,False,18.0
DEFB105B,chr8,False,18.0
TRAPPC2L,chr16,False,17.81
AC046158.2,chr16,False,17.81
AC092384.3,chr16,False,17.81
AC092384.2,chr16,False,17.81
AC092384.1,chr16,False,17.81
MBTPS1,chr16,False,17.81
PABPN1L,chr16,False,17.81
AC046158.4,chr16,False,17.81
AC092376.1,chr16,False,17.81
RNA5SP432,chr16,False,17.81
CBFA2T3,chr16,False,17.81
AC009123.1,chr16,False,17.63
ACSF3,chr16,False,17.63
AC135782.1,chr16,False,17.63
ADAD2,chr16,False,17.63
IGHV3-41,chr14,False,17.63
IGHVII-40-1,chr14,False,17.63
LINC00304,chr16,False,17.63
LINC02138,chr16,False,17.63
AC135782.3,chr16,False,17.63
CDH15,chr16,False,17.63
ZNF778,chr16,False,17.44
AC009113.1,chr16,False,17.44
HOMER2P1,chr14,False,17.44
AC138512.1,chr16,False,17.44
AC134312.5,chr16,False,17.44
AC126696.2,chr16,False,17.44
BX284668.5,chr1,False,17.44
RNU1-2,chr1,False,17.44
AC134312.6,chr16,False,17.44
MIR6775,chr16,False,17.44
SLC38A8,chr16,False,17.44
TAF1C,chr16,False,17.44
LINC02182,chr16,False,17.44
GPR42,chr19,False,17.44
SLC22A31,chr16,False,17.44
AC134312.2,chr16,False,17.44
ZNF469,chr16,False,17.44
NECAB2,chr16,False,17.25
AC009159.2,chr16,False,17.25
AC009159.3,chr16,False,17.25
AC009119.2,chr16,False,17.25
CYBA,chr16,False,17.25
AC244452.1,chr14,False,17.25
DEFB108C,chr8,False,17.25
OSGIN1,chr16,False,17.25
KCNG4,chr16,False,17.25
IL17C,chr16,False,17.25
WFDC1,chr16,False,17.25
HSDL1,chr16,False,17.25
RNA5SP433,chr16,False,17.25
AC040169.1,chr16,False,17.25
AC040169.2,chr16,False,17.25
AC040169.3,chr16,False,17.25
AC010551.3,chr16,False,17.25
MVD,chr16,False,17.25
AC010551.1,chr16,False,17.25
DNAAF1,chr16,True,17.25
AC010551.2,chr16,False,17.25
AC009113.2,chr16,False,17.25
SNAI3-AS1,chr16,False,17.25
DDX39BP1,chr6,False,17.25
CFHR1,chr1,False,17.25
BX284668.4,chr1,False,17.25
ATP2C2-AS1,chr16,False,17.25
ATP2C2,chr16,False,17.25
AC009108.4,chr16,False,17.07
MEAK7,chr16,False,17.07
AC009108.3,chr16,False,17.07
MAF,chr16,True,17.07
PRR23D3P,chr8,False,17.07
PRR23D2,chr8,False,17.07
AC138028.3,chr16,False,17.07
KRT16P6,chr17,False,17.07
SPAG11A,chr8,False,17.07
DEFB106A,chr8,False,17.07
SNAI3,chr16,False,17.07
SLC7A5,chr16,False,17.07
DEFB107A,chr8,False,17.07
ANKRD11,chr16,False,17.07
RNF166,chr16,False,17.07
BANP,chr16,False,17.07
AC135012.1,chr16,False,17.07
FBXO31,chr16,False,17.07
DEFB104A,chr8,False,17.07
DEFB105A,chr8,False,17.07
RNA5SP431,chr16,False,17.07
AC137932.3,chr16,False,17.07
AC022165.1,chr16,False,17.07
AC010531.7,chr16,False,17.07
AC127455.1,chr16,False,17.07
AC009159.1,chr16,False,17.07
AC046158.1,chr16,False,17.07
AC084064.1,chr16,False,17.07
LINC01229,chr16,False,16.88
FOXC2,chr16,False,16.88
AC010531.2,chr16,False,16.88
AC010531.3,chr16,False,16.88
AC010531.6,chr16,False,16.88
AC010531.5,chr16,False,16.88
AC010531.4,chr16,False,16.88
FLJ30679,chr16,False,16.88
DEFB130A,chr8,False,16.88
LINC01228,chr16,False,16.88
AC093519.1,chr16,False,16.88
AC093519.2,chr16,False,16.88
AC010531.1,chr16,False,16.88
LINC01081,chr16,False,16.88
LINC01082,chr16,False,16.88
DEFB131D,chr8,False,16.88
LINC00917,chr16,False,16.88
FOXC2-AS1,chr16,False,16.88
MLYCD,chr16,False,16.88
AC092327.2,chr16,False,16.88
CA5A,chr16,False,16.88
ZFPM1,chr16,False,16.88
MIR5189,chr16,False,16.88
AC092127.2,chr16,False,16.88
HSBP1,chr16,False,16.88
AC092120.3,chr16,False,16.88
AC092327.1,chr16,False,16.88
MTHFSD,chr16,False,16.88
FOXF1,chr16,False,16.88
AC092120.2,chr16,False,16.88
AC092120.1,chr16,False,16.88
ALG1L11P,chr8,False,16.88
COTL1,chr16,False,16.88
AC092718.9,chr16,False,16.88
DEFB103A,chr8,False,16.88
FOXL1,chr16,False,16.88
FENDRR,chr16,False,16.88
AC145124.1,chr8,False,16.88
AC137932.2,chr16,False,16.88
AC009108.1,chr16,False,16.88
MAP1LC3B,chr16,False,16.88
MAFTRR,chr16,False,16.88
AC009154.2,chr16,False,16.88
ZC3H18,chr16,False,16.88
ZCCHC14,chr16,False,16.88
AC130467.1,chr16,False,16.88
AC137932.1,chr16,False,16.88
AC009119.1,chr16,False,16.88
FAM86B1,chr8,False,16.88
AC133540.1,chr16,False,16.88
AC135012.2,chr16,False,16.88
AC135012.3,chr16,False,16.88
LINC02189,chr16,False,16.88
LINC02188,chr16,False,16.88
AC133539.1,chr16,False,16.88
AC009159.4,chr16,False,16.88
AC136285.1,chr16,False,16.88
AC009108.2,chr16,False,16.88
RNU6-430P,chr16,False,16.88
ENPP7P12,chr8,False,16.88
AC136285.3,chr16,False,16.88
LINC02135,chr16,False,16.88
AC136285.2,chr16,False,16.88
AC126696.3,chr16,False,16.88
AC009154.1,chr16,False,16.88
AC116552.1,chr16,False,16.88
LINC02139,chr16,False,16.88
AC010531.8,chr16,False,16.88
AC126696.1,chr16,False,16.88
AC025884.3,chr15,False,16.7
CDYL2,chr16,False,16.7
AC092135.1,chr16,False,16.7
AC092135.2,chr16,False,16.7
AC026469.1,chr16,False,16.7
AC092130.1,chr16,False,16.7
CIBAR2,chr16,False,16.7
OR4Q1P,chr15,False,16.7
OR4N4,chr15,False,16.7
FAM90A23P,chr8,False,16.7
FAM90A6P,chr8,False,16.7
OR4N3P,chr15,False,16.7
OR4M2,chr15,False,16.7
DYNLRB2,chr16,False,16.7
C16orf95,chr16,False,16.7
AC010536.3,chr16,False,16.7
AC010536.1,chr16,False,16.7
AC010536.2,chr16,False,16.7
AC010760.1,chr15,False,16.7
GINS2,chr16,False,16.7
FAM90A7P,chr8,False,16.7
OR11K1P,chr15,False,16.7
OR4C6,chr11,False,16.7
