Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr3,False,89.67
Metazoa_SRP,chr20,False,83.06
U8,chr2,False,68.18
U3,chr20,False,65.29
U6,chr20,False,64.88
SNORA63,chr3,False,62.81
SNORA72,chr3,False,57.44
P3H2,chr3,False,51.65
MIR944,chr3,False,50.83
MTAPP2,chr3,False,50.83
P3H2-AS1,chr3,False,50.41
TMEM207,chr3,False,50.41
RNU6-1109P,chr3,False,50.41
TP63,chr3,True,50.41
CLDN16,chr3,False,50.0
TPRG1-AS2,chr3,False,50.0
NMNAT1P3,chr3,False,50.0
CLDN1,chr3,False,50.0
IL1RAP,chr3,False,50.0
AC092964.1,chr3,False,49.59
AC007919.1,chr3,False,49.59
TNFSF10,chr3,False,49.59
MECOM-AS1,chr3,False,49.17
LINC02082,chr3,False,49.17
LINC01997,chr3,False,49.17
ECT2,chr3,False,49.17
RPL22P1,chr3,False,49.17
AC108667.2,chr3,False,49.17
RN7SL141P,chr3,False,49.17
MECOM,chr3,False,49.17
AC092954.2,chr3,False,49.17
AC092954.1,chr3,False,49.17
LINC02068,chr3,False,49.17
NCEH1,chr3,False,49.17
BZW1P1,chr3,False,49.17
SLC31A1P1,chr3,False,49.17
GHSR,chr3,False,49.17
AC007919.2,chr3,False,49.17
TMEM212-AS1,chr3,False,49.17
RPS27AP8,chr3,False,49.17
RNU6-547P,chr3,False,49.17
LRRC31,chr3,False,48.76
AC008040.2,chr3,False,48.76
TMEM212,chr3,False,48.76
SEC62,chr3,False,48.76
SPATA16,chr3,False,48.76
LRRC34,chr3,False,48.76
AC008040.3,chr3,False,48.76
TERC,chr3,True,48.76
AC078795.1,chr3,False,48.76
NLGN1,chr3,False,48.76
RPL21P43,chr3,False,48.76
MYNN,chr3,False,48.76
LRRIQ4,chr3,False,48.76
ACTRT3,chr3,False,48.76
AC068759.1,chr3,False,48.76
DLG1,chr3,False,48.76
FNDC3B,chr3,False,48.76
MIR569,chr3,False,48.76
KRT18P43,chr3,False,48.76
AC008040.1,chr3,False,48.76
TNIK,chr3,False,48.76
SEC62-AS1,chr3,False,48.76
AC078802.1,chr3,False,48.76
AC092919.1,chr3,False,48.76
AC092919.2,chr3,False,48.76
PLD1,chr3,False,48.76
SDHDP3,chr3,False,48.76
RNU4-4P,chr3,False,48.76
AC007849.1,chr3,False,48.76
AC078795.3,chr3,False,48.76
SAMD7,chr3,False,48.76
Telomerase-vert,chr3,False,48.76
RNU6-637P,chr3,False,48.76
RNU6-348P,chr3,False,48.76
AC078795.2,chr3,False,48.76
AC108667.1,chr3,False,48.76
AC026355.3,chr3,False,48.35
EIF5A2,chr3,False,48.35
GCNT1P3,chr3,False,48.35
RN7SKP52,chr3,False,48.35
SKIL,chr3,False,48.35
PRKCI,chr3,True,48.35
ATP5MC1P4,chr3,False,48.35
AC009319.1,chr3,False,48.35
RPL22L1,chr3,False,48.35
MTND5P15,chr3,False,48.35
GPR160,chr3,False,48.35
AC073288.2,chr3,False,48.35
AC073288.1,chr3,False,48.35
AC026355.4,chr3,False,48.35
AC055714.1,chr3,False,48.35
U2,chr3,False,48.35
SLC7A14-AS1,chr3,False,48.35
MIR4797,chr3,False,48.35
AC026316.2,chr3,False,48.35
AC026316.1,chr3,False,48.35
MIR6828,chr3,False,48.35
TMEM212-IT1,chr3,False,48.35
TPRG1-AS1,chr3,False,48.35
RNU4-38P,chr3,False,48.35
AC026316.4,chr3,False,48.35
RNU1-70P,chr3,False,48.35
PHC3,chr3,False,48.35
TBL1XR1,chr3,False,48.35
TBL1XR1-AS1,chr3,False,48.35
AC061708.1,chr3,False,48.35
RNU6-315P,chr3,False,48.35
CLDN11,chr3,False,48.35
AC026316.3,chr3,False,48.35
LINC00578,chr3,False,48.35
AL121981.1,chr3,False,48.35
AC128709.3,chr3,False,48.35
AC026355.1,chr3,False,48.35
SLC7A14,chr3,False,48.35
KLF7P1,chr3,False,48.35
KMT5AP3,chr3,False,48.35
SLC2A2,chr3,False,48.35
AC128709.2,chr3,False,48.35
AC117465.1,chr3,False,48.35
SNORA70,chr19,False,48.35
DLG1-AS1,chr3,False,48.35
AC026355.2,chr3,False,48.35
KRT8P13,chr3,False,48.35
AC026316.5,chr3,False,48.35
ATP13A5-AS1,chr3,False,47.93
AC092967.1,chr3,False,47.93
LINC02038,chr3,False,47.93
ATP13A4-AS1,chr3,False,47.93
ASS1P7,chr3,False,47.93
