Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr1,False,80.56
Metazoa_SRP,chr1,False,66.67
U8,chr1,False,52.78
U3,chr1,False,52.78
U6,chr1,False,50.0
5S_rRNA,chr17,False,44.44
SNORA72,chr1,False,44.44
U4,chr1,False,44.44
LCE3C,chr1,False,44.44
KRTAP9-11P,chr17,False,41.67
SNORA70,chr9,False,41.67
LCE3A,chr1,False,38.89
MTX1,chr1,False,38.89
SCAMP3,chr1,False,38.89
GBAP1,chr1,False,38.89
GBA,chr1,False,38.89
LCEP4,chr1,False,38.89
SNORA63,chr1,False,38.89
MTX1P1,chr1,False,38.89
MIR92B,chr1,False,38.89
FAM189B,chr1,False,38.89
LCE2D,chr1,False,38.89
LCEP3,chr1,False,38.89
U7,chr1,False,38.89
CLK2,chr1,False,38.89
THBS3,chr1,False,38.89
AC234582.1,chr1,False,38.89
LCE3B,chr1,False,38.89
THBS3-AS1,chr1,False,38.89
MUC1,chr1,False,38.89
HCN3,chr1,False,38.89
LINC02768,chr1,False,36.11
LINC01132,chr1,False,36.11
AL353072.1,chr1,False,36.11
AL353072.2,chr1,False,36.11
RPL4P3,chr1,False,36.11
ADAM3A,chr8,False,36.11
AL353709.1,chr1,False,36.11
YWHAQP9,chr1,False,36.11
RPL5P5,chr1,False,36.11
RAB3GAP2,chr1,False,36.11
ACTN2,chr1,False,36.11
TXNIP,chr1,False,36.11
CD160,chr1,False,36.11
TUBB8P6,chr1,False,36.11
LINC01354,chr1,False,36.11
LINC01350,chr1,False,36.11
LINC01348,chr1,False,36.11
LINC01341,chr1,False,36.11
MORF4L1P1,chr1,False,36.11
AC243547.3,chr1,False,36.11
AC243547.2,chr1,False,36.11
AC243547.1,chr1,False,36.11
TTC13,chr1,False,36.11
LINC01139,chr1,False,36.11
AC239800.2,chr1,False,36.11
AC239800.1,chr1,False,36.11
AC239799.2,chr1,False,36.11
AC239799.1,chr1,False,36.11
RN7SL837P,chr1,False,36.11
LINC02869,chr1,False,36.11
AL353052.2,chr1,False,36.11
AL353052.1,chr1,False,36.11
RAC1P7,chr1,False,36.11
LINC01696,chr1,False,36.11
LINC01735,chr1,False,36.11
LINC01732,chr1,False,36.11
RPL23AP20,chr1,False,36.11
RPL23AP22,chr1,False,36.11
RPL23AP23,chr1,False,36.11
LINC01724,chr1,False,36.11
AL022397.1,chr1,False,36.11
LINC01719,chr1,False,36.11
LINC01717,chr1,False,36.11
LINC01710,chr1,False,36.11
AKT3-IT1,chr1,False,36.11
AKT3,chr1,True,36.11
LINC01698,chr1,False,36.11
LINC01653,chr1,False,36.11
ADH5P3,chr1,False,36.11
UBE2V1P13,chr1,False,36.11
LINC01633,chr1,False,36.11
AHCYP8,chr1,False,36.11
AHCTF1,chr1,False,36.11
AGT,chr1,False,36.11
CAMK1G,chr1,False,36.11
CAPN9,chr1,False,36.11
RPL35AP6,chr1,False,36.11
RPL35P1,chr1,False,36.11
ADSS2,chr1,False,36.11
CATSPERE,chr1,False,36.11
ADORA2BP1,chr1,False,36.11
UBBP2,chr1,False,36.11
PTPN14,chr1,False,36.11
RPS15AP12,chr1,False,36.11
LINC01737,chr1,False,36.11
PTGS2,chr1,False,36.11
PROX1-AS1,chr1,False,36.11
PROX1,chr1,False,36.11
Z98751.1,chr1,False,36.11
CLK3P2,chr1,False,36.11
RRP15,chr1,False,36.11
Z98751.2,chr1,False,36.11
Z98751.3,chr1,False,36.11
TRIM46,chr1,False,36.11
RSL24D1P4,chr1,False,36.11
PRG4,chr1,False,36.11
CNST,chr1,False,36.11
COA6,chr1,False,36.11
COA6-AS1,chr1,False,36.11
COG2,chr1,False,36.11
PRELID3BP1,chr1,False,36.11
MRPS18BP1,chr1,False,36.11
RUSC1,chr1,False,36.11
RUSC1-AS1,chr1,False,36.11
RYR2,chr1,False,36.11
AC123767.1,chr8,False,36.11
COX20,chr1,False,36.11
LINC00582,chr1,False,36.11
COX5BP8,chr1,False,36.11
MRPS21P3,chr1,False,36.11
LINC00538,chr1,False,36.11
AL355472.1,chr1,False,36.11
AC118555.1,chr1,False,36.11
AC118470.1,chr1,False,36.11
CR589904.1,chr1,False,36.11
LIX1L-AS1,chr1,False,36.11
LIX1L,chr1,False,36.11
RNU6-157P,chr1,False,36.11
CFL1P4,chr1,False,36.11
RPS21P1,chr1,False,36.11
RPS26P13,chr1,False,36.11
CENPF,chr1,False,36.11
CEP170,chr1,False,36.11
TSNAX-DISC1,chr1,False,36.11
TSNAX,chr1,False,36.11
RPS27,chr1,False,36.11
LINC01036,chr1,False,36.11
LINC01031,chr1,False,36.11
AC138089.1,chr1,False,36.11
CFH,chr1,False,36.11
