Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr1,False,87.16
Metazoa_SRP,chr1,False,75.34
AC006971.1,chr7,False,62.84
EGFR,chr7,True,62.67
EGFR-AS1,chr7,False,62.67
ELDR,chr7,False,59.8
U3,chr1,False,59.63
AC073324.1,chr7,False,58.78
CALM1P2,chr7,False,57.43
SEC61G-DT,chr7,False,56.76
SEC61G,chr7,False,56.59
AC011228.2,chr7,False,55.24
AC011228.3,chr7,False,54.05
AC073347.1,chr7,False,53.55
RPL31P35,chr7,False,53.38
LANCL2,chr7,False,52.2
RNU6-1125P,chr7,False,51.01
AC011228.1,chr7,False,50.84
VOPP1,chr7,False,50.51
VSTM2A-OT1,chr7,False,50.34
VSTM2A,chr7,False,49.49
TRGJP,chr7,False,49.16
TRGJP1,chr7,False,49.16
TRGJP2,chr7,False,48.99
TRGC1,chr7,False,48.99
TEX47,chr7,False,48.99
TRGV11,chr7,False,48.82
AC002383.1,chr7,False,48.82
SLC25A5P3,chr7,False,48.48
ZNF804B,chr7,False,48.31
AC002127.1,chr7,False,47.97
TRGJ1,chr7,False,47.8
TRGVB,chr7,False,47.8
AC003989.1,chr7,False,47.64
STEAP2-AS1,chr7,False,47.47
RNU6-274P,chr7,False,47.47
AC003986.1,chr7,False,47.47
FERD3L,chr7,False,47.47
AC003986.2,chr7,False,47.47
AC003986.3,chr7,False,47.47
AC099681.2,chr7,False,47.3
AC099681.3,chr7,False,47.3
TRGV10,chr7,False,47.13
AC099681.1,chr7,False,46.96
AC004936.1,chr7,False,46.96
AC006033.1,chr7,False,46.79
CDC42P2,chr7,False,46.79
AC091812.1,chr7,False,46.62
LINC01445,chr7,False,46.28
AC003989.2,chr7,False,46.11
EEF1A1P28,chr7,False,46.11
SNORA63,chr7,False,45.44
FKBP9P1,chr7,False,45.44
TUBBP6,chr7,False,45.44
AC010991.1,chr7,False,45.27
TRGV9,chr7,False,45.1
RNU6-389P,chr7,False,44.76
TWIST1,chr7,False,44.76
PQLC1P1,chr7,False,44.59
RNU6-1126P,chr7,False,44.43
5S_rRNA,chr7,False,44.43
AC092647.4,chr7,False,44.26
AC009500.1,chr7,False,44.26
CICP12,chr7,False,44.26
CICP11,chr7,False,44.09
AC006363.1,chr7,False,44.09
SUMO2P3,chr7,False,44.09
AC092848.1,chr7,False,44.09
AC091812.3,chr7,False,44.09
AC091812.2,chr7,False,44.09
SEPTIN14,chr7,False,43.92
AC092647.1,chr7,False,43.92
AC092647.3,chr7,False,43.75
AC092848.2,chr7,False,43.75
AC007091.1,chr7,False,43.58
AC092647.2,chr7,False,43.58
PSPHP1,chr7,False,43.58
POLR1F,chr7,False,43.58
ZNF713,chr7,False,43.41
AC092647.5,chr7,False,43.41
MIR3146,chr7,False,43.24
AC007003.1,chr7,False,43.24
PSPH,chr7,False,43.24
TRBVB,chr7,False,42.91
AC244472.1,chr7,False,42.91
RNU6-417P,chr7,False,42.91
PGBD4P1,chr7,False,42.91
TRBV28,chr7,False,42.91
NPM1P13,chr7,False,42.74
AC004852.3,chr7,False,42.74
AC019117.3,chr7,False,42.74
TRBV27,chr7,False,42.74
AC006972.1,chr7,False,42.57
TRBVA,chr7,False,42.57
TRBV20-1,chr7,False,42.57
TRBV21-1,chr7,False,42.57
TRBV22-1,chr7,False,42.57
TRBV24-1,chr7,False,42.57
TRBV29-1,chr7,False,42.57
NIPSNAP2,chr7,False,42.57
MTRNR2L6,chr7,False,42.57
MRPS17,chr7,False,42.57
LRGUK,chr7,False,42.57
TRBV23-1,chr7,False,42.4
TRBV25-1,chr7,False,42.4
TMEM196,chr7,False,42.4
AC060834.1,chr7,False,42.23
PRSS1,chr7,False,42.23
WBP1LP1,chr7,False,42.23
CCT6A,chr7,False,42.23
LYPLA1P1,chr7,False,42.06
AC019117.2,chr7,False,42.06
PRSS3P1,chr7,False,42.06
PRSS2,chr7,False,42.06
TRBV26,chr7,False,41.89
TRGVA,chr7,False,41.89
PHKG1,chr7,False,41.89
NUP35P2,chr7,False,41.72
SUMF2,chr7,False,41.72
SEPTIN14P1,chr7,False,41.72
RNU6-530P,chr7,False,41.72
