Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr2,False,76.02
Metazoa_SRP,chr5,False,39.82
LCE3C,chr1,False,39.14
AC092821.2,chr12,False,36.88
U3,chr3,False,33.94
U6,chr15,False,31.45
U8,chr2,False,29.64
KRTAP9-11P,chr17,False,29.41
AC147055.4,chr4,False,28.73
UGT2B17,chr4,False,28.73
TNPO1P2,chr17,False,28.73
AC147055.2,chr4,False,28.51
NOS2P2,chr17,False,28.28
LGALS9C,chr17,False,28.05
HCP5B,chr6,False,27.15
SNORA70,chr5,False,26.92
AC000032.1,chr1,False,26.7
SIGLEC14,chr19,False,26.47
CCDC144B,chr17,False,25.57
AL935212.3,chr9,False,25.34
AC018755.4,chr19,False,25.34
SRP68P2,chr17,False,24.89
USP32P2,chr17,False,24.89
FAM242D,chr9,False,24.89
FAM106A,chr17,False,24.89
UGT2B29P,chr4,False,24.66
OR52N5,chr11,False,24.21
OR52N1,chr11,False,23.98
AL049634.3,chr20,False,23.53
HOMER2P1,chr14,False,23.53
IGHV3-41,chr14,False,22.85
IGHVII-40-1,chr14,False,22.85
OR4S2,chr11,False,22.4
OR4P4,chr11,False,22.4
AC244452.1,chr14,False,22.4
OR4C6,chr11,False,22.17
MIR548BB,chr3,False,21.95
AC104164.2,chr3,False,21.95
IGHVII-30-1,chr14,False,21.27
IGHV3-30-2,chr14,False,21.27
FAM30C,chr15,False,20.59
AC037471.1,chr15,False,20.59
IGHD2OR15-2B,chr15,False,20.36
IGHD3OR15-3B,chr15,False,20.36
IGHD4OR15-4B,chr15,False,20.36
IGHD5OR15-5B,chr15,False,20.36
IGHD1OR15-1B,chr15,False,20.36
LCE3B,chr1,False,20.14
OR4V1P,chr11,False,20.14
AC025884.2,chr15,False,20.14
AC025884.1,chr15,False,19.91
ADAM3A,chr8,False,19.91
DDX39BP1,chr6,False,19.91
AC123767.1,chr8,False,19.68
HLA-K,chr6,False,19.46
RNU1-114P,chr1,False,19.46
RNVU1-17,chr1,False,19.46
PFN1P12,chr1,False,19.46
HCG4B,chr6,False,19.46
NBPF17P,chr1,False,19.46
TAS2R64P,chr12,False,18.78
AC131280.1,chr15,False,18.55
BCAR1P2,chr15,False,18.55
AC114786.3,chr4,False,18.55
NBEAP1,chr15,False,18.55
SDHDP6,chr1,False,18.55
OR7E84P,chr4,False,18.55
AC114786.2,chr4,False,18.33
RN7SL400P,chr15,False,18.33
AC126335.2,chr15,False,18.33
AC126335.1,chr15,False,18.33
NBEAP4,chr15,False,18.33
BMS1P16,chr15,False,18.33
AC091874.2,chr5,False,18.1
AC091874.1,chr5,False,18.1
AC023310.4,chr15,False,18.1
RHD,chr1,False,17.87
OR11J2P,chr15,False,17.65
MIR5701-1,chr15,False,17.65
RNU6-749P,chr15,False,17.65
ZNF519P2,chr15,False,17.65
RNU6-498P,chr15,False,17.65
RNVU1-18,chr1,False,17.65
MIR3118-2,chr15,False,17.65
OR11J5P,chr15,False,17.65
AC012414.1,chr15,False,17.65
LONRF2P3,chr15,False,17.65
RNVU1-23,chr1,False,17.65
AC037471.2,chr15,False,17.65
AC012414.2,chr15,False,17.65
NF1P1,chr15,False,17.65
AC012414.3,chr15,False,17.65
GRAMD4P5,chr15,False,17.65
LINC01193,chr15,False,17.65
AC012414.4,chr15,False,17.65
AC012414.5,chr15,False,17.65
POTEB2,chr15,False,17.65
AC012414.6,chr15,False,17.65
RNU6-17P,chr15,False,17.65
AC239800.2,chr1,False,17.42
AC098483.2,chr1,False,17.42
AC239800.1,chr1,False,17.42
OR2T11,chr1,False,17.42
OR2T10,chr1,False,17.19
OR11J6P,chr15,False,17.19
AC134980.1,chr15,False,17.19
ARPP19P1,chr5,False,17.19
IGHV1OR15-6,chr15,False,16.97
AC023310.2,chr15,False,16.97
UGT2B28,chr4,False,16.97
AC068446.2,chr15,False,16.74
RNU6-1235P,chr15,False,16.74
AC060814.4,chr15,False,16.74
AC060814.3,chr15,False,16.74
AC060814.2,chr15,False,16.74
AC060814.1,chr15,False,16.74
GRAMD4P6,chr15,False,16.74
IGHV7-40,chr14,False,16.74
OR4M2,chr15,False,16.74
LONRF2P4,chr15,False,16.74
OR11K1P,chr15,False,16.74
OR11H3P,chr15,False,16.74
IGHV1OR15-1,chr15,False,16.74
MIR1268A,chr15,False,16.74
IGHV1OR15-3,chr15,False,16.74
IGHV1OR15-4,chr15,False,16.74
AC010760.1,chr15,False,16.74
OR4Q1P,chr15,False,16.74
AC134980.2,chr15,False,16.74
AC068446.1,chr15,False,16.74
CXADRP2,chr15,False,16.74
CEACAMP10,chr19,False,16.74
OR4N4,chr15,False,16.74
AC026495.1,chr15,False,16.74
ALG1L2,chr3,False,16.74
OR4H6P,chr15,False,16.74
MIR3118-3,chr15,False,16.74
IGHV4OR15-8,chr15,False,16.74
RPS8P10,chr15,False,16.74
PSG9,chr19,False,16.74
GOLGA6L6,chr15,False,16.74
AC025884.3,chr15,False,16.74
POTEB3,chr15,False,16.74
OR4P1P,chr11,False,16.74
OR4N3P,chr15,False,16.74
AP006437.1,chr11,False,16.74
SPATA31E2P,chr15,False,16.52
MIR3118-4,chr15,False,16.52
CFHR3,chr1,False,16.52
OR11J7P,chr15,False,16.52
POTEB,chr15,False,16.52
AC026495.2,chr15,False,16.52
AC183088.1,chr15,False,16.52
NF1P2,chr15,False,16.52
MCCD1P1,chr6,False,16.52
AC183088.3,chr15,False,16.52
AC183088.4,chr15,False,16.52
NF1P9,chr15,False,16.52
RNU6-631P,chr15,False,16.52
HNRNPLP2,chr15,False,16.52
RN7SL759P,chr15,False,16.52
USP17L2,chr8,False,16.52
FSCN1P1,chr15,False,16.52
AC183088.2,chr15,False,16.52
AC135068.7,chr15,False,16.52
AC135068.4,chr15,False,16.52
AC135068.2,chr15,False,16.52
AC135068.6,chr15,False,16.52
AC135068.12,chr15,False,16.52
AC134981.1,chr15,False,16.52
AC135068.8,chr15,False,16.52
AC135068.11,chr15,False,16.52
LINC02203,chr15,False,16.52
ZNF519P3,chr15,False,16.52
AC023310.3,chr15,False,16.52
AC135068.5,chr15,False,16.52
GOLGA8CP,chr15,False,16.52
MIR5701-2,chr15,False,16.52
MIR5701-3,chr15,False,16.52
AC135068.9,chr15,False,16.52
AC135068.10,chr15,False,16.52
