Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,83.33
U8,chr3,False,61.11
Metazoa_SRP,chr1,False,61.11
SNORA70,chr1,False,58.33
AL354712.1,chr1,False,55.56
U6,chr4,False,55.56
RNA5SP41,chr1,False,55.56
PRDM2,chr1,False,55.56
U3,chr3,False,55.56
BRWD1P1,chr1,False,55.56
PDPN,chr1,False,55.56
AL359771.2,chr1,False,55.56
AL359771.1,chr1,False,55.56
LRRC38,chr1,False,55.56
CASP9,chr1,False,52.78
AL031727.2,chr1,False,52.78
PINK1,chr1,False,52.78
RPL22P3,chr1,False,52.78
AKR7A3,chr1,False,52.78
SLC66A1,chr1,False,52.78
AKR7A2,chr1,False,52.78
SZRD1,chr1,False,52.78
EIF4G3,chr1,False,52.78
FBXO42,chr1,False,52.78
AL391883.1,chr1,False,52.78
ECE1,chr1,False,52.78
MIR3972,chr1,False,52.78
LINC01757,chr1,False,52.78
ATP13A2,chr1,False,52.78
PINK1-AS,chr1,False,52.78
RPS15AP6,chr1,False,52.78
Z98257.2,chr1,False,52.78
TBC1D3P6,chr1,False,52.78
PRAMEF12,chr1,False,52.78
AL355994.5,chr1,False,52.78
AL355994.4,chr1,False,52.78
AL355994.3,chr1,False,52.78
CLCNKA,chr1,False,52.78
TAS1R2,chr1,False,52.78
DYNLL1P3,chr1,False,52.78
NECAP2,chr1,False,52.78
RNF186,chr1,False,52.78
CAMK2N1,chr1,False,52.78
AL355994.2,chr1,False,52.78
AL355994.1,chr1,False,52.78
AL031727.1,chr1,False,52.78
RPS4XP4,chr1,False,52.78
AL357873.1,chr1,False,52.78
IFFO2,chr1,False,52.78
AKR7L,chr1,False,52.78
ACTL8,chr1,False,52.78
RNU6-1099P,chr1,False,52.78
RNU6-1265P,chr1,False,52.78
KAZN,chr1,False,52.78
CTRC,chr1,False,52.78
MIR4695,chr1,False,52.78
KAZN-AS1,chr1,False,52.78
CELA2B,chr1,False,52.78
CAPZB,chr1,False,52.78
EPHA2,chr1,False,52.78
AL591896.1,chr1,False,52.78
AL139254.3,chr1,False,52.78
AC254633.1,chr1,False,52.78
HSPB7,chr1,False,52.78
EFHD2,chr1,False,52.78
CELA2A,chr1,False,52.78
LINC01772,chr1,False,52.78
SRARP,chr1,False,52.78
MIR6730,chr1,False,52.78
AL031005.2,chr1,False,52.78
SNORA62,chr3,False,52.78
ALDH4A1,chr1,False,52.78
SNORA59A,chr1,False,52.78
ZBTB2P1,chr1,False,52.78
NBL1,chr1,False,52.78
HP1BP3,chr1,False,52.78
AL357509.1,chr1,False,52.78
AL031737.1,chr1,False,52.78
VWA5B1,chr1,False,52.78
AL139254.1,chr1,False,52.78
FHAD1,chr1,False,52.78
FHAD1-AS1,chr1,False,52.78
AL049569.3,chr1,False,52.78
PAX7,chr1,False,52.78
LINC01654,chr1,False,52.78
AL020998.1,chr1,False,52.78
AL139254.2,chr1,False,52.78
AL049569.1,chr1,False,52.78
