Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr2,False,80.39
Metazoa_SRP,chr8,False,56.25
U6,chr14,False,44.51
U8,chr2,False,42.82
U3,chr3,False,42.03
SNORA70,chr8,False,40.63
LCE3C,chr1,False,37.69
AC092821.2,chr12,False,33.58
AC000032.1,chr1,False,29.69
SNORA62,chr8,False,29.64
OR52N1,chr11,False,28.5
KRTAP9-11P,chr17,False,27.82
OR52N5,chr11,False,27.5
LGALS9C,chr17,False,26.87
NOS2P2,chr17,False,26.81
TNPO1P2,chr17,False,26.72
HCP5B,chr6,False,25.61
CCDC144B,chr17,False,25.31
LCE3B,chr1,False,25.08
SRP68P2,chr17,False,24.5
SIGLEC14,chr19,False,24.47
USP32P2,chr17,False,24.03
FAM106A,chr17,False,24.03
SNORD39,chr9,False,23.56
AC018755.4,chr19,False,22.85
SDHDP6,chr1,False,22.79
RHD,chr1,False,22.78
AL935212.3,chr9,False,22.76
ADAM3A,chr8,False,22.75
FAM242D,chr9,False,22.71
AC123767.1,chr8,False,22.2
AC091874.2,chr5,False,22.19
AC091874.1,chr5,False,22.19
USP17L7,chr8,False,21.99
USP17L2,chr8,False,21.74
AC087203.1,chr8,False,20.94
FAM66A,chr8,False,20.94
ARPP19P1,chr5,False,20.63
AC114786.3,chr4,False,20.07
AC114786.2,chr4,False,19.69
RNU6-17P,chr15,False,19.63
TAS2R64P,chr12,False,19.6
HOMER2P1,chr14,False,19.58
IGHD1OR15-1B,chr15,False,19.57
AL049634.3,chr20,False,19.57
IGHD2OR15-2B,chr15,False,19.57
IGHD3OR15-3B,chr15,False,19.57
IGHD4OR15-4B,chr15,False,19.57
IGHD5OR15-5B,chr15,False,19.57
IGHVII-40-1,chr14,False,19.43
AC025884.1,chr15,False,19.41
IGHV3-41,chr14,False,19.4
AC098483.2,chr1,False,19.4
OR2T11,chr1,False,19.38
FAM30C,chr15,False,19.34
AC037471.1,chr15,False,19.34
AC025884.2,chr15,False,19.3
OR2T10,chr1,False,19.25
ZNF705CP,chr8,False,19.09
DEFB108E,chr8,False,19.09
RNA5SP254,chr8,False,19.09
AC244452.1,chr14,False,19.06
PRR23D3P,chr8,False,18.97
DEFB104A,chr8,False,18.97
DEFB107A,chr8,False,18.97
DEFB106A,chr8,False,18.97
DEFB105A,chr8,False,18.97
DEFB103A,chr8,False,18.95
AC002525.1,chr13,False,18.88
SPAG11A,chr8,False,18.83
AC147055.2,chr4,False,18.79
AC147055.4,chr4,False,18.75
PSG9,chr19,False,18.73
CEACAMP10,chr19,False,18.73
PRR23D2,chr8,False,18.73
IGHVII-30-1,chr14,False,18.64
IGHV3-30-2,chr14,False,18.64
UGT2B28,chr4,False,18.55
BTNL3,chr5,False,18.54
DDX39BP1,chr6,False,18.4
FSCN1P1,chr15,False,18.39
AC087203.2,chr8,False,18.39
HNRNPLP2,chr15,False,18.35
AL449423.1,chr9,False,18.31
CDKN2B-AS1,chr9,False,18.31
UGT2B17,chr4,False,18.23
OR4C6,chr11,False,18.2
U4,chr11,False,18.05
OR4S2,chr11,False,18.02
CDKN2B,chr9,True,17.96
UBA52P6,chr9,False,17.8
OR7E157P,chr8,False,17.76
DEFB106B,chr8,False,17.76
AC134684.12,chr8,False,17.76
DEFB105B,chr8,False,17.76
DEFB107B,chr8,False,17.76
FAM90A6P,chr8,False,17.76
FAM90A23P,chr8,False,17.76
FAM90A21P,chr8,False,17.76
FAM90A22P,chr8,False,17.76
FAM90A7P,chr8,False,17.76
PRR23D1,chr8,False,17.76
OR4P4,chr11,False,17.71
CDKN2A-DT,chr9,False,17.67
CDKN2A,chr9,True,17.67
AC134684.11,chr8,False,17.66
BCAR1P2,chr15,False,17.64
AC084121.2,chr8,False,17.61
AC084121.1,chr8,False,17.61
AC084121.3,chr8,False,17.61
FAM90A19P,chr8,False,17.61
AC134684.10,chr8,False,17.61
FAM90A10P,chr8,False,17.61
FAM90A14P,chr8,False,17.61
FAM90A16P,chr8,False,17.61
AC134684.1,chr8,False,17.61
OR7E154P,chr8,False,17.61
FAM90A17P,chr8,False,17.61
FAM90A18P,chr8,False,17.61
AC084121.4,chr8,False,17.61
FAM90A9P,chr8,False,17.61
FAM90A8P,chr8,False,17.61
ALG1L2,chr3,False,17.47
CFHR3,chr1,False,17.44
LINC00681,chr8,False,17.44
ZNF705B,chr8,False,17.43
U2,chr4,False,17.36
PFN1P12,chr1,False,17.35
HCG4B,chr6,False,17.33
HLA-K,chr6,False,17.33
NBPF17P,chr1,False,17.31
DEFB108C,chr8,False,17.23
RNU1-114P,chr1,False,17.2
AC010760.1,chr15,False,17.13
OR11H3P,chr15,False,17.13
OR11K1P,chr15,False,17.13
IGHV4OR15-8,chr15,False,17.13
MIR1268A,chr15,False,17.13
RPS8P10,chr15,False,17.13
IGHV1OR15-1,chr15,False,17.13
AC025884.3,chr15,False,17.13
OR4H6P,chr15,False,17.13
IGHV1OR15-3,chr15,False,17.13
AC134980.2,chr15,False,17.13
OR4M2,chr15,False,17.13
OR4N3P,chr15,False,17.13
IGHV1OR15-4,chr15,False,17.13
OR4N4,chr15,False,17.13
OR4Q1P,chr15,False,17.13
ERVFRD-3,chr9,False,17.11
RNVU1-17,chr1,False,17.09
AL354709.1,chr9,False,17.09
DEFB103B,chr8,False,17.01
SPAG11B,chr8,False,17.0
RN7SL400P,chr15,False,16.99
AC126335.1,chr15,False,16.99
AC126335.2,chr15,False,16.99
NBEAP4,chr15,False,16.99
BMS1P16,chr15,False,16.99
LINC02851,chr9,False,16.98
DEFB4A,chr8,False,16.92
HSPD1P2,chr8,False,16.92
AC131280.1,chr15,False,16.9
NBEAP1,chr15,False,16.85
DEFB4B,chr8,False,16.79
HSPD1P3,chr8,False,16.79
AC023310.4,chr15,False,16.77
RNU6-1235P,chr15,False,16.75
AC060814.2,chr15,False,16.75
AC060814.3,chr15,False,16.75
AC060814.1,chr15,False,16.75
LONRF2P4,chr15,False,16.75
AC060814.4,chr15,False,16.75
MIR3118-3,chr15,False,16.75
GRAMD4P6,chr15,False,16.75
CXADRP2,chr15,False,16.75
POTEB3,chr15,False,16.75
AC068446.2,chr15,False,16.75
AC068446.1,chr15,False,16.75
DEFB104B,chr8,False,16.74
OR7E84P,chr4,False,16.72
AC136777.1,chr8,False,16.67
AC026495.1,chr15,False,16.67
OR4V1P,chr11,False,16.63
IGHV1OR15-6,chr15,False,16.6
AC023310.2,chr15,False,16.6
UGT2B29P,chr4,False,16.51
DNM1P5,chr15,False,16.51
OR11J6P,chr15,False,16.48
AC134980.1,chr15,False,16.48
U7,chr16,False,16.41
MIR3118-2,chr15,False,16.38
AC012414.3,chr15,False,16.38
AC012414.1,chr15,False,16.38
LONRF2P3,chr15,False,16.38
MIR5701-1,chr15,False,16.38
AC012414.6,chr15,False,16.38
AC012414.5,chr15,False,16.38
AC012414.4,chr15,False,16.38
