Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr13,False,97.73
Metazoa_SRP,chr7,False,84.09
U3,chr17,False,65.91
U6,chr2,False,51.14
U8,chr15,False,44.32
SNORA72,chr8,False,39.77
AC018714.2,chr8,False,38.64
MYC,chr8,True,38.64
AC018714.1,chr8,False,38.64
AL049634.3,chr20,False,38.64
CASC8,chr8,False,38.64
POU5F1B,chr8,False,37.5
AC108925.1,chr8,False,37.5
CASC11,chr8,False,37.5
AC104370.1,chr8,False,37.5
MIR1204,chr8,False,36.36
PVT1,chr8,False,36.36
CCAT2,chr8,False,36.36
SNORA63,chr7,False,36.36
U4,chr8,False,35.23
AC084123.1,chr8,False,35.23
AL391097.1,chr20,False,34.09
AC005808.1,chr20,False,34.09
TSHZ2,chr20,False,34.09
RN7SKP184,chr20,False,34.09
TMEM75,chr8,False,34.09
PPIAP10,chr20,False,34.09
AL157838.1,chr20,False,34.09
MIR1205,chr8,False,34.09
AC005220.1,chr20,False,34.09
ZNF217,chr20,True,34.09
AL391097.2,chr20,False,34.09
RNU7-14P,chr20,False,34.09
BCAS1,chr20,False,34.09
AL109930.1,chr20,False,34.09
AC005914.1,chr20,False,34.09
AL391097.3,chr20,False,34.09
SUMO1P1,chr20,False,34.09
AL354993.1,chr20,False,34.09
PRNCR1,chr8,False,34.09
AL354993.2,chr20,False,34.09
AC006076.1,chr20,False,34.09
AC000032.1,chr1,False,34.09
CASC19,chr8,False,34.09
AC020688.1,chr8,False,34.09
AL031674.1,chr20,False,32.95
KRTAP9-11P,chr17,False,32.95
MIR1206,chr8,False,32.95
MIR4756,chr20,False,32.95
AC103705.1,chr8,False,32.95
CYP24A1,chr20,False,32.95
RNVU1-32,chr8,False,32.95
AL133335.1,chr20,False,32.95
AL133335.2,chr20,False,32.95
RNU4-25P,chr8,False,32.95
RPL36P1,chr20,False,32.95
AL161945.1,chr20,False,32.95
PFDN4,chr20,False,32.95
AL121902.1,chr20,False,32.95
AC083923.1,chr8,False,31.82
RNU11-4P,chr8,False,31.82
MIR1207,chr8,False,31.82
AC024382.1,chr8,False,31.82
AC087667.1,chr8,False,30.68
MRPS33P4,chr20,False,30.68
KNOP1P5,chr8,False,30.68
RNU4ATAC7P,chr20,False,30.68
AC024681.1,chr8,False,30.68
AC016074.1,chr8,False,30.68
SOD1P3,chr8,False,30.68
AC024681.2,chr8,False,30.68
AL049765.2,chr20,False,30.68
SNORA70,chr19,False,30.68
AL109610.1,chr20,False,30.68
RNU6-869P,chr8,False,30.68
AL049765.1,chr20,False,30.68
DOK5,chr20,False,30.68
AC084116.3,chr8,False,30.68
AC084116.2,chr8,False,30.68
RFPL4AP5,chr8,False,30.68
AC084116.1,chr8,False,30.68
LRATD2,chr8,False,30.68
LCE3C,chr1,False,30.68
PCAT1,chr8,False,30.68
RBM38-AS1,chr20,False,29.55
AL157414.2,chr20,False,29.55
LINC01271,chr20,False,29.55
RN7SL170P,chr20,False,29.55
RNU6-1146P,chr20,False,29.55
RN7SL636P,chr20,False,29.55
RBM38,chr20,False,29.55
AL133232.1,chr20,False,29.55
LINC00861,chr8,False,29.55
LINC01524,chr20,False,29.55
LINC00824,chr8,False,29.55
LINC01716,chr20,False,29.55
TRIB1,chr8,False,29.55
PTMAP6,chr20,False,29.55
AL157414.1,chr20,False,29.55
RPL12P4,chr20,False,29.55
AL157414.3,chr20,False,29.55
FAM209A,chr20,False,29.55
AC091114.1,chr8,False,29.55
AL157414.4,chr20,False,29.55
RN7SKP226,chr8,False,29.55
AL122058.1,chr20,False,29.55
ERP29P1,chr20,False,29.55
AC100822.1,chr8,False,29.55
RAE1,chr20,False,29.55
SPO11,chr20,False,29.55
AC016074.2,chr8,False,29.55
RAB22A,chr20,False,29.55
TFAP2C,chr20,False,29.55
CTCFL,chr20,False,29.55
FAM209B,chr20,False,29.55
MIR4325,chr20,False,29.55
MIR1208,chr8,False,29.55
LINC01270,chr20,False,29.55
MTND1P9,chr20,False,29.55
RTF2,chr20,False,29.55
RNU6-442P,chr8,False,29.55
BMP7-AS1,chr20,False,29.55
BMP7,chr20,False,29.55
GCNT7,chr20,False,29.55
ZFP64,chr20,False,29.55
AL109955.1,chr20,False,29.55
PMEPA1,chr20,False,29.55
HMGB1P1,chr20,False,29.55
RPS4XP3,chr20,False,29.55
ZBP1,chr20,False,29.55
PELATON,chr20,False,29.55
AL109828.1,chr20,False,29.55
RNU6-929P,chr20,False,29.55
AL035541.1,chr20,False,29.55
PCK1,chr20,False,29.55
AL109806.1,chr20,False,29.55
RPL39P39,chr20,False,29.55
RPL39P,chr20,False,29.55
NKILA,chr20,False,29.55
AL109984.1,chr20,False,29.55
AL121832.1,chr20,False,29.55
MTRNR2L3,chr20,False,29.55
SLC9A8,chr20,False,28.41
GNAS,chr20,True,28.41
AL162291.1,chr20,False,28.41
AL109806.2,chr20,False,28.41
MIR296,chr20,False,28.41
MIR298,chr20,False,28.41
APCDD1L,chr20,False,28.41
AL109840.2,chr20,False,28.41
PPP4R1L,chr20,False,28.41
SNAI1,chr20,False,28.41
STX16-NPEPL1,chr20,False,28.41
RN7SL197P,chr20,False,28.41
LINC01742,chr20,False,28.41
AL162615.1,chr20,False,28.41
UBE2V1,chr20,False,28.41
KRT18P4,chr20,False,28.41
COX6CP2,chr20,False,28.41
ATP5F1E,chr20,False,28.41
GNAS-AS1,chr20,False,28.41
AL139824.2,chr20,False,28.41
AL139824.1,chr20,False,28.41
TUBB1,chr20,False,28.41
MRPS16P2,chr20,False,28.41
RNU6-919P,chr20,False,28.41
CBLN4,chr20,False,28.41
AL035250.2,chr20,False,28.41
AL035250.1,chr20,False,28.41
RBBP8NL,chr20,False,28.41
MC3R,chr20,False,28.41
RNA5SP487,chr20,False,28.41
CTSZ,chr20,False,28.41
RNF114,chr20,False,28.41
SALL4,chr20,True,28.41
ATP9A,chr20,False,28.41
AL121832.3,chr20,False,28.41
CSTF1,chr20,False,28.41
AL109829.1,chr20,False,28.41
AURKA,chr20,True,28.41
AL139349.1,chr20,False,28.41
ANKRD60,chr20,False,28.41
AL109840.1,chr20,False,28.41
PRELID3B,chr20,False,28.41
APCDD1L-DT,chr20,False,28.41
AC084083.1,chr8,False,28.41
NELFCD,chr20,False,28.41
RNU1-61P,chr6,False,28.41
AL132655.5,chr20,False,28.41
LINC01440,chr20,False,28.41
LINC01429,chr20,False,28.41
AL138807.1,chr20,False,28.41
AL132655.4,chr20,False,28.41
C20orf85,chr20,False,28.41
AL132655.3,chr20,False,28.41
VAPB,chr20,False,28.41
ZNF831,chr20,False,28.41
AL132655.2,chr20,False,28.41
PEDS1-UBE2V1,chr20,False,28.41
AL160413.1,chr20,False,28.41
AL132655.1,chr20,False,28.41
AL050327.1,chr20,False,28.41
SPATA2,chr20,False,28.41
AL132655.6,chr20,False,28.41
AL132655.7,chr20,False,28.41
LINC01441,chr20,False,28.41
PEDS1,chr20,False,28.41
STX16,chr20,False,28.41
SNRPFP1,chr20,False,28.41
GATA5,chr20,False,28.41
AL354984.1,chr20,False,28.41
AL121917.1,chr20,False,28.41
PIEZO1P2,chr20,False,28.41
AL354984.2,chr20,False,28.41
NPEPL1,chr20,False,28.41
LINC01711,chr20,False,28.41
FAM210B,chr20,False,28.41
EDN3,chr20,False,28.41
TRERNA1,chr20,False,28.41
AL121917.2,chr20,False,28.41
CASS4,chr20,False,28.41
AL354984.3,chr20,False,28.41
RNU6-347P,chr20,False,28.41
RNU7-6P,chr20,False,28.41
AC100858.1,chr8,False,27.27
PHACTR3,chr20,False,27.27
RPS21,chr20,False,27.27
PGAP3,chr17,False,27.27
LINC01273,chr20,False,27.27
LINC01275,chr20,False,27.27
AL035660.1,chr20,False,27.27
AC009908.1,chr8,False,27.27
RN7SL672P,chr20,False,27.27
RNU7-141P,chr20,False,27.27
RNU7-144P,chr20,False,27.27
RPL7P3,chr20,False,27.27
PTPN1,chr20,False,27.27
AL035660.2,chr20,False,27.27
MIR133A2,chr20,False,27.27
PHACTR3-AS1,chr20,False,27.27
SLPI,chr20,False,27.27
PNMT,chr17,False,27.27
BX640514.1,chr20,False,27.27
STARD3,chr17,False,27.27
BX640514.2,chr20,False,27.27
MIR4728,chr17,False,27.27
AL132822.1,chr20,False,27.27
SLCO4A1-AS1,chr20,False,27.27
SQLE,chr8,False,27.27
NFATC2,chr20,False,27.27
SLCO4A1,chr20,False,27.27
MIR645,chr20,False,27.27
MIR646HG,chr20,False,27.27
C20orf197,chr20,False,27.27
CEBPB-AS1,chr20,False,27.27
AL121785.1,chr20,False,27.27
CDH26,chr20,False,27.27
NSMCE2,chr8,False,27.27
AC100858.3,chr8,False,27.27
SEMG2,chr20,False,27.27
MIR1-1,chr20,False,27.27
MIR1-1HG,chr20,False,27.27
MIR1-1HG-AS1,chr20,False,27.27
B4GALT5,chr20,False,27.27
CCDC26,chr8,False,27.27
RPSAP1,chr20,False,27.27
AL121832.2,chr20,False,27.27
TCAP,chr17,False,27.27
PPP1R3D,chr20,False,27.27
MIR3194,chr20,False,27.27
SYCP2,chr20,False,27.27
NTSR1,chr20,False,27.27
AL133230.1,chr20,False,27.27
CABLES2,chr20,False,27.27
SEMG1,chr20,False,27.27
CEBPB,chr20,False,27.27
PIEZO1P1,chr20,False,27.27
WASHC5,chr8,False,27.27
FAM217B,chr20,False,27.27
AL389889.2,chr20,False,27.27
RIPOR3,chr20,False,27.27
AL161937.1,chr20,False,27.27
AL357033.1,chr20,False,27.27
AL357033.2,chr20,False,27.27
AL160410.1,chr20,False,27.27
AL357033.3,chr20,False,27.27
RN7SL329P,chr8,False,27.27
LINC00686,chr20,False,27.27
ERBB2,chr17,True,27.27
AL450469.1,chr20,False,27.27
ZNF572,chr8,False,27.27
AL450469.2,chr20,False,27.27
AL389889.1,chr20,False,27.27
AL499627.2,chr20,False,27.27
U2,chr17,False,27.27
IKZF3,chr17,False,27.27
AL499627.1,chr20,False,27.27
MTCO2P1,chr20,False,26.14
AL031663.3,chr20,False,26.14
AL049541.1,chr20,False,26.14
AL049541.2,chr20,False,26.14
PIGT,chr20,False,26.14
FER1L6,chr8,False,26.14
OGFR-AS1,chr20,False,26.14
ADNP,chr20,False,26.14
PARD6B,chr20,False,26.14
AL357033.4,chr20,False,26.14
MIR548AG2,chr20,False,26.14
WFDC2,chr20,False,26.14
DBNDD2,chr20,False,26.14
AL049766.1,chr20,False,26.14
TP53TG5,chr20,False,26.14
AL049766.2,chr20,False,26.14
ADNP-AS1,chr20,False,26.14
BCAS4,chr20,False,26.14
AL049766.3,chr20,False,26.14
PSMD10P1,chr20,False,26.14
MRGBP,chr20,False,26.14
TMSB4XP6,chr20,False,26.14
OGFR,chr20,False,26.14
AL031663.2,chr20,False,26.14
KCNG1,chr20,False,26.14
ARF4P2,chr20,False,26.14
PTGIS,chr20,False,26.14
AC100871.2,chr8,False,26.14
MATN4,chr20,False,26.14
SPINT3,chr20,False,26.14
RPL36P2,chr20,False,26.14
PI3,chr20,False,26.14
FER1L6-AS1,chr8,False,26.14
SYS1-DBNDD2,chr20,False,26.14
AC103833.2,chr8,False,26.14
AC103833.1,chr8,False,26.14
SYS1,chr20,False,26.14
NCOA5,chr20,False,26.14
AL035685.1,chr20,False,26.14
CD40,chr20,False,26.14
MIR1302-5,chr20,False,26.14
AL031666.3,chr20,False,26.14
RPL5P2,chr20,False,26.14
AL031666.2,chr20,False,26.14
TCFL5,chr20,False,26.14
WASHC5-AS1,chr8,False,26.14
RNU6-147P,chr20,False,26.14
AL139351.3,chr20,False,26.14
MOCS3,chr20,False,26.14
NDUFB4P10,chr20,False,26.14
MIEN1,chr17,False,26.14
LAMA5-AS1,chr20,False,26.14
AL139351.2,chr20,False,26.14
