Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr1,False,98.79
Metazoa_SRP,chr3,False,98.44
U3,chr8,False,93.6
U6,chr1,False,89.45
U8,chr3,False,86.85
SNORA72,chr3,False,85.99
U4,chr1,False,73.36
SNORA63,chr3,False,72.66
U2,chr8,False,71.97
SNORA70,chr3,False,69.55
5S_rRNA,chr6,False,63.32
LINC01997,chr3,False,61.59
SDHDP3,chr3,False,60.9
RN7SKP226,chr8,False,60.73
RNU6-637P,chr3,False,60.73
MYNN,chr3,False,60.55
Telomerase-vert,chr3,False,60.55
AC078795.1,chr3,False,60.55
AC078795.2,chr3,False,60.55
AC078795.3,chr3,False,60.55
AC078802.1,chr3,False,60.55
TERC,chr3,True,60.55
ACTRT3,chr3,False,60.55
LRRC34,chr3,False,60.55
MIR1208,chr8,False,60.38
MIR1207,chr8,False,60.21
AC007849.1,chr3,False,60.21
LRRC31,chr3,False,60.21
AC103705.1,chr8,False,60.03
AC092954.1,chr3,False,60.03
MIR1206,chr8,False,60.03
LRRIQ4,chr3,False,60.03
RNU4-25P,chr8,False,60.03
SAMD7,chr3,False,60.03
AC100822.1,chr8,False,60.03
LINC00824,chr8,False,60.03
AC092954.2,chr3,False,60.03
SEC62-AS1,chr3,False,59.86
LINC02082,chr3,False,59.86
MIR1205,chr8,False,59.86
AC008040.2,chr3,False,59.86
AC008040.1,chr3,False,59.86
TMEM75,chr8,False,59.86
AC008040.3,chr3,False,59.86
MECOM,chr3,False,59.86
KRT18P43,chr3,False,59.86
CCDC26,chr8,False,59.86
RNVU1-32,chr8,False,59.86
KMT5AP3,chr3,False,59.69
GPR160,chr3,False,59.69
RNU4-38P,chr3,False,59.69
MYC,chr8,True,59.69
MIR1204,chr8,False,59.52
PVT1,chr8,False,59.52
SEC62,chr3,False,59.52
AC084123.1,chr8,False,59.52
RNU6-315P,chr3,False,59.52
PHC3,chr3,False,59.52
MECOM-AS1,chr3,False,59.34
RPL22P1,chr3,False,59.34
RPL21P43,chr3,False,59.34
PRKCI,chr3,True,59.17
AC104370.1,chr8,False,59.17
CASC11,chr8,False,59.17
AC108925.1,chr8,False,59.0
AC073288.1,chr3,False,58.65
RNA5SP278,chr8,False,58.48
SKIL,chr3,False,58.48
CLDN11,chr3,False,58.3
AC073288.2,chr3,False,58.3
SLC7A14,chr3,False,58.3
AC055714.1,chr3,False,58.3
SLC7A14-AS1,chr3,False,58.3
TMEM212-AS1,chr3,False,58.3
MIR6828,chr3,False,58.3
AC026316.4,chr3,False,58.3
