Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,91.39
Metazoa_SRP,chr1,False,78.04
U6,chr1,False,73.48
U3,chr1,False,70.61
U8,chr1,False,69.59
AL449423.1,chr9,False,67.91
CDKN2B-AS1,chr9,False,67.91
ERVFRD-3,chr9,False,66.72
CDKN2A-DT,chr9,False,66.55
CDKN2A,chr9,True,66.55
UBA52P6,chr9,False,66.22
CDKN2B,chr9,True,66.22
AL354709.1,chr9,False,65.54
AL359922.3,chr9,False,63.01
AL354709.2,chr9,False,62.84
CFL1P1,chr10,False,62.16
RNLS,chr10,False,62.16
MED6P1,chr10,False,62.16
AL353149.1,chr10,False,62.16
RCBTB2P1,chr10,False,61.99
LIPN,chr10,False,61.99
CH25H,chr10,False,61.99
ANKRD22,chr10,False,61.99
STAMBPL1,chr10,False,61.82
AL157394.3,chr10,False,61.82
KRT8P38,chr10,False,61.82
LIPK,chr10,False,61.82
LIPF,chr10,False,61.82
PTCD2P2,chr10,False,61.82
FAS,chr10,True,61.82
LIPM,chr10,False,61.82
AL157394.2,chr10,False,61.82
NAPGP1,chr10,False,61.82
LIPJ,chr10,False,61.66
RPL7P34,chr10,False,61.66
AL157394.1,chr10,False,61.66
AL160290.1,chr10,False,61.66
AL731571.1,chr10,False,61.49
AL357127.2,chr10,False,61.49
MIR4679-1,chr10,False,61.49
MIR4679-2,chr10,False,61.49
FAM53B-AS1,chr10,False,61.49
AL157888.1,chr10,False,61.49
AL603764.1,chr10,False,61.49
OAT,chr10,False,61.49
FAM24B,chr10,False,61.49
AL513533.1,chr10,False,61.49
BUB3,chr10,False,61.49
ACTA2-AS1,chr10,False,61.49
ABRAXAS2,chr10,False,61.49
EEF1AKMT2,chr10,False,61.49
NKX1-2,chr10,False,61.49
LINC02641,chr10,False,61.49
C10orf88B,chr10,False,61.49
AL359922.2,chr9,False,61.49
AL583824.1,chr10,False,61.49
AL160290.2,chr10,False,61.49
MRPS21P6,chr10,False,61.49
HMX3,chr10,False,61.49
RPS26P39,chr10,False,61.49
RN7SL78P,chr10,False,61.49
C10orf120,chr10,False,61.49
HMX2,chr10,False,61.49
AL603764.2,chr10,False,61.49
WDR11-AS1,chr10,False,61.32
SFXN4,chr10,False,61.32
LDHAP5,chr10,False,61.32
AL355298.1,chr10,False,61.32
ACADSB,chr10,False,61.32
AL357127.1,chr10,False,61.32
AL139407.1,chr10,False,61.32
PSTK,chr10,False,61.32
LHPP,chr10,False,61.32
GRK5-IT1,chr10,False,61.32
GRK5,chr10,False,61.32
NPM1P31,chr10,False,61.32
GPR26,chr10,False,61.32
AC063960.2,chr10,False,61.32
AC063960.1,chr10,False,61.32
RPL17P36,chr10,False,61.32
SLC25A18P1,chr10,False,61.32
CPXM2,chr10,False,61.32
PHACTR2P1,chr10,False,61.32
NANOS1,chr10,False,61.32
AC010998.1,chr10,False,61.32
AC010998.3,chr10,False,61.32
RPS8P4,chr10,False,61.32
BAG3,chr10,False,61.32
AC068896.1,chr10,False,61.32
C10orf88,chr10,False,61.32
AL133461.1,chr10,False,61.32
RPS10P18,chr10,False,61.32
CACUL1,chr10,False,61.32
CALHM2,chr10,False,61.32
RPS27P18,chr10,False,61.32
AL355598.1,chr10,False,61.32
AL355598.2,chr10,False,61.32
MCMBP,chr10,False,61.32
ACTA2,chr10,False,61.32
AC010998.2,chr10,False,61.32
AC023282.1,chr10,False,61.32
MIR4296,chr10,False,61.32
RAD1P1,chr10,False,61.32
AC073585.1,chr10,False,61.32
AC073587.1,chr10,False,61.32
NACAP2,chr10,False,61.32
IKZF5,chr10,False,61.32
RGS10,chr10,False,61.32
AL513190.1,chr10,False,61.32
RPL21P16,chr10,False,61.32
SEC23IP,chr10,False,61.32
TOMM22P5,chr10,False,61.32
WDR11,chr10,False,61.32
RN7SL749P,chr10,False,61.32
FAM53B,chr10,False,61.32
RN7SL846P,chr10,False,61.32
TEX36,chr10,False,61.32
ZRANB1,chr10,False,61.32
TEX36-AS1,chr10,False,61.32
PRLHR,chr10,False,61.32
CUZD1,chr10,False,61.32
AC012468.1,chr10,False,61.32
SNORA19,chr10,False,61.32
DENND10,chr10,False,61.32
AL391425.1,chr10,False,61.32
AL731577.1,chr10,False,61.32
PRDX3,chr10,False,61.32
LINC00867,chr10,False,61.32
AL445237.1,chr10,False,61.32
TIAL1,chr10,False,61.32
PLPP4,chr10,False,61.32
AL157388.1,chr10,False,61.32
MIR4681,chr10,False,61.32
FAM24A,chr10,False,61.32
AL731577.2,chr10,False,61.32
LINC01561,chr10,False,61.32
EIF3A,chr10,False,61.32
MIR4682,chr10,False,61.32
DMBT1L1,chr10,False,61.32
CTBP2,chr10,False,61.32
HTRA1,chr10,False,61.15
IFIT3,chr10,False,61.15
ALDOAP2,chr10,False,61.15
BX469938.1,chr10,False,61.15
RNU6-728P,chr10,False,61.15
LINC01153,chr10,False,61.15
EDRF1,chr10,False,61.15
RAB11FIP2,chr10,False,61.15
IFIT2,chr10,False,61.15
