Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr2,False,93.28
Metazoa_SRP,chr2,False,87.31
U6,chr2,False,83.58
AC007688.3,chr12,False,82.09
AC023790.1,chr12,False,82.09
GSG1,chr12,False,82.09
HTR7P1,chr12,False,82.09
FAM234B,chr12,False,82.09
HEBP1,chr12,False,82.09
TAS2R30,chr12,False,82.09
AC007688.1,chr12,False,82.09
GPRC5D,chr12,False,82.09
GPRC5D-AS1,chr12,False,82.09
MIR614,chr12,False,82.09
AC134349.2,chr12,False,82.09
AC023790.2,chr12,False,82.09
CLEC12A,chr12,False,81.34
CLEC12A-AS1,chr12,False,81.34
SNORA75,chr2,False,81.34
CLEC12B,chr12,False,81.34
CLEC1A,chr12,False,81.34
RNU6-700P,chr12,False,81.34
KLRF2,chr12,False,81.34
CD69,chr12,False,81.34
SMIM10L1,chr12,False,81.34
CLEC2A,chr12,False,81.34
LINC02598,chr12,False,81.34
KLRF1,chr12,False,81.34
LINC02470,chr12,False,81.34
AC244131.1,chr12,False,81.34
KLRD1,chr12,False,81.34
PRB4,chr12,False,81.34
KLRC4-KLRK1,chr12,False,81.34
KLRC4,chr12,False,81.34
PRB3,chr12,False,81.34
KLRC3,chr12,False,81.34
CLEC1B,chr12,False,81.34
AC024224.2,chr12,False,81.34
CLEC2B,chr12,False,81.34
KLRK1,chr12,False,81.34
HNRNPABP1,chr12,False,81.34
GABARAPL1-AS1,chr12,False,81.34
TMEM52B,chr12,False,81.34
CLECL1,chr12,False,81.34
AC244131.2,chr12,False,81.34
GCNAP1,chr12,False,81.34
TAS2R63P,chr12,False,81.34
AC010186.1,chr12,False,81.34
TAS2R42,chr12,False,81.34
AC068775.1,chr12,False,81.34
AC010186.2,chr12,False,81.34
GABARAPL1,chr12,False,81.34
TAS2R19,chr12,False,81.34
AC010186.3,chr12,False,81.34
AC007527.1,chr12,False,81.34
AC007527.2,chr12,False,81.34
AC007535.1,chr12,False,81.34
AC010186.4,chr12,False,81.34
GOT2P3,chr12,False,81.34
CLEC9A,chr12,False,81.34
CLEC7A,chr12,False,81.34
RN7SKP161,chr12,False,81.34
RN7SKP162,chr12,False,81.34
CLEC2D,chr12,False,81.34
KLRK1-AS1,chr12,False,81.34
LINC02390,chr12,False,81.34
AC024224.1,chr12,False,81.34
AC007619.2,chr12,False,81.34
LINC02617,chr12,False,81.34
AC134349.1,chr12,False,81.34
AC091814.1,chr12,False,81.34
LINC01559,chr12,False,81.34
AC022276.1,chr12,False,81.34
GPRC5A,chr12,False,81.34
OLR1,chr12,False,81.34
RNA5SP353,chr12,False,81.34
GRIN2B,chr12,False,81.34
RNU6-590P,chr12,False,81.34
NPM1P7,chr12,False,81.34
EMP1,chr12,False,81.34
RPL13AP20,chr12,False,81.34
RPL21P136,chr12,False,80.6
MIR1244-4,chr12,False,80.6
BTG1P1,chr12,False,80.6
SUPT4H1P2,chr12,False,80.6
SUPT16HP1,chr12,False,80.6
AC009533.3,chr12,False,80.6
MIR1244-3,chr12,False,80.6
SLC15A5,chr12,False,80.6
STX8P1,chr12,False,80.6
STYK1,chr12,False,80.6
TAS2R13,chr12,False,80.6
RNU6-318P,chr12,False,80.6
STRAP,chr12,False,80.6
HSPE1P12,chr12,False,80.6
RERGL,chr12,False,80.6
AC008115.4,chr12,False,80.6
IAPP,chr12,False,80.6
