Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,62.29
AC092821.2,chr12,False,37.14
LCE3C,chr1,False,36.57
AC000032.1,chr1,False,36.57
KRTAP9-11P,chr17,False,34.86
AC091874.2,chr5,False,33.14
AC091874.1,chr5,False,33.14
ARPP19P1,chr5,False,31.43
ADAM3A,chr8,False,30.29
AC123767.1,chr8,False,30.29
HCP5B,chr6,False,29.71
BTNL3,chr5,False,27.43
Metazoa_SRP,chr8,False,26.29
OR52N1,chr11,False,25.71
OR52N5,chr11,False,25.71
TNPO1P2,chr17,False,25.14
CDKN2B-AS1,chr9,False,25.14
U8,chr15,False,25.14
CDKN2B,chr9,True,25.14
CDKN2A-DT,chr9,False,25.14
AL449423.1,chr9,False,25.14
CDKN2A,chr9,True,25.14
NOS2P2,chr17,False,24.57
FAM242D,chr9,False,24.57
AC244452.1,chr14,False,24.57
SDHDP6,chr1,False,24.57
CCDC144B,chr17,False,24.57
IGHVII-40-1,chr14,False,24.57
UBA52P6,chr9,False,24.57
IGHV3-41,chr14,False,24.57
AL365272.1,chr6,False,24.57
LGALS9C,chr17,False,24.0
SIGLEC14,chr19,False,24.0
HOMER2P1,chr14,False,24.0
DUSP22,chr6,False,23.43
AL935212.3,chr9,False,23.43
ERVFRD-3,chr9,False,23.43
AL354709.1,chr9,False,23.43
AC114786.2,chr4,False,22.86
AC114786.3,chr4,False,22.86
SRP68P2,chr17,False,22.29
FAM106A,chr17,False,22.29
USP32P2,chr17,False,22.29
RHD,chr1,False,22.29
AL354709.2,chr9,False,21.71
RNU6-17P,chr15,False,21.71
AC018755.4,chr19,False,21.14
AL359922.2,chr9,False,21.14
UGT2B28,chr4,False,21.14
AL157937.1,chr9,False,21.14
AL359922.3,chr9,False,21.14
CFHR3,chr1,False,20.57
U6,chr15,False,20.0
CFHR1,chr1,False,20.0
AL049634.3,chr20,False,18.86
OR2T10,chr1,False,18.86
DMRTA1,chr9,False,18.86
OR7E84P,chr4,False,18.86
TUBB8P1,chr9,False,18.86
AC098483.2,chr1,False,18.86
AC025884.2,chr15,False,18.86
AC025884.1,chr15,False,18.29
OR2T11,chr1,False,18.29
AL359922.1,chr9,False,18.29
MTAP,chr9,True,18.29
DDX39BP1,chr6,False,17.71
OR4P4,chr11,False,17.71
USP17L7,chr8,False,17.71
NBPF17P,chr1,False,17.71
CEACAMP10,chr19,False,17.71
PSG9,chr19,False,17.71
OR4C6,chr11,False,17.71
SNORD39,chr9,False,17.71
USP17L2,chr8,False,17.71
PFN1P12,chr1,False,17.71
OR4S2,chr11,False,17.71
HNRNPLP2,chr15,False,17.14
AC135731.2,chr15,False,17.14
RNU1-114P,chr1,False,17.14
AC025884.3,chr15,False,17.14
AC134980.2,chr15,False,17.14
AC010760.1,chr15,False,17.14
HLA-DQA1,chr6,False,17.14
RN7SL151P,chr9,False,17.14
FSCN1P1,chr15,False,17.14
OR11K1P,chr15,False,17.14
OR11H3P,chr15,False,17.14
RPS8P10,chr15,False,17.14
OR4M2,chr15,False,17.14
IGHV1OR15-1,chr15,False,17.14
IGHV1OR15-3,chr15,False,17.14
KHSRPP1,chr9,False,17.14
IGHV1OR15-4,chr15,False,17.14
MIR1268A,chr15,False,17.14
IGHV4OR15-8,chr15,False,17.14
RNVU1-17,chr1,False,17.14
