Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr8,False,82.44
Metazoa_SRP,chr8,False,67.56
SNORA70,chr8,False,43.66
U3,chr3,False,43.41
U8,chr15,False,43.17
LCE3C,chr1,False,40.73
SNORD39,chr2,False,38.78
CDKN2A-DT,chr9,False,38.29
CDKN2A,chr9,True,38.29
CDKN2B-AS1,chr9,False,38.29
AL449423.1,chr9,False,38.29
UBA52P6,chr9,False,38.05
U6,chr11,False,37.8
CDKN2B,chr9,True,37.8
ERVFRD-3,chr9,False,37.07
AL354709.1,chr9,False,36.83
AL359922.3,chr9,False,35.61
AL354709.2,chr9,False,35.61
AL359922.2,chr9,False,34.15
AL157937.1,chr9,False,33.9
AC092821.2,chr12,False,33.17
TUBB8P1,chr9,False,33.17
MTAP,chr9,True,32.44
AL359922.1,chr9,False,32.44
SNORA62,chr8,False,32.44
DMRTA1,chr9,False,31.22
OR52N1,chr11,False,30.24
AC000032.1,chr1,False,30.0
LINC01239,chr9,False,29.51
OR52N5,chr11,False,29.27
AL391117.1,chr9,False,29.02
NOS2P2,chr17,False,29.02
LGALS9C,chr17,False,29.02
CLIC4P1,chr9,False,28.78
KHSRPP1,chr9,False,28.78
RN7SL151P,chr9,False,28.78
TNPO1P2,chr17,False,28.54
AC017067.1,chr9,False,28.29
KRTAP9-11P,chr17,False,28.29
USP17L2,chr8,False,27.8
USP17L7,chr8,False,27.56
H3P30,chr9,False,27.32
ADAM3A,chr8,False,27.07
AC123767.1,chr8,False,27.07
FAM66A,chr8,False,26.83
CCDC144B,chr17,False,26.83
AC087203.1,chr8,False,26.83
SRP68P2,chr17,False,26.34
AC091874.2,chr5,False,26.1
FAM242D,chr9,False,26.1
AC091874.1,chr5,False,26.1
USP32P2,chr17,False,25.85
RNA5SP254,chr8,False,25.85
DEFB108E,chr8,False,25.85
FAM106A,chr17,False,25.85
ZNF705CP,chr8,False,25.85
AL935212.3,chr9,False,25.61
MIR31,chr9,False,25.61
IFNE,chr9,False,25.12
LCE3B,chr1,False,24.88
IFNWP19,chr9,False,24.88
MIR31HG,chr9,False,24.88
IFNA1,chr9,False,24.63
AL357614.1,chr9,False,24.63
U4,chr2,False,24.63
ARPP19P1,chr5,False,24.39
IFNWP2,chr9,False,24.39
IFNA8,chr9,False,24.15
IFNA12P,chr9,False,24.15
AL353732.1,chr9,False,24.15
IFNA11P,chr9,False,24.15
AL445623.2,chr9,False,24.15
AL353732.2,chr9,False,23.9
IFNA2,chr9,False,23.9
DEFB105A,chr8,False,23.66
DEFB106A,chr8,False,23.66
AC087203.2,chr8,False,23.66
DEFB104A,chr8,False,23.66
PRR23D3P,chr8,False,23.66
DEFB107A,chr8,False,23.66
