Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr9,False,85.42
AL449423.1,chr9,False,63.54
CDKN2B-AS1,chr9,False,63.54
Metazoa_SRP,chr3,False,61.46
CDKN2B,chr9,True,60.42
CDKN2A-DT,chr9,False,59.38
CDKN2A,chr9,True,59.38
UBA52P6,chr9,False,56.25
U3,chr3,False,54.17
ERVFRD-3,chr9,False,54.17
AL354709.1,chr9,False,51.04
U8,chr5,False,44.79
SIGLEC14,chr19,False,43.75
AC147055.2,chr4,False,42.71
AC147055.4,chr4,False,42.71
UGT2B17,chr4,False,42.71
U6,chr11,False,41.67
SNORA70,chr5,False,41.67
AL359922.3,chr9,False,41.67
SNORD39,chr4,False,40.62
AC018755.4,chr19,False,40.62
AL354709.2,chr9,False,40.62
UGT2B29P,chr4,False,40.62
KRTAP9-11P,chr17,False,36.46
AL359922.2,chr9,False,36.46
AC091874.1,chr5,False,34.38
AC091874.2,chr5,False,34.38
MTAP,chr9,True,34.38
AL359922.1,chr9,False,34.38
LCE3C,chr1,False,34.38
PPIAP71,chr3,False,33.33
ARPP19P1,chr5,False,33.33
OR4C6,chr11,False,33.33
TUBB8P1,chr9,False,33.33
AC104164.1,chr3,False,33.33
OR4S2,chr11,False,33.33
AL157937.1,chr9,False,32.29
OR4P4,chr11,False,32.29
KHSRPP1,chr9,False,32.29
OR52N1,chr11,False,32.29
OR52N5,chr11,False,32.29
RN7SL151P,chr9,False,32.29
RPS16P3,chr2,False,32.29
OR4V1P,chr11,False,31.25
CEACAMP10,chr19,False,31.25
PSG9,chr19,False,31.25
H3P30,chr9,False,31.25
MIR548BB,chr3,False,31.25
PPIAP70,chr3,False,31.25
AC104164.2,chr3,False,31.25
RN7SL271P,chr3,False,30.21
FOXP1-IT1,chr3,False,30.21
RNU1-62P,chr3,False,30.21
AC097634.2,chr3,False,30.21
PROK2,chr3,False,30.21
AC097634.1,chr3,False,30.21
AC097369.4,chr3,False,30.21
AC096970.1,chr3,False,30.21
LAPTM4BP2,chr3,False,30.21
SHQ1,chr3,False,30.21
AC105265.1,chr3,False,30.21
EIF4E3,chr3,False,30.21
FOXP1-AS1,chr3,False,30.21
AC112219.1,chr3,False,30.21
AC134508.1,chr3,False,30.21
AC112219.2,chr3,False,30.21
AC105265.2,chr3,False,30.21
AC105265.3,chr3,False,30.21
FTH1P23,chr3,False,30.21
LINC00870,chr3,False,30.21
GXYLT2,chr3,False,30.21
LINC00877,chr3,False,30.21
GPR27,chr3,False,30.21
RNA5SP136,chr3,False,30.21
CCDC137P,chr3,False,30.21
SETP6,chr3,False,30.21
MIR1284,chr3,False,30.21
LINC00971,chr3,False,30.21
AC134050.1,chr3,False,30.21
AC097634.3,chr3,False,30.21
AC134508.2,chr3,False,30.21
IGHVII-30-1,chr14,False,30.21
RYBP,chr3,False,30.21
AC017015.1,chr3,False,30.21
AC108733.1,chr3,False,30.21
MIR5688,chr3,False,30.21
RN7SKP284,chr3,False,30.21
RNU6-904P,chr2,False,30.21
UBE2Q2P9,chr3,False,30.21
RNU6-1129P,chr3,False,30.21
AC104435.1,chr3,False,30.21
IGHV3-30-2,chr14,False,30.21
AC104435.2,chr3,False,30.21
PSMD12P1,chr3,False,30.21
RNA5SP251,chr8,False,29.17
PPATP1,chr3,False,29.17
AC099542.2,chr3,False,29.17
CADM2-AS2,chr3,False,29.17
AC107302.2,chr3,False,29.17
RNU2-64P,chr3,False,29.17
LINC02070,chr3,False,29.17
GBE1,chr3,False,29.17
CADM2-AS1,chr3,False,29.17
AC107302.1,chr3,False,29.17
AC108740.1,chr3,False,29.17
CADM2,chr3,False,29.17
LINC02050,chr3,False,29.17
AC108690.1,chr3,False,29.17
AC092825.1,chr3,False,29.17
PPP4R2,chr3,False,29.17
CACNA2D3-AS1,chr3,False,29.17
POU1F1,chr3,False,29.17
LINC02027,chr3,False,29.17
LINC02008,chr3,False,29.17
RNU2-28P,chr3,False,29.17
AC108706.1,chr3,False,29.17
AC099542.1,chr3,False,29.17
LINC02025,chr3,False,29.17
EBLN2,chr3,False,29.17
AC107024.1,chr3,False,29.17
MYLKP1,chr3,False,29.17
LSP1P2,chr3,False,29.17
AC132660.2,chr3,False,29.17
HNRNPA3P8,chr3,False,29.17
RN7SL751P,chr3,False,29.17
AC023503.1,chr3,False,29.17
AC139453.1,chr3,False,29.17
MIR4795,chr3,False,29.17
AC139453.2,chr3,False,29.17
CYP51A1P1,chr3,False,29.17
HMGB1P38,chr3,False,29.17
RNU7-19P,chr3,False,29.17
KRT8P25,chr3,False,29.17
VGLL3,chr3,False,29.17
CHMP2B,chr3,False,29.17
LINC00506,chr3,False,29.17
OSBPL9P1,chr3,False,29.17
RPL7AP23,chr3,False,29.17
THAP12P2,chr3,False,29.17
AC017015.2,chr3,False,29.17
AC129807.1,chr3,False,29.17
SRRM1P2,chr3,False,29.17
AC068756.1,chr3,False,29.17
CCDC75P1,chr3,False,29.17
RNU6-557P,chr3,False,29.17
LRTM1,chr3,False,29.17
AC117482.1,chr3,False,29.17
AC117464.1,chr3,False,29.17
RNU6-1270P,chr3,False,29.17
ALG1L6P,chr3,False,28.12
AC117481.1,chr3,False,28.12
PDZRN3,chr3,False,28.12
ROBO1,chr3,False,28.12
OR7E66P,chr3,False,28.12
MIR3923,chr3,False,28.12
OR7E22P,chr3,False,28.12
ENPP7P2,chr3,False,28.12
MIR4444-2,chr3,False,28.12
FAM86DP,chr3,False,28.12
PSMC1P6,chr3,False,28.12
RN7SL294P,chr3,False,28.12
AC097634.4,chr3,False,28.12
MRPS17P3,chr3,False,28.12
