Gene,chromosome,IsJCGA,AmplificationPercentage
Metazoa_SRP,chr1,False,91.84
Y_RNA,chr1,False,91.84
U3,chr7,False,75.51
U8,chr18,False,65.31
U6,chr1,False,63.27
SNORA63,chr1,False,59.18
SNORA70,chr4,False,57.14
SNORD81,chr1,False,46.94
AC000032.1,chr1,False,42.86
7SK,chr6,False,42.86
U4,chr1,False,40.82
ADAM3A,chr8,False,36.73
5S_rRNA,chr6,False,34.69
AC123767.1,chr8,False,34.69
INTS6P1,chr5,False,32.65
AC114930.1,chr5,False,32.65
C9,chr5,False,32.65
CDH10,chr5,False,32.65
AC091946.1,chr5,False,32.65
AIG1P1,chr5,False,32.65
ADH5P5,chr5,False,32.65
DAB2,chr5,False,32.65
AC002480.2,chr7,False,32.65
C5orf17,chr5,False,32.65
LINC02104,chr5,False,32.65
AC091946.2,chr5,False,32.65
AL049634.3,chr20,False,32.65
OSMR,chr5,False,32.65
UGT2B17,chr4,False,32.65
AC008964.1,chr5,False,32.65
TRGJP,chr7,False,32.65
TRGJP1,chr7,False,32.65
AC138854.1,chr5,False,32.65
AC010387.1,chr5,False,32.65
AC010387.2,chr5,False,32.65
RICTOR,chr5,True,32.65
AC139497.1,chr5,False,32.65
AC140168.1,chr5,False,32.65
AC140172.1,chr5,False,32.65
AC147055.2,chr4,False,32.65
AC147055.4,chr4,False,32.65
U2,chr4,False,32.65
PMCHL1,chr5,False,32.65
AC026784.1,chr5,False,32.65
HSPD1P15,chr5,False,32.65
CCDC11P1,chr5,False,32.65
FYB1,chr5,False,32.65
GOLGA5P1,chr5,False,32.65
GOLPH3,chr5,False,32.65
H3Y1,chr5,False,30.61
AC098850.1,chr17,False,30.61
AC034223.2,chr5,False,30.61
LINC02100,chr5,False,30.61
AC034226.1,chr5,False,30.61
LINC02110,chr5,False,30.61
ZDHHC11B,chr5,False,30.61
LINC02117,chr5,False,30.61
AC106821.1,chr5,False,30.61
LINC02119,chr5,False,30.61
AC106821.2,chr5,False,30.61
AC106754.2,chr5,False,30.61
PRDM9,chr5,False,30.61
LINC02211,chr5,False,30.61
AL021395.2,chr20,False,30.61
AC107983.1,chr17,False,30.61
SNORD29,chr5,False,30.61
SNORA74,chr17,False,30.61
AC022418.1,chr5,False,30.61
LINC02228,chr5,False,30.61
RPL36AP21,chr5,False,30.61
AC106744.2,chr5,False,30.61
AC106754.1,chr5,False,30.61
EGFLAM-AS1,chr5,False,30.61
AC010460.1,chr5,False,30.61
AC093225.1,chr5,False,30.61
SRP68P1,chr17,False,30.61
AC010460.2,chr5,False,30.61
AC010460.3,chr5,False,30.61
EGFLAM-AS4,chr5,False,30.61
EGFLAM-AS3,chr5,False,30.61
EGFLAM-AS2,chr5,False,30.61
EGFLAM,chr5,False,30.61
AC108103.1,chr5,False,30.61
LCE3D,chr1,False,30.61
AC093274.1,chr5,False,30.61
LIFR,chr5,False,30.61
LIFR-AS1,chr5,False,30.61
AC093303.1,chr5,False,30.61
LINC00603,chr5,False,30.61
AC034223.1,chr5,False,30.61
AC106744.1,chr5,False,30.61
LINC02239,chr5,False,30.61
UBE2V1P12,chr5,False,30.61
AC010445.1,chr5,False,30.61
LMBRD2,chr5,False,30.61
AC233724.5,chr5,False,30.61
AC091839.1,chr5,False,30.61
AC233724.6,chr5,False,30.61
MIR3650,chr5,False,30.61
CDH18-AS1,chr5,False,30.61
CDH18,chr5,False,30.61
CDH12,chr5,False,30.61
AC113370.1,chr5,False,30.61
BRD9P2,chr5,False,30.61
AC114277.1,chr5,False,30.61
BTG4P1,chr5,False,30.61
AC091435.1,chr5,False,30.61
AC091435.2,chr5,False,30.61
AC114981.1,chr5,False,30.61
USP32P1,chr17,False,30.61
CAPSL,chr5,False,30.61
SERBP1P6,chr5,False,30.61
AC016612.1,chr5,False,30.61
MSNP1,chr5,False,30.61
AC091885.1,chr5,False,30.61
AC091885.2,chr5,False,30.61
AC091893.1,chr5,False,30.61
UGT3A2,chr5,False,30.61
AC022140.2,chr5,False,30.61
AC022140.1,chr5,False,30.61
AC109445.1,chr5,False,30.61
AC109472.1,chr5,False,30.61
UGT2B29P,chr4,False,30.61
AC099499.2,chr5,False,30.61
UGT3A1,chr5,False,30.61
AC099499.1,chr5,False,30.61
AC233724.1,chr5,False,30.61
AC091893.2,chr5,False,30.61
AC091938.1,chr5,False,30.61
AC233724.2,chr5,False,30.61
OSMR-AS1,chr5,False,30.61
AC098850.4,chr17,False,30.61
AC112204.1,chr5,False,30.61
AC112204.2,chr5,False,30.61
AC112204.3,chr5,False,30.61
AC233724.4,chr5,False,30.61
AC010457.1,chr5,False,30.61
RPL32P14,chr5,False,30.61
TAF11L13,chr5,False,30.61
FAM106C,chr17,False,30.61
AC138951.2,chr5,False,30.61
AC138951.1,chr5,False,30.61
AC026740.2,chr5,False,30.61
AC008825.1,chr5,False,30.61
RNU6-909P,chr5,False,30.61
AC025178.1,chr5,False,30.61
H3P19,chr5,False,30.61
H3P20,chr5,False,30.61
AC010342.1,chr5,False,30.61
TAF11L11,chr5,False,30.61
TAF11L12,chr5,False,30.61
RN7SL58P,chr5,False,30.61
RNU4-43P,chr5,False,30.61
HSPD1P1,chr5,False,30.61
H3P21,chr5,False,30.61
TAF11L14,chr5,False,30.61
AC010338.1,chr5,False,30.61
TRGJ1,chr7,False,30.61
AC025768.1,chr5,False,30.61
AC094103.1,chr5,False,30.61
AC010425.1,chr5,False,30.61
GCSHP1,chr5,False,30.61
AC008869.1,chr5,False,30.61
RNU6-374P,chr5,False,30.61
RNU6-1062P,chr1,False,28.57
ARL17B,chr17,False,28.57
ARNT,chr1,False,28.57
RNU6-1079P,chr5,False,28.57
AC137810.1,chr5,False,28.57
AC233724.3,chr5,False,28.57
OR4Q3,chr14,False,28.57
RNU6-662P,chr1,False,28.57
RNU6-738P,chr5,False,28.57
RNU6-1251P,chr20,False,28.57
S100A10,chr1,False,28.57
C5orf34,chr5,False,28.57
