Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr5,False,79.64
Metazoa_SRP,chr7,False,66.06
U3,chr7,False,43.44
U6,chr15,False,42.31
AL049634.3,chr20,False,38.01
U8,chr1,False,36.65
KRTAP9-11P,chr17,False,34.62
HLA-DRB5,chr6,False,33.03
ADAM3A,chr8,False,31.0
AC092821.2,chr12,False,29.86
AC000032.1,chr1,False,29.64
SNORA70,chr8,False,29.41
AC123767.1,chr8,False,29.41
LCE3C,chr1,False,26.47
RNU1-61P,chr6,False,26.02
SNORA63,chr7,False,25.57
HLA-DRB6,chr6,False,25.34
AC140125.1,chr5,False,24.89
AC005808.1,chr20,False,24.89
AC005914.1,chr20,False,24.66
ZNF217,chr20,True,24.66
AC006076.1,chr20,False,24.66
AL157838.1,chr20,False,24.66
HLA-DRB1,chr6,False,24.43
AL354993.2,chr20,False,24.43
RNU7-14P,chr20,False,24.43
U4,chr1,False,24.21
SNORA72,chr8,False,24.21
PPIAP10,chr20,False,23.98
RN7SL197P,chr20,False,23.98
AL354993.1,chr20,False,23.76
SNRPFP1,chr20,False,23.76
CEBPB-AS1,chr20,False,23.76
SUMO1P1,chr20,False,23.76
AC018714.2,chr8,False,23.76
CEBPB,chr20,False,23.76
CASC8,chr8,False,23.76
BCAS1,chr20,False,23.76
B4GALT5,chr20,False,23.53
AC005220.1,chr20,False,23.53
LINC01270,chr20,False,23.3
PELATON,chr20,False,23.3
PEDS1,chr20,False,23.3
AC018714.1,chr8,False,23.3
RN7SKP184,chr20,False,23.08
AC104370.1,chr8,False,23.08
AC108925.1,chr8,False,23.08
CASC11,chr8,False,23.08
LINC01271,chr20,False,23.08
RNU6-919P,chr20,False,23.08
SLC9A8,chr20,False,23.08
LINC01275,chr20,False,23.08
AL391097.1,chr20,False,22.85
RNU6-147P,chr20,False,22.85
POU5F1B,chr8,False,22.85
AL162615.1,chr20,False,22.85
KRT18P4,chr20,False,22.85
AL109930.1,chr20,False,22.85
AL391097.2,chr20,False,22.85
AL391097.3,chr20,False,22.85
SNAI1,chr20,False,22.85
PEDS1-UBE2V1,chr20,False,22.62
TSHZ2,chr20,False,22.62
UBE2V1,chr20,False,22.62
SPATA2,chr20,False,22.62
MIR4756,chr20,False,22.62
CYP24A1,chr20,False,22.62
RNF114,chr20,False,22.62
CCAT2,chr8,False,22.62
PTGIS,chr20,False,22.4
RN7SL636P,chr20,False,22.4
AL133335.1,chr20,False,22.4
AL133335.2,chr20,False,22.4
PFDN4,chr20,False,22.4
AL031674.1,chr20,False,22.17
RPL36P1,chr20,False,22.17
RTEL1-TNFRSF6B,chr20,False,22.17
AL161945.1,chr20,False,22.17
MRPS33P4,chr20,False,22.17
