Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr5,False,85.95
Metazoa_SRP,chr5,False,75.21
U3,chr5,False,52.69
U8,chr5,False,44.42
U6,chr14,False,39.26
KRTAP9-11P,chr17,False,36.78
SNORA63,chr5,False,35.95
U4,chr5,False,35.12
SNORA70,chr9,False,33.88
LCE3C,chr1,False,33.47
AL049634.3,chr20,False,32.85
AC026740.2,chr5,False,32.44
BRD9P2,chr5,False,32.44
SNORA72,chr1,False,30.79
ZDHHC11B,chr5,False,30.58
ADAM3A,chr8,False,29.96
AC123767.1,chr8,False,29.34
HLA-DRB5,chr6,False,28.31
AC000032.1,chr1,False,28.1
HLA-DRB6,chr6,False,27.27
RNU1-61P,chr6,False,27.07
CFHR3,chr1,False,26.65
HLA-DRB1,chr6,False,26.45
ZDHHC11,chr5,False,26.24
SPCS2P3,chr5,False,26.03
AC140125.1,chr5,False,25.62
CFHR1,chr1,False,25.62
LINC01511,chr5,False,23.97
AC026748.7,chr5,False,23.97
AC091849.2,chr5,False,23.97
CLPTM1L,chr5,False,23.76
CTD-3080P12.3,chr5,False,23.76
AC026412.3,chr5,False,23.76
MTCO2P32,chr5,False,23.76
LCE3B,chr1,False,23.76
SLC6A18,chr5,False,23.76
SDHAP3,chr5,False,23.76
MIR6075,chr5,False,23.76
LPCAT1,chr5,False,23.76
AC026748.3,chr5,False,23.76
SLC6A19,chr5,False,23.76
SLC6A3,chr5,False,23.76
AC026412.4,chr5,False,23.55
TERT,chr5,True,23.55
AC147055.2,chr4,False,23.55
AC091849.1,chr5,False,23.55
AC114291.1,chr5,False,23.55
MIR4457,chr5,False,23.55
AC026412.1,chr5,False,23.55
AC147055.4,chr4,False,23.55
SNORD81,chr5,False,23.55
AC026412.2,chr5,False,23.55
AC122719.1,chr5,False,23.35
MIR4277,chr5,False,23.35
AC122719.2,chr5,False,23.35
AC112176.1,chr5,False,23.35
7SK,chr1,False,23.35
MIR4635,chr5,False,23.14
TRIP13,chr5,False,23.14
AC126768.1,chr5,False,23.14
AC124852.1,chr5,False,23.14
AC126768.2,chr5,False,23.14
MRPL36,chr5,False,23.14
AC092266.1,chr5,False,23.14
AC116351.1,chr5,False,23.14
NDUFS6,chr5,False,23.14
AC126768.3,chr5,False,23.14
AC116351.2,chr5,False,23.14
NKD2,chr5,False,23.14
AC025183.1,chr5,False,23.14
SLC9A3-AS1,chr5,False,22.93
AC025183.2,chr5,False,22.93
LINC02116,chr5,False,22.93
EXOC3-AS1,chr5,False,22.93
SLC9A3,chr5,False,22.93
PP7080,chr5,False,22.93
AC010442.2,chr5,False,22.93
AC010442.1,chr5,False,22.93
IRX4,chr5,False,22.93
EXOC3,chr5,False,22.93
IRX2,chr5,False,22.73
AC026736.1,chr5,False,22.73
PDCD6,chr5,False,22.73
AC092821.2,chr12,False,22.73
AC021087.1,chr5,False,22.73
PDCD6-AHRR,chr5,False,22.73
C5orf38,chr5,False,22.73
UGT2B17,chr4,False,22.73
IRX4-AS1,chr5,False,22.52
AC106772.2,chr5,False,22.52
LSINCT5,chr5,False,22.52
AHRR,chr5,False,22.52
SDHA,chr5,True,22.52
AC021087.3,chr5,False,22.52
MIR4456,chr5,False,22.52
AC116359.1,chr5,False,22.52
AC021087.2,chr5,False,22.52
AC091891.1,chr5,False,22.52
AC021087.5,chr5,False,22.52
SLC12A7,chr5,False,22.52
CTD-2194D22.4,chr5,False,22.52
CEP72,chr5,False,22.31
TPPP,chr5,False,22.31
LINC01377,chr5,False,22.31
CCDC127,chr5,False,22.31
AC021087.4,chr5,False,22.31
AC094105.1,chr5,False,22.31
AC094105.2,chr5,False,22.31
LRRC14B,chr5,False,22.11
AC114964.2,chr5,False,22.11
H3P18,chr5,False,22.11
AC122719.3,chr5,False,22.11
AC106772.1,chr5,False,22.11
BRD9,chr5,False,22.11
MIR4637,chr5,False,21.9
RBBP4P1,chr5,False,21.9
H3P17,chr5,False,21.9
AC114964.1,chr5,False,21.9
PLEKHG4B,chr5,False,21.9
ANKH,chr5,False,21.9
MARK2P5,chr5,False,21.9
AC025187.1,chr5,False,21.9
EEF1A1P13,chr5,False,21.9
CCT6P2,chr5,False,21.9
OTULIN,chr5,False,21.9
AC016575.1,chr5,False,21.9
OTULINL,chr5,False,21.9
HNRNPKP5,chr5,False,21.9
AC010491.1,chr5,False,21.9
LINC02063,chr5,False,21.9
UQCRBP3,chr5,False,21.9
AC010627.1,chr5,False,21.9
H3Y2,chr5,False,21.9
AC010491.2,chr5,False,21.9
CTD-2297D10.2,chr5,False,21.69
SEPHS2P1,chr5,False,21.69
AC106774.1,chr5,False,21.69
RN7SKP73,chr5,False,21.69
ADAMTS16,chr5,False,21.69
AC233724.7,chr5,False,21.69
AC233724.6,chr5,False,21.69
