Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,88.2
Metazoa_SRP,chr1,False,76.4
U6,chr1,False,72.47
U3,chr1,False,71.35
U8,chr6,False,67.98
7SK,chr1,False,61.8
SNORA70,chr1,False,61.24
SNORA62,chr1,False,60.11
U2,chr1,False,56.74
CLCA4-AS1,chr1,False,55.62
OLFM3,chr1,False,55.62
AL356280.1,chr1,False,55.62
SLC25A24P1,chr1,False,55.06
RPL7P8,chr1,False,55.06
AL359258.1,chr1,False,55.06
LINC01364,chr1,False,54.49
GSTM4,chr1,False,54.49
DPYD-IT1,chr1,False,54.49
AC095031.1,chr1,False,54.49
RPSAP19,chr1,False,54.49
RNU6-352P,chr1,False,54.49
AC116099.1,chr1,False,54.49
DCLRE1B,chr1,False,54.49
GSTM2,chr1,False,54.49
AL139148.1,chr1,False,54.49
ELAPOR1,chr1,False,54.49
EXTL2,chr1,False,54.49
DNAJA1P5,chr1,False,54.49
RANP5,chr1,False,54.49
LINC01776,chr1,False,54.49
LINC01708,chr1,False,54.49
SNX7,chr1,False,54.49
AL357055.1,chr1,False,53.93
RNU6-1318P,chr1,False,53.93
PSMA5,chr1,False,53.93
WDR47,chr1,False,53.93
AL356488.3,chr1,False,53.93
AL356488.2,chr1,False,53.93
AL356488.1,chr1,False,53.93
CLCC1,chr1,False,53.93
PSRC1,chr1,False,53.93
AL355990.1,chr1,False,53.93
AL357055.2,chr1,False,53.93
TRMT13,chr1,False,53.93
PRPF38B,chr1,False,53.93
AL355488.1,chr1,False,53.93
LINC02567,chr1,False,53.93
PROK1,chr1,False,53.93
LINC02586,chr1,False,53.93
AC119501.1,chr1,False,53.93
TRIM33,chr1,False,53.93
AC118553.2,chr1,False,53.93
AC118553.1,chr1,False,53.93
PPIAP7,chr1,False,53.93
RNU6-750P,chr1,False,53.93
AC096949.1,chr1,False,53.93
LMO4,chr1,False,53.93
RNU6-965P,chr1,False,53.93
RNU6V,chr1,False,53.93
RNU4-75P,chr1,False,53.93
AC093157.1,chr1,False,53.93
AC093157.3,chr1,False,53.93
UBL4B,chr1,False,53.93
RBM15-AS1,chr1,False,53.93
AL158847.1,chr1,False,53.93
AL160006.1,chr1,False,53.93
RLIMP2,chr1,False,53.93
VCAM1,chr1,False,53.93
LINC01397,chr1,False,53.93
LINC01349,chr1,False,53.93
CELSR2,chr1,False,53.93
LINC01307,chr1,False,53.93
LAMTOR5-AS1,chr1,False,53.93
LAMTOR5,chr1,False,53.93
KYAT3,chr1,False,53.93
CDC14A,chr1,False,53.93
AL355310.1,chr1,False,53.93
AC093157.2,chr1,False,53.93
LINC01709,chr1,False,53.93
AC093019.1,chr1,False,53.93
AL358215.2,chr1,False,53.93
AC093019.2,chr1,False,53.93
LINC01768,chr1,False,53.93
PTPN22,chr1,False,53.93
AL355310.2,chr1,False,53.93
AL355310.3,chr1,False,53.93
KCNC4,chr1,False,53.93
KCNA3,chr1,False,53.93
KCNA2,chr1,False,53.93
KCNA10,chr1,False,53.93
RBM15,chr1,False,53.93
AL358215.1,chr1,False,53.93
RPL23AP90,chr1,False,53.93
AL358215.3,chr1,False,53.93
AL445928.1,chr1,False,53.93
TAF13,chr1,False,53.93
SLC6A17,chr1,False,53.93
AL445433.2,chr1,False,53.93
SLC35A3,chr1,False,53.93
SLC30A7,chr1,False,53.93
FNDC7,chr1,False,53.93
AL445433.1,chr1,False,53.93
DENND2C,chr1,False,53.93
SLC16A4,chr1,False,53.93
SLC16A1-AS1,chr1,False,53.93
SLC16A1,chr1,False,53.93
AL589990.1,chr1,False,53.93
FRRS1,chr1,False,53.93
GAPDHP46,chr1,False,53.93
DBT,chr1,False,53.93
SLC6A17-AS1,chr1,False,53.93
AL445928.2,chr1,False,53.93
AC099670.3,chr1,False,53.93
AL445991.1,chr1,False,53.93
DPH5,chr1,False,53.93
AC104457.1,chr1,False,53.93
AC104457.2,chr1,False,53.93
AL512638.3,chr1,False,53.93
SPATA42,chr1,False,53.93
SORT1,chr1,False,53.93
AC104506.1,chr1,False,53.93
EIF2S2P5,chr1,False,53.93
STRIP1,chr1,False,53.93
STXBP3,chr1,False,53.93
AL450468.2,chr1,False,53.93
AL450468.1,chr1,False,53.93
EPS8L3,chr1,False,53.93
SYPL2,chr1,False,53.93
SYT6,chr1,False,53.93
GDI2P2,chr1,False,53.93
AC099670.2,chr1,False,53.93
HNRNPA1P68,chr1,False,53.93
RTCA-AS1,chr1,False,53.93
GSTM3,chr1,False,53.93
RSBN1,chr1,False,53.93
GSTM5,chr1,False,53.93
AL365361.1,chr1,False,53.93
CSF1,chr1,False,53.93
AC114878.2,chr1,False,53.93
AL365220.1,chr1,False,53.93
HIPK1,chr1,False,53.93
HIPK1-AS1,chr1,False,53.93
HMGB3P10,chr1,False,53.93
ADGRL4,chr1,False,53.93
AL591719.1,chr1,False,53.93
AL591719.2,chr1,False,53.93
AL591742.1,chr1,False,53.93
AL591742.2,chr1,False,53.93
RTCA,chr1,False,53.93
AC114485.1,chr1,False,53.93
AC099670.1,chr1,False,53.93
AL390242.1,chr1,False,53.93
AL391058.1,chr1,False,53.93
GNAI3,chr1,False,53.93
GNAT2,chr1,False,53.93
AL390729.1,chr1,False,53.93
SCARNA2,chr1,False,53.93
SASS6,chr1,False,53.93
CYMP-AS1,chr1,False,53.93
CYMP,chr1,False,53.93
SARS1,chr1,False,53.93
GPR61,chr1,False,53.93
GPR88,chr1,False,53.93
S1PR1,chr1,False,53.93
GPSM2,chr1,False,53.93
TMEM167B,chr1,False,53.93
CYB561D1,chr1,False,53.93
C1orf194,chr1,False,53.93
DPYD-AS2,chr1,False,53.93
MYBPHL,chr1,False,53.93
AL109741.2,chr1,False,53.93
AP4B1,chr1,False,53.93
PHTF1,chr1,False,53.93
AL035410.1,chr1,False,53.93
AL035410.2,chr1,False,53.93
BCAS2,chr1,False,53.93
AL137790.1,chr1,False,53.93
MIR197,chr1,False,53.93
PLPPR4,chr1,False,53.93
LRRC39,chr1,False,53.93
OLFML3,chr1,False,53.93
PKMP1,chr1,False,53.93
AL133517.1,chr1,False,53.93
NDUFA5P10,chr1,False,53.93
PLPPR5,chr1,False,53.93
BCAS2P2,chr1,False,53.93
MRPL57P1,chr1,False,53.93
BX005019.1,chr1,False,53.93
BX679664.3,chr1,False,53.93
BX679664.2,chr1,False,53.93
AP4B1-AS1,chr1,False,53.93
ALX3,chr1,False,53.93
BX679664.1,chr1,False,53.93
AL109741.1,chr1,False,53.93
BCL2L15,chr1,False,53.93
AHCYL1,chr1,False,53.93
AL137790.2,chr1,False,53.93
AL121999.1,chr1,False,53.93
MFSD14A,chr1,False,53.93
MIR553,chr1,False,53.93
AL136455.1,chr1,False,53.93
PALMD,chr1,False,53.93
ATXN7L2,chr1,False,53.93
AKR7A2P1,chr1,False,53.93
MAGI3,chr1,False,53.93
BRI3P1,chr1,False,53.93
MIR137HG,chr1,False,53.93
LRIG2-DT,chr1,False,53.93
AKNAD1,chr1,False,53.93
AMIGO1,chr1,False,53.93
LRIG2,chr1,False,53.93
AGL,chr1,False,53.93
AL137856.1,chr1,False,53.93
MTND5P20,chr1,False,53.93
AL162740.1,chr1,False,53.37
GTF2B,chr1,False,53.37
NRAS,chr1,True,53.37
H3P3,chr1,False,53.37
VANGL1,chr1,False,53.37
RN7SKP285,chr1,False,53.37
ELOCP19,chr1,False,53.37
RN7SL692P,chr1,False,53.37
AL390038.1,chr1,False,53.37
RN7SL653P,chr1,False,53.37
SNORD81,chr1,False,53.37
LINC01356,chr1,False,53.37
NUTF2P4,chr1,False,53.37
CSDE1,chr1,False,53.37
LPCAT2BP,chr1,False,53.37
AC114878.1,chr1,False,53.37
AL117351.1,chr1,False,53.37
MIR137,chr1,False,53.37
TAFA3,chr1,False,53.37
LINC01140,chr1,False,53.37
RNU6-1246P,chr1,False,53.37
