Gene,MethylationTumor,UnmethylationNormal,HypermethylationPercentage
HAAO,2.39,0,0
BEND5,15.14,0,0
ZNF570,23.9,0,0
PCDHGC3,6.77,0,0
DFNA5,0.8,0,0
WNT7A,0.4,0,0
ZNF569,19.92,0,0
ERBB4,8.37,0,0
TMEM121,5.18,0,0
VAV3,19.12,0,0
TSPAN2,2.79,0,0
PRKG1,17.13,0,0
SLC22A17,3.19,0,0
SLC8A3,8.76,0,0
PHF21B,9.96,0,0
BMPER,11.55,0,0
RERG,2.79,0,0
TMEM101,1.99,0,0
RET,23.51,0,0
SOX5,18.33,0,0
SLC6A1,7.97,0,0
B3GALNT1,0.0,0,0
NPAS1,9.16,0,0
JAKMIP1,19.52,0,0
PRR16,19.92,0,0
KCNK9,7.17,0,0
SDC2,3.59,0,0
GRIN2A,8.76,0,0
SCNN1B,27.89,0,0
GSTP1,0.0,0,0
MIR1908,0.0,0,0
KCNC1,0.4,0,0
SNAI2,0.8,0,0
FNBP1,0.0,0,0
KCNQ3,5.98,0,0
ZNF345,9.96,0,0
CHCHD5,4.38,0,0
LOC283856,0.4,0,0
FKBP11,3.59,0,0
ATRNL1,3.19,0,0
CACNG2,11.16,0,0
MLH1,1.2,0,0
MGMT,1.59,0,0
ZNF304,13.55,0,0
UQCRH,0.0,0,0
ADAM23,1.59,0,0
PTPN13,0.0,0,0
ZNF365,1.2,0,0
SPG20,1.2,0,0
NDRG4,0.8,0,0
EHD3,1.2,0,0
NELL2,9.56,0,0
ZBTB16,12.75,0,0
RNF182,2.39,0,0
MME,21.91,0,0
ADAMTS3,18.73,0,0
KCNS3,1.2,0,0
WDR17,73.71,0,0
SLC16A12,4.78,0,0
ELMO1,49.0,0,0
PROK2,5.98,0,0
NPR3,3.98,0,0
RBM24,17.93,0,0
CRHR2,32.67,0,0
TNFRSF10D,0.4,0,0
RPL39L,1.2,0,0
HIST1H3J,7.97,0,0
SLITRK5,65.34,0,0
CPXM1,20.72,0,0
FOXE1,0.4,0,0
PLCB1,31.87,0,0
GFRA3,4.78,0,0
HIST1H2BB,24.3,0,0
GATA4,40.24,0,0
GALR1,55.78,0,0
LOXL3,29.88,0,0
SNX32,42.63,0,0
ST6GALNAC5,84.86,0,0
NETO1,72.91,0,0
GRIN3A,77.29,0,0
ZNF542,71.71,0,0
MIR34B,19.52,0,0
SNCA,16.33,0,0
LRRC4,4.38,0,0
DTX1,22.71,0,0
DLK1,28.29,0,0
EPO,18.33,0,0
FAM20A,0.4,0,0
IRX4,4.78,0,0
JPH3,12.35,0,0
EPHA7,48.21,0,0
SLC30A2,8.37,0,0
HIST1H4D,5.98,0,0
CUX2,25.5,0,0
PCDH17,37.45,0,0
ME3,16.33,0,0
AOX1,4.38,0,0
SPDYA,2.39,0,0
SORCS3,33.86,0,0
ELOVL4,6.37,0,0
GABRB2,51.0,0,0
KCNT2,15.54,0,0
PAK7,58.17,0,0
MT1E,11.95,0,0
TWIST1,11.95,0,0
FUT9,47.41,0,0
SFRP5,4.78,0,0
GFRA1,41.04,0,0
HIF3A,3.59,0,0
LOC100130148,1.2,0,0
