Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,92.22
Metazoa_SRP,chr1,False,67.78
U6,chr2,False,55.56
LCE3C,chr1,False,54.44
U3,chr2,False,43.33
U8,chr5,False,40.0
SDHDP6,chr1,False,37.78
RHD,chr1,False,37.78
AC025884.2,chr15,False,36.67
SNORA70,chr1,False,36.67
AC092821.2,chr12,False,36.67
AC060814.4,chr15,False,35.56
RNU6-1235P,chr15,False,35.56
GRAMD4P6,chr15,False,35.56
AC060814.3,chr15,False,35.56
AC060814.2,chr15,False,35.56
AC060814.1,chr15,False,35.56
AC025884.1,chr15,False,35.56
POTEB3,chr15,False,35.56
MIR3118-3,chr15,False,35.56
LONRF2P4,chr15,False,35.56
CXADRP2,chr15,False,35.56
AC068446.2,chr15,False,35.56
AC068446.1,chr15,False,35.56
OR4Q1P,chr15,False,34.44
OR4M2,chr15,False,34.44
MAPK8IP1P1,chr17,False,34.44
OR4N3P,chr15,False,34.44
RPS8P10,chr15,False,34.44
OR4N4,chr15,False,34.44
IGHV4OR15-8,chr15,False,34.44
AC010760.1,chr15,False,34.44
BCAR1P2,chr15,False,34.44
IGHV1OR15-4,chr15,False,34.44
IGHV1OR15-3,chr15,False,34.44
MIR1268A,chr15,False,34.44
IGHV1OR15-1,chr15,False,34.44
OR11H3P,chr15,False,34.44
AC005829.1,chr17,False,34.44
OR11K1P,chr15,False,34.44
OR4H6P,chr15,False,34.44
RN7SL400P,chr15,False,34.44
AC005829.2,chr17,False,34.44
AC134980.2,chr15,False,34.44
AC126335.1,chr15,False,34.44
AC126335.2,chr15,False,34.44
AC025884.3,chr15,False,34.44
NBEAP4,chr15,False,34.44
BMS1P16,chr15,False,34.44
IGHD5OR15-5B,chr15,False,33.33
MIR5701-2,chr15,False,33.33
POTEB,chr15,False,33.33
MIR5701-3,chr15,False,33.33
IGHD1OR15-1B,chr15,False,33.33
MIR3118-4,chr15,False,33.33
IGHD2OR15-2B,chr15,False,33.33
NF1P9,chr15,False,33.33
AC026495.1,chr15,False,33.33
IGHD4OR15-4B,chr15,False,33.33
AC037471.1,chr15,False,33.33
IGHD3OR15-3B,chr15,False,33.33
FAM30C,chr15,False,33.33
ARL17B,chr17,False,33.33
RNU6-631P,chr15,False,33.33
AC183088.4,chr15,False,33.33
AC135068.1,chr15,False,33.33
AC135068.12,chr15,False,33.33
NF1P2,chr15,False,33.33
AC183088.3,chr15,False,33.33
AC183088.2,chr15,False,33.33
AC135068.10,chr15,False,33.33
AC183088.1,chr15,False,33.33
LINC02203,chr15,False,33.33
AC135068.11,chr15,False,33.33
ZNF519P3,chr15,False,33.33
AC135068.2,chr15,False,33.33
AC135068.3,chr15,False,33.33
AC135068.4,chr15,False,33.33
OR11J7P,chr15,False,33.33
AC135068.6,chr15,False,33.33
AC135068.7,chr15,False,33.33
AC135068.8,chr15,False,33.33
AC135068.9,chr15,False,33.33
AC134981.1,chr15,False,33.33
AC135068.5,chr15,False,33.33
AC134980.1,chr15,False,32.22
AL008636.1,chr22,False,32.22
OR11J6P,chr15,False,32.22
LCE3B,chr1,False,32.22
KANSL1-AS1,chr17,False,32.22
AC026495.2,chr15,False,32.22
AC007663.2,chr22,False,31.11
MIR6816,chr22,False,31.11
USP41,chr22,False,31.11
AC006547.3,chr22,False,31.11
AC006547.2,chr22,False,31.11
ZNRF3-IT1,chr22,False,31.11
AC007663.3,chr22,False,31.11
MIR1286,chr22,False,31.11
AC006547.1,chr22,False,31.11
RN7SKP252,chr22,False,31.11
CCDC188,chr22,False,31.11
RANBP1,chr22,False,31.11
CHEK2P2,chr15,False,31.11
AL023802.1,chr22,False,31.11
ZNF74,chr22,False,31.11
AC000078.1,chr22,False,31.11
AC000089.1,chr22,False,31.11
AC007663.1,chr22,False,31.11
TANGO2,chr22,False,31.11
RNU6-225P,chr22,False,31.11
MIR1306,chr22,False,31.11
TRMT2A,chr22,False,31.11
AC007731.4,chr22,False,31.11
Z97192.4,chr22,False,31.11
AC007731.2,chr22,False,31.11
Z97192.3,chr22,False,31.11
RTL10,chr22,False,31.11
TXNRD2,chr22,False,31.11
COMT,chr22,True,31.11
DGCR6L,chr22,False,31.11
DGCR8,chr22,False,31.11
SNORA77B,chr22,False,31.11
AC007731.5,chr22,False,31.11
AC007663.4,chr22,False,31.11
MIR185,chr22,False,31.11
MIR4761,chr22,False,31.11
RPL35P8,chr22,False,31.11
Z82202.1,chr22,False,31.11
ARVCF,chr22,False,31.11
Z82202.2,chr22,False,31.11
MIR3618,chr22,False,31.11
LINC00896,chr22,False,31.11
FAM230G,chr22,False,31.11
SCARF2,chr22,False,31.11
KLHL22,chr22,False,31.11
GNB1L,chr22,False,31.11
C22orf39,chr22,False,30.0
MED15,chr22,False,30.0
SMPD4P1,chr22,False,30.0
AC000093.1,chr22,False,30.0
AC007731.3,chr22,False,30.0
RTN4R,chr22,False,30.0
CLDN5,chr22,False,30.0
LINC00895,chr22,False,30.0
SEPTIN5,chr22,False,30.0
OR52N5,chr11,False,30.0
CDC45,chr22,False,30.0
AC000082.1,chr22,False,30.0
KRT18P5,chr22,False,30.0
Z97192.2,chr22,False,30.0
HIRA,chr22,False,30.0
C22orf34,chr22,False,30.0
Z97192.1,chr22,False,30.0
