Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr9,False,78.37
Metazoa_SRP,chr1,False,58.65
U3,chr1,False,47.12
U6,chr15,False,46.63
SNORA70,chr1,False,46.15
U8,chr1,False,44.23
SNORA72,chr1,False,42.79
CFHR3,chr1,False,38.46
U4,chr1,False,37.98
LCE3C,chr1,False,36.54
CFHR1,chr1,False,36.54
5S_rRNA,chr1,False,36.54
ARL8A,chr1,False,36.06
MIR6740,chr1,False,36.06
MGAT4EP,chr1,False,36.06
KDM5B,chr1,False,36.06
MGAT4FP,chr1,False,36.06
MIR1231,chr1,False,36.06
AC114402.2,chr1,False,36.06
AC114402.1,chr1,False,36.06
AC098934.1,chr1,False,36.06
AC098934.2,chr1,False,36.06
ASCL5,chr1,False,36.06
AC099336.1,chr1,False,36.06
AC099336.2,chr1,False,36.06
MIR5191,chr1,False,36.06
MIR6739,chr1,False,36.06
GOLT1A,chr1,False,36.06
MDM4,chr1,True,36.06
AL592114.1,chr1,False,36.06
TMEM9,chr1,False,36.06
AL592114.2,chr1,False,36.06
MYBPH,chr1,False,36.06
MYOG,chr1,False,36.06
AL592114.3,chr1,False,36.06
NAV1,chr1,False,36.06
NFASC,chr1,False,36.06
NPM1P40,chr1,False,36.06
ATP2B4,chr1,False,36.06
KRT8P29,chr1,False,36.06
AL359837.1,chr1,False,36.06
AL592146.1,chr1,False,36.06
SNRPE,chr1,False,36.06
LRRN2,chr1,False,36.06
OPTC,chr1,False,36.06
FMOD,chr1,False,36.06
ZC3H11A,chr1,False,36.06
KLHL12,chr1,False,36.06
AL512306.3,chr1,False,36.06
AL512306.2,chr1,False,36.06
AL512306.1,chr1,False,36.06
LARP7P1,chr1,False,36.06
LAX1,chr1,False,36.06
KISS1,chr1,False,36.06
AC096632.1,chr1,False,36.06
ETNK2,chr1,False,36.06
ERLNC1,chr1,False,36.06
LGR6,chr1,False,36.06
LINC00303,chr1,False,36.06
LINC00628,chr1,False,36.06
LMOD1,chr1,False,36.06
ELF3-AS1,chr1,False,36.06
ELF3,chr1,False,36.06
AC096645.1,chr1,False,36.06
AL513217.1,chr1,False,36.06
AC092800.1,chr1,False,36.06
LINC01136,chr1,False,36.06
LINC01353,chr1,False,36.06
ZBED6,chr1,False,36.06
CYCSP4,chr1,False,36.06
CYB5R1,chr1,False,36.06
LINC02767,chr1,False,36.06
CRIP1P3,chr1,False,36.06
AL161793.1,chr1,False,36.06
AL592146.2,chr1,False,36.06
NSA2P1,chr1,False,36.06
TIMM17A,chr1,False,36.06
SNORA70H,chr1,False,36.06
ACTG1P25,chr1,False,36.06
REN,chr1,False,36.06
SOX13,chr1,False,36.06
BTG2,chr1,True,36.06
RPL35AP5,chr1,False,36.06
PCAT6,chr1,False,36.06
AC104463.1,chr1,False,36.06
RNA5SP74,chr1,False,36.06
RNA5SP75,chr1,False,36.06
RNPEP,chr1,False,36.06
HNRNPA1P59,chr1,False,36.06
ADORA1,chr1,False,36.06
AC104463.2,chr1,False,36.06
AL606489.1,chr1,False,36.06
AC105940.1,chr1,False,36.06
RPL10P4,chr1,False,36.06
RNU6-89P,chr1,False,36.06
AL606489.2,chr1,False,36.06
ADIPOR1,chr1,False,36.06
AL691482.1,chr1,False,36.06
RNU6-487P,chr1,False,36.06
RNU6-501P,chr1,False,36.06
AC105940.2,chr1,False,36.06
HSPE1P6,chr1,False,36.06
TUBA5P,chr1,False,36.06
PPP1R12B,chr1,False,36.06
RABIF,chr1,False,36.06
TMEM183A,chr1,False,36.06
AL161793.2,chr1,False,36.06
IPO9-AS1,chr1,False,36.06
IPO9,chr1,False,36.06
SYT2,chr1,False,36.06
PIK3C2B,chr1,True,36.06
UBE2T,chr1,True,36.06
AL691482.3,chr1,False,36.06
PLEKHA6,chr1,False,36.06
AL691482.2,chr1,False,36.06
AL645504.1,chr1,False,36.06
PPFIA4,chr1,False,36.06
CD34,chr1,False,36.06
PPP1R15B,chr1,False,36.06
