Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr17,False,66.86
AL049634.3,chr20,False,41.71
Metazoa_SRP,chr3,False,38.29
KRTAP9-11P,chr17,False,30.29
UGT2B17,chr4,False,29.14
ADAM3A,chr8,False,28.57
AC000032.1,chr1,False,28.57
LCE3C,chr1,False,28.0
AC147055.2,chr4,False,28.0
AC147055.4,chr4,False,28.0
AC123767.1,chr8,False,26.29
UGT2B29P,chr4,False,24.57
AC140125.1,chr5,False,24.0
HLA-DRB5,chr6,False,23.43
RNU1-61P,chr6,False,22.29
U6,chr12,False,21.71
HLA-DRB6,chr6,False,21.71
U3,chr7,False,20.57
LCE3B,chr1,False,20.57
HLA-DRB1,chr6,False,19.43
BRD9P2,chr5,False,18.29
AC026740.2,chr5,False,18.29
AC092821.2,chr12,False,18.29
FAM30C,chr15,False,17.14
AC243829.2,chr17,False,17.14
AC037471.1,chr15,False,17.14
OR4H12P,chr14,False,16.57
IGHD2OR15-2B,chr15,False,16.57
IGHD1OR15-1B,chr15,False,16.57
IGHD3OR15-3B,chr15,False,16.57
OR4K1,chr14,False,16.57
OR4N1P,chr14,False,16.57
OR4M1,chr14,False,16.57
OR4K3,chr14,False,16.57
OR4K4P,chr14,False,16.57
TAS2R64P,chr12,False,16.57
OR4K5,chr14,False,16.57
OR4K6P,chr14,False,16.57
OR4K2,chr14,False,16.57
OR4Q3,chr14,False,16.57
IGHD4OR15-4B,chr15,False,16.57
IGHD5OR15-5B,chr15,False,16.57
OR11K2P,chr14,False,16.0
OR11J6P,chr15,False,16.0
AC134980.1,chr15,False,16.0
AL391156.1,chr14,False,16.0
AC091874.2,chr5,False,16.0
BCAR1P2,chr15,False,16.0
AC091874.1,chr5,False,16.0
NBEAP4,chr15,False,15.43
AC005829.1,chr17,False,15.43
BMS1P16,chr15,False,15.43
AC126335.2,chr15,False,15.43
AC126335.1,chr15,False,15.43
RN7SL400P,chr15,False,15.43
ARPP19P1,chr5,False,15.43
MAPK8IP1P1,chr17,False,15.43
AC005829.2,chr17,False,15.43
ARL17B,chr17,False,15.43
KANSL1-AS1,chr17,False,15.43
SNORA70,chr18,False,14.86
OR4C6,chr11,False,14.86
OR4S2,chr11,False,14.86
OR4P4,chr11,False,14.86
AC023078.1,chr11,False,14.29
AC025884.2,chr15,False,14.29
AC060814.2,chr15,False,14.29
AC060814.4,chr15,False,14.29
AC060814.1,chr15,False,14.29
IGHV3-30-2,chr14,False,14.29
AC068446.2,chr15,False,14.29
AC068446.1,chr15,False,14.29
POTEB3,chr15,False,14.29
POTEG,chr14,False,14.29
RNU6-1235P,chr15,False,14.29
IGHVII-30-1,chr14,False,14.29
RNU6-1268P,chr14,False,14.29
MIR3118-3,chr15,False,14.29
CXADRP2,chr15,False,14.29
AC025884.1,chr15,False,14.29
AL512624.2,chr14,False,14.29
MRGPRX1,chr11,False,14.29
GRAMD4P6,chr15,False,14.29
OR2A1-AS1,chr7,False,14.29
LONRF2P4,chr15,False,14.29
AC005225.2,chr14,False,14.29
AC060814.3,chr15,False,14.29
LONRF2P3,chr15,False,13.71
RNU6-498P,chr15,False,13.71
AC012414.5,chr15,False,13.71
AC012414.6,chr15,False,13.71
AC037471.2,chr15,False,13.71
AL512310.6,chr14,False,13.71
ZNF519P2,chr15,False,13.71
MIR3118-2,chr15,False,13.71
OR11J2P,chr15,False,13.71
AC026495.1,chr15,False,13.71
AL512310.5,chr14,False,13.71
AC012414.4,chr15,False,13.71
OR11J5P,chr15,False,13.71
AC012414.3,chr15,False,13.71
MT2P1,chr4,False,13.71
RNU6-749P,chr15,False,13.71
AC012414.2,chr15,False,13.71
GRAMD4P5,chr15,False,13.71
NOS2P2,chr17,False,13.71
MIR5701-1,chr15,False,13.71
LINC01297,chr14,False,13.71
LINC01193,chr15,False,13.71
NF1P1,chr15,False,13.71
LGALS9C,chr17,False,13.71
GRAMD4P3,chr14,False,13.71
POTEB2,chr15,False,13.71
RN7SL301P,chr17,False,13.71
AC012414.1,chr15,False,13.71
AC135068.2,chr15,False,13.14
FAM242D,chr9,False,13.14
AC135068.3,chr15,False,13.14
NF1P2,chr15,False,13.14
MIR5701-2,chr15,False,13.14
NF1P9,chr15,False,13.14
AC135068.4,chr15,False,13.14
OR11J7P,chr15,False,13.14
ARHGAP42P4,chr14,False,13.14
AC135068.5,chr15,False,13.14
MIR3118-4,chr15,False,13.14
AC135068.6,chr15,False,13.14
AC135068.7,chr15,False,13.14
AC135068.8,chr15,False,13.14
BMS1P17,chr14,False,13.14
AC135068.9,chr15,False,13.14
TNPO1P2,chr17,False,13.14
AL512310.7,chr14,False,13.14
NBEAP1,chr15,False,13.14
AL512310.8,chr14,False,13.14
LINC02203,chr15,False,13.14
AL512310.9,chr14,False,13.14
POTEB,chr15,False,13.14
AC135068.12,chr15,False,13.14
MIR5701-3,chr15,False,13.14
AC135068.11,chr15,False,13.14
AC183088.3,chr15,False,13.14
AC131280.1,chr15,False,13.14
AL512310.2,chr14,False,13.14
AL929602.1,chr14,False,13.14
AC183088.1,chr15,False,13.14
AC183088.2,chr15,False,13.14
ZNF519P3,chr15,False,13.14
RNU6-631P,chr15,False,13.14
AC134981.1,chr15,False,13.14
AC023310.1,chr15,False,13.14
AC135068.10,chr15,False,13.14
AC183088.4,chr15,False,13.14
AC135068.1,chr15,False,13.14
AL512310.4,chr14,False,13.14
GOLGA6L6,chr15,False,13.14
NF1P4,chr14,False,12.57
AL512310.1,chr14,False,12.57
OR4H6P,chr15,False,12.57
AL512624.1,chr14,False,12.57
SRP68P2,chr17,False,12.57
CCDC144B,chr17,False,12.57
AC010760.1,chr15,False,12.57
MED15P6,chr14,False,12.57
OR4M2,chr15,False,12.57
USP32P2,chr17,False,12.57
AL512310.11,chr14,False,12.57
AC025884.3,chr15,False,12.57
SPATA31E2P,chr15,False,12.57
OR4N2,chr14,False,12.57
FAM106A,chr17,False,12.57
OR4N3P,chr15,False,12.57
AL512310.3,chr14,False,12.57
RN7SL759P,chr15,False,12.57
IGHV4OR15-8,chr15,False,12.57
CHEK2P2,chr15,False,12.57
NF1P11,chr14,False,12.57
OR4Q1P,chr15,False,12.57
RPS8P10,chr15,False,12.57
AL512310.10,chr14,False,12.57
OR4N4,chr15,False,12.57
AL935212.3,chr9,False,12.57
OR11H2,chr14,False,12.57
AC134980.2,chr15,False,12.57
MIR1268A,chr15,False,12.57
AC023310.3,chr15,False,12.57
