Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr6,False,83.96
Metazoa_SRP,chr1,False,66.61
SNORA70,chr14,False,54.83
U3,chr1,False,53.03
U8,chr18,False,50.25
U6,chr14,False,45.01
AC068473.2,chr18,False,40.75
AC068473.5,chr18,False,40.75
NFATC1,chr18,False,40.75
AC107892.1,chr18,False,40.75
CTDP1,chr18,False,40.75
AC012572.1,chr18,False,40.75
AC087399.1,chr18,False,40.75
AC123786.1,chr18,False,40.59
AC093330.1,chr18,False,40.59
MBP,chr18,False,40.59
LINC01029,chr18,False,40.59
AC027575.2,chr18,False,40.59
RNU6-346P,chr18,False,40.59
RPL26P35,chr18,False,40.59
AC091027.2,chr18,False,40.59
RNA5SP461,chr18,False,40.59
AC123786.3,chr18,False,40.59
AC018445.5,chr18,False,40.59
ZNF236-DT,chr18,False,40.59
AC018529.3,chr18,False,40.59
CCND3P2,chr18,False,40.59
ZNF236,chr18,False,40.59
RNU6-655P,chr18,False,40.59
AC134978.1,chr18,False,40.59
AC027575.1,chr18,False,40.59
AC123786.2,chr18,False,40.59
AC093330.2,chr18,False,40.59
AC018445.2,chr18,False,40.59
AC018445.1,chr18,False,40.59
AC044873.1,chr18,False,40.59
GALR1,chr18,False,40.43
AC011095.1,chr18,False,40.43
AC034110.1,chr18,False,40.43
AC116003.1,chr18,False,40.43
ZADH2,chr18,False,40.43
CNDP1,chr18,False,40.43
ARL2BPP1,chr18,False,40.43
AC116003.2,chr18,False,40.43
AC116003.3,chr18,False,40.43
AC093330.3,chr18,False,40.43
AC021506.1,chr18,False,40.43
AC021506.2,chr18,False,40.43
AC100863.1,chr18,False,40.43
AC018529.1,chr18,False,40.43
AC124254.1,chr18,False,40.43
AC090812.1,chr18,False,40.43
AC090338.1,chr18,False,40.43
TSHZ1,chr18,False,40.43
AC015819.3,chr18,False,40.43
AC009704.3,chr18,False,40.43
AC018445.3,chr18,False,40.43
AC012101.2,chr18,False,40.43
AC012101.1,chr18,False,40.43
AC018445.4,chr18,False,40.43
AC015819.5,chr18,False,40.43
LINC01927,chr18,False,40.43
BDP1P,chr18,False,40.43
AC018445.6,chr18,False,40.43
AC068473.1,chr18,False,40.43
LINC01879,chr18,False,40.43
AC018529.2,chr18,False,40.43
AC091027.1,chr18,False,40.43
AC091027.3,chr18,False,40.43
LINC01898,chr18,False,40.43
DIPK1C,chr18,False,40.43
AC124254.2,chr18,False,40.43
SMIM21,chr18,False,40.43
AC103808.1,chr18,False,40.26
AC018413.1,chr18,False,40.26
AC021594.1,chr18,False,40.26
AC021594.2,chr18,False,40.26
ZNF516-DT,chr18,False,40.26
AC023090.1,chr18,False,40.26
AC023090.2,chr18,False,40.26
AC015819.1,chr18,False,40.26
AC103808.6,chr18,False,40.26
AC015819.2,chr18,False,40.26
AC090457.1,chr18,False,40.26
AC009716.2,chr18,False,40.26
AC009716.1,chr18,False,40.26
AC009704.2,chr18,False,40.26
AC009704.1,chr18,False,40.26
AC015819.4,chr18,False,40.26
AC139085.1,chr18,False,40.26
LINC00683,chr18,False,40.26
LINC00909,chr18,False,40.26
AC068473.4,chr18,False,40.26
AC068473.3,chr18,False,40.26
LINC01893,chr18,False,40.26
LINC01896,chr18,False,40.26
AC103808.5,chr18,False,40.26
SALL3,chr18,False,40.26
ZNF516,chr18,False,40.26
CNDP2,chr18,False,40.26
ZNF407,chr18,False,40.26
AC103808.4,chr18,False,40.26
AC103808.3,chr18,False,40.26
FAUP1,chr18,False,40.26
AC103808.2,chr18,False,40.26
AC125437.3,chr18,False,40.1
ATP9B,chr18,False,40.1
AC099689.3,chr18,False,40.1
AC100844.1,chr18,False,40.1
AC125437.1,chr18,False,40.1
AC010947.1,chr18,False,40.1
LINC01922,chr18,False,40.1
AC104423.1,chr18,False,40.1
AC090125.1,chr18,False,40.1
AC090125.2,chr18,False,40.1
AC125437.2,chr18,False,40.1
TIMM21,chr18,False,39.93
FBXO15,chr18,False,39.77
LINC01899,chr18,False,39.77
AC079070.1,chr18,False,39.77
CYB5A,chr18,False,39.77
AC090398.2,chr18,False,39.77
AC090398.1,chr18,False,39.77
C18orf63,chr18,False,39.77
RN7SL401P,chr18,False,39.77
RN7SL551P,chr18,False,39.77
AC027458.1,chr18,False,39.61
LINC01541,chr18,False,39.61
LINC02582,chr18,False,39.61
LINC02864,chr18,False,39.61
AC068112.1,chr18,False,39.61
AC114341.1,chr18,False,39.44
AC090312.2,chr18,False,39.44
AC005909.1,chr18,False,39.44
SLC66A2,chr18,False,39.44
AC090312.1,chr18,False,39.44
KCNG2,chr18,False,39.44
AKR1B10P2,chr18,False,39.44
MIR5011,chr18,False,39.44
AC069114.1,chr18,False,39.44
AC023394.2,chr18,False,39.28
AC091042.1,chr18,False,39.28
AC069114.2,chr18,False,39.28
AC091138.1,chr18,False,39.28
LINC01912,chr18,False,39.28
AC114341.2,chr18,False,39.28
RPL31P9,chr18,False,39.28
AC022968.1,chr18,False,39.28
AC005909.2,chr18,False,39.28
CBLN2,chr18,False,39.12
LINC01903,chr18,False,39.12
AC040896.1,chr18,False,39.12
MTL3P,chr18,False,39.12
FAM32DP,chr18,False,39.12
CDH19,chr18,False,39.12
AC022655.1,chr18,False,39.12
AC114689.1,chr18,False,39.12
RNA5SP460,chr18,False,39.12
AC114689.3,chr18,False,39.12
SNORA73,chr18,False,39.12
AC023394.1,chr18,False,39.12
AC023301.1,chr18,False,39.12
AC022662.1,chr18,False,39.12
AC114689.2,chr18,False,39.12
AC022035.1,chr18,False,39.12
RNU6-1037P,chr18,False,39.12
TXNL4A,chr18,False,39.12
AC110597.3,chr18,False,39.12
HNRNPA1P11,chr18,False,39.12
AC110597.1,chr18,False,39.12
DSEL,chr18,False,39.12
AC016383.2,chr18,False,39.12
VN1R76P,chr18,False,38.95
AC090358.1,chr18,False,38.95
DCC,chr18,False,38.95
AC096708.3,chr18,False,38.95
