Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr3,False,94.22
Metazoa_SRP,chr3,False,88.65
U8,chr3,False,78.69
SNORA63,chr3,False,68.92
SNORA72,chr3,False,68.73
U3,chr5,False,67.73
U6,chr3,False,62.95
AC131160.1,chr3,False,62.35
MAP6D1,chr3,False,62.35
PARL,chr3,False,62.35
AC092960.3,chr3,False,62.15
AC068769.1,chr3,False,62.15
YEATS2,chr3,False,62.15
YEATS2-AS1,chr3,False,62.15
RNA5SP150,chr3,False,61.95
LINC01994,chr3,False,61.95
LINC01206,chr3,False,61.95
AC012081.1,chr3,False,61.95
RN7SL703P,chr3,False,61.95
SNORA63E,chr3,False,61.95
SNORA63D,chr3,False,61.95
KLHL24,chr3,False,61.95
RN7SKP265,chr3,False,61.95
AC117415.2,chr3,False,61.95
SOX2,chr3,True,61.95
AC092960.1,chr3,False,61.95
AC084211.1,chr3,False,61.95
KLHL6,chr3,True,61.95
AC007547.1,chr3,False,61.95
AC092960.2,chr3,False,61.95
AC007547.2,chr3,False,61.95
LINC00888,chr3,False,61.95
RPSAP31,chr3,False,61.75
AC125613.1,chr3,False,61.75
EIF4EP3,chr3,False,61.75
MIR4448,chr3,False,61.75
CYP2AB1P,chr3,False,61.75
AC117415.1,chr3,False,61.75
AC012081.2,chr3,False,61.75
AC109131.1,chr3,False,61.75
KLHL6-AS1,chr3,False,61.75
AC125613.2,chr3,False,61.75
LINC01995,chr3,False,61.55
ABCC5,chr3,False,61.55
HTR3D,chr3,False,61.55
ABCC5-AS1,chr3,False,61.55
RNA5SP151,chr3,False,61.35
AC083801.2,chr3,False,61.35
AC092953.2,chr3,False,61.35
DCUN1D1,chr3,False,61.35
RPL7L1P8,chr3,False,61.35
AC083801.1,chr3,False,61.35
MCCC1-AS1,chr3,False,61.35
ATP11B,chr3,False,61.35
AC069431.1,chr3,False,61.35
EEF1A1P8,chr3,False,61.35
B3GNT5,chr3,False,61.35
MCCC1,chr3,False,61.35
AC092953.1,chr3,False,61.35
AC069431.2,chr3,False,61.16
LINC02031,chr3,False,61.16
HTR3C,chr3,False,61.16
AC021055.1,chr3,False,61.16
HTR3E-AS1,chr3,False,61.16
LINC01209,chr3,False,61.16
HTR3C2P,chr3,False,61.16
LAMP3,chr3,False,61.16
AC068308.1,chr3,False,61.16
HTR3E,chr3,False,61.16
HSP90AA5P,chr3,False,61.16
AC131235.1,chr3,False,60.96
TBL1XR1,chr3,False,60.96
TBL1XR1-AS1,chr3,False,60.96
RPL7AP25,chr3,False,60.96
AC055714.1,chr3,False,60.96
AC026355.4,chr3,False,60.96
RNA5SP147,chr3,False,60.96
FAUP2,chr3,False,60.96
TMEM212-IT1,chr3,False,60.96
MCF2L2,chr3,False,60.96
MIR7977,chr3,False,60.76
TMEM212,chr3,False,60.76
LINC02015,chr3,False,60.76
RN7SKP52,chr3,False,60.76
PPIAP75,chr3,False,60.76
FNDC3B,chr3,False,60.76
AC026355.1,chr3,False,60.76
AC007953.2,chr3,False,60.76
RNA5SP148,chr3,False,60.76
AC131235.2,chr3,False,60.76
AC007953.1,chr3,False,60.76
EIF2B5,chr3,False,60.76
KCNMB2-AS1,chr3,False,60.76
AC026355.3,chr3,False,60.76
MTND5P15,chr3,False,60.76
AC131235.3,chr3,False,60.76
ASS1P7,chr3,False,60.56
AC117453.1,chr3,False,60.56
AC117465.1,chr3,False,60.56
LINC00578,chr3,False,60.56
AC110992.1,chr3,False,60.56
LINC00501,chr3,False,60.56
RNU6-1120P,chr3,False,60.56
TMEM212-AS1,chr3,False,60.56
AC026355.2,chr3,False,60.56
KCNMB2,chr3,False,60.56
RNU6-681P,chr3,False,60.56
LINC01208,chr3,False,60.56
AC083904.1,chr3,False,60.56
SOX2-OT,chr3,False,60.36
LINC01014,chr3,False,60.36
AC117457.1,chr3,False,60.36
ZMAT3,chr3,False,60.36
BZW1P1,chr3,False,60.36
GHSR,chr3,False,60.36
LINC02068,chr3,False,60.36
DNAJC19,chr3,False,60.36
DVL3,chr3,False,60.36
SLC31A1P1,chr3,False,60.36
TNFSF10,chr3,False,60.16
AC092967.1,chr3,False,60.16
AC007919.1,chr3,False,60.16
AC092964.1,chr3,False,60.16
NCEH1,chr3,False,60.16
FXR1,chr3,False,60.16
RN7SL141P,chr3,False,60.16
RPS27AP8,chr3,False,60.16
RNU6-4P,chr3,False,60.16
SPATA16,chr3,False,59.96
AC068759.1,chr3,False,59.96
AC104640.1,chr3,False,59.96
FLYWCH1P1,chr3,False,59.96
NAALADL2-AS1,chr3,False,59.96
ECT2,chr3,False,59.96
RNU4-4P,chr3,False,59.96
AC108734.1,chr3,False,59.96
AC108734.2,chr3,False,59.96
PLD1,chr3,False,59.76
RNU6-1317P,chr3,False,59.76
AC104640.2,chr3,False,59.76
AC108734.3,chr3,False,59.76
RNU6-348P,chr3,False,59.76
EI24P1,chr3,False,59.76
ACTG1P23,chr3,False,59.76
RNU6-547P,chr3,False,59.76
ATP5MC1P4,chr3,False,59.76
AC117434.1,chr3,False,59.76
AC108667.1,chr3,False,59.76
NLGN1,chr3,False,59.56
AC119744.1,chr3,False,59.56
AC007919.2,chr3,False,59.56
UBE2V1P2,chr3,False,59.56
MIR569,chr3,False,59.56
LINC02054,chr3,False,59.56
LINC02053,chr3,False,59.56
AC076966.2,chr3,False,59.56
AC108667.2,chr3,False,59.56
TNIK,chr3,False,59.56
ABCF3,chr3,False,59.56
RN7SL229P,chr3,False,59.56
RALBP1P1,chr3,False,59.56
LINC01839,chr3,False,59.36
ALG3,chr3,False,59.36
RNA5SP149,chr3,False,59.36
RPL22L1,chr3,False,59.36
AC092919.2,chr3,False,59.36
AC026316.5,chr3,False,59.36
AP2M1,chr3,False,59.36
AC026316.3,chr3,False,59.36
AC026316.2,chr3,False,59.36
AC026316.1,chr3,False,59.36
SLC2A2,chr3,False,59.36
CAMK2N2,chr3,False,59.36
AC134503.1,chr3,False,59.36
MIR1224,chr3,False,59.36
AC061708.1,chr3,False,59.36
AC092919.1,chr3,False,59.36
RNU1-70P,chr3,False,59.36
AC125618.1,chr3,False,59.36
ECE2,chr3,False,59.36
EEF1AKMT4,chr3,False,59.36
VWA5B2,chr3,False,59.36
EIF5A2,chr3,False,59.36
EEF1AKMT4-ECE2,chr3,False,59.36
KLF7P1,chr3,False,59.36
GAPDHP36,chr3,False,59.16
POLR2H,chr3,False,59.16
SNORD66,chr3,False,59.16
PIK3CA,chr3,True,59.16
RNU6-637P,chr3,False,59.16
RNU4-91P,chr3,False,59.16
AC007687.1,chr3,False,59.16
PSMD2,chr3,False,59.16
AC108734.4,chr3,False,59.16
CCDC39-AS1,chr3,False,59.16
CLCN2,chr3,False,59.16
FAM131A,chr3,False,59.16
PEX5L-AS1,chr3,False,59.16
THPO,chr3,False,59.16
PEX5L-AS2,chr3,False,59.16
AC008040.3,chr3,False,59.16
SDHDP3,chr3,False,59.16
AC008134.1,chr3,False,59.16
AC092939.1,chr3,False,59.16
SEC62-AS1,chr3,False,59.16
PEX5L,chr3,False,59.16
SEC62,chr3,False,59.16
AC128714.2,chr3,False,59.16
EIF4G1,chr3,False,59.16
AC008040.1,chr3,False,58.96
LRRC34,chr3,False,58.96
CLDN11,chr3,False,58.96
TTC14,chr3,False,58.96
AC007620.3,chr3,False,58.96
AC007620.2,chr3,False,58.96
CHRD,chr3,False,58.96
CCDC39,chr3,False,58.96
EPHB3,chr3,False,58.96
AC078802.1,chr3,False,58.96
AC078795.3,chr3,False,58.96
SLC7A14,chr3,False,58.96
Telomerase-vert,chr3,False,58.96
MIR6828,chr3,False,58.96
AC078795.1,chr3,False,58.96
GNB4,chr3,False,58.96
SAMD7,chr3,False,58.96
LRRIQ4,chr3,False,58.96
MYNN,chr3,False,58.96
ZNF639,chr3,False,58.96
SKIL,chr3,False,58.96
AC026316.4,chr3,False,58.96
TERC,chr3,True,58.96
SLC7A14-AS1,chr3,False,58.96
AC008040.2,chr3,False,58.96
H3P13,chr3,False,58.96
ACTRT3,chr3,False,58.96
AC007849.1,chr3,False,58.96
AC073288.1,chr3,False,58.96
AC073288.2,chr3,False,58.96
LRRC31,chr3,False,58.96
KRT18P43,chr3,False,58.96
PRKCI,chr3,True,58.96
KRT8P13,chr3,False,58.96
USP13,chr3,False,58.96
LINC01840,chr3,False,58.96
RNU6-486P,chr3,False,58.96
AC008180.3,chr3,False,58.96
PHC3,chr3,False,58.76
GPR160,chr3,False,58.76
KCNMB3,chr3,False,58.76
MTHFD2P7,chr3,False,58.76
RNU6-315P,chr3,False,58.76
AC068298.1,chr3,False,58.76
KMT5AP3,chr3,False,58.76
AC107294.4,chr3,False,58.76
LINC02069,chr3,False,58.76
VPS8,chr3,False,58.76
RNU4-38P,chr3,False,58.76
NAALADL2-AS3,chr3,False,58.76
AC007823.1,chr3,False,58.76
MAGEF1,chr3,False,58.76
AC090425.3,chr3,False,58.76
AC090425.2,chr3,False,58.76
AC090425.1,chr3,False,58.76
AC107294.2,chr3,False,58.76
AC007620.1,chr3,False,58.76
AC078795.2,chr3,False,58.76
RPL22P1,chr3,False,58.76
ACTL6A,chr3,False,58.76
MRPL47,chr3,False,58.76
MFN1,chr3,False,58.76
NDUFB5,chr3,False,58.57
RN7SKP40,chr3,False,58.57
NAALADL2,chr3,False,58.57
RNU6-1233P,chr3,False,58.57
ANAPC15P2,chr3,False,58.57
NAALADL2-AS2,chr3,False,58.57
MECOM-AS1,chr3,False,58.57
AC107294.3,chr3,False,58.57
AC069218.1,chr3,False,58.57
EEF1B2P8,chr3,False,58.57
LRRFIP1P1,chr3,False,58.37
MECOM,chr3,False,58.37
NLGN1-AS1,chr3,False,58.37
AC076966.1,chr3,False,58.37
AC107294.1,chr3,False,58.37
RN7SKP234,chr3,False,58.37
LINC01997,chr3,False,58.17
C3orf70,chr3,False,57.97
TMEM41A,chr3,False,57.77
AC092954.1,chr3,False,57.77
LINC02082,chr3,False,57.77
AC092954.2,chr3,False,57.77
RPL21P43,chr3,False,57.77
RPL4P4,chr3,False,57.77
EIF2S2P2,chr3,False,57.57
LIPH,chr3,False,57.57
AC099661.1,chr3,False,57.57
MIR5588,chr3,False,57.57
MAP3K13,chr3,True,57.57
MIR551B,chr3,False,57.37
EHHADH,chr3,False,57.37
RNU2-20P,chr3,False,57.37
MIR548AQ,chr3,False,57.17
RPSAP33,chr3,False,57.17
IGF2BP2,chr3,False,57.17
IGF2BP2-AS1,chr3,False,57.17
MIR4789,chr3,False,57.17
SENP2,chr3,False,57.17
EHHADH-AS1,chr3,False,57.17
AC133473.1,chr3,False,57.17
P3H2,chr3,False,56.97
AC124893.1,chr3,False,56.77
TRA2B,chr3,False,56.57
NMRAL2P,chr3,False,56.57
MTAPP2,chr3,False,56.57
EGFEM1P,chr3,False,56.57
ETV5,chr3,True,56.37
ETV5-AS1,chr3,False,56.37
MIR944,chr3,False,56.37
MEMO1P3,chr3,False,56.18
