Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr9,False,66.29
Metazoa_SRP,chr1,False,39.89
KRTAP9-11P,chr17,False,33.71
AL049634.3,chr20,False,32.02
ADAM3A,chr8,False,29.78
AC123767.1,chr8,False,29.21
LGALS9C,chr17,False,27.53
HLA-DRB5,chr6,False,27.53
NOS2P2,chr17,False,27.53
TNPO1P2,chr17,False,26.97
AC091874.2,chr5,False,26.97
AC091874.1,chr5,False,26.97
FAM242D,chr9,False,25.84
AL935212.3,chr9,False,25.84
AC140125.1,chr5,False,25.84
ARPP19P1,chr5,False,24.72
LCE3C,chr1,False,24.16
RNU1-61P,chr6,False,23.6
HLA-DRB6,chr6,False,23.6
HLA-DRB1,chr6,False,23.03
USP32P2,chr17,False,22.47
BTNL3,chr5,False,22.47
FAM106A,chr17,False,22.47
SRP68P2,chr17,False,22.47
U3,chr1,False,22.47
U6,chr1,False,22.47
AC147055.4,chr4,False,21.91
CCDC144B,chr17,False,21.35
AC147055.2,chr4,False,21.35
UGT2B17,chr4,False,21.35
SNORA70,chr1,False,20.79
TRGV11,chr7,False,20.22
AC026740.2,chr5,False,19.66
AC000032.1,chr1,False,19.66
BRD9P2,chr5,False,19.66
TRGVB,chr7,False,19.66
OR7E84P,chr4,False,19.66
AC092821.2,chr12,False,19.66
TRGV10,chr7,False,19.66
AC006033.1,chr7,False,18.54
AC134980.1,chr15,False,18.54
TRGV9,chr7,False,18.54
OR11J6P,chr15,False,18.54
CFHR3,chr1,False,18.54
KANSL1-AS1,chr17,False,18.54
CFHR1,chr1,False,17.98
AC005829.1,chr17,False,17.98
TRGVA,chr7,False,17.98
AC005829.2,chr17,False,17.98
U8,chr1,False,17.98
MAPK8IP1P1,chr17,False,17.98
ARL17B,chr17,False,17.42
LCE3B,chr1,False,16.85
UGT2B29P,chr4,False,16.85
AC006033.2,chr7,False,16.85
TRGV8,chr7,False,16.29
TRGV7,chr7,False,16.29
MT2P1,chr4,False,16.29
OR52N1,chr11,False,16.29
TRGJP1,chr7,False,16.29
TRGJP,chr7,False,16.29
OR52N5,chr11,False,16.29
AC025884.2,chr15,False,16.29
AC023310.4,chr15,False,16.29
AC025884.3,chr15,False,15.73
BCAR1P2,chr15,False,15.73
OR4N4,chr15,False,15.73
OR4H6P,chr15,False,15.73
OR11K1P,chr15,False,15.73
OR11H3P,chr15,False,15.73
AC131280.1,chr15,False,15.73
HCP5B,chr6,False,15.73
RPS8P10,chr15,False,15.73
NBEAP1,chr15,False,15.73
OR4Q1P,chr15,False,15.73
IGHD2OR15-2B,chr15,False,15.73
AC023310.2,chr15,False,15.73
IGHV1OR15-6,chr15,False,15.73
MIR1268A,chr15,False,15.73
AC010760.1,chr15,False,15.73
OR4M2,chr15,False,15.73
AC023310.1,chr15,False,15.73
IGHV4OR15-8,chr15,False,15.73
IGHD1OR15-1B,chr15,False,15.73
AC134980.2,chr15,False,15.73
IGHV1OR15-4,chr15,False,15.73
IGHV1OR15-3,chr15,False,15.73
IGHV1OR15-1,chr15,False,15.73
IGHD5OR15-5B,chr15,False,15.73
IGHD4OR15-4B,chr15,False,15.73
IGHD3OR15-3B,chr15,False,15.73
OR4N3P,chr15,False,15.73
AL365272.1,chr6,False,15.17
AC037471.1,chr15,False,15.17
AC068446.2,chr15,False,15.17
AC060814.3,chr15,False,15.17
GRAMD4P6,chr15,False,15.17
POTEB3,chr15,False,15.17
LONRF2P4,chr15,False,15.17
AC068446.1,chr15,False,15.17
OR4N1P,chr14,False,15.17
MIR3118-3,chr15,False,15.17
AC060814.4,chr15,False,15.17
IGHVII-30-1,chr14,False,15.17
IGHV3-30-2,chr14,False,15.17
OR4K6P,chr14,False,15.17
FAM30C,chr15,False,15.17
AC060814.2,chr15,False,15.17
GOLGA6L6,chr15,False,15.17
OR4K3,chr14,False,15.17
OR4K2,chr14,False,15.17
OR4K1,chr14,False,15.17
RNU6-1235P,chr15,False,15.17
CXADRP2,chr15,False,15.17
AC060814.1,chr15,False,15.17
AC025884.1,chr15,False,15.17
AC126335.2,chr15,False,14.61
AC026495.1,chr15,False,14.61
AC126335.1,chr15,False,14.61
BMS1P16,chr15,False,14.61
OR4K5,chr14,False,14.61
NBEAP4,chr15,False,14.61
AL391156.1,chr14,False,14.61
