Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,77.42
U8,chr15,False,54.84
Metazoa_SRP,chr14,False,54.84
U3,chr14,False,51.61
LCE3C,chr1,False,48.39
U6,chr15,False,46.77
SNORA70,chr14,False,43.55
KRTAP9-11P,chr17,False,40.32
OR52N1,chr11,False,38.71
OR52N5,chr11,False,38.71
CFHR3,chr1,False,37.1
AC092821.2,chr12,False,37.1
CFHR1,chr1,False,37.1
AL049634.3,chr20,False,32.26
SNORD39,chr11,False,30.65
LINC01880,chr2,False,30.65
AC093642.6,chr2,False,30.65
AC093642.1,chr2,False,30.65
AC114786.3,chr4,False,29.03
LCE3B,chr1,False,29.03
AC093642.2,chr2,False,29.03
7SK,chr17,False,29.03
ALG1L2,chr3,False,29.03
SNORA62,chr8,False,27.42
UGT2B28,chr4,False,27.42
AC114786.2,chr4,False,27.42
LINC01881,chr2,False,27.42
AC093642.3,chr2,False,27.42
U4,chr6,False,27.42
SIGLEC14,chr19,False,25.81
AL365272.1,chr6,False,25.81
AC123767.1,chr8,False,25.81
OR2T11,chr1,False,25.81
AC098483.2,chr1,False,25.81
IGHV3-41,chr14,False,25.81
OR2T10,chr1,False,25.81
ADAM3A,chr8,False,25.81
HOMER2P1,chr14,False,25.81
LINC02684,chr11,False,25.81
IGHVII-40-1,chr14,False,25.81
AC244452.1,chr14,False,25.81
AP003062.2,chr11,False,24.19
AP003062.1,chr11,False,24.19
SMBD1P,chr3,False,24.19
LINC02714,chr11,False,24.19
MIR570,chr3,False,24.19
AC018755.4,chr19,False,24.19
DUSP22,chr6,False,24.19
CCDC144B,chr17,False,24.19
FAM106A,chr17,False,24.19
LINC02697,chr11,False,24.19
AC002525.1,chr13,False,24.19
SRP68P2,chr17,False,24.19
USP32P2,chr17,False,24.19
LINC02717,chr11,False,24.19
NOS2P2,chr17,False,22.58
KIRREL3-AS1,chr11,False,22.58
TAS2R64P,chr12,False,22.58
RN7SKP279,chr11,False,22.58
AP001783.1,chr11,False,22.58
AP000859.1,chr11,False,22.58
LGALS9C,chr17,False,22.58
OR7E84P,chr4,False,22.58
NSFP1,chr17,False,22.58
LINC02098,chr11,False,22.58
OR2A1,chr7,False,22.58
AP001999.2,chr11,False,22.58
B3GAT1-DT,chr11,False,22.58
KCNJ5,chr11,False,22.58
AC000032.1,chr1,False,22.58
AP004550.1,chr11,False,22.58
C11orf45,chr11,False,22.58
KCNJ1,chr11,False,22.58
OR4V1P,chr11,False,22.58
SNORA75,chr4,False,22.58
LINC02706,chr11,False,22.58
AP000920.1,chr11,False,22.58
AP000911.1,chr11,False,22.58
GLB1L2,chr11,False,22.58
RN7SKP121,chr11,False,22.58
AP001999.1,chr11,False,22.58
OR4C6,chr11,False,22.58
AP001999.3,chr11,False,22.58
TP53AIP1,chr11,False,22.58
LINC02731,chr11,False,22.58
LINC02725,chr11,False,22.58
LINC02730,chr11,False,22.58
AP003170.4,chr11,False,20.97
AP003170.3,chr11,False,20.97
AP003170.2,chr11,False,20.97
AP001122.1,chr11,False,20.97
TMEM45B,chr11,False,20.97
AP003121.1,chr11,False,20.97
ATF4P4,chr11,False,20.97
DNAJB6P1,chr11,False,20.97
NTM-IT,chr11,False,20.97
AP001318.3,chr11,False,20.97
NFRKB,chr11,False,20.97
OR2A9P,chr7,False,20.97
AP001775.1,chr11,False,20.97
AP002833.2,chr11,False,20.97
OR4K5,chr14,False,20.97
OR4K6P,chr14,False,20.97
AP002833.3,chr11,False,20.97
OR4N1P,chr14,False,20.97
BARX2,chr11,False,20.97
OR4Q3,chr14,False,20.97
OR4S2,chr11,False,20.97
AP002833.1,chr11,False,20.97
OR4K3,chr14,False,20.97
ACAD8,chr11,False,20.97
IGSF9B,chr11,False,20.97
JAM3,chr11,False,20.97
AC147055.4,chr4,False,20.97
AC147055.2,chr4,False,20.97
ETS1,chr11,False,20.97
ETS1-AS1,chr11,False,20.97
OR4K4P,chr14,False,20.97
OR4K2,chr14,False,20.97
AP001775.2,chr11,False,20.97
OPCML-IT1,chr11,False,20.97
RPS27P20,chr11,False,20.97
KIRREL3-AS3,chr11,False,20.97
KIRREL3-AS2,chr11,False,20.97
KIRREL3,chr11,False,20.97
PTP4A2P2,chr11,False,20.97
AP001924.2,chr11,False,20.97
OPCML,chr11,False,20.97
OPCML-IT2,chr11,False,20.97
THYN1,chr11,False,20.97
AP001979.1,chr11,False,20.97
OR11K2P,chr14,False,20.97
OR2A1-AS1,chr7,False,20.97
OR2A7,chr7,False,20.97
AP003170.5,chr11,False,20.97
AP001993.1,chr11,False,20.97
B3GAT1,chr11,False,20.97
SPAG11A,chr8,False,20.97
5S_rRNA,chr2,False,20.97
FLI1,chr11,False,20.97
DEFB106B,chr8,False,20.97
CTAGE8,chr7,False,20.97
DEFB104A,chr8,False,20.97
DEFB104B,chr8,False,20.97
DEFB105A,chr8,False,20.97
DEFB105B,chr8,False,20.97
DEFB106A,chr8,False,20.97
CLDN25,chr11,False,20.97
AP000844.1,chr11,False,20.97
DEFB107A,chr8,False,20.97
TNPO1P2,chr17,False,20.97
ST3GAL4,chr11,False,20.97
DEFB107B,chr8,False,20.97
SENCR,chr11,False,20.97
AP003972.1,chr11,False,20.97
DEFB103A,chr8,False,20.97
ARHGAP32,chr11,False,20.97
LRRC37A13P,chr11,False,20.97
UGT2B17,chr4,False,20.97
AC010941.1,chr8,False,20.97
AP003784.1,chr11,False,20.97
GSEC,chr11,False,20.97
AP003532.1,chr11,False,20.97
USP28,chr11,False,20.97
AP003500.1,chr11,False,20.97
LINC02743,chr11,False,20.97
LINC02712,chr11,False,20.97
AC022068.1,chr8,False,20.97
ZNF123P,chr11,False,20.97
RNU6-874P,chr11,False,20.97
RNU6-876P,chr11,False,20.97
HCP5B,chr6,False,20.97
AP000843.1,chr11,False,20.97
GLB1L3,chr11,False,20.97
PRDM10,chr11,False,20.97
AP003327.1,chr11,False,20.97
MIR4301,chr11,False,20.97
AP004606.1,chr11,False,20.97
VPS26B,chr11,False,20.97
NCAPD3,chr11,False,20.97
PRR23D2,chr8,False,20.97
TMPRSS5,chr11,False,20.97
SPATA19,chr11,False,20.97
MIR3167,chr11,False,20.97
ARHGEF34P,chr7,False,20.97
PRR23D3P,chr8,False,20.97
MIR6090,chr11,False,20.97
AP003327.2,chr11,False,20.97
AL391156.1,chr14,False,20.97
AP004782.1,chr11,False,20.97
LINC01395,chr11,False,20.97
MIR4697,chr11,False,20.97
AP003486.1,chr11,False,19.35
AP004609.3,chr11,False,19.35
RNU6-1123P,chr11,False,19.35
H2AX,chr11,False,19.35
AP003486.2,chr11,False,19.35
AP002762.2,chr11,False,19.35
AC135731.2,chr15,False,19.35
AP002762.1,chr11,False,19.35
AP003396.2,chr11,False,19.35
AP003396.4,chr11,False,19.35
AP003396.3,chr11,False,19.35
AP002856.1,chr11,False,19.35
RNU6-1107P,chr11,False,19.35
AP003973.3,chr11,False,19.35
AP002762.3,chr11,False,19.35
AP002800.1,chr11,False,19.35
AP003973.1,chr11,False,19.35
GRAMD1B,chr11,False,19.35
AP003973.4,chr11,False,19.35
AP004371.1,chr11,False,19.35
AP003396.1,chr11,False,19.35
AP004372.1,chr11,False,19.35
POU2AF1,chr11,False,19.35
SDHDP6,chr1,False,19.35
AP004609.2,chr11,False,19.35
RPUSD4,chr11,False,19.35
IL10RA,chr11,False,19.35
AC136777.1,chr8,False,19.35
AP003973.2,chr11,False,19.35
AP002765.1,chr11,False,19.35
AP002840.2,chr11,False,19.35
AP004609.1,chr11,False,19.35
AP002840.1,chr11,False,19.35
AP002856.4,chr11,False,19.35
AP003393.1,chr11,False,19.35
AP003392.5,chr11,False,19.35
HSPD1P3,chr8,False,19.35
AP003392.15,chr11,False,19.35
HSPA8,chr11,False,19.35
AP003392.1,chr11,False,19.35
PDZD3,chr11,False,19.35
HINFP,chr11,False,19.35
AP003390.1,chr11,False,19.35
PAFAH1B2,chr11,False,19.35
PAICSP4,chr8,False,19.35
AC004944.1,chr8,False,19.35
USP2,chr11,False,19.35
HMBS,chr11,False,19.35
USP2-AS1,chr11,False,19.35
PATE3,chr11,False,19.35
PATE4,chr11,False,19.35
PCSK7,chr11,False,19.35
TMPRSS4,chr11,False,19.35
HOATZ,chr11,False,19.35
HNRNPLP2,chr15,False,19.35
SC5D,chr11,False,19.35
HNRNPA1P60,chr11,False,19.35
TMPRSS13,chr11,False,19.35
AP003179.1,chr11,False,19.35
AP003170.1,chr11,False,19.35
AP002518.2,chr11,False,19.35
AP003174.3,chr11,False,19.35
AP003174.2,chr11,False,19.35
HSPE1P18,chr11,False,19.35
AP003041.2,chr11,False,19.35
AP003041.1,chr11,False,19.35
AC115485.1,chr8,False,19.35
PHLDB1,chr11,False,19.35
SCN4B,chr11,False,19.35
AP002856.2,chr11,False,19.35
AP002856.3,chr11,False,19.35
RNU6-1157P,chr11,False,19.35
PHBP17,chr11,False,19.35
SCN3B,chr11,False,19.35
AP003174.1,chr11,False,19.35
TMEM25,chr11,False,19.35
SCN2B,chr11,False,19.35
AP002954.1,chr11,False,19.35
IFT46,chr11,False,19.35
AP003392.4,chr11,False,19.35
RNU6-17P,chr15,False,19.35
AP003392.3,chr11,False,19.35
AP002954.2,chr11,False,19.35
AP002956.1,chr11,False,19.35
AP002963.1,chr11,False,19.35
AP002991.1,chr11,False,19.35
AP003025.1,chr11,False,19.35
AP003025.2,chr11,False,19.35
PFN1P12,chr1,False,19.35
AP003392.2,chr11,False,19.35
HYOU1,chr11,False,19.35
HYLS1,chr11,False,19.35
AP003040.1,chr11,False,19.35
AP002755.1,chr11,False,19.35
AP001970.1,chr11,False,19.35
AP002518.1,chr11,False,19.35
AP000755.1,chr11,False,19.35
AP000821.2,chr11,False,19.35
AP000821.1,chr11,False,19.35
MTRF1LP1,chr11,False,19.35
RPL5P30,chr11,False,19.35
AP000757.2,chr11,False,19.35
AP000757.1,chr11,False,19.35
AP000755.2,chr11,False,19.35
AP000711.1,chr11,False,19.35
AP002469.1,chr11,False,19.35
RPL35AP26,chr11,False,19.35
AP000465.1,chr11,False,19.35
AP000462.3,chr11,False,19.35
AP000462.2,chr11,False,19.35
AP000462.1,chr11,False,19.35
RPL34P23,chr11,False,19.35
RPL34P21,chr11,False,19.35
AP000842.1,chr11,False,19.35
AP000842.2,chr11,False,19.35
AP000842.3,chr11,False,19.35
AP000844.2,chr11,False,19.35
AP000941.1,chr11,False,19.35
AP000936.3,chr11,False,19.35
AP000936.2,chr11,False,19.35
AP000936.1,chr11,False,19.35
AP000926.2,chr11,False,19.35
AP000926.1,chr11,False,19.35
NCAM1-AS1,chr11,False,19.35
NBPF17P,chr1,False,19.35
UBASH3B,chr11,False,19.35
AP000892.4,chr11,False,19.35
AP000892.3,chr11,False,19.35
AP000892.2,chr11,False,19.35
NAP1L1P1,chr11,False,19.35
AP000892.1,chr11,False,19.35
AP000880.1,chr11,False,19.35
LINC02550,chr11,False,19.35
LINC02551,chr11,False,19.35
LINC02591,chr1,False,19.35
RPL23AP54,chr8,False,19.35
MCAM,chr11,False,19.35
MIR6756,chr11,False,19.35
MFRP,chr11,False,19.35
MIR100,chr11,False,19.35
MIR100HG,chr11,False,19.35
MIR6716,chr11,False,19.35
MIR125B1,chr11,False,19.35
RPL12P46,chr11,False,19.35
MIR34B,chr11,False,19.35
MIR34C,chr11,False,19.35
UBE4A,chr11,False,19.35
RNY4P6,chr11,False,19.35
MIR4491,chr11,False,19.35
MIR4492,chr11,False,19.35
MIR4493,chr11,False,19.35
AC007718.1,chr8,False,19.35
RPL23AP64,chr11,False,19.35
RPL31P47,chr11,False,19.35
MIR8052,chr11,False,19.35
ANKK1,chr11,False,19.35
LINC02698,chr11,False,19.35
LINC02715,chr11,False,19.35
LINC02727,chr11,False,19.35
LINC02732,chr11,False,19.35
MPZL3,chr11,False,19.35
MPZL2,chr11,False,19.35
TAGLN,chr11,False,19.35
LINC02744,chr11,False,19.35
LINC02873,chr11,False,19.35
SRPRA,chr11,False,19.35
RPL23AP96,chr8,False,19.35
MIRLET7A2,chr11,False,19.35
RNU6ATAC12P,chr11,False,19.35
ST14,chr11,False,19.35
LINC00900,chr11,False,19.35
RNU6-592P,chr11,False,19.35
AP000977.1,chr11,False,19.35
RNU6-256P,chr11,False,19.35
THY1-AS1,chr11,False,19.35
THY1,chr11,False,19.35
AP001994.3,chr11,False,19.35
AP001994.2,chr11,False,19.35
AP001994.1,chr11,False,19.35
AP001977.1,chr11,False,19.35
AP005018.2,chr11,False,19.35
ADAMTS15,chr11,False,19.35
AP001924.1,chr11,False,19.35
ADAMTS8,chr11,False,19.35
AP001893.3,chr11,False,19.35
AP001893.2,chr11,False,19.35
AP001893.1,chr11,False,19.35
RPS29P19,chr11,False,19.35
NXPE4,chr11,False,19.35
RNU6-262P,chr11,False,19.35
OR4H12P,chr14,False,19.35
NXPE2,chr11,False,19.35
OR4M1,chr14,False,19.35
AP002448.1,chr11,False,19.35
AP002373.2,chr11,False,19.35
AP002373.1,chr11,False,19.35
JAML,chr11,False,19.35
JHY,chr11,False,19.35
AP002365.1,chr11,False,19.35
AC239800.3,chr1,False,19.35
U2,chr14,False,19.35
RPS4XP12,chr11,False,19.35
TIRAP,chr11,False,19.35
AP002008.4,chr11,False,19.35
AP002008.3,chr11,False,19.35
OR4P4,chr11,False,19.35
AP002008.2,chr11,False,19.35
AP002008.1,chr11,False,19.35
NXPE2P1,chr11,False,19.35
NXPE1,chr11,False,19.35
AP000997.1,chr11,False,19.35
AP001318.2,chr11,False,19.35
AP001267.5,chr11,False,19.35
AP001267.4,chr11,False,19.35
ZBTB44,chr11,False,19.35
ZBTB44-DT,chr11,False,19.35
AP001267.3,chr11,False,19.35
AP001267.2,chr11,False,19.35
AP001267.1,chr11,False,19.35
AP001124.1,chr11,False,19.35
UBA52P6,chr9,False,19.35
NECTIN1-AS1,chr11,False,19.35
NECTIN1,chr11,False,19.35
AP000997.4,chr11,False,19.35
AP000997.3,chr11,False,19.35
AP000997.2,chr11,False,19.35
NDUFAF2P2,chr11,False,19.35
AP001318.1,chr11,False,19.35
LINC00167,chr11,False,19.35
KMT2A,chr11,True,19.35
AP001360.1,chr11,False,19.35
RNU6-376P,chr11,False,19.35
NTM-AS1,chr11,False,19.35
NTM,chr11,False,19.35
RPS26P43,chr11,False,19.35
RPS25,chr11,False,19.35
AP001582.1,chr11,False,19.35
AP001554.1,chr11,False,19.35
KRT8P7,chr11,False,19.35
LAYN,chr11,False,19.35
RPS17P15,chr11,False,19.35
ZBTB16,chr11,False,19.35
NNMT,chr11,False,19.35
AP001360.3,chr11,False,19.35
NLRX1,chr11,False,19.35
AP001360.2,chr11,False,19.35
AP005018.1,chr11,False,19.35
AP002991.2,chr11,False,19.35
SLC37A4,chr11,False,19.35
CD3D,chr11,False,19.35
RN7SL318P,chr8,False,19.35
CENATAC,chr11,False,19.35
CDON,chr11,False,19.35
CDKN2B,chr9,True,19.35
FDX1,chr11,False,19.35
CD3G,chr11,False,19.35
CD3E,chr11,False,19.35
RN7SL167P,chr11,False,19.35
RN7SL761P,chr13,False,19.35
CCDC153,chr11,False,19.35
CBL,chr11,True,19.35
DPAGT1,chr11,False,19.35
TRIM29,chr11,False,19.35
DRD2,chr11,False,19.35
