Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,85.74
Metazoa_SRP,chr11,False,63.19
U8,chr6,False,57.45
U6,chr11,False,55.11
U3,chr6,False,52.98
SNORA70,chr6,False,48.09
SNORD39,chr9,False,44.89
CDKN2B-AS1,chr9,False,44.68
AL449423.1,chr9,False,44.68
CDKN2B,chr9,True,44.26
UBA52P6,chr9,False,44.04
CDKN2A-DT,chr9,False,43.19
CDKN2A,chr9,True,43.19
AL354709.1,chr9,False,42.77
ERVFRD-3,chr9,False,42.55
U4,chr6,False,42.55
AL354709.2,chr9,False,41.06
LCE3C,chr1,False,40.85
AL359922.3,chr9,False,40.85
AL359922.2,chr9,False,38.94
AL157937.1,chr9,False,38.72
TUBB8P1,chr9,False,38.3
MTAP,chr9,True,38.09
AL359922.1,chr9,False,38.09
RN7SL151P,chr9,False,36.6
KHSRPP1,chr9,False,36.6
AC092821.2,chr12,False,36.17
DMRTA1,chr9,False,35.96
H3P30,chr9,False,35.96
IFNE,chr9,False,34.68
MIR31,chr9,False,34.68
IFNA8,chr9,False,34.47
MIR31HG,chr9,False,34.47
IFNWP2,chr9,False,34.47
IFNWP19,chr9,False,34.47
IFNA11P,chr9,False,34.47
AL353732.1,chr9,False,34.47
AL353732.2,chr9,False,34.47
LINC01239,chr9,False,34.47
IFNA1,chr9,False,34.26
CLIC4P1,chr9,False,34.26
IFNA12P,chr9,False,34.26
AC017067.1,chr9,False,34.26
IFNA2,chr9,False,34.26
IFNA6,chr9,False,34.04
IFNA13,chr9,False,34.04
AL391117.1,chr9,False,34.04
AL445623.2,chr9,False,33.83
IFNWP5,chr9,False,33.83
IFNA14,chr9,False,33.83
KLHL9,chr9,False,33.83
LINC02851,chr9,False,33.83
IFNA17,chr9,False,33.83
IFNA5,chr9,False,33.62
IFNA20P,chr9,False,33.62
IFNA16,chr9,False,33.62
IFNA22P,chr9,False,33.62
AL357614.1,chr9,False,33.62
IFNWP18,chr9,False,33.62
IFNA7,chr9,False,33.4
IFNA10,chr9,False,33.4
IFNA21,chr9,False,33.19
AL390882.1,chr9,False,33.19
IFNWP9,chr9,False,33.19
IFNA4,chr9,False,33.19
IFNW1,chr9,False,33.19
AL365204.1,chr9,False,32.98
IFNWP15,chr9,False,32.98
AL445623.1,chr9,False,32.98
NOP56P2,chr9,False,32.98
SUMO2P2,chr9,False,32.98
ELAVL2,chr9,False,32.98
AL161628.1,chr9,False,32.98
IFNWP4,chr9,False,32.77
IFNB1,chr9,False,32.77
AL365204.2,chr9,False,32.77
IFNNP1,chr9,False,32.55
AL365204.3,chr9,False,32.55
AL513317.1,chr9,False,32.55
HACD4,chr9,False,32.13
ARL5AP4,chr22,False,32.13
IZUMO3,chr9,False,31.49
AL353811.1,chr9,False,31.49
SNORA30B,chr9,False,31.49
MIR491,chr9,False,31.28
FOCAD,chr9,False,31.06
FOCAD-AS1,chr9,False,31.06
AL596442.4,chr6,False,30.85
AL596442.3,chr6,False,30.64
MLLT3,chr9,False,30.64
MIR4474,chr9,False,30.64
MIR4473,chr9,False,30.43
RNU4-26P,chr9,False,30.43
AL512635.1,chr9,False,30.43
RMRPP5,chr9,False,30.43
AL163193.1,chr9,False,30.43
7SK,chr11,False,30.0
RN7SKP120,chr9,False,30.0
OR52N1,chr11,False,30.0
AL603783.1,chr6,False,29.79
AL596442.1,chr6,False,29.79
AL450003.1,chr9,False,29.79
AL353730.1,chr9,False,29.57
SNORA73,chr6,False,29.57
SNORA62,chr16,False,29.57
AL596442.2,chr6,False,29.57
BNC2-AS1,chr9,False,29.57
BNC2,chr9,False,29.36
AL591222.2,chr9,False,29.36
AL591222.3,chr9,False,29.36
RPL12P23,chr6,False,29.36
LSM1P1,chr9,False,29.36
AL449983.1,chr9,False,29.36
AL162725.2,chr9,False,29.36
AL358117.1,chr9,False,29.15
RN7SL720P,chr9,False,29.15
AL353753.1,chr9,False,29.15
TUSC1,chr9,False,29.15
LINC01241,chr9,False,29.15
C9orf92,chr9,False,28.94
AL591222.1,chr9,False,28.94
FAM71BP1,chr9,False,28.94
C11orf98P1,chr9,False,28.72
OR52N5,chr11,False,28.72
CNTLN,chr9,False,28.72
PABPC1P11,chr9,False,28.72
SH3GL2,chr9,False,28.72
AL162725.1,chr9,False,28.72
AL135790.2,chr9,False,28.72
RPS29P33,chr9,False,28.72
AL158077.1,chr9,False,28.72
AL137017.1,chr9,False,28.51
LINC00583,chr9,False,28.51
AL161449.1,chr9,False,28.51
SLC24A2,chr9,False,28.51
RNU6-14P,chr9,False,28.51
AL136366.1,chr9,False,28.51
PRDX1P1,chr9,False,28.51
PES1P2,chr9,False,28.51
AL161449.2,chr9,False,28.51
LINC01235,chr9,False,28.51
AL441963.1,chr9,False,28.51
AL162386.2,chr9,False,28.51
MPDZ,chr9,False,28.51
AL158157.1,chr9,False,28.51
AL162386.1,chr9,False,28.51
RN7SL5P,chr9,False,28.51
SAMM50P1,chr9,False,28.51
AL158077.2,chr9,False,28.51
AL583785.1,chr9,False,28.51
AL442639.1,chr9,False,28.51
