Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr5,False,83.33
Metazoa_SRP,chr6,False,58.33
U6,chr1,False,45.83
U8,chr15,False,41.67
AC000032.1,chr1,False,37.5
AL049634.3,chr20,False,35.42
U3,chr1,False,31.25
AC092821.2,chr12,False,27.08
HCP5B,chr6,False,27.08
OR52N1,chr11,False,27.08
OR52N5,chr11,False,27.08
AC134980.1,chr15,False,25.0
OR11J6P,chr15,False,25.0
AC243829.2,chr17,False,25.0
AC140125.1,chr5,False,22.92
UGT2B17,chr4,False,22.92
SNORA70,chr1,False,22.92
HLA-DRB6,chr6,False,22.92
RNU1-61P,chr6,False,22.92
KRTAP9-11P,chr17,False,22.92
LCE3C,chr1,False,22.92
7SK,chr1,False,20.83
TAS2R64P,chr12,False,20.83
AC147055.4,chr4,False,20.83
AC147055.2,chr4,False,20.83
AC037471.1,chr15,False,20.83
HLA-DRB1,chr6,False,20.83
FAM30C,chr15,False,20.83
ADAM3A,chr8,False,18.75
RN7SL301P,chr17,False,18.75
U4,chr1,False,18.75
REL,chr2,True,18.75
RNU4-51P,chr2,False,18.75
BCAR1P2,chr15,False,18.75
HLA-DRB5,chr6,False,18.75
OR51A2,chr11,False,18.75
SNORA63,chr1,False,18.75
LCE3B,chr1,False,16.67
AC091135.1,chr18,False,16.67
C18orf54,chr18,False,16.67
KANSL1-AS1,chr17,False,16.67
SMBD1P,chr3,False,16.67
AC090897.1,chr18,False,16.67
SNRPGP2,chr18,False,16.67
C2orf74,chr2,False,16.67
MAP1LC3P,chr18,False,16.67
AC010733.1,chr2,False,16.67
MAPK8IP1P1,chr17,False,16.67
MBD2,chr18,False,16.67
AC005225.2,chr14,False,16.67
AC068446.2,chr15,False,16.67
RPL21P126,chr18,False,16.67
AC068446.1,chr15,False,16.67
RNU6-1235P,chr15,False,16.67
SNORA37,chr18,False,16.67
AC090666.1,chr18,False,16.67
AHSA2P,chr2,False,16.67
MIR3118-3,chr15,False,16.67
IGHD5OR15-5B,chr15,False,16.67
IGHD4OR15-4B,chr15,False,16.67
IGHD3OR15-3B,chr15,False,16.67
IGHD2OR15-2B,chr15,False,16.67
AC091135.2,chr18,False,16.67
RPL21P33,chr2,False,16.67
AC016747.1,chr2,False,16.67
RPSAP57,chr18,False,16.67
BRD9P2,chr5,False,16.67
TCF4,chr18,False,16.67
TCF4-AS1,chr18,False,16.67
TCF4-AS2,chr18,False,16.67
BMS1P16,chr15,False,16.67
LINC01185,chr2,False,16.67
AC016747.2,chr2,False,16.67
GRAMD4P6,chr15,False,16.67
AC098848.1,chr18,False,16.67
AC016747.3,chr2,False,16.67
AC016747.4,chr2,False,16.67
CCDC68,chr18,False,16.67
KIAA1841,chr2,False,16.67
AC093462.1,chr18,False,16.67
AC123767.1,chr8,False,16.67
LINC01929,chr18,False,16.67
AC060814.4,chr15,False,16.67
PEX13,chr2,False,16.67
STARD6,chr18,False,16.67
AC060814.2,chr15,False,16.67
AC060814.1,chr15,False,16.67
RPS12P3,chr2,False,16.67
AC126335.1,chr15,False,16.67
AC126335.2,chr15,False,16.67
AC060814.3,chr15,False,16.67
LONRF2P4,chr15,False,16.67
IGHD1OR15-1B,chr15,False,16.67
RN7SL632P,chr2,False,16.67
AMYP1,chr1,False,16.67
AC007673.1,chr18,False,16.67
RAB27B,chr18,False,16.67
MIR570,chr3,False,16.67
USP34,chr2,False,16.67
AC022031.2,chr18,False,16.67
CXADRP2,chr15,False,16.67
AC005829.1,chr17,False,16.67
AC005829.2,chr17,False,16.67
PUS10,chr2,False,16.67
NONOP2,chr2,False,16.67
RNA5SP459,chr18,False,16.67
CUPIN1P,chr18,False,16.67
DYNAP,chr18,False,16.67
POTEB3,chr15,False,16.67
RNA5SP95,chr2,False,16.67
POLI,chr18,False,16.67
AC026740.2,chr5,False,16.67
UGT2B29P,chr4,False,16.67
NBEAP4,chr15,False,16.67
MIR4529,chr18,False,16.67
PAPOLG,chr2,False,16.67
RN7SL400P,chr15,False,16.67
AC025887.1,chr18,False,14.58
AP002505.2,chr18,False,14.58
RAX,chr18,False,14.58
SEC11C,chr18,False,14.58
AC025887.2,chr18,False,14.58
AP002505.1,chr18,False,14.58
LDLRAD4-AS1,chr18,False,14.58
LINC01416,chr18,False,14.58
AC006305.3,chr18,False,14.58
SEH1L,chr18,False,14.58
SETBP1-DT,chr18,False,14.58
LINC01415,chr18,False,14.58
AC006305.2,chr18,False,14.58
AC006305.1,chr18,False,14.58
SETBP1,chr18,True,14.58
AC110014.1,chr18,False,14.58
LINC01478,chr18,False,14.58
SENCR,chr11,False,14.58
AP002505.3,chr18,False,14.58
AP000920.1,chr11,False,14.58
AP002449.1,chr18,False,14.58
OACYLP,chr18,False,14.58
OR7E84P,chr4,False,14.58
OR4Q3,chr14,False,14.58
SNORA73,chr18,False,14.58
SNORA70B,chr2,False,14.58
POTEB,chr15,False,14.58
OR4N1P,chr14,False,14.58
AC105074.1,chr18,False,14.58
AP001010.1,chr18,False,14.58
OR4M1,chr14,False,14.58
OR4K6P,chr14,False,14.58
OR4K5,chr14,False,14.58
OR4K4P,chr14,False,14.58
OR4K3,chr14,False,14.58
KCNJ1,chr11,False,14.58
KCNJ5,chr11,False,14.58
OR4K2,chr14,False,14.58
OR4K1,chr14,False,14.58
C18orf15,chr18,False,14.58
KLHL14,chr18,False,14.58
C11orf45,chr11,False,14.58
SLC14A2,chr18,False,14.58
OR4H12P,chr14,False,14.58
OR11K2P,chr14,False,14.58
OR11J7P,chr15,False,14.58
LINC01539,chr18,False,14.58
KRT8P5,chr18,False,14.58
AP002439.1,chr18,False,14.58
NF1P9,chr15,False,14.58
AP005131.1,chr18,False,14.58
AC018889.1,chr2,False,14.58
RNU6-631P,chr15,False,14.58
AC135068.9,chr15,False,14.58
AC022031.1,chr18,False,14.58
MIR5190,chr18,False,14.58
AC183088.1,chr15,False,14.58
AC183088.2,chr15,False,14.58
AC183088.3,chr15,False,14.58
AC183088.4,chr15,False,14.58
AC040963.1,chr18,False,14.58
RNU6-876P,chr11,False,14.58
LMAN1,chr18,False,14.58
RNA5SP455,chr18,False,14.58
AL645929.1,chr6,False,14.58
RNU6-612P,chr2,False,14.58
AC135068.7,chr15,False,14.58
AC009271.2,chr18,False,14.58
AC021766.1,chr18,False,14.58
AC009271.1,chr18,False,14.58
MIR4526,chr18,False,14.58
MIR4319,chr18,False,14.58
AL391156.1,chr14,False,14.58
AP005131.5,chr18,False,14.58
AP005131.4,chr18,False,14.58
RNU2-69P,chr18,False,14.58
AC027584.1,chr18,False,14.58
MIR3118-4,chr15,False,14.58
AP005131.3,chr18,False,14.58
AC135068.8,chr15,False,14.58
AC135068.6,chr15,False,14.58
NF1P2,chr15,False,14.58
AC009835.1,chr18,False,14.58
LINC01894,chr18,False,14.58
LINC01905,chr18,False,14.58
MUC20,chr3,False,14.58
AC009970.1,chr2,False,14.58
AP005131.2,chr18,False,14.58
LINC02098,chr11,False,14.58
MT2P1,chr4,False,14.58
MLECP1,chr18,False,14.58
LINC02203,chr15,False,14.58
MIR6090,chr11,False,14.58
ATP1B3P1,chr2,False,14.58
ASXL3,chr18,False,14.58
MIR5701-3,chr15,False,14.58
AC135068.5,chr15,False,14.58
AC134981.1,chr15,False,14.58
ARHGAP32,chr11,False,14.58
AC135068.1,chr15,False,14.58
AC135068.10,chr15,False,14.58
AC135068.11,chr15,False,14.58
RPL26P13,chr2,False,14.58
AC135068.12,chr15,False,14.58
MIR5701-2,chr15,False,14.58
AC135068.2,chr15,False,14.58
LINC02725,chr11,False,14.58
AC135068.3,chr15,False,14.58
AC135068.4,chr15,False,14.58
RN7SL361P,chr2,False,14.58
AP001122.1,chr11,False,14.58
AC016727.1,chr2,False,14.58
DNAJB6P1,chr11,False,14.58
XPO1,chr2,True,14.58
ZNF532,chr18,False,14.58
CPLX4,chr18,False,14.58
TP53AIP1,chr11,False,14.58
ZNF519P3,chr15,False,14.58
AC083760.1,chr18,False,14.58
WBP11P1,chr18,False,14.58
AC016727.3,chr2,False,14.58
FAM210A,chr18,False,14.58
CEP192,chr18,False,14.58
STK25P1,chr18,False,14.58
HLA-H,chr6,False,14.58
HNRNPA1P7,chr18,False,14.58
HLA-T,chr6,False,14.58
AC090371.1,chr18,False,14.58
AC090371.2,chr18,False,14.58
EIF4A2P1,chr18,False,14.58
CCDC178,chr18,False,14.58
AC091198.1,chr18,False,14.58
AC090376.1,chr18,False,14.58
AC015563.2,chr18,False,14.58
FLI1,chr11,False,14.58
GRP,chr18,False,14.58
IFITM3P9,chr2,False,14.58
ETS1,chr11,False,14.58
TXNL1,chr18,False,14.58
DDX39BP1,chr6,False,14.58
CFHR3,chr1,False,14.58
AC012123.2,chr18,False,14.58
WDR7,chr18,False,14.58
ETS1-AS1,chr11,False,14.58
AC012123.1,chr18,False,14.58
U2,chr1,False,14.58
AC016894.1,chr2,False,14.58
MIR8078,chr18,False,12.5
ENTR1P1,chr18,False,12.5
CXXC1,chr18,False,12.5
AP003532.1,chr11,False,12.5
CXADRP3,chr18,False,12.5
MIR8057,chr18,False,12.5
MIRLET7A2,chr11,False,12.5
MMP20,chr11,False,12.5
MMP27,chr11,False,12.5
AP003304.1,chr11,False,12.5
AP003461.1,chr11,False,12.5
AC022069.1,chr18,False,12.5
MMP7,chr11,False,12.5
AC010928.2,chr18,False,12.5
AC022601.1,chr18,False,12.5
MOCOS,chr18,False,12.5
MRO,chr18,False,12.5
MYOM1,chr18,False,12.5
AC022960.1,chr18,False,12.5
MYL12B,chr18,False,12.5
MYL12A,chr18,False,12.5
AC022919.1,chr18,False,12.5
AP002989.1,chr11,False,12.5
AC022809.1,chr18,False,12.5
AC022795.1,chr18,False,12.5
MTND2P26,chr11,False,12.5
MTND1P36,chr11,False,12.5
MTL3P,chr18,False,12.5
DCC,chr18,False,12.5
AP003043.1,chr11,False,12.5
CYP4F35P,chr18,False,12.5
AC022743.1,chr18,False,12.5
AC022726.2,chr18,False,12.5
MTCO3P15,chr11,False,12.5
CYB5A,chr18,False,12.5
AC022726.1,chr18,False,12.5
AC022662.1,chr18,False,12.5
MTCO2P15,chr11,False,12.5
AC022655.1,chr18,False,12.5
MTCO1P15,chr11,False,12.5
AC022035.1,chr18,False,12.5
MTATP6P15,chr11,False,12.5
ELP2,chr18,False,12.5
MRPS5P4,chr18,False,12.5
MRPL37P1,chr18,False,12.5
EMILIN2,chr18,False,12.5
MIR6718,chr18,False,12.5
AP003973.3,chr11,False,12.5
EPG5,chr18,False,12.5
CXADRP1,chr21,False,12.5
MIR3929,chr18,False,12.5
AP005121.1,chr18,False,12.5
MIR3591,chr18,False,12.5
MIR34C,chr11,False,12.5
FAM32DP,chr18,False,12.5
MIR34B,chr11,False,12.5
FAM90A21P,chr8,False,12.5
AC021382.1,chr18,False,12.5
MIR320C2,chr18,False,12.5
MIR320C1,chr18,False,12.5
FAM90A22P,chr8,False,12.5
AP005121.2,chr18,False,12.5
FAM90A23P,chr8,False,12.5
MIR3156-2,chr18,False,12.5
FAM90A6P,chr8,False,12.5
FAM90A7P,chr8,False,12.5
AC011825.4,chr18,False,12.5
MIR3118-2,chr15,False,12.5
MIR3118-1,chr21,False,12.5
MIR302F,chr18,False,12.5
AC011825.3,chr18,False,12.5
MIR187,chr18,False,12.5
AC011825.2,chr18,False,12.5
MIR133A1HG,chr18,False,12.5
MIR133A1,chr18,False,12.5
CTAGE1,chr18,False,12.5
MIR3975,chr18,False,12.5
AC021506.1,chr18,False,12.5
MIR4744,chr18,False,12.5
ESCO1,chr18,False,12.5
MIR5701-1,chr15,False,12.5
AP003973.1,chr11,False,12.5
MIR548AV,chr18,False,12.5
AP003973.2,chr11,False,12.5
AC022960.2,chr18,False,12.5
AC012101.2,chr18,False,12.5
MIR5011,chr18,False,12.5
AC012101.1,chr18,False,12.5
EXOGP1,chr18,False,12.5
AP003973.4,chr11,False,12.5
MIR4741,chr18,False,12.5
CTBP2P3,chr18,False,12.5
MIR4693,chr11,False,12.5
AC021701.1,chr18,False,12.5
AC013290.1,chr18,False,12.5
FAM161A,chr2,False,12.5
MIR4528,chr18,False,12.5
AC021549.1,chr18,False,12.5
MIR4491,chr11,False,12.5
AC021517.3,chr18,False,12.5
AC021517.1,chr18,False,12.5
AC021506.2,chr18,False,12.5
MIR4320,chr18,False,12.5
DDI1,chr11,False,12.5
NDC80,chr18,False,12.5
AC022960.3,chr18,False,12.5
DTNA,chr18,False,12.5
DSC1,chr18,False,12.5
OR4K8P,chr18,False,12.5
OR4K7P,chr18,False,12.5
DSC2,chr18,False,12.5
DSC3,chr18,False,12.5
DLGAP1-AS5,chr18,False,12.5
DSCAS,chr18,False,12.5
DSEL,chr18,False,12.5
DLGAP1-AS4,chr18,False,12.5
OR4H6P,chr15,False,12.5
DSG1-AS1,chr18,False,12.5
AC023983.2,chr18,False,12.5
AC023983.1,chr18,False,12.5
AC023932.1,chr18,False,12.5
AP002008.1,chr11,False,12.5
AP002008.2,chr11,False,12.5
DSG2,chr18,False,12.5
OR11K1P,chr15,False,12.5
DSG2-AS1,chr18,False,12.5
OR11J5P,chr15,False,12.5
OR11J2P,chr15,False,12.5
OR11H3P,chr15,False,12.5
AP002008.3,chr11,False,12.5
AP002008.4,chr11,False,12.5
DSG3,chr18,False,12.5
AC007631.1,chr18,False,12.5
DSG4,chr18,False,12.5
OR4M2,chr15,False,12.5
AC012414.1,chr15,False,12.5
OR4N3P,chr15,False,12.5
AP001554.1,chr11,False,12.5
PDGFD,chr11,False,12.5
PCAT18,chr18,False,12.5
AP001198.1,chr18,False,12.5
AC012433.1,chr18,False,12.5
AP001198.2,chr18,False,12.5
PA2G4P3,chr18,False,12.5
OSBPL1A,chr18,False,12.5
AP001357.1,chr18,False,12.5
AP001357.2,chr18,False,12.5
AP001525.1,chr18,False,12.5
AP001527.1,chr11,False,12.5
AP001527.2,chr11,False,12.5
DOK6,chr18,False,12.5
OR4N4,chr15,False,12.5
AP001830.2,chr11,False,12.5
AC012417.1,chr18,False,12.5
OR7E157P,chr8,False,12.5
AP001924.1,chr11,False,12.5
AP001924.2,chr11,False,12.5
AC012414.6,chr15,False,12.5
AC012414.5,chr15,False,12.5
AC012414.4,chr15,False,12.5
AP001977.1,chr11,False,12.5
AC012414.3,chr15,False,12.5
OR4Q1P,chr15,False,12.5
AC012414.2,chr15,False,12.5
AP002448.1,chr11,False,12.5
AC023421.2,chr18,False,12.5
AC022968.1,chr18,False,12.5
AC023421.1,chr18,False,12.5
AC007922.2,chr18,False,12.5
AC007922.3,chr18,False,12.5
DEFB103B,chr8,False,12.5
AC007922.4,chr18,False,12.5
AC007948.1,chr18,False,12.5
NFE2L3P1,chr18,False,12.5
AC023090.2,chr18,False,12.5
AC012301.2,chr18,False,12.5
NF1P5,chr18,False,12.5
NF1P1,chr15,False,12.5
NETO1,chr18,False,12.5
AC007996.1,chr18,False,12.5
AC012301.1,chr18,False,12.5
AC007998.1,chr18,False,12.5
AC007998.2,chr18,False,12.5
AC007998.3,chr18,False,12.5
AC007998.4,chr18,False,12.5
AC007998.5,chr18,False,12.5
NEDD4L,chr18,False,12.5
AC023090.1,chr18,False,12.5
AC023043.4,chr18,False,12.5
AC011825.1,chr18,False,12.5
AC023043.3,chr18,False,12.5
AC023043.2,chr18,False,12.5
AC023043.1,chr18,False,12.5
NBEAP1,chr15,False,12.5
NARS1,chr18,False,12.5
AC007922.1,chr18,False,12.5
NOL4,chr18,False,12.5
AC012588.1,chr18,False,12.5
DLGAP1-AS2,chr18,False,12.5
ONECUT2,chr18,False,12.5
AC023394.2,chr18,False,12.5
DLGAP1-AS3,chr18,False,12.5
AC023394.1,chr18,False,12.5
DYM,chr18,False,12.5
AC023310.4,chr15,False,12.5
AC023310.3,chr15,False,12.5
AC023310.2,chr15,False,12.5
AC023310.1,chr15,False,12.5
AC023301.1,chr18,False,12.5
AP002472.1,chr18,False,12.5
AP002478.1,chr18,False,12.5
NSFP1,chr17,False,12.5
AC012572.1,chr18,False,12.5
AP002478.2,chr18,False,12.5
DLGAP1-AS1,chr18,False,12.5
DLGAP1,chr18,False,12.5
DIPK1C,chr18,False,12.5
DHFRP1,chr18,False,12.5
NRBF2P1,chr18,False,12.5
NPM1P2,chr18,False,12.5
NPM1P1,chr18,False,12.5
NPC1,chr18,False,12.5
EIF4A3P1,chr18,False,12.5
ELAC1,chr18,False,12.5
AC012569.1,chr18,False,12.5
AP005136.1,chr18,False,12.5
MIR100HG,chr11,False,12.5
AP005136.2,chr18,False,12.5
BCL2,chr18,True,12.5
BDP1P,chr18,False,12.5
LINC01544,chr18,False,12.5
LINC01543,chr18,False,12.5
BIRC2,chr11,False,12.5
GRAMD4P5,chr15,False,12.5
