Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr1,False,94.23
Metazoa_SRP,chr1,False,91.35
U3,chr1,False,75.96
U6,chr1,False,75.0
SNORA70,chr1,False,69.23
RCBTB2,chr13,False,62.5
U8,chr1,False,62.5
RNY3P2,chr13,False,62.5
AL161421.1,chr13,False,62.5
SETDB2,chr13,False,62.5
RB1-DT,chr13,False,62.5
SNRPGP14,chr13,False,62.5
RNU6-60P,chr13,False,62.5
RCBTB1,chr13,False,62.5
LINC00462,chr13,False,62.5
FNDC3A,chr13,False,62.5
RAD17P2,chr13,False,62.5
AL157813.2,chr13,False,62.5
AL157813.1,chr13,False,62.5
LINC01077,chr13,False,62.5
PHF11,chr13,False,62.5
PCNPP5,chr13,False,61.54
AL392048.1,chr13,False,61.54
ST13P4,chr13,False,61.54
AL135901.1,chr13,False,61.54
LPAR6,chr13,False,61.54
AL137060.3,chr13,False,61.54
RB1,chr13,True,61.54
AL137060.1,chr13,False,61.54
CAB39L,chr13,False,61.54
OGFOD1P1,chr13,False,61.54
COX7CP1,chr13,False,61.54
RPL18P10,chr13,False,61.54
ITM2B,chr13,False,60.58
EBPL,chr13,False,60.58
PSME2P2,chr13,False,60.58
MLNR,chr13,False,60.58
ARL11,chr13,False,60.58
AL158195.1,chr13,False,60.58
AL137060.8,chr13,False,60.58
AL137060.6,chr13,False,60.58
AL137060.5,chr13,False,60.58
AL137060.2,chr13,False,60.58
CDADC1,chr13,False,60.58
AL137000.1,chr13,False,60.58
CYSLTR2,chr13,False,60.58
RPL34P26,chr13,False,60.58
DLEU1,chr13,False,60.58
KPNA3,chr13,False,60.58
MIR15A,chr13,False,59.62
AL137060.7,chr13,False,59.62
AL136301.1,chr13,False,59.62
KCNRG,chr13,False,59.62
AL137060.4,chr13,False,59.62
MIR16-1,chr13,False,59.62
AL137060.9,chr13,False,59.62
PPP1R26P1,chr13,False,59.62
RNY4P30,chr13,False,58.65
CTAGE10P,chr13,False,58.65
TRIM13,chr13,False,58.65
GNG5P5,chr13,False,58.65
AL157817.1,chr13,False,58.65
DLEU2,chr13,False,58.65
PRELID3BP2,chr13,False,58.65
MIR3613,chr13,False,58.65
DLEU7,chr13,False,58.65
SPRYD7,chr13,False,58.65
RNY4P9,chr13,False,58.65
FKBP1AP3,chr13,False,57.69
NAP1L4P3,chr13,False,57.69
C13orf42,chr13,False,57.69
AL157369.1,chr13,False,57.69
HTR2A-AS1,chr13,False,57.69
RNASEH2B-AS1,chr13,False,57.69
FAM124A,chr13,False,57.69
LRCH1,chr13,False,57.69
LINC00562,chr13,False,57.69
LINC01198,chr13,False,57.69
AL158196.1,chr13,False,57.69
POLR2KP2,chr13,False,57.69
AL359880.1,chr13,False,57.69
SUCLA2,chr13,False,57.69
NUDT15,chr13,False,57.69
PPP1R2P4,chr13,False,57.69
OR7E101P,chr13,False,57.69
SUCLA2-AS1,chr13,False,57.69
HTR2A,chr13,False,57.69
RPL27AP8,chr13,False,57.69
MED4-AS1,chr13,False,57.69
AL138686.2,chr13,False,57.69
AL138686.1,chr13,False,57.69
RNA5SP28,chr13,False,57.69
AL138962.1,chr13,False,57.69
RPL5P31,chr13,False,57.69
MED4,chr13,False,57.69
COX17P1,chr13,False,57.69
INTS6-AS1,chr13,False,56.73
INTS6,chr13,False,56.73
RNU6-68P,chr13,False,56.73
RN7SL700P,chr13,False,56.73
RNY1P6,chr13,False,56.73
WDFY2,chr13,False,56.73
GUCY1B2,chr13,False,56.73
RPS4XP16,chr13,False,56.73
RNA5SP29,chr13,False,56.73
MIR5693,chr13,False,56.73
ATP5PBP1,chr13,False,56.73
RN7SL413P,chr13,False,56.73
RNU2-6P,chr13,False,56.73
MIR4703,chr13,False,56.73
RNU6-65P,chr13,False,56.73
RNASEH2B,chr13,False,56.73
ESD,chr13,False,56.73
CPB2-AS1,chr13,False,55.77
SERPINE3,chr13,False,55.77
ABITRAMP1,chr13,False,55.77
AL139801.1,chr13,False,55.77
SNRPGP11,chr13,False,55.77
RN7SL320P,chr13,False,55.77
LRRC63,chr13,False,55.77
RUBCNL,chr13,False,55.77
CPB2,chr13,False,55.77
LCP1,chr13,False,55.77
LINC00563,chr13,False,55.77
RN7SKP5,chr13,False,55.77
RN7SL288P,chr13,False,55.77
ZC3H13,chr13,False,54.81
SIAH3,chr13,False,54.81
AL158066.2,chr13,False,53.85
RNA5SP27,chr13,False,53.85
DHRS12,chr13,False,53.85
THSD1P1,chr13,False,53.85
MRPS31P5,chr13,False,53.85
TIMM9P3,chr13,False,53.85
AL162377.3,chr13,False,53.85
AL158066.1,chr13,False,53.85
AL137058.3,chr13,False,53.85
CCDC70,chr13,False,52.88
RCN1P2,chr13,False,52.88
TMEM272,chr13,False,52.88
TPTE2P2,chr13,False,52.88
AL139082.1,chr13,False,52.88
NEK3,chr13,False,52.88
AL162377.1,chr13,False,52.88
AKR1B1P4,chr13,False,52.88
LINC02333,chr13,False,52.88
CTAGE3P,chr13,False,52.88
COG3,chr13,False,52.88
ALG11,chr13,False,52.88
VPS36,chr13,False,52.88
LINC00345,chr13,False,52.88
AL359513.1,chr13,False,52.88
RNY4P24,chr13,False,52.88
ATP7B,chr13,False,52.88
UTP14C,chr13,False,52.88
COX4I1P2,chr13,False,52.88
ERICH6B,chr13,False,52.88
FABP5P2,chr13,False,52.88
NEK5,chr13,False,52.88
CKAP2,chr13,False,52.88
THSD1,chr13,False,52.88
AL162377.2,chr13,False,52.88
PPIAP25,chr13,False,52.88
PPIAP26,chr13,False,52.88
CBY2,chr13,False,52.88
SLC25A30,chr13,False,52.88
SLC25A30-AS1,chr13,False,52.88
AL138963.1,chr13,False,52.88
PCDH8,chr13,False,52.88
LACC1,chr13,False,51.92
SMIM2-IT1,chr13,False,51.92
SNORA31,chr13,False,51.92
AL162713.2,chr13,False,51.92
SUGT1,chr13,False,51.92
LINC00330,chr13,False,51.92
AL162713.1,chr13,False,51.92
SUGT1-DT,chr13,False,51.92
TPT1-AS1,chr13,False,51.92
AL137058.2,chr13,False,51.92
RN7SL49P,chr13,False,51.92
AL359706.1,chr13,False,51.92
AL138963.3,chr13,False,51.92
AL589745.1,chr13,False,51.92
LINC00390,chr13,False,51.92
GPALPP1,chr13,False,51.92
AL589745.2,chr13,False,51.92
LINC00407,chr13,False,51.92
RN7SKP4,chr13,False,51.92
AL138693.1,chr13,False,51.92
SNORA31B,chr13,False,51.92
AL138963.2,chr13,False,51.92
AL512506.3,chr13,False,51.92
AL512506.1,chr13,False,51.92
AL137058.1,chr13,False,51.92
GTF2F2,chr13,False,51.92
LINC01055,chr13,False,51.92
CNMD,chr13,False,51.92
