Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr8,False,62.6
Metazoa_SRP,chr8,False,44.27
AL049634.3,chr20,False,43.51
ADAM3A,chr8,False,36.64
AC123767.1,chr8,False,34.35
KRTAP9-11P,chr17,False,33.59
AC000032.1,chr1,False,29.77
U3,chr8,False,29.77
LCE3C,chr1,False,27.48
HLA-DRB5,chr6,False,26.72
FAM242D,chr9,False,25.95
ALG1L2,chr3,False,25.95
AL935212.3,chr9,False,25.95
RNU1-61P,chr6,False,25.19
AC092821.2,chr12,False,25.19
NOS2P2,chr17,False,25.19
LGALS9C,chr17,False,25.19
OR51A2,chr11,False,25.19
U6,chr15,False,24.43
TNPO1P2,chr17,False,24.43
FAM106A,chr17,False,23.66
HLA-DRB1,chr6,False,23.66
HLA-DRB6,chr6,False,23.66
USP32P2,chr17,False,23.66
SRP68P2,chr17,False,23.66
CCDC144B,chr17,False,23.66
AC026740.2,chr5,False,22.9
BRD9P2,chr5,False,22.9
OR2A1-AS1,chr7,False,20.61
AC140125.1,chr5,False,20.61
AC147055.4,chr4,False,20.61
UGT2B17,chr4,False,19.85
AC147055.2,chr4,False,19.85
OR11J6P,chr15,False,19.08
OR4K1,chr14,False,19.08
AC091874.2,chr5,False,19.08
AC091874.1,chr5,False,19.08
AC134980.1,chr15,False,19.08
HCP5B,chr6,False,19.08
ARPP19P1,chr5,False,19.08
OR4H12P,chr14,False,19.08
AL391156.1,chr14,False,19.08
OR4M1,chr14,False,19.08
OR4K3,chr14,False,19.08
OR4K4P,chr14,False,19.08
OR4K5,chr14,False,19.08
OR4K2,chr14,False,19.08
OR4K6P,chr14,False,19.08
OR4N1P,chr14,False,19.08
UGT2B29P,chr4,False,18.32
SNORA70,chr9,False,18.32
OR11K2P,chr14,False,17.56
OR4Q3,chr14,False,17.56
BTNL3,chr5,False,17.56
TRBV25-1,chr7,False,16.79
LCE3B,chr1,False,16.79
TRBVB,chr7,False,16.79
AC083906.4,chr3,False,16.79
OR4S2,chr11,False,16.79
OR4C6,chr11,False,16.79
TRGJP2,chr7,False,16.79
TRBV24-1,chr7,False,16.79
TRBV26,chr7,False,16.79
TRGC1,chr7,False,16.79
PGBD4P1,chr7,False,16.79
TRBV27,chr7,False,16.79
TRBV28,chr7,False,16.79
TRBVA,chr7,False,16.79
MTRNR2L6,chr7,False,16.79
AC244472.1,chr7,False,16.79
AC005225.2,chr14,False,16.79
TRBV20-1,chr7,False,16.03
FAM230E,chr22,False,16.03
TRBV23-1,chr7,False,16.03
TRBV21-1,chr7,False,16.03
TRBV22-1,chr7,False,16.03
OR2A7,chr7,False,16.03
TRBV29-1,chr7,False,16.03
OR4P4,chr11,False,16.03
OR2A1,chr7,False,16.03
ZDHHC11B,chr5,False,16.03
U8,chr15,False,16.03
OR7E84P,chr4,False,16.03
PPP1R26P4,chr22,False,16.03
PPP1R26P2,chr22,False,16.03
TRBV19,chr7,False,15.27
TRBV17,chr7,False,15.27
TRBV16,chr7,False,15.27
TRBV15,chr7,False,15.27
TRBV18,chr7,False,15.27
RNU6-162P,chr7,False,15.27
TRBV14,chr7,False,15.27
TRBV12-5,chr7,False,15.27
TRBV12-3,chr7,False,15.27
PRSS2,chr7,False,15.27
PRSS1,chr7,False,15.27
TRBV12-4,chr7,False,15.27
TRBV11-3,chr7,False,15.27
PRSS3P1,chr7,False,15.27
WBP1LP1,chr7,False,15.27
TCAF1P1,chr7,False,15.27
AC073264.2,chr7,False,15.27
CTAGE15,chr7,False,15.27
OR2A20P,chr7,False,14.5
TRBV7-9,chr7,False,14.5
RHD,chr1,False,14.5
TRBV5-7,chr7,False,14.5
OR4V1P,chr11,False,14.5
OR2A42,chr7,False,14.5
TRGJ2,chr7,False,14.5
ZNF705CP,chr8,False,14.5
AC139495.1,chr5,False,14.5
GUSBP3,chr5,False,14.5
PAICSP5,chr7,False,14.5
PAICSP6,chr7,False,14.5
AC073264.1,chr7,False,14.5
FAM66A,chr8,False,14.5
AC074386.1,chr7,False,14.5
AC139495.2,chr5,False,14.5
AC099548.1,chr7,False,14.5
KANSL1-AS1,chr17,False,14.5
NAIPP3,chr5,False,14.5
RNA5SP254,chr8,False,14.5
DEFB108E,chr8,False,14.5
TRBV10-3,chr7,False,14.5
TRBV13,chr7,False,14.5
AC087203.1,chr8,False,14.5
ARHGEF34P,chr7,False,13.74
AC025884.2,chr15,False,13.74
TRBV6-8,chr7,False,13.74
AC025884.1,chr15,False,13.74
TRBV7-5,chr7,False,13.74
CTAGE8,chr7,False,13.74
TRBV7-7,chr7,False,13.74
ARL17B,chr17,False,13.74
TRGJ1,chr7,False,13.74
SDHDP6,chr1,False,13.74
AMYP1,chr1,False,13.74
TRGJP,chr7,False,13.74
TRGJP1,chr7,False,13.74
TCAF2P1,chr7,False,13.74
TRBV6-7,chr7,False,13.74
TRBV7-6,chr7,False,13.74
AC005829.2,chr17,False,13.74
TRBV5-6,chr7,False,13.74
AC005829.1,chr17,False,13.74
OR2A9P,chr7,False,13.74
MAPK8IP1P1,chr17,False,13.74
TRBV5-5,chr7,False,13.74
H4P1,chr7,False,12.98
TRBV5-2,chr7,False,12.98
TRBJ1-3,chr7,False,12.98
TRBJ1-4,chr7,False,12.98
TRBV11-1,chr7,False,12.98
TRBV11-2,chr7,False,12.98
TRBV12-1,chr7,False,12.98
AC003989.2,chr7,False,12.98
TRBJ2-4,chr7,False,12.98
AC003989.1,chr7,False,12.98
TRBV5-3,chr7,False,12.98
TRBV12-2,chr7,False,12.98
TRGV10,chr7,False,12.98
TRGV11,chr7,False,12.98
AL512310.1,chr14,False,12.98
TRBJ1-5,chr7,False,12.98
TRGV9,chr7,False,12.98
TRGVB,chr7,False,12.98
TRBJ2-2P,chr7,False,12.98
TRBJ1-6,chr7,False,12.98
TRBV10-2,chr7,False,12.98
TRBV5-4,chr7,False,12.98
TRBV10-1,chr7,False,12.98
TRBJ1-2,chr7,False,12.98
TRBJ1-1,chr7,False,12.98
TRBV6-6,chr7,False,12.98
TRBV6-5,chr7,False,12.98
TRBV6-4,chr7,False,12.98
TRBV6-2,chr7,False,12.98
TRBV6-1,chr7,False,12.98
TRBV7-1,chr7,False,12.98
TRBV7-2,chr7,False,12.98
TRBV7-3,chr7,False,12.98
TRBV7-4,chr7,False,12.98
TRBJ2-3,chr7,False,12.98
TRBJ2-1,chr7,False,12.98
TRBD1,chr7,False,12.98
TRBC2,chr7,False,12.98
TRBJ2-5,chr7,False,12.98
TRBJ2-6,chr7,False,12.98
TRBV8-1,chr7,False,12.98
TRBV8-2,chr7,False,12.98
TRBV9,chr7,False,12.98
TRBC1,chr7,False,12.98
TRBJ2-7,chr7,False,12.98
TRBJ2-2,chr7,False,12.98
LINC00513,chr7,False,12.98
GGT3P,chr22,False,12.98
USP17L7,chr8,False,12.98
LHFPL3,chr7,False,12.98
USP17L2,chr8,False,12.98
MESTIT1,chr7,False,12.98
OR4N2,chr14,False,12.98
COPG2,chr7,False,12.98
MEST,chr7,False,12.98
AC234644.1,chr7,False,12.98
LINC-PINT,chr7,False,12.98
AC234644.2,chr7,False,12.98
AC016831.1,chr7,False,12.98
AC016831.2,chr7,False,12.98
AC016831.3,chr7,False,12.98
AC016831.4,chr7,False,12.98
AC016831.5,chr7,False,12.98
AC007938.6,chr7,False,12.98
OR11H2,chr14,False,12.98
AUXG01000058.1,chr7,False,12.98
AC016831.6,chr7,False,12.98
AC007938.1,chr7,False,12.98
AC007938.2,chr7,False,12.98
AC007938.5,chr7,False,12.98
AC007938.3,chr7,False,12.98
CFHR3,chr1,False,12.98
AC058791.1,chr7,False,12.98
MIR29A,chr7,False,12.98
RNU6-1010P,chr7,False,12.98
RNA5SP246,chr7,False,12.98
MKLN1,chr7,False,12.98
KLF14,chr7,False,12.98
AC087203.2,chr8,False,12.98
MIR335,chr7,False,12.98
MIR29B1,chr7,False,12.98
AC007938.4,chr7,False,12.98
AC006033.1,chr7,False,12.98
ORC5,chr7,False,12.98
TSGA13,chr7,False,12.98
NRCAM,chr7,False,12.21
NDUFB9P2,chr7,False,12.21
AC004884.1,chr7,False,12.21
RN7SL8P,chr7,False,12.21
RNA5SP236,chr7,False,12.21
RNA5SP237,chr7,False,12.21
AC093106.1,chr7,False,12.21
AC008264.1,chr7,False,12.21
AC008264.2,chr7,False,12.21
NAMPT,chr7,False,12.21
AC093106.2,chr7,False,12.21
NPM1P14,chr7,False,12.21
RN7SKP187,chr7,False,12.21
AL512310.5,chr14,False,12.21
PIGCP2,chr7,False,12.21
PODXL,chr7,False,12.21
AL645929.1,chr6,False,12.21
PNPLA8,chr7,False,12.21
TMEM168,chr7,False,12.21
GPR22,chr7,False,12.21
GPR85,chr7,False,12.21
THAP5,chr7,False,12.21
AC073326.1,chr7,False,12.21
PMPCB,chr7,False,12.21
AC004836.1,chr7,False,12.21
AC004839.1,chr7,False,12.21
AC004839.2,chr7,False,12.21
PLXNA4,chr7,False,12.21
PIK3CG,chr7,True,12.21
AC007384.1,chr7,False,12.21
AL512310.6,chr14,False,12.21
AC073326.2,chr7,False,12.21
PRKAR2B,chr7,False,12.21
PRKAR2B-AS1,chr7,False,12.21
HBP1,chr7,False,12.21
PRSS3P3,chr7,False,12.21
PSMC2,chr7,False,12.21
PUS7,chr7,False,12.21
RELN,chr7,False,12.21
RINT1,chr7,False,12.21
