Gene,chromosome,IsJCGA,DeletionPercentage
Y_RNA,chr11,False,86.78
Metazoa_SRP,chr11,False,68.18
U6,chr11,False,56.61
U8,chr11,False,53.72
U3,chr10,False,50.41
SNORA70,chr6,False,45.04
SNORD39,chr11,False,41.74
U4,chr11,False,40.5
SNORA62,chr3,False,37.19
OR52N1,chr11,False,37.19
OR52N5,chr11,False,36.78
AC000032.1,chr1,False,35.12
B3GAT1,chr11,False,35.12
KRTAP9-11P,chr17,False,34.71
LCE3C,chr1,False,34.3
B3GAT1-DT,chr11,False,33.88
AP001999.1,chr11,False,32.64
LINC02706,chr11,False,32.64
AP001999.2,chr11,False,32.64
AP004550.1,chr11,False,32.64
AP001999.3,chr11,False,32.64
AC092821.2,chr12,False,32.23
LINC02714,chr11,False,32.23
AP000859.1,chr11,False,31.82
7SK,chr11,False,31.82
LINC02717,chr11,False,31.82
AP003062.1,chr11,False,31.82
LINC02684,chr11,False,31.82
AP003062.2,chr11,False,31.82
LINC02697,chr11,False,31.82
GLB1L2,chr11,False,30.99
OPCML-IT1,chr11,False,30.58
MIR548BB,chr3,False,30.58
ACAD8,chr11,False,30.58
GLB1L3,chr11,False,30.58
THYN1,chr11,False,30.58
VPS26B,chr11,False,30.58
AC104164.2,chr3,False,30.58
AP001775.2,chr11,False,30.17
AP003972.1,chr11,False,30.17
AP001775.1,chr11,False,30.17
AP000911.1,chr11,False,30.17
NCAPD3,chr11,False,30.17
PTP4A2P2,chr11,False,30.17
JAM3,chr11,False,30.17
AP004782.1,chr11,False,30.17
LINC02730,chr11,False,30.17
LINC02731,chr11,False,30.17
MIR4697,chr11,False,29.75
SPATA19,chr11,False,29.75
AP001979.1,chr11,False,29.75
AP004606.1,chr11,False,29.75
IGSF9B,chr11,False,29.75
LINC02743,chr11,False,29.75
PPIAP70,chr3,False,29.34
ALG1L6P,chr3,False,28.93
AC104164.1,chr3,False,28.93
AP006216.2,chr11,False,28.51
LSP1P2,chr3,False,28.51
PPIAP71,chr3,False,28.51
AC139453.1,chr3,False,28.51
AC139453.2,chr3,False,28.51
OR7E84P,chr4,False,28.51
AC020549.2,chr11,False,28.1
REXO2,chr11,False,28.1
AC020549.3,chr11,False,28.1
AP003174.3,chr11,False,28.1
AC020549.1,chr11,False,28.1
AP003179.1,chr11,False,28.1
NXPE2P1,chr11,False,28.1
AP000465.1,chr11,False,28.1
AP000462.3,chr11,False,28.1
AP003174.2,chr11,False,28.1
AP000462.2,chr11,False,28.1
NXPE4,chr11,False,28.1
SNORA75,chr12,False,28.1
AP000462.1,chr11,False,28.1
CADM1,chr11,False,28.1
NXPE1,chr11,False,28.1
AP002373.2,chr11,False,28.1
NXPE2,chr11,False,28.1
USP2-AS1,chr11,False,27.69
AP003170.1,chr11,False,27.69
POU2F3,chr11,False,27.69
LRRC37A13P,chr11,False,27.69
AP002755.1,chr11,False,27.69
AP002840.1,chr11,False,27.69
AP002518.2,chr11,False,27.69
USP28,chr11,False,27.69
