Gene,chromosome,IsJCGA,AmplificationPercentage
Y_RNA,chr5,False,72.41
Metazoa_SRP,chr5,False,54.02
U3,chr5,False,37.93
KRTAP9-11P,chr17,False,37.93
U6,chr15,False,36.78
AL049634.3,chr20,False,36.78
LCE3C,chr1,False,33.33
U8,chr5,False,29.89
AC140125.1,chr5,False,29.89
ADAM3A,chr8,False,28.74
SNORA63,chr5,False,28.74
SNORA70,chr5,False,27.59
AC123767.1,chr8,False,27.59
HLA-DRB5,chr6,False,27.59
AC026740.2,chr5,False,24.14
BRD9P2,chr5,False,24.14
HLA-DRB6,chr6,False,21.84
KANSL1-AS1,chr17,False,21.84
RNU1-61P,chr6,False,21.84
OR11J6P,chr15,False,21.84
HLA-DRB1,chr6,False,21.84
LCE3B,chr1,False,21.84
AC005829.2,chr17,False,21.84
AC005829.1,chr17,False,21.84
AC134980.1,chr15,False,21.84
MAPK8IP1P1,chr17,False,21.84
AC091874.1,chr5,False,20.69
AC091874.2,chr5,False,20.69
BTNL3,chr5,False,20.69
ARPP19P1,chr5,False,20.69
CFHR3,chr1,False,20.69
NBEAP4,chr15,False,19.54
AC126335.2,chr15,False,19.54
MRGPRX1,chr11,False,19.54
AC000032.1,chr1,False,19.54
BCAR1P2,chr15,False,19.54
BMS1P16,chr15,False,19.54
AC243829.2,chr17,False,19.54
AC023078.1,chr11,False,19.54
AC126335.1,chr15,False,19.54
RN7SL400P,chr15,False,19.54
AC025884.1,chr15,False,18.39
AC135068.2,chr15,False,18.39
AC060814.3,chr15,False,18.39
AC060814.2,chr15,False,18.39
AC060814.1,chr15,False,18.39
ZNF519P3,chr15,False,18.39
POTEB3,chr15,False,18.39
IGHD4OR15-4B,chr15,False,18.39
POTEB,chr15,False,18.39
IGHD5OR15-5B,chr15,False,18.39
CXADRP2,chr15,False,18.39
RNU6-631P,chr15,False,18.39
AC135068.12,chr15,False,18.39
AC037471.1,chr15,False,18.39
AC135068.11,chr15,False,18.39
RNU6-1235P,chr15,False,18.39
AC060814.4,chr15,False,18.39
AC135068.10,chr15,False,18.39
AC134981.1,chr15,False,18.39
AC135068.1,chr15,False,18.39
NF1P2,chr15,False,18.39
NF1P9,chr15,False,18.39
SNORA72,chr8,False,18.39
AC135068.7,chr15,False,18.39
MIR5701-3,chr15,False,18.39
IGHD3OR15-3B,chr15,False,18.39
GRAMD4P6,chr15,False,18.39
AC135068.9,chr15,False,18.39
AC135068.6,chr15,False,18.39
U4,chr5,False,18.39
LINC02203,chr15,False,18.39
AC135068.5,chr15,False,18.39
AC183088.1,chr15,False,18.39
LONRF2P4,chr15,False,18.39
AC135068.4,chr15,False,18.39
OR11J7P,chr15,False,18.39
AC135068.3,chr15,False,18.39
IGHD1OR15-1B,chr15,False,18.39
AC092821.2,chr12,False,18.39
AC183088.2,chr15,False,18.39
IGHD2OR15-2B,chr15,False,18.39
ARL17B,chr17,False,18.39
AC183088.3,chr15,False,18.39
AC183088.4,chr15,False,18.39
AC068446.2,chr15,False,18.39
AC068446.1,chr15,False,18.39
MIR3118-3,chr15,False,18.39
MIR3118-4,chr15,False,18.39
MIR5701-2,chr15,False,18.39
AC135068.8,chr15,False,18.39
FAM30C,chr15,False,18.39
FAM242D,chr9,False,17.24
OR11J2P,chr15,False,17.24
ZNF519P2,chr15,False,17.24
AC025884.2,chr15,False,17.24
AC037471.2,chr15,False,17.24
POTEB2,chr15,False,17.24
GRAMD4P5,chr15,False,17.24
AC023310.4,chr15,False,17.24
RHD,chr1,False,17.24
OR11J5P,chr15,False,17.24
AC131280.1,chr15,False,17.24
USP32P2,chr17,False,17.24
NOS2P2,chr17,False,17.24
AC012414.6,chr15,False,17.24
ALG1L2,chr3,False,17.24
AL935212.3,chr9,False,17.24
AC012414.4,chr15,False,17.24
NBEAP1,chr15,False,17.24
NF1P1,chr15,False,17.24
AC012414.3,chr15,False,17.24
AC012414.2,chr15,False,17.24
CCDC144B,chr17,False,17.24
RNU6-749P,chr15,False,17.24
SRP68P2,chr17,False,17.24
LGALS9C,chr17,False,17.24
AC012414.1,chr15,False,17.24
AC012414.5,chr15,False,17.24
RNU6-498P,chr15,False,17.24
LINC01193,chr15,False,17.24
FAM106A,chr17,False,17.24
MIR3118-2,chr15,False,17.24
LONRF2P3,chr15,False,17.24
CFHR1,chr1,False,17.24
TNPO1P2,chr17,False,17.24
MIR5701-1,chr15,False,17.24
IGHV1OR15-6,chr15,False,16.09
AC023310.2,chr15,False,16.09
U7,chr1,False,16.09
OR2A1-AS1,chr7,False,16.09
SDHDP6,chr1,False,16.09
AC026495.2,chr15,False,16.09
AC026495.1,chr15,False,16.09
UGT2B29P,chr4,False,16.09
HCP5B,chr6,False,16.09
CHEK2P2,chr15,False,16.09
AC147055.4,chr4,False,14.94
AC147055.2,chr4,False,14.94
MT2P1,chr4,False,14.94
GOLGA6L6,chr15,False,14.94
AC023310.3,chr15,False,14.94
SPATA31E2P,chr15,False,14.94
AC023310.1,chr15,False,14.94
7SK,chr1,False,14.94
RN7SL759P,chr15,False,14.94
OR2A7,chr7,False,14.94
TAS2R64P,chr12,False,14.94
RHPN2P1,chr15,False,14.94
UGT2B17,chr4,False,14.94
GOLGA8CP,chr15,False,14.94
IGHV1OR15-1,chr15,False,13.79
CTAGE8,chr7,False,13.79
IGHV1OR15-4,chr15,False,13.79
IGHV4OR15-8,chr15,False,13.79
ZDHHC11,chr5,False,13.79
AC134980.2,chr15,False,13.79
IGHV1OR15-3,chr15,False,13.79
OR11H3P,chr15,False,13.79
RPS8P10,chr15,False,13.79
OR4M2,chr15,False,13.79
SNORD81,chr5,False,13.79
OR11K1P,chr15,False,13.79
NSFP1,chr17,False,13.79
OR2A20P,chr7,False,13.79
OR2A42,chr7,False,13.79
OR2A9P,chr7,False,13.79
OR4H6P,chr15,False,13.79
OR4N3P,chr15,False,13.79
BX248415.1,chr1,False,13.79
OR4N4,chr15,False,13.79
OR4Q1P,chr15,False,13.79
AC025884.3,chr15,False,13.79
AC026736.1,chr5,False,13.79
AC010760.1,chr15,False,13.79
MIR1268A,chr15,False,13.79
ARHGEF34P,chr7,False,13.79
SPCS2P3,chr5,False,13.79
5S_rRNA,chr1,False,13.79
AC074386.1,chr7,False,13.79
RN7SL301P,chr17,False,13.79
RNU6-983P,chr1,False,12.64
OR2A1,chr7,False,12.64
CFHR4,chr1,False,12.64
GOLPH3,chr5,False,12.64
AC139495.2,chr5,False,12.64
AC139495.1,chr5,False,12.64
NAIPP3,chr5,False,12.64
RN7SL656P,chr17,False,12.64
HERC2P3,chr15,False,12.64
GUSBP3,chr5,False,12.64
ZDHHC11B,chr5,False,12.64
LRRC37A,chr17,False,12.64
RNU1-76P,chr5,False,11.49
MIR887,chr5,False,11.49
AC093305.1,chr5,False,11.49
ALG3P1,chr5,False,11.49
AC093307.1,chr5,False,11.49
ANKH,chr5,False,11.49
ANKRD33B,chr5,False,11.49
MIR6131,chr5,False,11.49
ANKRD33B-AS1,chr5,False,11.49
RNU6-429P,chr5,False,11.49
MTCO1P30,chr5,False,11.49
MTCYBP37,chr5,False,11.49
AC094105.2,chr5,False,11.49
MTCO1P31,chr5,False,11.49
AC094105.1,chr5,False,11.49
AC094103.1,chr5,False,11.49
AC093303.1,chr5,False,11.49
HMGB3P3,chr5,False,11.49
MTCO2P30,chr5,False,11.49
TENT4A,chr5,False,11.49
RPS26P28,chr5,False,11.49
MIR4735,chr1,False,11.49
MIR4637,chr5,False,11.49
ATPSCKMT,chr5,False,11.49
HNRNPKP5,chr5,False,11.49
MED10,chr5,False,11.49
AC010266.1,chr5,False,11.49
AC010266.2,chr5,False,11.49
TP53TG3HP,chr16,False,11.49
AC010342.1,chr5,False,11.49
AC010445.1,chr5,False,11.49
AC010451.1,chr5,False,11.49
AC010451.2,chr5,False,11.49
AC010451.3,chr5,False,11.49
AC010460.1,chr5,False,11.49
AC010460.2,chr5,False,11.49
AC010460.3,chr5,False,11.49
AC010491.1,chr5,False,11.49
AC010491.2,chr5,False,11.49
AC091838.1,chr5,False,11.49
RNU6-1003P,chr5,False,11.49
AC010627.1,chr5,False,11.49
AC010634.1,chr5,False,11.49
MIR4278,chr5,False,11.49
MIR4458,chr5,False,11.49
MIR4458HG,chr5,False,11.49
AC012629.2,chr5,False,11.49
MIR4636,chr5,False,11.49
AC012629.1,chr5,False,11.49
AC012640.4,chr5,False,11.49
AC012629.3,chr5,False,11.49
AC018558.7,chr16,False,11.49
AC100757.2,chr15,False,11.49
RNU6-679P,chr5,False,11.49
AC016546.1,chr5,False,11.49
AC016549.1,chr5,False,11.49
AC016553.1,chr5,False,11.49
AC016575.1,chr5,False,11.49
AC016575.2,chr5,False,11.49
AC016576.1,chr5,False,11.49
AC016595.1,chr5,False,11.49
AC018558.1,chr16,False,11.49
NENFP3,chr5,False,11.49
TAF11L11,chr5,False,11.49
AL391156.1,chr14,False,11.49
SRD5A1,chr5,False,11.49
RNA5SP180,chr5,False,11.49
AC020980.1,chr5,False,11.49
AC021088.1,chr5,False,11.49
RNA5SP179,chr5,False,11.49
FRG2JP,chr16,False,11.49
RNA5SP178,chr5,False,11.49
